# STATUS =
# OBJECT = 2020rmv
# TELESCOPE = Keck2
# INSTRUMENT = DEIMOS
# DATE-OBS = 2020-09-16 00:00:00.00
# MJD = 59108.00
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 2.125469e+00
3120.000000 2.636885e+00
3130.000000 2.271454e+00
3140.000000 1.977314e+00
3150.000000 2.078838e+00
3160.000000 2.293380e+00
3170.000000 2.516174e+00
3180.000000 2.227957e+00
3190.000000 2.506461e+00
3200.000000 2.362345e+00
3210.000000 2.359148e+00
3220.000000 2.136681e+00
3230.000000 2.570532e+00
3240.000000 1.888996e+00
3250.000000 2.126516e+00
3260.000000 2.070343e+00
3270.000000 2.074106e+00
3280.000000 2.088156e+00
3290.000000 2.162671e+00
3300.000000 2.170409e+00
3310.000000 2.114431e+00
3320.000000 2.027208e+00
3330.000000 2.180743e+00
3340.000000 2.198296e+00
3350.000000 2.287043e+00
3360.000000 2.224823e+00
3370.000000 2.312359e+00
3380.000000 2.261643e+00
3390.000000 2.264384e+00
3400.000000 2.140143e+00
3410.000000 2.088674e+00
3420.000000 1.990825e+00
3430.000000 1.934335e+00
3440.000000 2.042145e+00
3450.000000 1.992543e+00
3460.000000 2.104715e+00
3470.000000 2.086387e+00
3480.000000 2.034800e+00
3490.000000 2.119147e+00
3500.000000 2.065513e+00
3510.000000 2.094591e+00
3520.000000 1.958692e+00
3530.000000 1.934725e+00
3540.000000 1.994547e+00
3550.000000 2.098335e+00
3560.000000 2.189947e+00
3570.000000 2.180273e+00
3580.000000 2.173773e+00
3590.000000 2.195092e+00
3600.000000 2.173439e+00
3610.000000 2.180645e+00
3620.000000 2.206052e+00
3630.000000 2.150433e+00
3640.000000 1.966146e+00
3650.000000 1.886614e+00
3660.000000 1.805664e+00
3670.000000 1.905048e+00
3680.000000 1.891099e+00
3690.000000 1.850548e+00
3700.000000 1.949214e+00
3710.000000 1.892439e+00
3720.000000 1.890702e+00
3730.000000 1.898908e+00
3740.000000 1.788026e+00
3750.000000 1.785577e+00
3760.000000 1.716587e+00
3770.000000 1.794661e+00
3780.000000 1.804403e+00
3790.000000 1.820950e+00
3800.000000 1.827396e+00
3810.000000 1.781192e+00
3820.000000 1.642740e+00
3830.000000 1.587827e+00
3840.000000 1.537654e+00
3850.000000 1.539778e+00
3860.000000 1.537053e+00
3870.000000 1.566996e+00
3880.000000 1.588715e+00
3890.000000 1.618421e+00
3900.000000 1.588903e+00
3910.000000 1.593863e+00
3920.000000 1.661080e+00
3930.000000 1.706500e+00
3940.000000 1.742747e+00
3950.000000 1.727627e+00
3960.000000 1.725265e+00
3970.000000 1.722096e+00
3980.000000 1.733480e+00
3990.000000 1.730503e+00
4000.000000 1.644653e+00
4010.000000 1.580797e+00
4020.000000 1.515743e+00
4030.000000 1.462619e+00
4040.000000 1.456591e+00
4050.000000 1.441925e+00
4060.000000 1.459538e+00
4070.000000 1.489505e+00
4080.000000 1.470450e+00
4090.000000 1.510840e+00
4100.000000 1.507330e+00
4110.000000 1.499546e+00
4120.000000 1.504802e+00
4130.000000 1.536632e+00
4140.000000 1.552081e+00
4150.000000 1.514503e+00
4160.000000 1.481219e+00
4170.000000 1.455095e+00
4180.000000 1.446486e+00
4190.000000 1.419684e+00
4200.000000 1.380856e+00
4210.000000 1.392659e+00
4220.000000 1.375529e+00
4230.000000 1.343023e+00
4240.000000 1.258653e+00
4250.000000 1.230417e+00
4260.000000 1.157113e+00
4270.000000 1.186737e+00
4280.000000 1.183888e+00
4290.000000 1.193671e+00
4300.000000 1.210140e+00
4310.000000 1.245248e+00
4320.000000 1.218608e+00
4330.000000 1.203613e+00
4340.000000 1.171201e+00
4350.000000 1.161742e+00
4360.000000 1.158300e+00
4370.000000 1.172205e+00
4380.000000 1.177036e+00
4390.000000 1.208671e+00
4400.000000 1.259483e+00
4410.000000 1.283582e+00
4420.000000 1.337555e+00
4430.000000 1.325389e+00
4440.000000 1.340878e+00
4450.000000 1.342632e+00
