# STATUS =
# OBJECT = 2020rmv
# TELESCOPE = Clay
# INSTRUMENT = LDSS3-C
# DATE-OBS = 2020-12-06
# MJD = 59189.07
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 9.941120e-01
3010.000000 8.525651e-01
3020.000000 1.435896e+00
3030.000000 1.704371e+00
3040.000000 1.515263e+00
3050.000000 1.539898e+00
3060.000000 1.621394e+00
3070.000000 1.660624e+00
3080.000000 1.457403e+00
3090.000000 1.453214e+00
3100.000000 1.480870e+00
3110.000000 1.399412e+00
3120.000000 1.474721e+00
3130.000000 1.570934e+00
3140.000000 1.695866e+00
3150.000000 1.554463e+00
3160.000000 1.480589e+00
3170.000000 1.358464e+00
3180.000000 1.474201e+00
3190.000000 1.322261e+00
3200.000000 1.410894e+00
3210.000000 1.492764e+00
3220.000000 1.514776e+00
3230.000000 1.516027e+00
3240.000000 1.427522e+00
3250.000000 1.516571e+00
3260.000000 1.624364e+00
3270.000000 1.376200e+00
3280.000000 1.374064e+00
3290.000000 1.239726e+00
3300.000000 1.327591e+00
3310.000000 1.337884e+00
3320.000000 1.355841e+00
3330.000000 1.331693e+00
3340.000000 1.318101e+00
3350.000000 1.400535e+00
3360.000000 1.445220e+00
3370.000000 1.421595e+00
3380.000000 1.388111e+00
3390.000000 1.392934e+00
3400.000000 1.416541e+00
3410.000000 1.383639e+00
3420.000000 1.373258e+00
3430.000000 1.476753e+00
3440.000000 1.491251e+00
3450.000000 1.471497e+00
3460.000000 1.420531e+00
3470.000000 1.363563e+00
3480.000000 1.399803e+00
3490.000000 1.422554e+00
3500.000000 1.407412e+00
3510.000000 1.415514e+00
3520.000000 1.436001e+00
3530.000000 1.546771e+00
3540.000000 1.634148e+00
3550.000000 1.660507e+00
3560.000000 1.781455e+00
3570.000000 1.774927e+00
3580.000000 1.811424e+00
3590.000000 1.864033e+00
3600.000000 1.776593e+00
3610.000000 1.754219e+00
3620.000000 1.741107e+00
3630.000000 1.677740e+00
3640.000000 1.565588e+00
3650.000000 1.401790e+00
3660.000000 1.397966e+00
3670.000000 1.489365e+00
3680.000000 1.566257e+00
3690.000000 1.696676e+00
3700.000000 1.806552e+00
3710.000000 1.822471e+00
3720.000000 1.815700e+00
3730.000000 1.788801e+00
3740.000000 1.748812e+00
3750.000000 1.674084e+00
3760.000000 1.612960e+00
3770.000000 1.585124e+00
3780.000000 1.531638e+00
3790.000000 1.556029e+00
3800.000000 1.652272e+00
3810.000000 1.656714e+00
3820.000000 1.560632e+00
3830.000000 1.524640e+00
3840.000000 1.486393e+00
3850.000000 1.471471e+00
3860.000000 1.466699e+00
3870.000000 1.482944e+00
3880.000000 1.561506e+00
3890.000000 1.654223e+00
3900.000000 1.746259e+00
3910.000000 1.808958e+00
3920.000000 1.925995e+00
3930.000000 1.983204e+00
3940.000000 2.007961e+00
3950.000000 2.043218e+00
3960.000000 2.043248e+00
3970.000000 2.040528e+00
3980.000000 2.047704e+00
3990.000000 2.081527e+00
4000.000000 2.036472e+00
4010.000000 2.005971e+00
4020.000000 1.950148e+00
4030.000000 1.847219e+00
4040.000000 1.735726e+00
4050.000000 1.583807e+00
4060.000000 1.536328e+00
4070.000000 1.599594e+00
4080.000000 1.682661e+00
4090.000000 1.702715e+00
4100.000000 1.721606e+00
4110.000000 1.715753e+00
4120.000000 1.699518e+00
4130.000000 1.766804e+00
4140.000000 1.790349e+00
4150.000000 1.736404e+00
4160.000000 1.682323e+00
4170.000000 1.635748e+00
4180.000000 1.579066e+00
4190.000000 1.586716e+00
4200.000000 1.605235e+00
4210.000000 1.598506e+00
4220.000000 1.587742e+00
4230.000000 1.600581e+00
4240.000000 1.653586e+00
4250.000000 1.683209e+00
4260.000000 1.630754e+00
4270.000000 1.572370e+00
4280.000000 1.577620e+00
4290.000000 1.572775e+00
4300.000000 1.593645e+00
4310.000000 1.614245e+00
4320.000000 1.613629e+00
4330.000000 1.574895e+00
4340.000000 1.554267e+00
4350.000000 1.469428e+00
4360.000000 1.360937e+00
4370.000000 1.306053e+00
4380.000000 1.230595e+00
4390.000000 1.168059e+00
4400.000000 1.148695e+00
4410.000000 1.210112e+00
4420.000000 1.259969e+00
4430.000000 1.291494e+00
4440.000000 1.318875e+00
4450.000000 1.360323e+00
4460.000000 1.396231e+00
4470.000000 1.450476e+00
4480.000000 1.507320e+00
4490.000000 1.523079e+00
4500.000000 1.538937e+00
4510.000000 1.592731e+00
4520.000000 1.642710e+00
4530.000000 1.635599e+00
4540.000000 1.630640e+00
4550.000000 1.702288e+00
4560.000000 1.735803e+00
4570.000000 1.754524e+00
4580.000000 1.749594e+00
4590.000000 1.784766e+00
4600.000000 1.823917e+00
4610.000000 1.842505e+00
4620.000000 1.847281e+00
4630.000000 1.796791e+00
4640.000000 1.755793e+00
4650.000000 1.728835e+00
4660.000000 1.688744e+00
4670.000000 1.632779e+00
4680.000000 1.571438e+00
4690.000000 1.543118e+00
4700.000000 1.508340e+00
4710.000000 1.468431e+00
4720.000000 1.398120e+00
4730.000000 1.329336e+00
4740.000000 1.316863e+00
4750.000000 1.286697e+00
4760.000000 1.287007e+00
4770.000000 1.260810e+00
4780.000000 1.165991e+00
4790.000000 1.145902e+00
4800.000000 1.174500e+00
4810.000000 1.195298e+00
4820.000000 1.188736e+00
4830.000000 1.194674e+00
4840.000000 1.224715e+00
4850.000000 1.218909e+00
