# STATUS =
# OBJECT = 2020uew
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2021-03-13 00:18:43.00
# MJD = 59286.02
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 7.751671e-01
3010.000000 6.891352e-01
3020.000000 7.395673e-01
3030.000000 8.909698e-01
3040.000000 9.472298e-01
3050.000000 9.740622e-01
3060.000000 8.498619e-01
3070.000000 8.416042e-01
3080.000000 8.986138e-01
3090.000000 9.476017e-01
3100.000000 1.173453e+00
3110.000000 1.207777e+00
3120.000000 1.212789e+00
3130.000000 7.531010e-01
3140.000000 6.623652e-01
3150.000000 1.664070e+00
3160.000000 2.764819e+00
3170.000000 3.431934e+00
3180.000000 3.327803e+00
3190.000000 2.751822e+00
3200.000000 1.999486e+00
3210.000000 7.695822e-01
3220.000000 3.077883e-01
3230.000000 5.591836e-01
3240.000000 7.817164e-01
3250.000000 6.984757e-01
3260.000000 5.084933e-01
3270.000000 5.549581e-01
3280.000000 7.115914e-01
3290.000000 6.903966e-01
3300.000000 7.013949e-01
3310.000000 3.391079e-01
3320.000000 7.776845e-01
3330.000000 1.167990e+00
3340.000000 1.542678e+00
3350.000000 1.623932e+00
3360.000000 1.508690e+00
3370.000000 1.352547e+00
3380.000000 1.032835e+00
3390.000000 5.699868e-01
3400.000000 8.812642e-01
3410.000000 8.398819e-01
3420.000000 8.196011e-01
3430.000000 6.633758e-01
3440.000000 6.383435e-01
3450.000000 6.585029e-01
3460.000000 8.530136e-01
3470.000000 8.971994e-01
3480.000000 9.376235e-01
3490.000000 9.343299e-01
3500.000000 8.834667e-01
3510.000000 8.290605e-01
3520.000000 8.549122e-01
3530.000000 8.132206e-01
3540.000000 8.722898e-01
3550.000000 9.441891e-01
3560.000000 9.540548e-01
3570.000000 8.664248e-01
3580.000000 8.017224e-01
3590.000000 8.083135e-01
3600.000000 8.304837e-01
3610.000000 8.357662e-01
3620.000000 9.188431e-01
3630.000000 1.025082e+00
3640.000000 1.019010e+00
3650.000000 9.637892e-01
3660.000000 9.572258e-01
3670.000000 8.506309e-01
3680.000000 7.388533e-01
3690.000000 6.478605e-01
3700.000000 6.199931e-01
3710.000000 6.627944e-01
3720.000000 9.216718e-01
3730.000000 1.050130e+00
3740.000000 1.120909e+00
3750.000000 1.131473e+00
3760.000000 1.122115e+00
3770.000000 9.218008e-01
3780.000000 7.718233e-01
3790.000000 8.102967e-01
3800.000000 9.182247e-01
3810.000000 9.398501e-01
3820.000000 9.780478e-01
3830.000000 1.080394e+00
3840.000000 1.088919e+00
3850.000000 1.004648e+00
3860.000000 9.991965e-01
3870.000000 1.007573e+00
3880.000000 1.025616e+00
