       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
  59107.35     99.0     99.0     99.0   3608.04     3631.0       u 
 59108.602     99.0     99.0     99.0   3608.04     3631.0       u 
 59109.853     99.0     99.0     99.0   3608.04     3631.0       u 
 59111.105     99.0     99.0     99.0   3608.04     3631.0       u 
 59112.356     99.0     99.0     99.0   3608.04     3631.0       u 
 59113.608     99.0     99.0     99.0   3608.04     3631.0       u 
 59114.859     99.0     99.0   59.596   3608.04     3631.0       u 
 59116.111     99.0     99.0  -18.129   3608.04     3631.0       u 
 59117.362     99.0     99.0  -19.413   3608.04     3631.0       u 
 59118.614     99.0  -16.292  -20.082   3608.04     3631.0       u 
 59119.866     99.0  -19.337  -20.503   3608.04     3631.0       u 
 59121.117  -17.633  -20.288  -20.872   3608.04     3631.0       u 
 59122.369  -20.048  -20.723  -21.118   3608.04     3631.0       u 
  59123.62   -20.61  -21.053  -21.326   3608.04     3631.0       u 
 59124.872  -20.981  -21.273  -21.488   3608.04     3631.0       u 
 59125.498  -21.097  -21.354  -21.545   3608.04     3631.0       u 
 59126.123  -21.204  -21.427  -21.595   3608.04     3631.0       u 
 59127.375  -21.367  -21.536  -21.688   3608.04     3631.0       u 
 59128.627  -21.504  -21.627  -21.754   3608.04     3631.0       u 
 59129.878  -21.601   -21.69  -21.815   3608.04     3631.0       u 
  59131.13  -21.675   -21.74  -21.858   3608.04     3631.0       u 
 59132.381  -21.726  -21.769  -21.883   3608.04     3631.0       u 
 59133.633  -21.748  -21.794  -21.898   3608.04     3631.0       u 
 59134.884  -21.753  -21.796  -21.893   3608.04     3631.0       u 
 59136.136  -21.747  -21.791  -21.884   3608.04     3631.0       u 
 59137.387  -21.722  -21.772  -21.866   3608.04     3631.0       u 
 59138.639  -21.682  -21.738  -21.845   3608.04     3631.0       u 
 59139.891  -21.632  -21.699  -21.812   3608.04     3631.0       u 
 59141.142  -21.561  -21.652  -21.763   3608.04     3631.0       u 
 59142.394  -21.477  -21.585  -21.709   3608.04     3631.0       u 
 59143.645  -21.384  -21.513  -21.659   3608.04     3631.0       u 
 59144.897   -21.28  -21.428  -21.611   3608.04     3631.0       u 
 59146.148  -21.174  -21.337  -21.543   3608.04     3631.0       u 
   59147.4  -21.055  -21.239  -21.472   3608.04     3631.0       u 
 59148.652  -20.921  -21.135  -21.394   3608.04     3631.0       u 
 59149.903  -20.779  -21.032  -21.287   3608.04     3631.0       u 
 59151.155  -20.625  -20.917  -21.197   3608.04     3631.0       u 
 59152.406  -20.492  -20.795  -21.112   3608.04     3631.0       u 
 59153.658   -20.33  -20.672  -21.021   3608.04     3631.0       u 
 59154.909  -20.143  -20.538  -20.914   3608.04     3631.0       u 
 59156.161  -19.976   -20.41  -20.818   3608.04     3631.0       u 
 59157.413  -19.779  -20.286  -20.724   3608.04     3631.0       u 
 59158.664  -19.572  -20.182  -20.622   3608.04     3631.0       u 
 59159.916  -19.403  -20.045  -20.504   3608.04     3631.0       u 
 59161.167  -19.204  -19.944  -20.386   3608.04     3631.0       u 
 59162.419  -19.047  -19.808  -20.296   3608.04     3631.0       u 
  59163.67  -18.918  -19.658   -20.21   3608.04     3631.0       u 
 59164.922  -18.755  -19.526  -20.128   3608.04     3631.0       u 
 59166.173  -18.586   -19.38  -20.056   3608.04     3631.0       u 
 59167.425  -18.375  -19.263  -19.975   3608.04     3631.0       u 
 59168.677  -18.286   -19.17  -19.893   3608.04     3631.0       u 
 59169.928  -18.107  -19.072  -19.802   3608.04     3631.0       u 
  59171.18  -17.943  -18.989  -19.742   3608.04     3631.0       u 
 59172.431  -17.857  -18.911   -19.69   3608.04     3631.0       u 
 59173.683  -17.709  -18.833  -19.636   3608.04     3631.0       u 
 59174.934  -17.598  -18.749  -19.584   3608.04     3631.0       u 
 59176.186  -17.495  -18.624  -19.533   3608.04     3631.0       u 
 59177.438  -17.356  -18.517  -19.471   3608.04     3631.0       u 
 59178.689  -17.244  -18.447  -19.411   3608.04     3631.0       u 
 59179.941  -17.171  -18.381   -19.36   3608.04     3631.0       u 
 59181.192  -17.092  -18.297  -19.324   3608.04     3631.0       u 
 59182.444  -16.964  -18.237   -19.29   3608.04     3631.0       u 
 59183.695  -16.832  -18.177  -19.257   3608.04     3631.0       u 
 59184.947  -16.712   -18.12  -19.229   3608.04     3631.0       u 
 59186.199  -16.543  -18.085  -19.196   3608.04     3631.0       u 
  59187.45  -16.403  -18.042  -19.164   3608.04     3631.0       u 
 59188.702  -16.293  -17.981  -19.131   3608.04     3631.0       u 
 59189.953  -16.228  -17.914  -19.097   3608.04     3631.0       u 
 59191.205  -16.172  -17.817  -19.064   3608.04     3631.0       u 
 59192.456  -16.084  -17.722  -19.028   3608.04     3631.0       u 
 59193.708  -15.983   -17.65  -18.993   3608.04     3631.0       u 
 59194.959  -15.903  -17.591  -18.957   3608.04     3631.0       u 
 59196.211  -15.863  -17.541  -18.922   3608.04     3631.0       u 
 59197.463  -15.782  -17.497  -18.887   3608.04     3631.0       u 
 59198.714  -15.677  -17.454  -18.856   3608.04     3631.0       u 
