# STATUS =
# OBJECT = 2020wnt
# TELESCOPE = Ekar
# INSTRUMENT = AFOSC
# DATE-OBS = 2020-11-29 00:00:00.000
# MJD = 59182.79
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 nan
3640.000000 nan
3650.000000 nan
3660.000000 nan
3670.000000 nan
3680.000000 nan
3690.000000 1.364289e+00
3700.000000 1.317816e+00
3710.000000 1.272230e+00
3720.000000 1.238326e+00
3730.000000 1.223080e+00
3740.000000 1.193025e+00
3750.000000 1.139517e+00
3760.000000 1.084813e+00
3770.000000 1.040102e+00
3780.000000 1.015242e+00
3790.000000 1.006303e+00
3800.000000 1.018942e+00
3810.000000 1.041410e+00
3820.000000 1.033888e+00
3830.000000 1.057156e+00
3840.000000 1.069120e+00
3850.000000 1.104001e+00
3860.000000 1.138960e+00
3870.000000 1.169954e+00
3880.000000 1.194091e+00
3890.000000 1.223650e+00
3900.000000 1.232711e+00
3910.000000 1.250992e+00
3920.000000 1.254688e+00
3930.000000 1.263467e+00
3940.000000 1.269866e+00
3950.000000 1.265869e+00
3960.000000 1.273513e+00
3970.000000 1.252469e+00
3980.000000 1.204153e+00
3990.000000 1.146809e+00
4000.000000 1.082364e+00
4010.000000 1.077509e+00
4020.000000 1.080025e+00
4030.000000 1.098229e+00
4040.000000 1.124063e+00
4050.000000 1.140720e+00
4060.000000 1.144193e+00
4070.000000 1.130522e+00
4080.000000 1.115086e+00
4090.000000 1.128908e+00
4100.000000 1.123673e+00
4110.000000 1.117650e+00
4120.000000 1.097225e+00
4130.000000 1.100131e+00
4140.000000 1.100745e+00
4150.000000 1.095405e+00
4160.000000 1.087156e+00
4170.000000 1.094288e+00
4180.000000 1.091022e+00
4190.000000 1.110120e+00
4200.000000 1.106900e+00
4210.000000 1.127058e+00
4220.000000 1.120554e+00
4230.000000 1.084853e+00
4240.000000 1.057865e+00
4250.000000 1.024538e+00
4260.000000 9.748614e-01
4270.000000 9.602374e-01
4280.000000 9.508473e-01
4290.000000 9.611308e-01
4300.000000 9.414393e-01
4310.000000 9.254840e-01
4320.000000 9.220402e-01
4330.000000 9.115447e-01
4340.000000 8.977983e-01
4350.000000 8.905926e-01
4360.000000 8.955209e-01
4370.000000 9.020288e-01
4380.000000 8.978449e-01
4390.000000 8.962776e-01
4400.000000 8.885576e-01
4410.000000 9.158690e-01
4420.000000 9.480637e-01
4430.000000 9.864755e-01
4440.000000 1.036377e+00
4450.000000 1.079887e+00
4460.000000 1.100314e+00
4470.000000 1.109817e+00
4480.000000 1.112348e+00
4490.000000 1.144063e+00
4500.000000 1.190196e+00
4510.000000 1.248365e+00
4520.000000 1.306101e+00
4530.000000 1.344987e+00
4540.000000 1.352904e+00
4550.000000 1.340247e+00
4560.000000 1.305942e+00
4570.000000 1.283288e+00
4580.000000 1.289042e+00
4590.000000 1.292594e+00
4600.000000 1.307410e+00
4610.000000 1.323157e+00
4620.000000 1.314195e+00
4630.000000 1.295118e+00
4640.000000 1.252283e+00
4650.000000 1.219297e+00
