 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel             TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -6.66891  0.01531  1.43385     14.34545  1.66201  0.45051  11.73507    0.097      0.2836   9773.37271   7624.75444  0.68616         4209.36512      18.2161  0.00091  59112.81601   6.68655  0.17961     64647.37792  47.36592  19.15315   59165.0288    51.48644       44.80932   22.22215  36.02175   42.0    0.21343  -22.11854  0.99795 
   -5.93416  0.01787  1.20124      14.1757  1.69336  0.74623  15.27386  0.06529     0.13717    9612.5703   7351.48328  0.48855         4197.43875     19.18016  0.00841  59113.55076   8.41889  0.27294    101024.36182  47.33391  19.15065  59163.42843    51.37393       44.62705    36.7242   41.1727   41.5    0.21845  -22.08832   0.9979 
   -6.70871  0.00349  1.40906     14.32731  1.37148  0.30198   5.08436  0.17067     0.44921   9948.72909   6641.88124  0.47144         4729.15594     16.32218    1e-05  59112.77621   3.00192  0.01776       56007.098  47.35993  19.16076  59165.35061    51.58904       44.95121   19.41745    35.323   45.5    0.23398  -22.14657  0.99974 
  -16.87722  0.06355  1.82731     13.26549  1.95161  1.01415   6.75203  0.15876     0.01611  14070.34156   6810.53673  1.29747         2315.02796      18.5513  0.00198   59102.6077    7.9739  0.42908  17818162.88892  44.78475  19.15566  59165.35061    51.71967       45.11649   16.53008  33.14186   52.0    0.18683  -22.29317  0.99242 
  -15.09887  0.06371  1.90215     13.26992  1.99447  1.31374   5.63399   0.1848     0.01749  13586.43417   7265.74418  4.28266         2448.63904     20.06559  0.06461  59104.38605   6.20375  0.35894  19332322.33312   44.7239  19.14568   59165.0288    51.45956       44.77989   22.89488  36.61828   50.5    0.20575  -22.39023  0.99352 
  -16.97269  0.04677  2.03364     13.27046  1.83552  1.41016    5.1104  0.17184     0.01808  12356.15513   7271.53967  2.49309         2875.85415     17.59736  0.00022  59102.51223   4.65424  0.23904  20286421.99752  44.60885  19.16948  59165.35061    51.62466       45.01179   16.64835  34.56414   51.0    0.21035  -22.23182  0.99444 
   -4.50122   0.2288  0.78908     14.00135  1.60624  1.40932    7.3843   0.1089     0.30966   9485.12861    7251.3299  0.26146         4386.93626     16.18844    1e-05  59114.98369   3.96299  1.68955     92289.94384  47.71527  19.13551  59163.42843    51.44015       44.70113   36.00021   40.4217   43.0    0.25712  -22.05645  0.99443 
  -14.74531  0.00639  2.12759     13.37194  1.89238  0.97925   6.85002   0.1087     0.01336  12132.07829   7357.32607  1.55118         3277.07287     17.72587   0.0003   59104.7396   6.01436  0.04379  14345748.65773  44.73335  19.15941  59163.42843    51.56795       44.94003   20.77446  32.67671   51.0    0.21613  -22.21462  0.99893 
   -6.69943  0.00215  1.62286     14.03163   1.6404    1.008   6.18954  0.17835     0.46099    9997.7462   7643.22762  0.84028         4059.81407      17.4903  0.00017  59112.78549   3.69054  0.01328    346791.51449  46.52316  19.16263  59163.42843    51.34379       44.58023   36.81185  43.51934   43.0     0.2153  -22.14065   0.9998 
  -20.58977  0.15429  1.99418     13.61183  1.92622  0.47512   4.24688  0.25027     0.01586  10645.51516   7263.66574  1.87061         3347.50362     19.94403  0.04884  59098.89515   2.87098  0.65526   4250026.62269  45.32563  19.14427   59165.0288    51.42758        44.7427   24.83923   37.0041   53.0    0.18893  -22.21217  0.98647 
