 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
      13.079   1.7239  28.52034       2.14545         3110.54413  0.44284  0.02321     0.04847  37.11975     17.98393   7532.59521   -16.83917  1.17715  19806.83855  0.00054  59128.59968  53.30208  37.93705  19.05461  59166.78283 
    12.24488  1.61563  13.35609       4.42699         2931.02105  0.48568  0.01567     0.03799  40.88084     20.34147   9039.05338    -9.47731  0.34888  20832.44061  0.12196  59135.96154  53.35294  42.28521  19.10232  59169.70426 
    14.51753  1.77948  21.79751       2.23468         3389.09343  0.41107  0.01231     0.21387  42.98196     18.32203    7491.1009   -12.86101  0.02513  15237.34497  0.00117  59132.57784  53.08488   36.0872  18.97603  59163.42093 
     12.2655  1.59766  28.21469       4.24072         2380.94393   0.4048  0.01001     0.19378  46.28071     19.38189   9370.89673   -11.88659   1.3622  16639.24919  0.01339  59133.55226  53.16659  35.96958  18.83246  59163.86139 
      12.164  1.56247  28.92392       3.66735         2833.13567  0.24211  0.01065     0.03887  77.90548     16.62068   9326.68442   -13.08495   0.7723   20464.4684    2e-05   59132.3539  53.38166  23.33664  18.91229  59166.78283 
    14.70168  1.54394   5.36296       3.53752         2793.58367  0.45762  0.01013     0.08371   35.5642     16.54572   7539.23614    -6.06639  1.10473  14256.81211    2e-05  59139.37246  53.01334   38.9197  18.91141  59166.78283 
    12.28394  1.44973   10.0075       3.16427         2701.26426  0.44599  0.02118     0.04167  46.38016     16.72495   8694.67283   -20.70903  0.01517  20772.67422    3e-05  59124.72982  53.35946  39.64384  19.22353  59193.31442 
    14.61066  1.88769   25.6477       3.57886         3241.91904  0.45175  0.01638     0.14308  35.73475     19.75465   8429.68956    -10.0013  1.05847  18906.09509  0.03158  59135.43755  53.25885  38.45222  19.04921  59172.62569 
    12.35308  2.02425  11.77981       2.77308         3198.29691  0.43893  0.01046     0.08227  34.82007      16.8591   9347.76597    -9.58243  0.52336  14794.02069    4e-05  59135.85642   53.0439  37.19635  19.03641  59178.46855 
    15.01182  1.49111  29.30158       3.19866         4021.53305  0.35249  0.01233      0.0593  43.83968     18.26142   9424.32096   -12.53813  0.86162  13990.23044  0.00101  59132.90072  53.01213  31.04494  18.87103  59166.78283 
    14.01305  1.54595   6.12536       4.10008         3295.55166  0.47187  0.03463     0.31384  24.86711     16.33623    8983.1963   -16.41873  1.49561  15777.68823    1e-05  59129.02012  53.07412  37.69061  18.89531  59166.78283 
    14.19908  1.57521  22.12065       0.27091         3909.78822  0.33643  0.01952     0.25007  63.37216     17.20456   9928.02555   -22.46611  1.35302  20750.80868    9e-05  59122.97274  53.38006  31.42323   18.8783  59166.78283 
    14.00677  1.93916  28.21074       0.61275         3871.08317  0.38535  0.01299     0.37754  47.96454      19.7985   9829.19403   -11.92156  1.33212  20079.93591  0.03493  59133.51729  53.33237  34.44081  19.05793  59172.62569 
    13.78049  1.97437  17.51562       2.07562         4279.08136  0.45967  0.01392     0.08173  32.87724     17.79028   7446.90995    -9.69451  0.81063  17678.07072  0.00034  59135.74434  53.19432  38.57182  18.82198  59163.86139 
    14.40141  1.74114  21.88803       0.77529         3488.46219  0.38816  0.01581     0.07124  48.90691     18.44049   9391.71972   -13.12504  0.77067  22189.21828  0.00153  59132.31381  53.42049  34.80092  18.85288  59163.42093 
    13.14406  1.99497  27.65305       3.98236         3272.45685  0.49528  0.03824     0.04782  36.81712     18.38021    3525.6311   -16.58208  0.98904  25071.50078  0.00133  59128.85677  53.50621  42.37054  18.75556  59163.42093 
     12.9564  1.62358   3.43806       1.42645         3788.37391  0.40399  0.01278     0.03088  39.06206     17.25275    7366.9997   -12.42301  1.16993  14826.07181   0.0001  59133.01584  53.05422  34.90718   18.9762  59166.78283 
    13.72315  1.84262   4.75553        0.5782         5698.55189  0.36674  0.02251     0.02372  35.10936     19.30848   9452.31461   -22.10563  1.30938  16308.82382   0.0113  59123.33322  53.12919  31.12243  18.96475  59166.78283 
     14.7899  1.56886  18.77565       2.15099         3511.83263   0.4946  0.01302     0.49953  32.66219     19.75162   7214.63399    -9.81541  0.93373  16985.05482  0.03136  59135.62344   53.1591  41.45627  18.87695  59166.78283 
    13.09737   1.5198   6.99932       1.50694         4074.98674  0.39684  0.01008     0.07704   45.1651     18.07645   9663.62167   -11.22604  0.27719  13690.78166  0.00066  59134.21281  52.99545  35.12196  19.01839  59172.62569 
     15.0487  1.77521   9.97832       2.61862         3598.80036  0.44085    0.012     0.08133    35.904     19.18874    9194.0509    -12.2247  0.81857  12881.77336  0.00858  59133.21415  52.92595  37.55461  18.93902  59166.78283 
    14.23866     1.52   2.68844       2.75802         3252.18063  0.24272  0.20854     0.09416   6.42918     17.97347   7966.98722   -29.61355  0.15935  16213.25013  0.00052   59115.8253  52.97577  14.63904  18.80445  59166.78283 
    13.08083  1.89997   3.71816       2.93057         2979.52946  0.37176  0.01404     0.03321  42.69568     20.00363   8764.46184   -11.27985  1.15454  19536.95334  0.05602    59134.159   53.3003   32.6006  18.84466  59163.86139 
    14.85201  1.39588  24.50755       3.01987         2413.85483  0.32869   0.0109     0.37425   59.0907     18.61727   9263.24314   -14.81923  0.62653  19108.25485   0.0023  59130.61962   53.3037   30.3686  18.86009  59163.42093 
    12.44999  1.66726  28.48917       4.48695         3381.48059  0.45966  0.01119     0.05519  33.23666     19.44509   9854.18024    -9.30531  0.46175  16175.13829  0.01548  59136.13354  53.11796  38.64391  18.83381  59163.86139 
    13.30884  1.64361   8.69977       2.28821         3839.74795  0.48171  0.01025     0.02922  30.19845     17.01131   6927.98386   -12.32402  1.46767  12169.76055    6e-05  59133.11483  52.86361  39.82917  18.98255  59166.78283 
    13.16822  1.94879  28.92685       4.48079         2561.41595  0.30107  0.01331     0.16368  61.65074     18.78268   9419.11742   -11.05192  0.40771  23621.67497  0.00337  59134.38693  53.49075   28.0014  18.92171  59169.37454 
