       MJD   Upper    Mean   Lower  Cenwave  Zeropoint      Filter 
 59152.454    99.0    99.0    99.0  4671.78     3631.0           g 
 59152.454    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 59152.454    99.0    99.0    99.0  5182.42     3631.0        cyan 
 59152.454    99.0    99.0    99.0  5850.88     3631.0           G 
 59152.454    99.0    99.0    99.0   5980.7     3631.0           w 
 59152.454    99.0    99.0    99.0  6141.12     3631.0           r 
 59152.454    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 59152.454    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 59152.454    99.0    99.0    99.0  6629.82     3631.0      orange 
 59152.454    99.0    99.0    99.0  7457.89     3631.0           i 
 59152.454    99.0    99.0    99.0  7654.38     3631.0  i-Magellan 
 59152.454    99.0    99.0    99.0  9554.53     3631.0           z 
 59152.455    99.0    99.0    99.0  4671.78     3631.0           g 
 59152.455    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 59152.455    99.0    99.0    99.0  5182.42     3631.0        cyan 
 59152.455    99.0    99.0    99.0  5850.88     3631.0           G 
 59152.455    99.0    99.0    99.0   5980.7     3631.0           w 
 59152.455    99.0    99.0    99.0  6141.12     3631.0           r 
 59152.455    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 59152.455    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 59152.455    99.0    99.0    99.0  6629.82     3631.0      orange 
 59152.455    99.0    99.0    99.0  7457.89     3631.0           i 
 59152.455    99.0    99.0    99.0  7654.38     3631.0  i-Magellan 
 59152.455    99.0    99.0    99.0  9554.53     3631.0           z 
 59152.523    99.0    99.0    99.0  4671.78     3631.0           g 
 59152.523    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 59152.523    99.0    99.0    99.0  5182.42     3631.0        cyan 
 59152.523    99.0    99.0    99.0  5850.88     3631.0           G 
 59152.523    99.0    99.0    99.0   5980.7     3631.0           w 
 59152.523    99.0    99.0    99.0  6141.12     3631.0           r 
 59152.523    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 59152.523    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 59152.523    99.0    99.0    99.0  6629.82     3631.0      orange 
 59152.523    99.0    99.0    99.0  7457.89     3631.0           i 
 59152.523    99.0    99.0    99.0  7654.38     3631.0  i-Magellan 
 59152.523    99.0    99.0    99.0  9554.53     3631.0           z 
 59152.525    99.0    99.0    99.0  4671.78     3631.0           g 
 59152.525    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 59152.525    99.0    99.0    99.0  5182.42     3631.0        cyan 
 59152.525    99.0    99.0    99.0  5850.88     3631.0           G 
 59152.525    99.0    99.0    99.0   5980.7     3631.0           w 
 59152.525    99.0    99.0    99.0  6141.12     3631.0           r 
 59152.525    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 59152.525    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 59152.525    99.0    99.0    99.0  6629.82     3631.0      orange 
 59152.525    99.0    99.0    99.0  7457.89     3631.0           i 
 59152.525    99.0    99.0    99.0  7654.38     3631.0  i-Magellan 
 59152.525    99.0    99.0    99.0  9554.53     3631.0           z 
 59153.558    99.0    99.0    99.0  4671.78     3631.0           g 
 59153.558    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 59153.558    99.0    99.0    99.0  5182.42     3631.0        cyan 
 59153.558    99.0    99.0    99.0  5850.88     3631.0           G 
 59153.558    99.0    99.0    99.0   5980.7     3631.0           w 
 59153.558    99.0    99.0    99.0  6141.12     3631.0           r 
 59153.558    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 59153.558    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 59153.558    99.0    99.0    99.0  6629.82     3631.0      orange 
 59153.558    99.0    99.0    99.0  7457.89     3631.0           i 
 59153.558    99.0    99.0    99.0  7654.38     3631.0  i-Magellan 
 59153.558    99.0    99.0    99.0  9554.53     3631.0           z 
 59155.409  25.602  24.761  24.122  4671.78     3631.0           g 
 59155.409  25.631  24.796   24.16  4746.48     3631.0       g-P48 
 59155.409   25.75  24.916  24.278  5182.42     3631.0        cyan 
 59155.409  25.903  25.069  24.429   5980.7     3631.0           w 
 59155.409  25.939    25.1  24.459  5850.88     3631.0           G 
 59155.409  26.012   25.18  24.537  6141.12     3631.0           r 
 59155.409  26.053  25.221  24.578  6366.38     3631.0       r-P48 
