       MJD   Upper    Mean   Lower  Cenwave  Zeropoint      Filter 
 59223.379    99.0    99.0    99.0  4671.78     3631.0           g 
 59223.379    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 59223.379    99.0    99.0    99.0  5182.42     3631.0        cyan 
 59223.379    99.0    99.0    99.0  5850.88     3631.0           G 
 59223.379    99.0    99.0    99.0   5980.7     3631.0           w 
 59223.379    99.0    99.0    99.0  6141.12     3631.0           r 
 59223.379    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 59223.379    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 59223.379    99.0    99.0    99.0  6629.82     3631.0      orange 
 59223.379    99.0    99.0    99.0  7457.89     3631.0           i 
 59223.379    99.0    99.0    99.0  7654.38     3631.0  i-Magellan 
 59223.462    99.0    99.0    99.0  4671.78     3631.0           g 
 59223.462    99.0    99.0    99.0  4746.48     3631.0       g-P48 
 59223.462    99.0    99.0    99.0  5182.42     3631.0        cyan 
 59223.462    99.0    99.0    99.0  5850.88     3631.0           G 
 59223.462    99.0    99.0    99.0   5980.7     3631.0           w 
 59223.462    99.0    99.0    99.0  6141.12     3631.0           r 
 59223.462    99.0    99.0    99.0  6366.38     3631.0       r-P48 
 59223.462    99.0    99.0    99.0  6463.63     3631.0  r-Magellan 
 59223.462    99.0    99.0    99.0  6629.82     3631.0      orange 
 59223.462    99.0    99.0    99.0  7457.89     3631.0           i 
 59223.462    99.0    99.0    99.0  7654.38     3631.0  i-Magellan 
 59224.005    99.0    99.0   27.33  4671.78     3631.0           g 
 59224.005    99.0    99.0  27.365  4746.48     3631.0       g-P48 
 59224.005    99.0    99.0  27.455  5182.42     3631.0        cyan 
 59224.005    99.0    99.0  27.576   5980.7     3631.0           w 
 59224.005    99.0    99.0    27.6  5850.88     3631.0           G 
 59224.005    99.0    99.0   27.65  6141.12     3631.0           r 
 59224.005    99.0    99.0  27.681  6366.38     3631.0       r-P48 
 59224.005    99.0    99.0  27.717  6463.63     3631.0  r-Magellan 
 59224.005    99.0    99.0  27.739  6629.82     3631.0      orange 
 59224.005    99.0    99.0  27.899  7457.89     3631.0           i 
 59224.005    99.0    99.0  27.954  7654.38     3631.0  i-Magellan 
 59224.537    99.0  26.285  24.452  4671.78     3631.0           g 
 59224.537    99.0   26.32  24.487  4746.48     3631.0       g-P48 
 59224.537    99.0  26.411  24.576  5182.42     3631.0        cyan 
 59224.537    99.0  26.534  24.697   5980.7     3631.0           w 
 59224.537    99.0  26.558  24.721  5850.88     3631.0           G 
 59224.537    99.0   26.61  24.771  6141.12     3631.0           r 
 59224.537    99.0  26.642  24.802  6366.38     3631.0       r-P48 
 59224.537    99.0  26.678  24.838  6463.63     3631.0  r-Magellan 
 59224.537    99.0    26.7   24.86  6629.82     3631.0      orange 
 59224.537    99.0  26.862  25.019  7457.89     3631.0           i 
