 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    13.73078  1.80351  3.32039       0.40595         4126.28261  0.00596  0.01239     0.10853   9.55474     19.69265   3710.33077    -7.98784  0.41135  5224.71142  0.02738  59127.18404  52.03157   0.39359  19.85735  59211.91186 
    13.32703  1.64031  3.10916        0.7134         2780.34329   0.0318   0.0261     0.32019   4.80415     17.32675   3399.80023    -8.25821  0.99911  6746.34428  0.00012  59126.91366  52.18271   1.78378  20.06753  59228.51201 
    13.65919  1.72483  3.23495       1.19568         4457.11099  0.01804  0.05322     0.47534   0.52322     18.67855   8278.75684   -12.37471  0.41673  2529.30629  0.00265  59122.79716  50.96242   0.43364  19.87771  59216.32762 
    13.65252  1.76885  3.22178       1.27666         4369.48047  0.00573  0.07869     0.49626   0.41487     20.21946   9359.61222   -12.88278  0.47304  2100.54601  0.09208  59122.28909  50.73577   0.11857  19.96178  59225.15916 
    13.24707   1.4669  3.23524       4.14028         3795.67039  0.00266  0.01859     0.11065   1.28639     16.64941    9436.5493    -7.57859  1.20808  1964.62269    2e-05  59127.59328  50.93088   0.09853  19.97168  59216.32762 
    13.28797  1.84999  3.27112       1.33262         2683.56282  0.00392   0.0161     0.10824   7.83614     17.33817   5191.65178   -16.63528  1.37941  5000.53145  0.00012   59118.5366   51.9742   0.24787   19.8944  59220.74339 
    13.23509  1.46641  2.87117       0.93191          2217.1584  0.00435  0.01508     0.33295   6.74419     16.88407   6574.55075   -13.84962   1.0513  6416.28704    4e-05  59121.32225  52.17555   0.26544  19.77471   59194.2488 
     13.4178  1.63225  3.18054       0.59903         2625.63297   0.0064  0.01777     0.33989   4.77219     17.83225   4772.63865     -7.7202  0.81591  4719.65387  0.00038  59127.45167  51.87165   0.35829  19.83154  59203.08033 
    13.36576   1.5908  3.13338       0.74189         3025.80784  0.01241  0.01235     0.19924   8.71628     17.13661   5982.98066   -10.15127  1.01685  5377.71488    8e-05  59125.02061  52.04781   0.80322  19.91975  59216.32762 
    13.44617  1.70704  3.27488       0.87855         4607.36197  0.00441  0.05123     0.48856   0.66555     16.85506   5386.19437    -11.0757  1.06856  2808.00524    4e-05  59124.09617  51.11194   0.12131   19.9261  59207.49609 
    13.02636  1.37746  2.69004       0.12095          2761.2353  0.42279  0.01287     0.09752   9.14977     19.81552   6726.56659   -10.87435  1.42067  6008.60555  0.03633  59124.29753  52.14885   27.6566  20.00218  59207.49609 
    13.43906  1.38397  2.90633       0.99384         4912.39325  0.00484  0.01685     0.12032   2.32757     17.06736   8895.55506    -6.99421  0.70492  2183.37322    6e-05  59128.17767  51.11302   0.22102  19.96151  59225.15916 
     13.3787  1.86249  3.63722       2.33164         2319.29737  0.14892  0.01445     0.33791  11.65815     18.68818    5845.8423    -9.63919  1.45747  7248.65992  0.00271  59125.53268  52.33448  10.26322  19.96658  59207.49609 
     13.8878  2.04693  3.64714       0.21298         2532.18096  0.00202  0.01307     0.07677   11.1755     18.27929   4830.05446   -14.58665  0.33719  4779.71198  0.00106  59120.58523   51.9689   0.13812  19.81506  59211.91186 
    13.44824  1.69354  3.34191       0.98047         5171.04545  0.00515  0.03234     0.26129   1.03108      17.7639   9709.16107   -13.36427  1.02733   2211.7792  0.00032  59121.80761  50.99458   0.17428  19.95552  59216.32762 
    13.41466  1.69572  2.89231       0.32722         3388.20988  0.00536  0.01644     0.11124   8.15345     19.87034   3312.22414   -12.40232  0.61996  5667.35362  0.04122  59122.76956  52.08685   0.34178   19.8678  59207.49609 
    13.90511  1.86992  2.96417       0.04436         3389.95179  0.00222  0.02862     0.44003   3.21376      18.1466   8347.43651   -11.94029   0.1802  8046.27058  0.00078  59123.23158  52.28824   0.11165  19.90018  59220.74339 
    13.23819  1.75086  2.89727       0.02701         3738.69347  0.00782  0.01005     0.06342  11.15541     16.08039   9662.67995   -20.87376  0.95464  5308.07272    1e-05  59114.29812   52.0598   0.53363  19.83187  59207.49609 
    13.48462  1.88508  3.57551       0.57392         3452.03547  0.00941  0.01088     0.17694  12.52641     17.01836   4953.04306     -8.8524  0.96754  6715.99338    6e-05  59126.31948  52.27468   0.65816  19.78262  59198.66456 
    13.40122    1.744  3.33106       2.83564         2144.23999  0.03923  0.01182     0.16506   8.95738     16.81073   7726.47808   -13.54199  0.99419  5551.86333    4e-05  59121.62989  52.07814   2.55403  19.85089  59216.32762 
    13.21028  1.53034  2.93458        1.5595         2209.54612  0.09931  0.01108     0.10664   9.74353     19.19382   6633.73462   -10.18968  1.18619  5225.21367  0.00868   59124.9822  52.03351   6.58681  19.94416  59220.74339 
     13.0406  2.16688  2.80958       0.62466         3089.18611   0.3488  0.02618     0.14818   5.57565      18.2999   7463.79858   -10.47028  1.54994  7741.70381  0.00111  59124.70159  52.31861  20.31818  19.80331   59194.2488 
    13.29216  1.86296  3.17365        0.4546         2546.81094  0.03096  0.01128     0.20691   8.52867     20.41678   7642.23872    -8.49375   1.4509  5902.16647  0.14505  59126.67812  52.12652   1.99371  19.80676   59194.2488 
    13.34617  1.58988  3.03193       0.09283         5988.49061  0.00329  0.01039      0.1032   9.94425     16.78422    4279.3941   -14.17962  0.92999  4730.20092    3e-05  59120.99226  51.94899   0.21899  19.97328  59225.15916 
     13.3469   2.0422   3.4378       0.08816         5465.85015  0.07345  0.01713     0.22155    5.8556     19.49895   5397.59402   -10.72703   1.1199  6494.14429  0.01753  59124.44485  52.17123   4.33074  19.91446  59211.91186 
    13.26288  1.21745  2.45707       0.09605         2721.58936  0.00112  0.01614     0.11998   8.55026     17.26979   5848.47359     -8.4149  0.74199  5285.84288   0.0001  59126.75698  52.03098   0.07204  19.99835  59225.15916 
    13.35155  1.70558  3.08991       0.41032         4782.56824  0.00312  0.02661     0.19541   2.22477      19.5664     3558.437   -18.97207  1.23371  2959.39239  0.02047   59116.1998   51.3709   0.14041  19.90247  59216.32762 
    13.05658  1.56196  2.58388       0.17352         3823.05614  0.15046  0.04451      0.4324   3.02078     19.80766    6452.1965    -7.83173  1.25653  8302.46202  0.03568  59127.34015  52.30766   7.43068  19.85062  59207.49609 
    13.75404  1.97557  3.55975       0.03624          5921.7438  0.02681  0.01042     0.06025  12.64075     16.17061   4761.35206   -13.82244  0.44126  4132.49533    1e-05  59121.34944   51.8537   1.87915  19.92143  59225.15916 
    13.69583  1.66223  3.23231       0.26779         3429.65257  0.48394  0.02178     0.40666   5.73446     18.90529   8490.41836    -6.60425  0.34213  7765.25854  0.00447  59128.56762  52.32426  28.38687  19.68091  59189.83303 
    13.13303  1.87061  2.77933        2.7473         2118.80876  0.00488  0.02293     0.06464   6.65937      19.8283   5642.66911   -12.61846  1.25315  5564.05509  0.03741  59122.55341  52.05046    0.2969  19.81376  59198.66456 
    13.02888  1.57456  2.00045       0.71552         3361.82402  0.00139  0.01088     0.05002   6.55854     17.83095   7821.63482   -14.58649  0.56698   5336.7203  0.00038  59120.58539  52.01265   0.08434  19.92067  59198.66456 
    13.49997  1.88367  3.19108       0.23816         4294.33535  0.00831  0.01143     0.45895   7.96751     20.53406   7199.00554    -8.47806  0.99878  6116.16565  0.19002  59126.69381  52.15077   0.52695  19.96811  59211.91186 
    13.43808   1.3604  2.57872       0.23627         5592.69845   0.0011  0.01082     0.09512   8.37704     19.32464   8471.10367     -12.511  0.46899   4390.1874  0.01173  59122.66087  51.86771   0.07049  19.92753  59207.49609 
    13.37904  1.92425  3.58137       0.74431          3626.3009  0.02289  0.01006     0.08666  10.00493       17.776   7989.04642    -6.42907  1.54863  4669.30764  0.00033  59128.74281   51.9383    1.5269  19.92525  59225.15916 
    13.64184  1.73137  3.18204       0.08111          5135.7003  0.00313  0.03471     0.20642   2.33486      18.7806   9835.76807    -16.1767  0.50817  3507.03667  0.00335  59118.99517  51.52507   0.14307  20.05214  59230.65324 
    13.42797  1.76601  3.31139       4.55344          2840.8731  0.02246  0.01909     0.22654   8.34277     19.75526    3344.4457    -6.92362  0.89989  6565.38526  0.03162  59128.24826  52.21687   1.43906  20.04717  59220.74339 
    13.43778  1.94014   3.5852       2.06272         2544.19807  0.01165   0.0159     0.13788   7.66395     17.83503   3338.05983      -8.628  1.00108  5102.52558  0.00038  59126.54387  51.98952   0.73247  19.90072  59225.15916 
    13.26613  1.39226  2.72945       0.26752         3065.58896  0.00888  0.01342     0.43478   9.84786     20.22954   6325.20334    -8.01603  1.41837  5622.08517  0.09425  59127.15584   52.0981   0.59061  19.85917  59211.91186 
    13.37022  1.89178  3.46201       1.96924          4613.4397  0.00279  0.04267     0.44399   0.18253     18.15128   7010.74633    -5.57141  1.13712  1508.26549  0.00079  59129.60046  50.07718    0.0246  19.89308  59176.58573 
    13.56628  1.92278   3.4658       0.06386         4540.95993  0.00305  0.02091     0.12244   4.70414     17.85472   3020.33723   -14.08295  0.67316  3858.04208   0.0004  59121.08893  51.69495   0.17031  19.82495  59203.08033 
    13.67282  1.50414  3.06313       1.78477         3938.43312  0.00729  0.02366     0.16378   1.57885     17.60087   7529.42931   -12.18621   0.3805  2605.43788  0.00022  59122.98567   51.2095    0.2915  20.00919  59216.32762 
    13.43035  1.68294  3.34333       2.12007         4642.85957  0.00138  0.06097     0.32466    0.1989     18.53707    5974.1646    -7.19808  1.03507  1157.93236  0.00191   59127.9738  49.90491   0.01385  20.00824  59230.54947 
    13.75495  1.94099  3.48667       0.97413         2424.15192  0.00358  0.01095     0.10586   9.49172     17.43619   9770.67371    -9.88281  0.39072  4823.42486  0.00015  59125.28907  51.96152   0.23638  19.88251  59211.91186 
    13.67492  2.08342  3.97406       2.30128         4328.41052  0.00112  0.04935     0.14805   0.52818     17.00988   7997.57637    -8.88319  0.62238  1465.27144    6e-05  59126.28869  50.49071   0.02709  19.82661  59211.91186 
    13.97632  1.73105  3.33018       0.02913         3514.83367  0.46189  0.01586     0.28226   5.39406     18.67799   6125.42217    -5.06168  0.19534   6860.7233  0.00265  59130.11019  52.21009  26.68451  19.85713  59211.91186 
    13.39646  1.85531  3.22397       0.11451         2567.29015  0.00159  0.02902     0.11357   4.30718     18.83268    4856.6831   -18.95547  0.86794  4128.86589  0.00378  59116.21641  51.74383   0.08694  19.80863  59203.08033 
     13.5899  1.99763  3.70138       0.11681         2658.40118  0.00694  0.01838     0.22176   6.58643     19.59374   7541.04328     -8.6043  0.85332  5897.75103   0.0218  59126.56758  52.09991   0.42071  19.79202  59203.08033 
    13.96729  1.62699  3.43399       1.06302         3198.98789  0.00316  0.01706     0.40815   5.19235     17.18831   8825.20032   -14.47456   0.2643  4416.02178    9e-05  59120.69731  51.82325   0.18095  19.95534  59203.08033 
    13.25998  1.52048   3.0008       0.65776         4496.30704   0.0039   0.0132     0.12148   4.27325     19.52408   9241.47698    -9.99979  1.47073  3296.13489  0.01857  59125.17208  51.54727   0.21226  19.86033  59203.08033 
    13.43024  1.59979  3.28813       0.59365         3004.68935  0.01325  0.01186     0.24832   9.81176     16.49573   7214.97782    -9.22741  0.94974  5422.39948    2e-05  59125.94447  52.06634   0.88016  20.00215  59230.54947 
    13.27967  1.80221  3.16779       0.06636         2223.04065  0.00131  0.01013     0.07902   9.55474     17.76657   6866.05243   -10.75346  1.38317    4750.837  0.00032  59124.41842  51.94898   0.08624  19.87615  59220.74339 
    13.72226  1.67876  3.16127       0.14118         4170.66762  0.04352  0.01221     0.07333  10.75357     19.22482   6820.96483     -8.2688  0.35101  5052.40344  0.00932  59126.90307  52.01354   2.94847  19.89874  59207.49609 
    13.30835  1.48488  2.90886       0.04124         5779.77895  0.00233  0.01104     0.12281   8.75539     18.64576   9364.99748   -11.49009  1.07636  4137.36197  0.00246  59123.68179   51.8205   0.15123  20.03437  59220.74339 
    13.48159  1.91607  3.66346       0.36647         4891.45491  0.00465  0.01511     0.43771   5.19344     19.28685   3374.10903    -9.65357  1.49807    5158.583  0.01075   59125.5183  51.95827   0.26598  19.88865  59220.74339 
    13.69634  1.93712  3.68629       0.29277         2811.66958  0.09123   0.0212     0.40214    5.3702     17.70735   6801.96761    -12.0478  0.56932  6370.97956  0.00028  59123.12408  52.14528    5.2649  19.92638  59216.32762 
    13.72272  1.58593   3.2418       0.72615         5062.63787    0.003  0.02156     0.33749   2.16967     17.48049   9152.62877    -9.12426  0.38753   4148.5605  0.00017  59126.04762  51.66078   0.13398  19.82009  59203.08033 
    13.97365  1.84919  3.34943       0.57738         3392.00083  0.00748  0.01496     0.15018   6.66416     17.40167   7091.04095    -7.84863  0.22305  6073.34962  0.00014  59127.32325  52.12661   0.45504  20.08508  59233.99069 
