       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 59271.548    99.0    99.0    99.0  4735.89     3631.0  g-FLWO 
 59271.548    99.0    99.0    99.0  4746.48     3631.0   g-P48 
 59271.548    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59271.548    99.0    99.0    99.0  6198.96     3631.0  r-FLWO 
 59271.548    99.0    99.0    99.0  6366.38     3631.0   r-P48 
 59271.548    99.0    99.0    99.0  6629.82     3631.0  orange 
 59271.548    99.0    99.0    99.0  7503.03     3631.0   i-PS1 
 59271.548    99.0    99.0    99.0  7645.77     3631.0  i-FLWO 
 59274.972    99.0    99.0  26.549  4746.48     3631.0   g-P48 
 59274.972    99.0    99.0  26.551  5182.42     3631.0    cyan 
 59274.972    99.0    99.0  26.556  4735.89     3631.0  g-FLWO 
 59274.972    99.0    99.0  26.619  6198.96     3631.0  r-FLWO 
 59274.972    99.0    99.0  26.628  6366.38     3631.0   r-P48 
 59274.972    99.0    99.0  26.658  6629.82     3631.0  orange 
 59274.972    99.0    99.0  26.738  7645.77     3631.0  i-FLWO 
 59274.972    99.0    99.0  26.751  7503.03     3631.0   i-PS1 
 59278.396    99.0  24.501  23.074  4735.89     3631.0  g-FLWO 
 59278.396    99.0   24.52  23.084  4746.48     3631.0   g-P48 
 59278.396    99.0  24.557  23.111  5182.42     3631.0    cyan 
 59278.396    99.0  24.662   23.18  6198.96     3631.0  r-FLWO 
 59278.396    99.0  24.675  23.184  6366.38     3631.0   r-P48 
 59278.396    99.0  24.711  23.209  6629.82     3631.0  orange 
 59278.396    99.0  24.806  23.279  7645.77     3631.0  i-FLWO 
 59278.396    99.0   24.82  23.293  7503.03     3631.0   i-PS1 
 59280.311  24.298  23.078  22.277  4735.89     3631.0  g-FLWO 
 59280.311   24.32  23.096  22.283  4746.48     3631.0   g-P48 
 59280.311  24.361  23.121  22.311  5182.42     3631.0    cyan 
 59280.311  24.476  23.202  22.408  6198.96     3631.0  r-FLWO 
 59280.311  24.491  23.213  22.417  6366.38     3631.0   r-P48 
 59280.311  24.529  23.245  22.446  6629.82     3631.0  orange 
 59280.311  24.631  23.331  22.518  7645.77     3631.0  i-FLWO 
 59280.311  24.645  23.344   22.53  7503.03     3631.0   i-PS1 
 59280.371  24.233  23.043  22.258  4735.89     3631.0  g-FLWO 
 59280.371  24.255  23.062  22.264  4746.48     3631.0   g-P48 
 59280.371  24.296  23.088  22.291  5182.42     3631.0    cyan 
 59280.371  24.411  23.172  22.388  6198.96     3631.0  r-FLWO 
 59280.371  24.426  23.183  22.397  6366.38     3631.0   r-P48 
 59280.371  24.464  23.215  22.426  6629.82     3631.0  orange 
 59280.371  24.565  23.301  22.498  7645.77     3631.0  i-FLWO 
 59280.371  24.579  23.314   22.51  7503.03     3631.0   i-PS1 
  59281.82  23.081  22.384  21.851  4735.89     3631.0  g-FLWO 
  59281.82  23.101  22.401   21.86  4746.48     3631.0   g-P48 
  59281.82  23.145  22.441  21.877  5182.42     3631.0    cyan 
  59281.82  23.256  22.535  21.957  6198.96     3631.0  r-FLWO 
  59281.82  23.269  22.544  21.966  6366.38     3631.0   r-P48 
  59281.82  23.302  22.574  21.999  6629.82     3631.0  orange 
  59281.82  23.396  22.664  22.073  7645.77     3631.0  i-FLWO 
  59281.82   23.41  22.678  22.086  7503.03     3631.0   i-PS1 
 59285.243  21.731   21.41  21.151  4735.89     3631.0  g-FLWO 
 59285.243  21.751  21.415  21.164  4746.48     3631.0   g-P48 
 59285.243  21.791  21.445  21.191  5182.42     3631.0    cyan 
 59285.243  21.896  21.556  21.278  6198.96     3631.0  r-FLWO 
 59285.243  21.907  21.568  21.286  6366.38     3631.0   r-P48 
 59285.243  21.939  21.602  21.312  6629.82     3631.0  orange 
 59285.243  22.024  21.695  21.382  7645.77     3631.0  i-FLWO 
 59285.243  22.038  21.709  21.395  7503.03     3631.0   i-PS1 
 59288.463  21.043  20.878  20.726  4735.89     3631.0  g-FLWO 
 59288.463  21.059  20.889  20.738  4746.48     3631.0   g-P48 
 59288.463   21.09  20.905  20.752  5182.42     3631.0    cyan 
 59288.463  21.181  20.979  20.822  6198.96     3631.0  r-FLWO 
 59288.463  21.196  20.992  20.826  6366.38     3631.0   r-P48 
 59288.463  21.229  21.032  20.852  6629.82     3631.0  orange 
 59288.463   21.32  21.121  20.922  7645.77     3631.0  i-FLWO 
 59288.463  21.334  21.134  20.935  7503.03     3631.0   i-PS1 
 59288.667  21.009  20.851  20.702  4735.89     3631.0  g-FLWO 
 59288.667  21.027  20.863  20.715  4746.48     3631.0   g-P48 
 59288.667  21.057  20.878  20.728  5182.42     3631.0    cyan 
 59288.667  21.146  20.952  20.795  6198.96     3631.0  r-FLWO 
 59288.667   21.16  20.962    20.8  6366.38     3631.0   r-P48 
 59288.667  21.193    21.0  20.825  6629.82     3631.0  orange 
 59288.667  21.284  21.091  20.897  7645.77     3631.0  i-FLWO 
 59288.667  21.298  21.104   20.91  7503.03     3631.0   i-PS1 
  59290.37  20.754  20.655  20.525  4735.89     3631.0  g-FLWO 
  59290.37  20.773  20.667  20.535  4746.48     3631.0   g-P48 
  59290.37  20.798  20.671  20.552  5182.42     3631.0    cyan 
  59290.37  20.897   20.74  20.603  6198.96     3631.0  r-FLWO 
  59290.37  20.909  20.748  20.609  6366.38     3631.0   r-P48 
  59290.37  20.939  20.778  20.635  6629.82     3631.0  orange 
  59290.37  21.025  20.865  20.711  7645.77     3631.0  i-FLWO 
  59290.37  21.039  20.878  20.724  7503.03     3631.0   i-PS1 
  59290.41  20.748  20.651  20.521  4735.89     3631.0  g-FLWO 
  59290.41  20.767  20.662  20.531  4746.48     3631.0   g-P48 
  59290.41  20.792  20.667  20.548  5182.42     3631.0    cyan 
  59290.41  20.891  20.735  20.599  6198.96     3631.0  r-FLWO 
