# STATUS =
# OBJECT = 2021hpx
# TELESCOPE = FTN
# INSTRUMENT = FLOYDS-N
# DATE-OBS = 2021-04-14 00:00:00.00
# MJD = 59317.99
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 2.641271e+00
3010.000000 2.604755e+00
3020.000000 2.527792e+00
3030.000000 2.600719e+00
3040.000000 2.682799e+00
3050.000000 2.656242e+00
3060.000000 2.584448e+00
3070.000000 2.542572e+00
3080.000000 2.522605e+00
3090.000000 2.466121e+00
3100.000000 2.405065e+00
3110.000000 2.410206e+00
3120.000000 2.312285e+00
3130.000000 2.130333e+00
3140.000000 2.216065e+00
3150.000000 2.303687e+00
3160.000000 2.313318e+00
3170.000000 2.340090e+00
3180.000000 2.277163e+00
3190.000000 2.224197e+00
3200.000000 2.215162e+00
3210.000000 2.159367e+00
3220.000000 2.248038e+00
3230.000000 2.150027e+00
3240.000000 2.077812e+00
3250.000000 2.221889e+00
3260.000000 2.250999e+00
3270.000000 2.207596e+00
3280.000000 2.275081e+00
3290.000000 2.307602e+00
3300.000000 2.262615e+00
3310.000000 2.243811e+00
3320.000000 2.288222e+00
3330.000000 2.298388e+00
3340.000000 2.324835e+00
3350.000000 2.336110e+00
3360.000000 2.339097e+00
3370.000000 2.334255e+00
3380.000000 2.280256e+00
3390.000000 2.253828e+00
3400.000000 2.252407e+00
3410.000000 2.223591e+00
3420.000000 2.236239e+00
3430.000000 2.236487e+00
3440.000000 2.199055e+00
3450.000000 2.231320e+00
3460.000000 2.290498e+00
3470.000000 2.232127e+00
3480.000000 2.229459e+00
3490.000000 2.280533e+00
3500.000000 2.282964e+00
3510.000000 2.300063e+00
3520.000000 2.354726e+00
3530.000000 2.302622e+00
3540.000000 2.249768e+00
3550.000000 2.220378e+00
3560.000000 2.230050e+00
3570.000000 2.298773e+00
3580.000000 2.255379e+00
3590.000000 2.243307e+00
3600.000000 2.254879e+00
3610.000000 2.222906e+00
3620.000000 2.202010e+00
3630.000000 2.146101e+00
3640.000000 2.109826e+00
3650.000000 2.118433e+00
3660.000000 2.260379e+00
3670.000000 2.386650e+00
3680.000000 2.278587e+00
3690.000000 2.231459e+00
3700.000000 2.195715e+00
3710.000000 2.103186e+00
3720.000000 2.118649e+00
3730.000000 2.087031e+00
3740.000000 2.039397e+00
3750.000000 1.970642e+00
3760.000000 1.902359e+00
3770.000000 1.924328e+00
3780.000000 1.913954e+00
3790.000000 1.937234e+00
3800.000000 1.971312e+00
3810.000000 1.975799e+00
3820.000000 1.992891e+00
3830.000000 1.971582e+00
3840.000000 1.963630e+00
3850.000000 1.974076e+00
3860.000000 1.984290e+00
3870.000000 1.944176e+00
3880.000000 1.941796e+00
3890.000000 1.949227e+00
3900.000000 1.925143e+00
3910.000000 1.953664e+00
3920.000000 1.927484e+00
3930.000000 1.873402e+00
3940.000000 1.835893e+00
3950.000000 1.837918e+00
3960.000000 1.851536e+00
3970.000000 1.875002e+00
3980.000000 1.914175e+00
3990.000000 1.930720e+00
4000.000000 1.904763e+00
4010.000000 1.876116e+00
4020.000000 1.906890e+00
4030.000000 1.929632e+00
4040.000000 1.921153e+00
4050.000000 1.866428e+00
4060.000000 1.825020e+00
4070.000000 1.859097e+00
4080.000000 1.863221e+00
4090.000000 1.783940e+00
4100.000000 1.703251e+00
4110.000000 1.614517e+00
4120.000000 1.557839e+00
4130.000000 1.523772e+00
4140.000000 1.545101e+00
4150.000000 1.519752e+00
4160.000000 1.499459e+00
4170.000000 1.529436e+00
4180.000000 1.522800e+00
4190.000000 1.487918e+00
4200.000000 1.476052e+00
4210.000000 1.487581e+00
4220.000000 1.467879e+00
4230.000000 1.441227e+00
4240.000000 1.449535e+00
4250.000000 1.442983e+00
4260.000000 1.427426e+00
4270.000000 1.462886e+00
4280.000000 1.517715e+00
4290.000000 1.507297e+00
4300.000000 1.464961e+00
4310.000000 1.430051e+00
4320.000000 1.419709e+00
4330.000000 1.422091e+00
4340.000000 1.415297e+00
4350.000000 1.405699e+00
4360.000000 1.404396e+00
4370.000000 1.415602e+00
4380.000000 1.387247e+00
4390.000000 1.419639e+00
4400.000000 1.419308e+00
4410.000000 1.388452e+00
4420.000000 1.398307e+00
4430.000000 1.408264e+00
4440.000000 1.388673e+00
4450.000000 1.352995e+00
4460.000000 1.392277e+00
4470.000000 1.415900e+00
4480.000000 1.430282e+00
4490.000000 1.433830e+00
4500.000000 1.398458e+00
4510.000000 1.416116e+00
4520.000000 1.443061e+00
4530.000000 1.440548e+00
4540.000000 1.443842e+00
4550.000000 1.440412e+00
4560.000000 1.426092e+00
4570.000000 1.396517e+00
4580.000000 1.445263e+00
4590.000000 1.587798e+00
4600.000000 1.522453e+00
4610.000000 1.411773e+00
4620.000000 1.435847e+00
4630.000000 1.410282e+00
4640.000000 1.397844e+00
4650.000000 1.385956e+00
4660.000000 1.368960e+00
4670.000000 1.356484e+00
4680.000000 1.358034e+00
4690.000000 1.348616e+00
4700.000000 1.330126e+00
4710.000000 1.330004e+00
4720.000000 1.303601e+00
4730.000000 1.272123e+00
4740.000000 1.262687e+00
4750.000000 1.261135e+00
4760.000000 1.239185e+00
4770.000000 1.207539e+00
4780.000000 1.188272e+00
4790.000000 1.177415e+00
4800.000000 1.152082e+00
4810.000000 1.118286e+00
4820.000000 1.112450e+00
4830.000000 1.142783e+00
4840.000000 1.128037e+00
4850.000000 1.114067e+00
4860.000000 1.106782e+00
4870.000000 1.082839e+00
4880.000000 1.058949e+00
4890.000000 1.044075e+00
4900.000000 1.030599e+00
4910.000000 1.034002e+00
4920.000000 1.046136e+00
4930.000000 1.036207e+00
4940.000000 1.034734e+00
4950.000000 1.046509e+00
4960.000000 1.039842e+00
