       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 59333.694     99.0     99.0     99.0   3608.04     3631.0       u 
 59334.945     99.0     99.0     99.0   3608.04     3631.0       u 
 59336.197     99.0     99.0   -9.083   3608.04     3631.0       u 
 59337.448     99.0     99.0   -13.87   3608.04     3631.0       u 
   59338.7   -5.969  -13.103  -15.145   3608.04     3631.0       u 
 59339.952  -13.829  -14.936  -15.923   3608.04     3631.0       u 
 59341.203  -15.257  -15.884  -16.531   3608.04     3631.0       u 
 59342.455  -16.055  -16.449  -16.983   3608.04     3631.0       u 
 59343.706  -16.585  -16.924  -17.331   3608.04     3631.0       u 
 59344.332  -16.804  -17.131  -17.487   3608.04     3631.0       u 
 59344.958  -17.016  -17.311   -17.62   3608.04     3631.0       u 
 59346.209  -17.347  -17.619  -17.866   3608.04     3631.0       u 
 59347.461  -17.624  -17.866  -18.102   3608.04     3631.0       u 
 59348.712  -17.873  -18.086  -18.291   3608.04     3631.0       u 
 59349.964  -18.088  -18.284   -18.46   3608.04     3631.0       u 
 59351.216  -18.279  -18.455  -18.616   3608.04     3631.0       u 
 59352.467  -18.449  -18.608  -18.777   3608.04     3631.0       u 
 59353.719    -18.6  -18.752  -18.908   3608.04     3631.0       u 
  59354.97  -18.742  -18.877  -19.026   3608.04     3631.0       u 
 59356.222  -18.865  -18.994  -19.135   3608.04     3631.0       u 
 59357.473  -18.979  -19.097  -19.228   3608.04     3631.0       u 
 59358.725  -19.086  -19.195  -19.323   3608.04     3631.0       u 
 59359.977  -19.182  -19.282   -19.41   3608.04     3631.0       u 
 59361.228  -19.269  -19.366  -19.487   3608.04     3631.0       u 
  59362.48  -19.351  -19.441  -19.556   3608.04     3631.0       u 
 59363.731  -19.427   -19.51  -19.623   3608.04     3631.0       u 
 59364.983  -19.495  -19.576  -19.686   3608.04     3631.0       u 
 59366.234  -19.556   -19.64  -19.744   3608.04     3631.0       u 
 59367.486  -19.615  -19.696  -19.796   3608.04     3631.0       u 
 59368.738  -19.671  -19.747  -19.845   3608.04     3631.0       u 
 59369.989  -19.725    -19.8  -19.894   3608.04     3631.0       u 
 59371.241  -19.771  -19.846  -19.939   3608.04     3631.0       u 
 59372.492   -19.81  -19.889  -19.982   3608.04     3631.0       u 
 59373.744  -19.848  -19.928  -20.022   3608.04     3631.0       u 
 59374.995  -19.886  -19.964   -20.06   3608.04     3631.0       u 
 59376.247  -19.922  -20.001  -20.093   3608.04     3631.0       u 
 59377.498  -19.956  -20.034  -20.125   3608.04     3631.0       u 
  59378.75  -19.986  -20.063  -20.154   3608.04     3631.0       u 
 59380.002  -20.005   -20.09   -20.18   3608.04     3631.0       u 
 59381.253  -20.028  -20.115  -20.205   3608.04     3631.0       u 
 59382.505  -20.052  -20.137  -20.227   3608.04     3631.0       u 
 59383.756  -20.073  -20.158  -20.247   3608.04     3631.0       u 
 59385.008  -20.092  -20.176  -20.265   3608.04     3631.0       u 
 59386.259  -20.108  -20.193  -20.282   3608.04     3631.0       u 
 59387.511  -20.123  -20.208  -20.296   3608.04     3631.0       u 
 59388.763  -20.136  -20.222  -20.309   3608.04     3631.0       u 
 59390.014  -20.147  -20.234   -20.32   3608.04     3631.0       u 
 59391.266  -20.158  -20.244  -20.329   3608.04     3631.0       u 
 59392.517  -20.167  -20.251  -20.337   3608.04     3631.0       u 
 59393.769  -20.175  -20.258  -20.343   3608.04     3631.0       u 
  59395.02  -20.181  -20.263  -20.349   3608.04     3631.0       u 
 59396.272  -20.185  -20.268  -20.353   3608.04     3631.0       u 
 59397.523  -20.187   -20.27  -20.357   3608.04     3631.0       u 
 59398.775  -20.189   -20.27  -20.359   3608.04     3631.0       u 
 59400.027  -20.189  -20.269  -20.358   3608.04     3631.0       u 
 59401.278  -20.188  -20.267  -20.356   3608.04     3631.0       u 
  59402.53  -20.183  -20.262  -20.352   3608.04     3631.0       u 
 59403.781  -20.178  -20.256  -20.348   3608.04     3631.0       u 
 59405.033  -20.173  -20.249  -20.343   3608.04     3631.0       u 
 59406.284  -20.166   -20.24  -20.336   3608.04     3631.0       u 
 59407.536  -20.159   -20.23  -20.328   3608.04     3631.0       u 
 59408.788  -20.151  -20.219  -20.318   3608.04     3631.0       u 
 59410.039   -20.14  -20.207  -20.308   3608.04     3631.0       u 
 59411.291  -20.126  -20.193  -20.297   3608.04     3631.0       u 
 59412.542  -20.111  -20.179  -20.285   3608.04     3631.0       u 
 59413.794  -20.099  -20.162  -20.271   3608.04     3631.0       u 
 59415.045  -20.086  -20.145  -20.257   3608.04     3631.0       u 
 59416.297   -20.07  -20.126   -20.24   3608.04     3631.0       u 
 59417.549   -20.05  -20.107  -20.222   3608.04     3631.0       u 
   59418.8  -20.033  -20.087  -20.203   3608.04     3631.0       u 
 59420.052  -20.013  -20.069  -20.182   3608.04     3631.0       u 
 59421.303  -19.992  -20.048  -20.161   3608.04     3631.0       u 
 59422.555  -19.968  -20.027   -20.14   3608.04     3631.0       u 
 59423.806  -19.945  -20.002  -20.118   3608.04     3631.0       u 
 59425.058  -19.918  -19.977  -20.096   3608.04     3631.0       u 
 59426.309  -19.893  -19.953  -20.073   3608.04     3631.0       u 
 59427.561  -19.868  -19.926  -20.048   3608.04     3631.0       u 
 59428.813  -19.839  -19.899  -20.022   3608.04     3631.0       u 
 59430.064   -19.81  -19.872  -19.998   3608.04     3631.0       u 
 59431.316  -19.781  -19.845  -19.969   3608.04     3631.0       u 
 59432.567  -19.755  -19.816  -19.938   3608.04     3631.0       u 
 59433.819  -19.722  -19.785  -19.907   3608.04     3631.0       u 
  59435.07  -19.689  -19.756  -19.876   3608.04     3631.0       u 
 59436.322  -19.657  -19.726  -19.847   3608.04     3631.0       u 
 59437.574  -19.622  -19.694  -19.817   3608.04     3631.0       u 
 59438.825  -19.585  -19.662  -19.786   3608.04     3631.0       u 
