          MJD      Mag      Raw  MagErr  Telescope  Instrument  Filter     UL  System  Ignore               Source 
 59343.601374  19.5861  19.7185    -1.0      ATLAS       ATLAS    cyan   True      AB    True  2018PASP..130f4505T 
 59349.591247  20.0783  20.1752    -1.0      ATLAS       ATLAS  orange   True      AB   False  2018PASP..130f4505T 
 59353.580819  19.0422   19.139    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59359.604179  19.3642   19.461    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59364.580539  19.4624  19.5592    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59367.576234  19.4634  19.5603    -1.0      ATLAS       ATLAS  orange   True      AB    True  2018PASP..130f4505T 
 59373.404178  20.3183  20.4219  0.2556        P48         ZTF       r  False      AB   False                  ZTF 
 59373.440613  19.8084  19.9576  0.1756        P48         ZTF       g  False      AB   False                  ZTF 
 59375.414236  19.9401  20.0437  0.1841        P48         ZTF       r  False      AB   False                  ZTF 
 59375.432708   19.852  20.0012   0.182        P48         ZTF       g  False      AB   False                  ZTF 
  59377.43265  19.8389  19.9425  0.1243        P48         ZTF       r  False      AB   False                  ZTF 
 59377.455486  19.6859  19.8352  0.1536        P48         ZTF       g  False      AB   False                  ZTF 
 59377.587726  19.5959  19.7282  0.1544      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 59380.425729  17.9159  18.0652    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 59380.452361    18.05  18.1536    -1.0        P48         ZTF       r   True      AB    True                  ZTF 
 59381.583521  19.5176  19.6499  0.1405      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
 59383.561709   19.746  19.8429  0.2791      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
  59384.36177  19.6348  19.7383  0.2113        P48         ZTF       r  False      AB   False                  ZTF 
 59384.385567  19.4773  19.6266  0.2715        P48         ZTF       g  False      AB   False                  ZTF 
 59386.380949  19.3882  19.4918  0.2578        P48         ZTF       r  False      AB   False                  ZTF 
 59386.457743  19.3218  19.4711  0.1455        P48         ZTF       g  False      AB   False                  ZTF 
    59386.554   19.499    19.61    0.03        PS1        GPC1       w  False      AB   False                  TNS 
 59386.574167  19.5201  19.6169  0.2402      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59387.587941  19.4336  19.5305  0.1959      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59388.526303  19.4527  19.5495  0.2393      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59389.552545  19.7168  19.8137  0.3262      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59390.529864  19.5727  19.6695  0.3463      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59391.403425  19.2419  19.3455  0.1876        P48         ZTF       r  False      AB   False                  ZTF 
 59391.442199  19.2083  19.3576  0.2228        P48         ZTF       g  False      AB   False                  ZTF 
 59393.366585  18.8695  19.0188    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 59393.458425   19.371  19.4745  0.1234        P48         ZTF       r  False      AB   False                  ZTF 
 59393.594125  19.5777  19.6745   0.257      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59396.402338   19.469  19.5726  0.1515        P48         ZTF       r  False      AB   False                  ZTF 
 59396.434398  19.1236  19.2729  0.1611        P48         ZTF       g  False      AB   False                  ZTF 
 59396.607249  19.3757  19.4725  0.2064      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59397.596073   19.558  19.6548  0.2286      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59399.385208  19.3633  19.4669  0.0923        P48         ZTF       r  False      AB   False                  ZTF 
 59399.416597  16.9433  17.0926    -1.0        P48         ZTF       g   True      AB    True                  ZTF 
 59400.538703  19.4746  19.5714  0.1935      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
 59401.435659  19.4457  19.5493  0.1314        P48         ZTF       r  False      AB   False                  ZTF 
 59403.399143  19.3211  19.4704  0.1308        P48         ZTF       g  False      AB   False                  ZTF 
 59403.422071  19.4421  19.5457  0.1002        P48         ZTF       r  False      AB   False                  ZTF 
 59403.577346  19.4808  19.6131  0.1434      ATLAS       ATLAS    cyan  False      AB   False  2018PASP..130f4505T 
   59404.5311  19.4424  19.5392  0.1889      ATLAS       ATLAS  orange  False      AB   False  2018PASP..130f4505T 
  59405.42368  19.4627  19.5662  0.0949        P48         ZTF       r  False      AB   False                  ZTF 
