# STATUS =
# OBJECT = 2021uvy
# TELESCOPE = Clay
# INSTRUMENT = LDSS3-C
# DATE-OBS = 2021-09-08
# MJD = 59465.321573
# EXPTIME = 1620.0
# AIRMASS = 1.489
# SLIT = 1.0
# DISPERSER = VPH-All
# SOURCE = FLEET
# FILTER = Open
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = False
# PHOTOMETRY_CALIBRATED = False
# TELLURIC_CORRECTED = False
# FLUX_UNITS = erg / (s cm2 AA)
# WAVE_UNITS = AA
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
  Wavelength           Flux 
 3618.644195   1.055653e-15 
 3620.596518   6.221806e-16 
 3622.548921   7.854183e-17 
 3624.501403   4.935665e-16 
 3626.453964   1.372642e-15 
 3628.406604   5.998844e-16 
 3630.359324   6.131565e-16 
 3632.312123   4.350253e-17 
 3634.265001   4.666501e-16 
 3636.217958   1.027515e-15 
 3638.170994  -1.815509e-16 
  3640.12411   2.201575e-15 
 3642.077305    8.72234e-16 
 3644.030578   1.281492e-15 
 3645.983931   1.985705e-16 
 3647.937363  -6.249299e-17 
 3649.890874   3.302373e-16 
 3651.844464   5.830445e-16 
 3653.798133   3.680958e-16 
  3655.75188   1.778207e-16 
 3657.705707  -1.880939e-16 
 3659.659613   6.540659e-16 
 3661.613597    1.64688e-16 
  3663.56766   8.480447e-16 
 3665.521802   9.536144e-16 
 3667.476023   8.676332e-16 
 3669.430323   1.918167e-16 
 3671.384701   7.820412e-16 
 3673.339158  -6.558078e-17 
 3675.293694  -1.220795e-16 
 3677.248309   8.871615e-18 
 3679.203002   4.891525e-16 
 3681.157773   1.289288e-16 
 3683.112624   5.514784e-16 
 3685.067552    2.99333e-16 
  3687.02256   7.649087e-16 
 3688.977646  -3.656017e-16 
  3690.93281  -2.455693e-16 
 3692.888053    8.43184e-16 
 3694.843374   7.532423e-16 
 3696.798774  -8.485126e-18 
 3698.754252   3.481781e-16 
 3700.709808   9.037566e-16 
 3702.665443   5.723622e-16 
 3704.621156   4.889577e-16 
 3706.576947   1.850868e-16 
 3708.532817   4.764498e-16 
 3710.488765   1.887996e-16 
 3712.444791   8.437632e-16 
 3714.400895   3.696392e-16 
 3716.357078    1.73065e-17 
 3718.313338   2.250574e-16 
 3720.269677   1.319707e-16 
 3722.226094   9.201233e-19 
 3724.182588   4.210113e-16 
 3726.139161   4.193465e-16 
 3728.095812  -2.611411e-17 
 3730.052541    2.26649e-16 
 3732.009348   1.371525e-16 
 3733.966232   5.833356e-16 
 3735.923195   8.480487e-17 
 3737.880236   3.329849e-16 
 3739.837354   1.209283e-16 
  3741.79455   9.708669e-17 
 3743.751824   2.757434e-16 
 3745.709176   5.354464e-16 
 3747.666606   1.903579e-16 
 3749.624113   -4.72053e-17 
 3751.581698   7.504294e-17 
 3753.539361   4.032306e-16 
 3755.497102  -2.650008e-17 
  3757.45492   3.477797e-16 
 3759.412815  -8.025492e-18 
 3761.370789  -1.393948e-16 
 3763.328839   1.920127e-16 
 3765.286968   8.633659e-16 
 3767.245174    1.46624e-17 
 3769.203457   1.373615e-16 
 3771.161818   2.603602e-16 
 3773.120256   2.292717e-16 
 3775.078772  -2.969518e-18 
 3777.037365   7.377691e-16 
 3778.996035    1.87192e-16 
 3780.954783   1.743636e-16 
 3782.913608    3.11925e-16 
  3784.87251   3.146477e-17 
  3786.83149   2.019766e-16 
 3788.790547   1.841386e-16 
 3790.749681   3.021872e-16 
 3792.708892    5.24373e-16 
 3794.668181   4.808874e-16 
 3796.627546  -2.753469e-17 
 3798.586989  -6.563608e-17 
 3800.546509   8.423032e-17 
 3802.506106   3.073357e-16 
 3804.465779   8.672876e-17 
  3806.42553   2.387242e-16 
 3808.385358    5.20268e-17 
 3810.345263   3.340959e-16 
 3812.305245   1.114283e-16 
 3814.265304   2.733766e-18 
 3816.225439   9.314285e-17 
 3818.185652   3.705727e-16 
 3820.145941   3.150065e-16 
 3822.106307   2.807171e-16 
  3824.06675   7.740494e-17 
 3826.027269  -1.251134e-17 
 3827.987866   2.320492e-16 
 3829.948539   1.533691e-16 
 3831.909289   1.454393e-16 
 3833.870115   6.269282e-17 
 3835.831018   3.036421e-17 
 3837.791998   2.453101e-16 
 3839.753054   1.733666e-16 
 3841.714187   3.245767e-16 
 3843.675397   1.740609e-17 
 3845.636682   6.089388e-17 
 3847.598045   1.650518e-16 
 3849.559484   2.845777e-16 
 3851.520999   1.674732e-16 
 3853.482591   2.177775e-17 
 3855.444259    1.48659e-16 
 3857.406003    1.63066e-16 
 3859.367824   1.217988e-16 
 3861.329721   2.074643e-16 
 3863.291695     6.2197e-17 
 3865.253744   3.648515e-16 
  3867.21587   2.351551e-16 
 3869.178072   3.878613e-16 
 3871.140351   2.697556e-16 
 3873.102705   1.272828e-16 
 3875.065136    2.11014e-17 
 3877.027642    1.31776e-16 
 3878.990225  -7.133101e-17 
 3880.952884  -4.716451e-17 
 3882.915619   1.110329e-16 
  3884.87843   1.523085e-16 
 3886.841317   1.876827e-16 
  3888.80428   2.653049e-16 
 3890.767319   1.227913e-16 
 3892.730433   1.591165e-16 
 3894.693624   3.972836e-16 
 3896.656891   1.183054e-16 
 3898.620233   1.977851e-16 
 3900.583651    2.83001e-16 
 3902.547145   3.661542e-16 
 3904.510715   2.574774e-16 
  3906.47436   2.375257e-16 
 3908.438081   2.320667e-16 
 3910.401878   1.714493e-16 
 3912.365751   3.067584e-16 
 3914.329699   1.681997e-16 
 3916.293723    1.25854e-16 
 3918.257822   1.646672e-16 
 3920.221997   3.260394e-16 
 3922.186247   2.238852e-16 
 3924.150573   3.419075e-16 
 3926.114975   1.985446e-16 
 3928.079452   2.011828e-16 
 3930.044004  -1.032636e-17 
 3932.008632   2.887694e-16 
 3933.973335   5.692267e-17 
 3935.938114   4.236362e-17 
 3937.902967   5.579648e-17 
 3939.867897   1.353008e-16 
 3941.832901   7.870656e-17 
 3943.797981   1.311665e-16 
 3945.763136   2.574515e-16 
 3947.728366   1.227004e-16 
 3949.693671   8.900306e-17 
 3951.659052   1.378124e-16 
 3953.624508   1.779057e-16 
 3955.590039   1.438188e-16 
 3957.555644   1.070123e-16 
 3959.521325   9.992611e-17 
 3961.487081   6.814846e-17 
 3963.452912   1.197483e-16 
