# STATUS =
# OBJECT = 2021xfu
# TELESCOPE = TILLINGHAST
# INSTRUMENT = FAST
# DATE-OBS = 2022-03-01
# MJD = 59639.500891
# EXPTIME = 1800.0
# AIRMASS = 1.17
# SLIT = 3.0
# DISPERSER = 300
# SOURCE = FLEET
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = False
# PHOTOMETRY_CALIBRATED = False
# TELLURIC_CORRECTED = False
# FLUX_UNITS = erg / (s cm2 AA)
# WAVE_UNITS = AA
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
  Wavelength           Flux 
 3424.123432   1.149015e-16 
 3425.562944  -1.316861e-16 
 3427.002499   1.050208e-16 
 3428.442096  -5.227607e-17 
 3429.881736   1.000249e-16 
 3431.321419  -1.093197e-16 
 3432.761144   -4.34368e-17 
 3434.200913   2.339546e-16 
 3435.640723   1.031947e-16 
 3437.080576    2.13822e-16 
 3438.520472  -8.483982e-18 
  3439.96041    1.34442e-16 
 3441.400391  -9.259411e-17 
 3442.840414   7.607571e-18 
  3444.28048   4.053309e-16 
 3445.720588  -5.393545e-17 
 3447.160739  -7.786078e-17 
 3448.600932   1.248489e-16 
 3450.041167   9.560586e-17 
 3451.481444   6.558513e-17 
 3452.921764   1.030411e-16 
 3454.362127   1.427974e-16 
 3455.802531   2.896938e-16 
 3457.242978   1.029455e-16 
 3458.683467   1.856379e-16 
 3460.123998   1.516141e-16 
 3461.564571   2.146481e-16 
 3463.005187   1.897551e-16 
 3464.445844   5.571886e-18 
 3465.886544  -2.094823e-17 
 3467.327286  -7.804677e-17 
  3468.76807   1.482076e-14 
 3470.208896  -3.175849e-16 
 3471.649764   2.658178e-16 
 3473.090674   6.671963e-18 
 3474.531626   8.964733e-16 
  3475.97262   1.716294e-16 
 3477.413656   1.458722e-16 
 3478.854734  -3.799869e-17 
 3480.295854    1.19831e-16 
 3481.737015   3.667174e-16 
 3483.178219   3.069371e-16 
 3484.619464  -5.016137e-16 
 3486.060751   6.082247e-17 
  3487.50208  -1.448975e-16 
 3488.943451  -4.090922e-16 
 3490.384863   6.792781e-16 
 3491.826317  -1.104793e-16 
 3493.267813   5.260789e-16 
 3494.709351   2.826955e-16 
  3496.15093   6.996722e-17 
 3497.592551   4.998264e-16 
 3499.034213   6.340168e-16 
 3500.475917   3.695599e-16 
 3501.917662  -9.806225e-18 
  3503.35945   3.158309e-16 
 3504.801278   6.126686e-17 
 3506.243148   3.004378e-17 
  3507.68506  -2.251306e-16 
 3509.127013  -4.125433e-16 
 3510.569007   2.832087e-16 
 3512.011043  -4.641705e-16 
  3513.45312    2.95227e-16 
 3514.895239   8.522599e-17 
 3516.337399    1.42085e-16 
   3517.7796   1.544063e-16 
 3519.221843  -5.780107e-17 
 3520.664127   2.213742e-16 
 3522.106452  -4.760473e-16 
 3523.548818   3.237296e-16 
 3524.991226  -1.599108e-16 
 3526.433675  -1.978406e-16 
 3527.876165   9.577109e-17 
 3529.318696  -1.009224e-16 
 3530.761268   4.597314e-16 
 3532.203881   8.241888e-16 
 3533.646536   1.859055e-16 
 3535.089231   1.576199e-16 
 3536.531968   1.208781e-16 
 3537.974745  -1.361666e-16 
 3539.417564  -3.416996e-16 
 3540.860423  -2.020142e-16 
 3542.303323   2.955543e-16 
 3543.746265  -1.069869e-16 
 3545.189247  -1.311968e-17 
  3546.63227   6.981173e-17 
 3548.075334  -1.568948e-16 
 3549.518439  -2.638099e-17 
 3550.961585   1.341384e-17 
 3552.404771   1.197548e-16 
 3553.847998   1.188954e-16 
 3555.291266    -9.9008e-17 
 3556.734575   2.721738e-16 
 3558.177924   6.575094e-17 
 3559.621314  -1.010189e-16 
 3561.064745   3.918368e-17 
 3562.508216   1.269001e-16 
 3563.951728   1.572061e-16 
 3565.395281  -1.423292e-16 
 3566.838874  -1.596694e-16 
 3568.282507  -2.388313e-16 
 3569.726181   7.808123e-17 
 3571.169896    1.60183e-16 
 3572.613651    3.42768e-17 
 3574.057447  -3.894805e-17 
