# STATUS =
# OBJECT = 2021zcl
# TELESCOPE = Baade
# INSTRUMENT = IMACS
# DATE-OBS = 2022-01-05
# MJD = 59584.23
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 nan
3520.000000 nan
3530.000000 nan
3540.000000 nan
3550.000000 nan
3560.000000 nan
3570.000000 nan
3580.000000 nan
3590.000000 nan
3600.000000 nan
3610.000000 nan
3620.000000 nan
3630.000000 nan
3640.000000 nan
3650.000000 nan
3660.000000 nan
3670.000000 nan
3680.000000 nan
3690.000000 nan
3700.000000 nan
3710.000000 nan
3720.000000 nan
3730.000000 nan
3740.000000 nan
3750.000000 nan
3760.000000 1.213415e+00
3770.000000 1.053227e+00
3780.000000 1.086150e+00
3790.000000 1.172751e+00
3800.000000 9.235535e-01
3810.000000 7.773078e-01
3820.000000 8.761801e-01
3830.000000 9.449865e-01
3840.000000 9.968961e-01
3850.000000 1.034829e+00
3860.000000 1.170896e+00
3870.000000 1.443281e+00
3880.000000 1.537310e+00
3890.000000 1.582785e+00
3900.000000 1.627573e+00
3910.000000 1.445341e+00
3920.000000 1.780493e+00
3930.000000 1.816039e+00
3940.000000 1.684776e+00
3950.000000 1.625689e+00
3960.000000 1.780957e+00
3970.000000 1.854384e+00
3980.000000 1.900359e+00
3990.000000 1.937083e+00
4000.000000 2.043785e+00
4010.000000 2.042419e+00
4020.000000 1.924981e+00
4030.000000 1.803736e+00
4040.000000 1.685099e+00
4050.000000 1.689874e+00
4060.000000 1.641209e+00
4070.000000 1.593862e+00
4080.000000 1.549108e+00
4090.000000 1.607372e+00
4100.000000 1.653871e+00
4110.000000 1.635941e+00
4120.000000 1.738783e+00
4130.000000 1.673490e+00
4140.000000 1.599752e+00
4150.000000 1.546001e+00
4160.000000 1.393743e+00
4170.000000 1.495063e+00
4180.000000 1.490354e+00
4190.000000 1.480631e+00
4200.000000 1.420987e+00
4210.000000 1.509024e+00
4220.000000 1.440224e+00
4230.000000 1.464786e+00
4240.000000 1.401013e+00
4250.000000 1.485177e+00
4260.000000 1.405943e+00
4270.000000 1.472906e+00
4280.000000 1.492705e+00
4290.000000 1.438884e+00
4300.000000 1.425640e+00
4310.000000 1.474318e+00
4320.000000 1.440462e+00
4330.000000 1.496270e+00
4340.000000 1.423064e+00
4350.000000 1.446493e+00
4360.000000 1.436003e+00
4370.000000 1.432571e+00
4380.000000 1.381588e+00
4390.000000 1.394676e+00
4400.000000 1.362844e+00
4410.000000 1.347845e+00
4420.000000 1.319233e+00
4430.000000 1.378077e+00
4440.000000 1.315499e+00
4450.000000 1.331126e+00
4460.000000 1.471770e+00
4470.000000 1.464752e+00
4480.000000 1.481304e+00
4490.000000 1.567389e+00
4500.000000 1.632801e+00
4510.000000 1.633060e+00
4520.000000 1.622095e+00
4530.000000 1.670818e+00
4540.000000 1.766170e+00
4550.000000 1.762613e+00
4560.000000 1.852227e+00
4570.000000 1.845285e+00
4580.000000 1.877795e+00
4590.000000 1.915618e+00
4600.000000 1.918573e+00
4610.000000 1.991644e+00
4620.000000 1.961865e+00
4630.000000 1.963568e+00
4640.000000 1.824735e+00
4650.000000 1.840039e+00
4660.000000 1.752140e+00
4670.000000 1.723192e+00
4680.000000 1.711458e+00
4690.000000 1.707192e+00
