 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.77216  1.97724    8.3106       4.01539         3206.24895  0.00555  0.04519     0.33821   3.26806     20.80693   7933.12525    -7.96673  0.42959   8158.39349  0.35617  59892.18266  52.30235   0.28062  18.26056  59913.62243 
    14.62623  1.99278  11.44254       4.32449         4333.14164  0.00249  0.02072     0.41281   0.78878     18.77851   4722.47405    -4.75425  0.93624   1188.24678  0.00334  59895.39515  50.40211   0.07466  18.13809  59913.62243 
     14.7809  1.68619    9.6818       2.71026         4494.52144  0.00282  0.02718     0.15987   1.79179     17.52498   8974.70283    -4.97764  0.41078   4265.93515  0.00019  59895.17176  51.65719   0.11803  18.18138  59912.13886 
    15.15246  1.33956   7.21644       3.71744         3480.41018  0.29047  0.02298     0.19706   7.04637     18.51584   8504.26386      -2.621  0.78066  10165.27335  0.00182  59897.52839  52.57971  17.90361   18.1995  59913.62243 
    14.83255  1.61175   11.1904       3.47853         4274.66356   0.0917  0.01391     0.04196   6.19849     17.54196   9020.73226     -6.2772  0.45007   5150.01055  0.00019  59893.87219  51.97582   5.48183  18.24296  59913.62243 
    14.46578  1.53784   9.38594       1.65237         4560.45373  0.18066   0.0324     0.09089   3.68253     17.04919    6613.6845     -6.6387  1.19122    7126.3073    6e-05   59893.5107  52.19946   9.44009  18.30562  59913.62243 
    14.64613  1.77979   9.93219       3.54089         3655.83721  0.00126  0.02836     0.05796    3.0967     17.37947   7914.30503     -6.6417  0.58668   6059.57127  0.00013  59893.50769  52.03728   0.06275   18.2076  59913.62243 
    15.00928  1.82296  11.01757       1.24222         5790.60332  0.33729  0.02635      0.3598   4.96107      18.7606   3079.61228     -6.2905  0.61099   7248.95584   0.0032  59893.85889  52.24871  19.07805  18.25881  59912.13886 
    14.51423  1.29425   7.06788       0.85502         5040.31361  0.37411  0.03136     0.08228   3.17487     19.37154   8586.91271    -4.89331  0.98948   7332.48726  0.01307  59895.25608  52.20603  18.74583   18.2301  59913.89089 
    14.69918  1.36428  10.31677       3.78824         4197.16584  0.35135  0.02697     0.12689   4.46503      20.4273   9824.32594    -5.39804  0.84395   5636.76037   0.1486  59894.75135  52.01836  19.33812  18.25337  59913.89089 
    14.87633   1.2788   2.76874       0.93751         2675.34245   0.1907  0.03582      0.0437   8.76054     17.08564   6574.82632    -6.16852  0.65449  10010.89603    7e-05  59893.98087  52.58806  12.35476  18.21532  59912.13886 
    15.15302  1.56039  16.12977       4.21156          4366.2669  0.24919  0.01369     0.35386   8.58714      20.0719   3931.21399    -5.96367   1.3948    6631.3856  0.06556  59894.18572  52.22838  16.07174  18.21689  59913.89089 
    14.78784  1.65492  10.15821       4.23162         4275.27025  0.00434  0.01048     0.26159   6.98164     16.43469    9501.0479    -6.72013  0.43292   4055.88551    2e-05  59893.42926   51.7807   0.26704  18.20397  59912.13886 
     15.0302  1.65535   7.37713       2.57326         4389.71615  0.32981  0.02623     0.42533   5.20674     17.57941   4441.76536    -3.14187  1.35671   6249.20951  0.00021  59897.00752  52.12514  18.88573  18.14186  59913.62243 
    14.94036   1.9347    12.041       3.41355         3681.13281  0.07866  0.01038     0.01831  21.32326       19.814   3005.37617    -6.00706  1.06045   8859.34216   0.0362  59894.14233  52.56058   6.10785  18.19836  59913.62243 
    14.83842  1.83805  12.53887       3.79914         3785.05487  0.09661  0.01368     0.28133  13.85037       18.293   8235.49267     -6.5724  0.91879   7534.32051  0.00109  59893.57699  52.38348   6.89889  18.20111  59912.13886 
    14.78762  1.31459  11.23185       3.69495         4201.40406  0.26884  0.03441     0.10356   5.28358     16.89464   8961.05209    -6.84868  0.69691   7164.61346    4e-05  59893.30071  52.24548  15.45127  18.23107  59912.13886 
    14.91352  1.80602  11.19651       3.34138         4348.30448  0.10584  0.01029     0.04182  13.11765     17.58835   7814.65574    -6.55525  1.15271   5231.15482  0.00022  59893.59414  52.06178   7.47525  18.22458  59913.89089 
    14.58126  1.43739   5.93361       2.94946         3058.97513  0.41425  0.02911     0.30815   6.69542     20.90766   4278.74558    -5.71471  1.16903   9261.00949  0.44915  59894.43468  52.49355    25.227  18.28354  59913.62243 
