# STATUS =
# OBJECT = 2022abdu
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2022-12-01 03:27:50.00
# MJD = 59914.15
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 2.566584e+00
3270.000000 2.600121e+00
3280.000000 2.617137e+00
3290.000000 2.613441e+00
3300.000000 2.570438e+00
3310.000000 2.522443e+00
3320.000000 2.515644e+00
3330.000000 2.511152e+00
3340.000000 2.501201e+00
3350.000000 2.483191e+00
3360.000000 2.485176e+00
3370.000000 2.482184e+00
3380.000000 2.443263e+00
3390.000000 2.403318e+00
3400.000000 2.348259e+00
3410.000000 2.323426e+00
3420.000000 2.299613e+00
3430.000000 2.268519e+00
3440.000000 2.263776e+00
3450.000000 2.268090e+00
3460.000000 2.249400e+00
3470.000000 2.240845e+00
3480.000000 2.197665e+00
3490.000000 2.131528e+00
3500.000000 2.036887e+00
3510.000000 1.918942e+00
3520.000000 1.788902e+00
3530.000000 1.678566e+00
3540.000000 1.591106e+00
3550.000000 1.554699e+00
3560.000000 1.574999e+00
3570.000000 1.641802e+00
3580.000000 1.741633e+00
3590.000000 1.846311e+00
3600.000000 1.943678e+00
3610.000000 2.027788e+00
3620.000000 2.086381e+00
3630.000000 2.096167e+00
3640.000000 2.087111e+00
3650.000000 2.058522e+00
3660.000000 2.025425e+00
3670.000000 2.000349e+00
3680.000000 1.996650e+00
3690.000000 2.031888e+00
3700.000000 2.084032e+00
3710.000000 2.145507e+00
3720.000000 2.209403e+00
3730.000000 2.249059e+00
3740.000000 2.286023e+00
3750.000000 2.303575e+00
3760.000000 2.306408e+00
3770.000000 2.298640e+00
3780.000000 2.295237e+00
3790.000000 2.290296e+00
3800.000000 2.284000e+00
3810.000000 2.255923e+00
3820.000000 2.221152e+00
3830.000000 2.174172e+00
3840.000000 2.124252e+00
3850.000000 2.076279e+00
3860.000000 2.029753e+00
3870.000000 1.995494e+00
3880.000000 1.954110e+00
3890.000000 1.914299e+00
3900.000000 1.890178e+00
3910.000000 1.886187e+00
3920.000000 1.905874e+00
3930.000000 1.946639e+00
3940.000000 1.986251e+00
3950.000000 2.027881e+00
3960.000000 2.050576e+00
3970.000000 2.062405e+00
3980.000000 2.054250e+00
3990.000000 2.032928e+00
4000.000000 1.993273e+00
4010.000000 1.940184e+00
4020.000000 1.904426e+00
4030.000000 1.868866e+00
4040.000000 1.845553e+00
4050.000000 1.844676e+00
4060.000000 1.842545e+00
4070.000000 1.846778e+00
4080.000000 1.838017e+00
4090.000000 1.831172e+00
4100.000000 1.821775e+00
4110.000000 1.813303e+00
4120.000000 1.791157e+00
4130.000000 1.771634e+00
4140.000000 1.737634e+00
4150.000000 1.706101e+00
4160.000000 1.676435e+00
4170.000000 1.668255e+00
4180.000000 1.661415e+00
4190.000000 1.650364e+00
4200.000000 1.630718e+00
4210.000000 1.595680e+00
4220.000000 1.541149e+00
4230.000000 1.468891e+00
4240.000000 1.392433e+00
4250.000000 1.324626e+00
4260.000000 1.282888e+00
4270.000000 1.266078e+00
4280.000000 1.280251e+00
4290.000000 1.315586e+00
4300.000000 1.367523e+00
4310.000000 1.416462e+00
4320.000000 1.464456e+00
4330.000000 1.503525e+00
4340.000000 1.527943e+00
4350.000000 1.561251e+00
4360.000000 1.594325e+00
4370.000000 1.643216e+00
4380.000000 1.685545e+00
4390.000000 1.726309e+00
4400.000000 1.771166e+00
4410.000000 1.803596e+00
4420.000000 1.811637e+00
4430.000000 1.795334e+00
4440.000000 1.762463e+00
4450.000000 1.712572e+00
4460.000000 1.667947e+00
4470.000000 1.629361e+00
4480.000000 1.603308e+00
4490.000000 1.575768e+00
