# STATUS =
# OBJECT = 2022le
# TELESCOPE = Clay
# INSTRUMENT = LDSS3-C
# DATE-OBS = 2022-04-07
# MJD = 59676.094813
# EXPTIME = 2700.0
# AIRMASS = 1.088
# SLIT = 1.0
# DISPERSER = VPH-All
# SOURCE = FLEET
# FILTER = Open
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = False
# PHOTOMETRY_CALIBRATED = False
# TELLURIC_CORRECTED = False
# FLUX_UNITS = erg / (s cm2 AA)
# WAVE_UNITS = AA
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
  Wavelength           Flux 
 3622.640531     1.1041e-16 
 3624.591761   2.561686e-16 
 3626.543066    1.74116e-16 
 3628.494447   1.212098e-16 
 3630.445902   1.329193e-16 
 3632.397433   1.005682e-16 
 3634.349039   7.573442e-17 
 3636.300721    1.53078e-16 
 3638.252477   6.183198e-17 
 3640.204308   2.476116e-16 
 3642.156215  -1.611329e-17 
 3644.108196   1.336202e-16 
 3646.060252   2.972642e-16 
 3648.012384   2.393428e-16 
  3649.96459   9.483956e-17 
 3651.916872   9.584124e-17 
 3653.869228   1.358585e-16 
 3655.821659  -1.006746e-16 
 3657.774165    1.59398e-16 
 3659.726746   7.679669e-17 
 3661.679402   9.812097e-17 
 3663.632133   1.838429e-16 
 3665.584938   2.037131e-17 
 3667.537819   8.895032e-17 
 3669.490774   1.032223e-16 
 3671.443803   4.280964e-16 
 3673.396908   2.826785e-16 
 3675.350087   6.485986e-17 
 3677.303341   2.711224e-17 
 3679.256669   2.112916e-16 
 3681.210072   2.069396e-16 
  3683.16355  -6.830451e-17 
 3685.117102   8.535562e-17 
 3687.070729   1.030612e-16 
 3689.024431    2.22259e-16 
 3690.978207   1.688419e-16 
 3692.932057   1.142155e-16 
 3694.885982    1.48118e-16 
 3696.839982   1.093852e-16 
 3698.794055   2.459024e-18 
 3700.748204   5.997787e-17 
 3702.702426   3.334426e-17 
 3704.656723   2.254764e-18 
 3706.611095    1.70263e-16 
  3708.56554   2.930556e-17 
  3710.52006    1.97413e-16 
 3712.474655   9.569463e-17 
 3714.429323   1.080166e-16 
 3716.384066   2.801154e-17 
 3718.338883   9.069144e-17 
 3720.293775   1.094158e-16 
  3722.24874    1.05437e-16 
  3724.20378   7.984291e-17 
 3726.158893   6.594691e-17 
 3728.114081   1.806124e-16 
 3730.069343  -2.154292e-17 
 3732.024679  -1.971749e-17 
 3733.980089   7.895084e-17 
 3735.935574   1.310513e-16 
 3737.891132   1.350379e-16 
 3739.846764  -3.179423e-17 
  3741.80247   1.076631e-16 
  3743.75825   1.127989e-16 
 3745.714104   4.164673e-17 
 3747.670032   1.679625e-16 
 3749.626034   6.075552e-17 
 3751.582109   2.180425e-16 
 3753.538259   4.531475e-17 
 3755.494482    4.96711e-17 
 3757.450779  -7.363484e-19 
  3759.40715   7.464041e-17 
 3761.363594   1.293741e-16 
 3763.320113   2.358168e-17 
 3765.276705   1.971373e-16 
 3767.233371   1.029342e-16 
  3769.19011   1.304623e-16 
 3771.146923    9.69219e-17 
  3773.10381   1.383328e-16 
  3775.06077    8.25803e-17 
 3777.017804   1.295669e-16 
 3778.974911   1.357734e-16 
 3780.932092   9.145678e-17 
 3782.889347   8.367985e-17 
 3784.846675   6.920969e-17 
 3786.804076   9.831007e-17 
 3788.761551   2.344642e-16 
   3790.7191   1.097485e-16 
 3792.676721   1.230959e-16 
 3794.634416   7.111064e-17 
 3796.592185   3.726547e-18 
 3798.550027    1.06833e-16 
 3800.507942    1.43417e-16 
 3802.465931   8.781856e-17 
 3804.423992   8.975409e-17 
 3806.382127    3.71671e-17 
 3808.340336   1.389295e-16 
 3810.298617   1.284043e-16 
 3812.256972   2.176519e-16 
   3814.2154   2.004374e-16 
 3816.173901   1.103283e-16 
 3818.132475   1.412684e-16 
 3820.091122   1.084005e-16 
 3822.049843   1.126705e-16 
 3824.008636   1.372405e-16 
 3825.967503   6.997564e-17 
 3827.926442   1.316568e-16 
 3829.885455   1.494842e-16 
  3831.84454   9.969387e-17 
 3833.803699   1.627195e-16 
  3835.76293   7.205355e-17 
 3837.722234   6.529042e-17 
 3839.681612   7.386071e-17 
 3841.641062   1.137566e-16 
 3843.600585   1.730186e-16 
  3845.56018    1.22033e-16 
 3847.519849   1.192979e-16 
 3849.479591   1.086622e-16 
 3851.439405   1.501873e-16 
 3853.399292   8.083495e-17 
 3855.359251   1.170444e-16 
 3857.319284   5.088274e-17 
 3859.279389   1.281745e-16 
 3861.239566   1.097926e-16 
 3863.199817   7.737192e-17 
  3865.16014   7.926936e-17 
 3867.120535    2.50396e-17 
 3869.081003   5.688703e-17 
 3871.041544   5.976385e-17 
 3873.002157   6.707087e-17 
 3874.962843   9.898674e-17 
 3876.923601   1.018997e-16 
 3878.884432   1.139741e-16 
 3880.845335   2.741147e-17 
 3882.806311   1.025888e-16 
 3884.767358    1.46973e-16 
 3886.728479   8.371652e-17 
 3888.689672   1.095641e-16 
 3890.650937    6.42379e-17 
 3892.612274   1.410331e-16 
