       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 59695.731     99.0     99.0     99.0   3608.04     3631.0       u 
 59696.983     99.0     99.0     99.0   3608.04     3631.0       u 
 59698.234     99.0     99.0     99.0   3608.04     3631.0       u 
 59699.486     99.0     99.0     99.0   3608.04     3631.0       u 
 59700.738     99.0     99.0     99.0   3608.04     3631.0       u 
 59701.989     99.0     99.0     99.0   3608.04     3631.0       u 
 59703.241     99.0     99.0  -15.762   3608.04     3631.0       u 
 59704.492     99.0     99.0  -17.841   3608.04     3631.0       u 
 59705.744     99.0     99.0  -18.869   3608.04     3631.0       u 
 59706.995     99.0  -16.488  -19.527   3608.04     3631.0       u 
 59708.247     99.0  -18.389    -20.0   3608.04     3631.0       u 
 59709.498  -16.488  -19.319  -20.363   3608.04     3631.0       u 
  59710.75  -18.544  -19.945   -20.65   3608.04     3631.0       u 
 59712.002  -19.477   -20.36   -20.89   3608.04     3631.0       u 
 59713.253  -20.095   -20.72  -21.094   3608.04     3631.0       u 
 59714.505  -20.514  -20.982   -21.28   3608.04     3631.0       u 
 59715.756  -20.837  -21.189  -21.441   3608.04     3631.0       u 
 59717.008    -21.1  -21.365  -21.571   3608.04     3631.0       u 
 59718.259  -21.301  -21.524  -21.695   3608.04     3631.0       u 
 59719.511   -21.48  -21.654  -21.803   3608.04     3631.0       u 
 59720.763  -21.628  -21.771  -21.893   3608.04     3631.0       u 
 59721.388  -21.697  -21.824  -21.941   3608.04     3631.0       u 
 59722.014  -21.752  -21.871  -21.988   3608.04     3631.0       u 
 59723.266  -21.868  -21.959   -22.07   3608.04     3631.0       u 
 59724.517  -21.964  -22.044  -22.138   3608.04     3631.0       u 
 59725.769  -22.049  -22.114  -22.194   3608.04     3631.0       u 
  59727.02  -22.121  -22.172  -22.247   3608.04     3631.0       u 
 59728.272  -22.182  -22.226  -22.289   3608.04     3631.0       u 
 59729.523  -22.234  -22.276  -22.332   3608.04     3631.0       u 
 59730.775  -22.277  -22.318  -22.366   3608.04     3631.0       u 
 59732.027  -22.316  -22.352  -22.394   3608.04     3631.0       u 
 59733.278  -22.348  -22.382  -22.425   3608.04     3631.0       u 
  59734.53  -22.375  -22.409   -22.45   3608.04     3631.0       u 
