                MJD               R_low               R_med              R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
       59224.113195                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59226.53879278464                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59228.96439056928                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59231.38998835392                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59233.81558613856                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
   59236.2411839232                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59238.66678170784                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59241.09237949248                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59243.51797727713                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59245.94357506177                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59248.36917284641                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59250.79477063105                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59253.22036841569                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59255.64596620033                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59258.07156398497                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59260.497161769614                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59262.922759554254                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59265.348357338895                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59267.773955123535                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59270.199552908176                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59272.62515069282                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59275.05074847746                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59277.476346262105                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59279.901944046745                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
 59282.327541831386                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59284.75313961603                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59287.17873740067                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59289.60433518531                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59292.02993296995                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59294.45553075459                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59296.88112853923                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59299.30672632387                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59301.73232410851                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59304.15792189315                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59306.58351967779                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59309.00911746243                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59311.43471524708                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59313.86031303172                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59316.28591081636                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
    59318.711508601                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
  59321.13710638564                 0.0                 0.0                 0.0                 0.0                 0.0                 0.0                     0.0                     0.0                     0.0 
