# STATUS =
# OBJECT = 2022pjq
# TELESCOPE = Clay
# INSTRUMENT = LDSS3-C
# DATE-OBS = 2022-08-28
# MJD = 59819.98
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 nan
3470.000000 nan
3480.000000 nan
3490.000000 nan
3500.000000 nan
3510.000000 2.216479e+00
3520.000000 2.290595e+00
3530.000000 2.129090e+00
3540.000000 2.079518e+00
3550.000000 2.305380e+00
3560.000000 2.176948e+00
3570.000000 2.465953e+00
3580.000000 2.234322e+00
3590.000000 1.978974e+00
3600.000000 2.265590e+00
3610.000000 2.305756e+00
3620.000000 2.099414e+00
3630.000000 2.054392e+00
3640.000000 2.225621e+00
3650.000000 1.990206e+00
3660.000000 1.729137e+00
3670.000000 1.784484e+00
3680.000000 1.880270e+00
3690.000000 1.900640e+00
3700.000000 1.623803e+00
3710.000000 1.671577e+00
3720.000000 1.730725e+00
3730.000000 1.733469e+00
3740.000000 1.859654e+00
3750.000000 2.021858e+00
3760.000000 1.886142e+00
3770.000000 1.832215e+00
3780.000000 2.022900e+00
3790.000000 1.932862e+00
3800.000000 2.083714e+00
3810.000000 2.218176e+00
3820.000000 2.148242e+00
3830.000000 2.066115e+00
3840.000000 2.051693e+00
3850.000000 1.924422e+00
3860.000000 1.697694e+00
3870.000000 1.835128e+00
3880.000000 1.881400e+00
3890.000000 1.825228e+00
3900.000000 1.887949e+00
3910.000000 1.886331e+00
3920.000000 1.883686e+00
3930.000000 2.016662e+00
3940.000000 2.046931e+00
3950.000000 2.003579e+00
3960.000000 1.939340e+00
3970.000000 1.946995e+00
3980.000000 2.021088e+00
3990.000000 1.974324e+00
4000.000000 1.847933e+00
4010.000000 1.851432e+00
4020.000000 2.012852e+00
4030.000000 2.015968e+00
4040.000000 2.014926e+00
4050.000000 1.888559e+00
4060.000000 1.869290e+00
4070.000000 1.950867e+00
4080.000000 1.910803e+00
4090.000000 1.814593e+00
4100.000000 1.831496e+00
4110.000000 1.865848e+00
4120.000000 1.835709e+00
4130.000000 1.768455e+00
4140.000000 1.790305e+00
4150.000000 1.764295e+00
4160.000000 1.866547e+00
4170.000000 1.842750e+00
4180.000000 1.807654e+00
4190.000000 1.716661e+00
4200.000000 1.653427e+00
4210.000000 1.714323e+00
4220.000000 1.783674e+00
4230.000000 1.770954e+00
4240.000000 1.594788e+00
4250.000000 1.635896e+00
4260.000000 1.565018e+00
4270.000000 1.467520e+00
4280.000000 1.459084e+00
4290.000000 1.502214e+00
4300.000000 1.528733e+00
4310.000000 1.529776e+00
4320.000000 1.518280e+00
4330.000000 1.451438e+00
4340.000000 1.472565e+00
4350.000000 1.525363e+00
4360.000000 1.551851e+00
4370.000000 1.520338e+00
4380.000000 1.579553e+00
4390.000000 1.561390e+00
4400.000000 1.563324e+00
4410.000000 1.618313e+00
4420.000000 1.611779e+00
4430.000000 1.594072e+00
4440.000000 1.602023e+00
4450.000000 1.700292e+00
4460.000000 1.822109e+00
4470.000000 1.848574e+00
4480.000000 1.929203e+00
4490.000000 1.997206e+00
4500.000000 2.067677e+00
4510.000000 2.216606e+00
4520.000000 2.208919e+00
4530.000000 2.125850e+00
4540.000000 2.218386e+00
4550.000000 2.348729e+00
4560.000000 2.404712e+00
4570.000000 2.418759e+00
4580.000000 2.374605e+00
4590.000000 2.367448e+00
