       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 59811.169    99.0    99.0    99.0  4746.48     3631.0       g 
 59811.169    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59811.169    99.0    99.0    99.0  6366.38     3631.0       r 
 59811.169    99.0    99.0    99.0  6629.82     3631.0  orange 
 59813.841    99.0    99.0    99.0  4746.48     3631.0       g 
 59813.841    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59813.841    99.0    99.0    99.0  6366.38     3631.0       r 
 59813.841    99.0    99.0    99.0  6629.82     3631.0  orange 
 59816.512    99.0    99.0    99.0  4746.48     3631.0       g 
 59816.512    99.0    99.0    99.0  5182.42     3631.0    cyan 
 59816.512    99.0    99.0    99.0  6366.38     3631.0       r 
 59816.512    99.0    99.0    99.0  6629.82     3631.0  orange 
 59819.183    99.0    99.0  24.568  4746.48     3631.0       g 
 59819.183    99.0    99.0  24.723  5182.42     3631.0    cyan 
 59819.183    99.0    99.0  25.105  6366.38     3631.0       r 
 59819.183    99.0    99.0  25.182  6629.82     3631.0  orange 
 59821.854    99.0  25.482  21.317  4746.48     3631.0       g 
 59821.854    99.0  25.621   21.45  5182.42     3631.0    cyan 
 59821.854    99.0  25.969  21.783  6366.38     3631.0       r 
 59821.854    99.0  26.044  21.857  6629.82     3631.0  orange 
 59824.526    99.0  21.138  20.262  4746.48     3631.0       g 
 59824.526    99.0  21.277   20.39  5182.42     3631.0    cyan 
 59824.526    99.0  21.643  20.713  6366.38     3631.0       r 
 59824.526    99.0  21.721  20.787  6629.82     3631.0  orange 
 59827.197  21.718  20.128  19.651  4746.48     3631.0       g 
 59827.197  21.867  20.262  19.788  5182.42     3631.0    cyan 
 59827.197  22.206  20.604  20.116  6366.38     3631.0       r 
 59827.197  22.277  20.681  20.185  6629.82     3631.0  orange 
 59829.868  20.169  19.534  19.217  4746.48     3631.0       g 
 59829.868  20.288  19.664  19.346  5182.42     3631.0    cyan 
 59829.868  20.589  19.968  19.678  6366.38     3631.0       r 
 59829.868  20.659  20.038   19.75  6629.82     3631.0  orange 
 59832.539  19.399  19.146  18.908  4746.48     3631.0       g 
 59832.539  19.527  19.265  19.027  5182.42     3631.0    cyan 
 59832.539  19.849  19.572  19.323  6366.38     3631.0       r 
 59832.539   19.92  19.641  19.389  6629.82     3631.0  orange 
 59835.211  19.001  18.855  18.677  4746.48     3631.0       g 
 59835.211  19.111  18.966  18.786  5182.42     3631.0    cyan 
 59835.211  19.404  19.257   19.07  6366.38     3631.0       r 
 59835.211  19.474  19.325  19.135  6629.82     3631.0  orange 
 59837.624  18.749   18.64  18.499  4746.48     3631.0       g 
 59837.624  18.863  18.746   18.61  5182.42     3631.0    cyan 
 59837.624   19.15  19.029  18.889  6366.38     3631.0       r 
 59837.624  19.214  19.096   18.95  6629.82     3631.0  orange 
 59837.882  18.727  18.619   18.48  4746.48     3631.0       g 
 59837.882   18.84  18.726  18.593  5182.42     3631.0    cyan 
 59837.882  19.122  19.008  18.872  6366.38     3631.0       r 
 59837.882  19.188  19.074  18.934  6629.82     3631.0  orange 
 59840.553  18.512  18.433  18.321  4746.48     3631.0       g 
 59840.553  18.619  18.538  18.429  5182.42     3631.0    cyan 
 59840.553  18.892  18.811   18.71  6366.38     3631.0       r 
 59840.553  18.955  18.875  18.773  6629.82     3631.0  orange 
 59843.224  18.364  18.285  18.198  4746.48     3631.0       g 
 59843.224  18.463  18.385  18.298  5182.42     3631.0    cyan 
 59843.224  18.723  18.648  18.563  6366.38     3631.0       r 
 59843.224  18.784   18.71  18.625  6629.82     3631.0  orange 
 59845.546   18.26  18.183   18.12  4746.48     3631.0       g 
 59845.546  18.348  18.278  18.208  5182.42     3631.0    cyan 
 59845.546  18.599  18.531  18.456  6366.38     3631.0       r 
 59845.546   18.66  18.591  18.516  6629.82     3631.0  orange 
 59845.895  18.244  18.169  18.109  4746.48     3631.0       g 
 59845.895  18.332  18.265  18.196  5182.42     3631.0    cyan 
 59845.895  18.582  18.515  18.443  6366.38     3631.0       r 
 59845.895  18.643  18.575  18.503  6629.82     3631.0  orange 
 59848.567  18.137  18.078  18.035  4746.48     3631.0       g 
 59848.567  18.226  18.166  18.118  5182.42     3631.0    cyan 
 59848.567  18.467  18.405  18.346  6366.38     3631.0       r 
 59848.567  18.526  18.463  18.405  6629.82     3631.0  orange 
 59851.238  18.061   18.01  17.969  4746.48     3631.0       g 
 59851.238  18.144  18.091  18.049  5182.42     3631.0    cyan 
 59851.238  18.367  18.316   18.27  6366.38     3631.0       r 
