# STATUS =
# OBJECT = 2022ued
# TELESCOPE = MMT
# INSTRUMENT = Binospec
# DATE-OBS = 2023-01-22
# MJD = 59962.66
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 nan
3010.000000 nan
3020.000000 nan
3030.000000 nan
3040.000000 nan
3050.000000 nan
3060.000000 nan
3070.000000 nan
3080.000000 nan
3090.000000 nan
3100.000000 nan
3110.000000 nan
3120.000000 nan
3130.000000 nan
3140.000000 nan
3150.000000 nan
3160.000000 nan
3170.000000 nan
3180.000000 nan
3190.000000 nan
3200.000000 nan
3210.000000 nan
3220.000000 nan
3230.000000 nan
3240.000000 nan
3250.000000 nan
3260.000000 nan
3270.000000 nan
3280.000000 nan
3290.000000 nan
3300.000000 nan
3310.000000 nan
3320.000000 nan
3330.000000 nan
3340.000000 nan
3350.000000 nan
3360.000000 nan
3370.000000 nan
3380.000000 nan
3390.000000 nan
3400.000000 nan
3410.000000 nan
3420.000000 nan
3430.000000 nan
3440.000000 nan
3450.000000 nan
3460.000000 1.117685e+00
3470.000000 1.253012e+00
3480.000000 1.338650e+00
3490.000000 1.334877e+00
3500.000000 1.324010e+00
3510.000000 1.297448e+00
3520.000000 1.270686e+00
3530.000000 1.231612e+00
3540.000000 1.236689e+00
3550.000000 1.282025e+00
3560.000000 1.269526e+00
3570.000000 1.363600e+00
3580.000000 1.277933e+00
3590.000000 1.408211e+00
3600.000000 1.484265e+00
3610.000000 1.425559e+00
3620.000000 1.418707e+00
3630.000000 1.361832e+00
3640.000000 1.429895e+00
3650.000000 1.375646e+00
3660.000000 1.368704e+00
3670.000000 1.344319e+00
3680.000000 1.294770e+00
3690.000000 1.350669e+00
3700.000000 1.263416e+00
3710.000000 1.297245e+00
3720.000000 1.313937e+00
3730.000000 1.308458e+00
3740.000000 1.275474e+00
3750.000000 1.282135e+00
3760.000000 1.186176e+00
3770.000000 1.009069e+00
3780.000000 9.507959e-01
3790.000000 9.666240e-01
3800.000000 8.880194e-01
3810.000000 8.500857e-01
3820.000000 8.796953e-01
3830.000000 9.158977e-01
3840.000000 9.681133e-01
3850.000000 1.086398e+00
3860.000000 1.122012e+00
3870.000000 1.247989e+00
3880.000000 1.229163e+00
3890.000000 1.309001e+00
3900.000000 1.302898e+00
3910.000000 1.385064e+00
3920.000000 1.606049e+00
3930.000000 1.693410e+00
3940.000000 1.803973e+00
3950.000000 1.819914e+00
3960.000000 1.891766e+00
3970.000000 1.909232e+00
3980.000000 1.868839e+00
3990.000000 1.905417e+00
4000.000000 1.960672e+00
4010.000000 2.003329e+00
4020.000000 2.089692e+00
4030.000000 2.031502e+00
4040.000000 2.099848e+00
4050.000000 1.939586e+00
4060.000000 1.968962e+00
4070.000000 1.874397e+00
4080.000000 1.770116e+00
4090.000000 1.733087e+00
4100.000000 1.723667e+00
4110.000000 1.730998e+00
4120.000000 1.706460e+00
4130.000000 1.697989e+00
4140.000000 1.768701e+00
4150.000000 1.680026e+00
4160.000000 1.700315e+00
4170.000000 1.598991e+00
4180.000000 1.599371e+00
4190.000000 1.633609e+00
4200.000000 1.556355e+00
4210.000000 1.608487e+00
4220.000000 1.603616e+00
4230.000000 1.593426e+00
4240.000000 1.520215e+00
4250.000000 1.548769e+00
4260.000000 1.607835e+00
4270.000000 1.613079e+00
4280.000000 1.622364e+00
4290.000000 1.560209e+00
4300.000000 1.618514e+00
4310.000000 1.566972e+00
4320.000000 1.617072e+00
4330.000000 1.602178e+00
4340.000000 1.657874e+00
4350.000000 1.678498e+00
4360.000000 1.646968e+00
4370.000000 1.651589e+00
4380.000000 1.745488e+00
4390.000000 1.643513e+00
4400.000000 1.644177e+00
4410.000000 1.592987e+00
4420.000000 1.554030e+00
4430.000000 1.530499e+00
4440.000000 1.538689e+00
4450.000000 1.568112e+00
4460.000000 1.574759e+00
4470.000000 1.602512e+00
4480.000000 1.600681e+00
4490.000000 1.599061e+00
4500.000000 1.627699e+00
4510.000000 1.704750e+00
4520.000000 1.747911e+00
4530.000000 1.851593e+00
4540.000000 1.885891e+00
4550.000000 1.870819e+00
4560.000000 1.884150e+00
4570.000000 1.933977e+00
4580.000000 1.970125e+00
