# STATUS =
# OBJECT = 2022ued
# TELESCOPE = MMT
# INSTRUMENT = Binospec
# DATE-OBS = 2023-01-22
# MJD = 59962.652271
# EXPTIME = 6000.0
# AIRMASS = 1.543
# SLIT = 1.0
# DISPERSER = x270
# SOURCE = FLEET
# FILTER = LP3800
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = False
# PHOTOMETRY_CALIBRATED = False
# TELLURIC_CORRECTED = False
# FLUX_UNITS = erg / (s cm2 AA)
# WAVE_UNITS = AA
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
  Wavelength          Flux 
 3825.172244  1.040721e-16 
  3826.45845  1.024904e-16 
  3827.74467  9.939681e-17 
 3829.030904  9.562396e-17 
 3830.317152  9.910971e-17 
 3831.603414  1.005366e-16 
  3832.88969  9.561076e-17 
  3834.17598  1.053722e-16 
 3835.462285  9.160268e-17 
 3836.748603  8.658534e-17 
 3838.034935  6.754042e-17 
 3839.321282  9.349717e-17 
 3840.607642  8.462043e-17 
 3841.894017  9.488573e-17 
 3843.180405  7.273266e-17 
 3844.466808  9.011961e-17 
 3845.753225  9.826423e-17 
 3847.039655  1.056068e-16 
   3848.3261  1.039203e-16 
 3849.612559   1.01991e-16 
 3850.899032  9.523507e-17 
 3852.185519  1.274364e-16 
  3853.47202  1.053041e-16 
 3854.758536  1.068789e-16 
 3856.045065  1.139509e-16 
 3857.331608  1.039969e-16 
 3858.618166  9.308644e-17 
 3859.904737  8.586163e-17 
 3861.191323  1.088342e-16 
 3862.477922  1.339196e-16 
 3863.764536  1.010268e-16 
 3865.051164  1.109077e-16 
 3866.337806  9.463365e-17 
 3867.624462  9.525176e-17 
 3868.911132  1.074989e-16 
 3870.197816  1.088619e-16 
 3871.484514   1.16484e-16 
 3872.771226  7.907224e-17 
 3874.057953  1.016516e-16 
 3875.344693  1.203757e-16 
 3876.631447   1.21145e-16 
 3877.918216  9.514707e-17 
 3879.204999   1.22904e-16 
 3880.491795  1.108589e-16 
 3881.778606  9.020186e-17 
 3883.065431  9.766966e-17 
  3884.35227  8.993887e-17 
 3885.639123  1.115481e-16 
  3886.92599   8.98225e-17 
 3888.212871  1.080805e-16 
 3889.499767  1.107914e-16 
 3890.786676  1.039095e-16 
   3892.0736  9.165305e-17 
 3893.360537  1.173719e-16 
 3894.647489  1.100047e-16 
 3895.934455  9.619876e-17 
 3897.221434  1.056104e-16 
 3898.508428   9.44147e-17 
 3899.795436   1.01101e-16 
 3901.082458  1.005722e-16 
 3902.369495  8.829743e-17 
 3903.656545  1.174193e-16 
 3904.943609  1.182444e-16 
 3906.230688  1.027614e-16 
  3907.51778  1.025569e-16 
 3908.804887  7.444379e-17 
 3910.092008   7.63703e-17 
 3911.379142  9.067602e-17 
 3912.666291  9.054889e-17 
 3913.953454   1.07961e-16 
 3915.240632  9.733234e-17 
 3916.527823  1.235359e-16 
 3917.815028  9.880848e-17 
 3919.102248  1.004334e-16 
 3920.389481  8.511902e-17 
 3921.676729  1.009633e-16 
  3922.96399  9.676759e-17 
 3924.251266  9.084416e-17 
 3925.538556  8.995906e-17 
  3926.82586  9.736544e-17 
 3928.113178  8.796816e-17 
  3929.40051  1.281201e-16 
 3930.687857  1.032489e-16 
 3931.975217  9.241635e-17 
 3933.262592  1.002989e-16 
  3934.54998  9.871658e-17 
 3935.837383   9.93335e-17 
   3937.1248  1.064198e-16 
 3938.412231  1.037805e-16 
 3939.699676  8.263628e-17 
 3940.987135  1.023371e-16 
 3942.274608  9.058441e-17 
 3943.562096  1.052485e-16 
 3944.849597  1.010687e-16 
 3946.137113  8.462856e-17 
 3947.424642  1.006358e-16 
 3948.712186   9.90146e-17 
 3949.999744  1.014792e-16 
 3951.287316  1.029224e-16 
 3952.574902  1.132612e-16 
 3953.862503  1.080731e-16 
 3955.150117  1.087373e-16 
 3956.437745  1.186584e-16 
 3957.725388  1.082991e-16 
 3959.013045  8.423434e-17 
 3960.300715  1.036993e-16 
   3961.5884  1.111699e-16 
 3962.876099  1.047968e-16 
 3964.163813  9.571344e-17 
  3965.45154  9.959181e-17 
 3966.739281  9.825966e-17 
 3968.027037  9.894803e-17 
 3969.314807  8.818284e-17 
  3970.60259  1.022041e-16 
 3971.890388  1.119142e-16 
   3973.1782  1.008812e-16 
 3974.466026  9.780842e-17 
 3975.753867  1.128492e-16 
 3977.041721  1.021529e-16 
 3978.329589  9.742374e-17 
 3979.617472  8.961185e-17 
 3980.905369  1.137927e-16 
  3982.19328  1.167319e-16 
 3983.481205  1.188089e-16 
 3984.769144  1.198293e-16 
 3986.057097  1.262329e-16 
 3987.345064  1.265745e-16 
 3988.633046  1.018528e-16 
 3989.921041  1.205312e-16 
 3991.209051  1.074139e-16 
 3992.497075  1.130342e-16 
 3993.785113  1.108492e-16 
 3995.073165  8.772721e-17 
 3996.361232  1.312268e-16 
 3997.649312  1.139414e-16 
 3998.937406  1.166019e-16 
 4000.225515  1.211216e-16 
 4001.513638  1.095704e-16 
 4002.801775  1.019743e-16 
 4004.089926  1.012538e-16 
 4005.378091  1.265988e-16 
  4006.66627  1.106131e-16 
 4007.954464  1.003827e-16 
 4009.242672  1.115774e-16 
 4010.530893  1.140293e-16 
 4011.819129  1.084835e-16 
 4013.107379  9.102149e-17 
 4014.395643  1.360788e-16 
 4015.683922  1.036311e-16 
 4016.972214   1.17933e-16 
 4018.260521  1.072545e-16 
 4019.548841  9.573789e-17 
 4020.837176  1.168873e-16 
 4022.125525  1.037925e-16 
 4023.413888  1.056086e-16 
 4024.702266  1.050422e-16 
 4025.990657  1.019456e-16 
 4027.279063  1.236394e-16 
 4028.567482  1.088518e-16 
 4029.855916  1.023774e-16 
 4031.144364  1.038634e-16 
 4032.432826  1.031883e-16 
 4033.721303   1.08715e-16 
 4035.009793  1.250811e-16 
 4036.298298  1.258356e-16 
 4037.586816  9.084591e-17 
 4038.875349  1.159971e-16 
 4040.163896  1.035753e-16 
 4041.452458  1.204012e-16 
 4042.741033  1.004585e-16 
 4044.029622   1.09545e-16 
 4045.318226  1.214292e-16 
 4046.606844  8.797661e-17 
 4047.895476  1.055051e-16 
 4049.184122   1.13874e-16 
 4050.472782  1.089373e-16 
 4051.761457  1.206193e-16 
 4053.050145  1.042957e-16 
 4054.338848  8.901967e-17 
 4055.627565  1.074418e-16 
 4056.916296  1.231055e-16 
 4058.205041   9.48857e-17 
   4059.4938  1.044175e-16 
 4060.782574  9.896757e-17 
 4062.071361  1.010658e-16 
 4063.360163  1.138213e-16 
 4064.648979  1.196977e-16 
 4065.937809   8.90564e-17 
 4067.226654  1.104683e-16 
 4068.515512  1.017641e-16 
 4069.804385  1.076946e-16 
 4071.093271  1.151536e-16 
 4072.382172  9.505958e-17 
 4073.671088  1.028395e-16 
 4074.960017  1.029659e-16 
  4076.24896  9.861455e-17 
 4077.537918  8.631363e-17 
  4078.82689  1.036052e-16 
 4080.115876   9.68908e-17 
 4081.404876  1.171341e-16 
  4082.69389  1.126147e-16 
 4083.982918  8.806294e-17 
 4085.271961  1.070733e-16 
 4086.561018  9.524433e-17 
 4087.850089  8.881755e-17 
 4089.139174  1.204528e-16 
 4090.428273  1.003325e-16 
 4091.717387  1.052683e-16 
 4093.006514  1.121329e-16 
 4094.295656  1.159543e-16 
 4095.584812  9.408035e-17 
 4096.873982  1.076295e-16 
 4098.163166  8.514514e-17 
 4099.452365  1.137252e-16 
 4100.741578  9.453217e-17 
 4102.030805  9.686942e-17 
 4103.320046  8.834811e-17 
 4104.609301  1.077851e-16 
  4105.89857  9.171603e-17 
 4107.187854  1.028268e-16 
 4108.477151  1.022701e-16 
 4109.766463  8.932575e-17 
 4111.055789  9.306656e-17 
  4112.34513  1.070315e-16 
 4113.634484  1.097712e-16 
 4114.923853  1.046948e-16 
 4116.213236   1.24331e-16 
 4117.502633  9.875523e-17 
 4118.792044  1.288134e-16 
 4120.081469  1.191938e-16 
 4121.370909  1.133891e-16 
 4122.660362  9.722001e-17 
  4123.94983  1.109947e-16 
 4125.239312  1.037359e-16 
 4126.528809  1.112311e-16 
 4127.818319   1.70243e-16 
 4129.107844  2.950798e-16 
 4130.397383  3.325978e-16 
 4131.686936  4.622802e-16 
 4132.976503  4.445522e-16 
 4134.266084  3.904931e-16 
  4135.55568  2.566627e-16 
  4136.84529  1.352547e-16 
 4138.134914   9.75626e-17 
 4139.424552  1.200989e-16 
 4140.714204  9.887381e-17 
 4142.003871  1.151144e-16 
 4143.293552   9.60222e-17 
 4144.583247  1.134774e-16 
 4145.872956  1.208388e-16 
 4147.162679  1.197278e-16 
 4148.452417  9.829573e-17 
 4149.742169  1.071814e-16 
 4151.031934  9.767941e-17 
 4152.321715  1.090102e-16 
 4153.611509  1.113681e-16 
 4154.901317  1.012689e-16 
  4156.19114  1.001318e-16 
 4157.480977  1.099068e-16 
 4158.770828  9.007257e-17 
 4160.060694  8.407157e-17 
 4161.350573  9.748034e-17 
 4162.640467  1.011685e-16 
 4163.930375  1.011896e-16 
 4165.220297  9.124076e-17 
 4166.510233  1.007292e-16 
 4167.800184  1.026621e-16 
 4169.090148   9.07778e-17 
 4170.380127  9.292882e-17 
 4171.670121  8.592685e-17 
 4172.960128  8.671374e-17 
  4174.25015  7.181055e-17 
 4175.540185  8.241133e-17 
 4176.830235  7.458847e-17 
 4178.120299   8.10638e-17 
 4179.410378  8.412711e-17 
  4180.70047  8.947207e-17 
 4181.990577  7.458842e-17 
 4183.280698  6.571354e-17 
 4184.570834  7.941916e-17 
 4185.860983  7.746697e-17 
 4187.151147  6.836091e-17 
 4188.441325  7.253397e-17 
 4189.731517  6.398183e-17 
 4191.021723  7.224758e-17 
 4192.311943  8.339416e-17 
