       MJD   Upper    Mean   Lower   Cenwave  Zeropoint  Filter 
  60345.65    99.0    99.0    99.0  10023.96     3631.0       z 
  60345.65    99.0    99.0    99.0   4735.89     3631.0  g-FLWO 
  60345.65    99.0    99.0    99.0   4746.48     3631.0   g-P48 
  60345.65    99.0    99.0    99.0   5182.42     3631.0    cyan 
  60345.65    99.0    99.0    99.0   6198.96     3631.0       r 
  60345.65    99.0    99.0    99.0   6366.38     3631.0   r-P48 
  60345.65    99.0    99.0    99.0   6629.82     3631.0  orange 
  60345.65    99.0    99.0    99.0   7645.77     3631.0  i-FLWO 
  60345.65    99.0    99.0    99.0   7829.03     3631.0   i-P48 
 60346.478    99.0    99.0    99.0  10023.96     3631.0       z 
 60346.478    99.0    99.0    99.0   4735.89     3631.0  g-FLWO 
 60346.478    99.0    99.0    99.0   4746.48     3631.0   g-P48 
 60346.478    99.0    99.0    99.0   5182.42     3631.0    cyan 
 60346.478    99.0    99.0    99.0   6198.96     3631.0       r 
 60346.478    99.0    99.0    99.0   6366.38     3631.0   r-P48 
 60346.478    99.0    99.0    99.0   6629.82     3631.0  orange 
 60346.478    99.0    99.0    99.0   7645.77     3631.0  i-FLWO 
 60346.478    99.0    99.0    99.0   7829.03     3631.0   i-P48 
 60346.636    99.0    99.0    99.0  10023.96     3631.0       z 
 60346.636    99.0    99.0    99.0   4735.89     3631.0  g-FLWO 
 60346.636    99.0    99.0    99.0   4746.48     3631.0   g-P48 
 60346.636    99.0    99.0    99.0   5182.42     3631.0    cyan 
 60346.636    99.0    99.0    99.0   6198.96     3631.0       r 
 60346.636    99.0    99.0    99.0   6366.38     3631.0   r-P48 
 60346.636    99.0    99.0    99.0   6629.82     3631.0  orange 
 60346.636    99.0    99.0    99.0   7645.77     3631.0  i-FLWO 
 60346.636    99.0    99.0    99.0   7829.03     3631.0   i-P48 
 60347.357    99.0    99.0  25.553   4735.89     3631.0  g-FLWO 
 60347.357    99.0    99.0  25.583   4746.48     3631.0   g-P48 
 60347.357    99.0    99.0  25.649   5182.42     3631.0    cyan 
 60347.357    99.0    99.0  25.804   6198.96     3631.0       r 
