 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB  mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
   -5.74874  0.33834  3.20361     13.75159  2.02642  1.42064  1.30284  0.12525     0.01307    2934.064   8081.49716  0.49633         3820.17845     20.94223  0.48636   60441.5893   0.0669  0.44081  6062392.56334  44.78165  18.25454  60509.21319    51.35006       44.58884   32.73055  45.94407   86.5     0.0688  -20.78074  0.98055 
   -6.74233  0.34009  3.66186     13.84528  1.65348  1.53443  3.11839  0.08479     0.01124  3130.48123   7225.94731  0.23846         5509.10009     20.49634  0.17421  60440.59571   0.1823  1.06053   4198091.6153  44.73679  18.23952  60509.21319    51.20629        44.4001   35.32368  49.59745   84.5     0.0811  -20.51349  0.92342 
   -5.83028  0.42344  4.14396     14.16818  1.67857  0.64952  4.14538  0.08898     0.01091  3136.42961    7054.1649  0.53353         4458.14989     20.51999  0.18396  60441.50776  0.24326  1.75534  1233740.04663  45.16773  18.24405  60510.32211    51.16372       44.35125   36.50179  50.73425   84.0    0.09238  -20.52553  0.85413 
   -5.34997  0.47946  2.56705     13.79631  1.44634  0.67548  1.33181  0.12367     0.01422  2745.23477     6955.967  0.45745         4724.13339     20.90477  0.44617  60441.98807  0.05987  0.63855  2261207.36095  45.25591    18.217  60510.32211    51.09429        44.2519   40.21254  54.79626   92.5    0.06511  -20.74601  0.97062 
   -7.01129  0.41146  2.51812     13.71883  1.56742  0.86507   1.6758  0.14319     0.01049  2794.97026   7427.87053  0.56809          4043.2876     21.01656  0.57715  60440.32675  0.07809  0.68952  3368906.16608  45.13439  18.23701  60509.21319    51.20581       44.38773   38.50653  50.93797   90.0    0.07976  -20.88922  0.97283 
   -6.93508  0.19646  3.75471     13.86015  1.72764    1.357  4.24019  0.08197      0.0138  3762.04726    6942.0146  0.32603         3016.37875     20.71802  0.29023  60440.40296  0.35798  0.83302  4306462.08764  44.72303  18.23935  60509.21319    51.26005       44.51039   30.26459  43.56562   84.0    0.08673  -20.63002  0.93957 
   -8.22184  0.30849  2.92353     13.79491  1.52487  1.37691  4.61286  0.07921     0.01142   3468.6451   6841.77844  0.23486          4090.3022     20.84779   0.3913   60439.1162  0.33107  1.42302  3111993.67288  45.02723  18.24887  60509.21319    51.23478       44.44129   33.39836  47.68462   87.0    0.08398  -20.71315  0.92643 
   -4.95016  0.44921   3.1329     13.98291  1.66395  0.62504  2.28607  0.08078     0.01305  3178.05742   7306.59938  0.38154         4206.18734      20.8657  0.40778  60442.38788  0.13773  1.02693  1640662.30369  45.28307   18.2357  60511.10544    51.04984       44.18935   41.96617  57.14947   88.5    0.07043  -20.69472  0.94474 
   -6.03392  0.35615  3.13328      14.0226  1.68267  0.66354  3.37793   0.0915      0.0131  3526.22803   6985.96209  0.61917         2140.67744     20.82199  0.36874  60441.30412  0.25055  1.20304  1382342.23905  45.36223  18.24316  60510.32211    51.23196       44.43658   34.72661  48.73023   88.5    0.07857  -20.68633  0.93737 
   -6.67193  0.20539  3.27702       13.805  1.47769  0.91905  3.57784  0.09487     0.01158   3434.0191   7141.66546  0.77364         3090.55886     20.80717  0.35636  60440.66611  0.25168  0.73484  3617032.75825  44.84912  18.23069  60509.21319     51.0827       44.24364   38.37223  54.71125   84.0    0.08894  -20.68988  0.94789 
   -6.55188  0.19409  3.48302     13.87444   1.6493  1.18801  5.04876  0.05643     0.01011  3649.89661   7170.34273  0.10623         5732.72533     20.65545  0.25129  60440.78616  0.40121  0.97989  3312514.03245  44.88208   18.2335  60510.32211      51.186        44.3702   37.24901  51.29391   82.5      0.086  -20.60372  0.93511 
