# STATUS =
# OBJECT = CSS140925
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-10-13 04:49:28.00
# MJD = 56943.20
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 2.170823e+00
3010.000000 2.294603e+00
3020.000000 2.493119e+00
3030.000000 2.517783e+00
3040.000000 2.327032e+00
3050.000000 2.070425e+00
3060.000000 1.688608e+00
3070.000000 1.587990e+00
3080.000000 1.581975e+00
3090.000000 1.734145e+00
3100.000000 1.902211e+00
3110.000000 1.983413e+00
3120.000000 1.971386e+00
3130.000000 2.041624e+00
3140.000000 2.039295e+00
3150.000000 2.033171e+00
3160.000000 2.048385e+00
3170.000000 1.691212e+00
3180.000000 1.343158e+00
3190.000000 1.206799e+00
3200.000000 1.095521e+00
3210.000000 1.299651e+00
3220.000000 1.682160e+00
3230.000000 1.859851e+00
3240.000000 1.853589e+00
3250.000000 1.775302e+00
3260.000000 1.792705e+00
3270.000000 1.748143e+00
3280.000000 1.707945e+00
3290.000000 1.661500e+00
3300.000000 1.654648e+00
3310.000000 1.517588e+00
3320.000000 1.466030e+00
3330.000000 1.412195e+00
3340.000000 1.483312e+00
3350.000000 1.509467e+00
3360.000000 1.424179e+00
3370.000000 1.357360e+00
3380.000000 1.326560e+00
3390.000000 1.418233e+00
3400.000000 1.605014e+00
3410.000000 1.947837e+00
3420.000000 2.027619e+00
3430.000000 2.000272e+00
3440.000000 1.948850e+00
3450.000000 1.907214e+00
3460.000000 1.905135e+00
3470.000000 2.081453e+00
3480.000000 2.098132e+00
3490.000000 2.118029e+00
3500.000000 1.971521e+00
3510.000000 1.762878e+00
3520.000000 1.724885e+00
3530.000000 1.753499e+00
3540.000000 1.822223e+00
3550.000000 1.808995e+00
3560.000000 1.721989e+00
3570.000000 1.618885e+00
3580.000000 1.601026e+00
3590.000000 1.612930e+00
3600.000000 1.598944e+00
3610.000000 1.725496e+00
3620.000000 1.847335e+00
3630.000000 1.784905e+00
3640.000000 1.680924e+00
3650.000000 1.508675e+00
3660.000000 1.418602e+00
3670.000000 1.551789e+00
3680.000000 1.700759e+00
3690.000000 1.748053e+00
3700.000000 1.700476e+00
3710.000000 1.610282e+00
3720.000000 1.510934e+00
3730.000000 1.671041e+00
3740.000000 1.737501e+00
3750.000000 1.842215e+00
3760.000000 1.941218e+00
3770.000000 1.897704e+00
3780.000000 1.745296e+00
3790.000000 1.621009e+00
3800.000000 1.474828e+00
3810.000000 1.390594e+00
3820.000000 1.361905e+00
