       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 56980.334    99.0    99.0    99.0   4769.9     3631.0       g 
 56980.334    99.0    99.0    99.0  6370.44     3631.0       r 
 56980.334    99.0    99.0    99.0   7774.3     3631.0       i 
 56980.334    99.0    99.0    99.0  9154.88     3631.0       z 
 56982.609    99.0    99.0  26.643   4769.9     3631.0       g 
 56982.609    99.0    99.0  26.924  6370.44     3631.0       r 
 56982.609    99.0    99.0  27.163   7774.3     3631.0       i 
 56982.609    99.0    99.0  27.386  9154.88     3631.0       z 
 56984.885    99.0   26.36   24.78   4769.9     3631.0       g 
 56984.885    99.0  26.795  25.164  6370.44     3631.0       r 
 56984.885    99.0  27.134  25.435   7774.3     3631.0       i 
 56984.885    99.0  27.429  25.648  9154.88     3631.0       z 
  56987.16  25.398  24.391  23.986   4769.9     3631.0       g 
  56987.16  25.698  24.714  24.302  6370.44     3631.0       r 
  56987.16  26.037  25.006  24.576   7774.3     3631.0       i 
  56987.16  26.329  25.273  24.805  9154.88     3631.0       z 
 56989.435  23.858  23.658  23.472   4769.9     3631.0       g 
 56989.435  24.163  23.948  23.762  6370.44     3631.0       r 
 56989.435   24.45  24.221  24.008   7774.3     3631.0       i 
 56989.435  24.716  24.476   24.25  9154.88     3631.0       z 
  56991.15  23.443  23.303  23.198   4769.9     3631.0       g 
  56991.15  23.706  23.581  23.473  6370.44     3631.0       r 
  56991.15  23.958  23.839  23.715   7774.3     3631.0       i 
  56991.15   24.21  24.089  23.948  9154.88     3631.0       z 
  56991.16  23.441  23.301  23.196   4769.9     3631.0       g 
  56991.16  23.704  23.579  23.472  6370.44     3631.0       r 
  56991.16  23.956  23.836  23.714   7774.3     3631.0       i 
  56991.16  24.207  24.086  23.946  9154.88     3631.0       z 
 56991.711  23.342  23.223  23.117   4769.9     3631.0       g 
 56991.711  23.601  23.487  23.382  6370.44     3631.0       r 
 56991.711  23.845  23.742  23.633   7774.3     3631.0       i 
 56991.711  24.086  23.979  23.866  9154.88     3631.0       z 
  56992.14  23.281  23.166  23.061   4769.9     3631.0       g 
  56992.14  23.522  23.424  23.324  6370.44     3631.0       r 
  56992.14  23.766  23.669  23.573   7774.3     3631.0       i 
  56992.14  24.002  23.907  23.806  9154.88     3631.0       z 
 56993.986  23.043   22.95  22.858   4769.9     3631.0       g 
 56993.986  23.255  23.186  23.108  6370.44     3631.0       r 
 56993.986   23.49  23.415   23.34   7774.3     3631.0       i 
 56993.986   23.72  23.638  23.562  9154.88     3631.0       z 
 56996.261  22.849  22.764  22.684   4769.9     3631.0       g 
 56996.261   23.02  22.963  22.903  6370.44     3631.0       r 
 56996.261  23.234  23.173  23.114   7774.3     3631.0       i 
 56996.261  23.449  23.391   23.33  9154.88     3631.0       z 
 56998.536  22.707  22.629  22.559   4769.9     3631.0       g 
 56998.536  22.843  22.792  22.748  6370.44     3631.0       r 
 56998.536  23.041  22.989   22.94   7774.3     3631.0       i 
 56998.536  23.248  23.194  23.141  9154.88     3631.0       z 
 57000.812  22.596  22.531  22.473   4769.9     3631.0       g 
 57000.812   22.71  22.663  22.625  6370.44     3631.0       r 
 57000.812  22.892  22.844  22.804   7774.3     3631.0       i 
 57000.812  23.089  23.039  22.991  9154.88     3631.0       z 
   57001.3  22.575  22.514  22.461   4769.9     3631.0       g 
   57001.3  22.687   22.64  22.604  6370.44     3631.0       r 
   57001.3  22.865  22.817  22.779   7774.3     3631.0       i 
   57001.3  23.058   23.01  22.965  9154.88     3631.0       z 
  57001.31  22.575  22.513  22.461   4769.9     3631.0       g 
  57001.31  22.686  22.639  22.604  6370.44     3631.0       r 
  57001.31  22.864  22.817  22.778   7774.3     3631.0       i 
  57001.31  23.057   23.01  22.964  9154.88     3631.0       z 
 57003.087  22.528  22.467  22.423   4769.9     3631.0       g 
 57003.087  22.608  22.567  22.535  6370.44     3631.0       r 
 57003.087  22.773  22.732  22.699   7774.3     3631.0       i 
 57003.087  22.959  22.917  22.875  9154.88     3631.0       z 
 57005.362  22.479  22.428  22.388   4769.9     3631.0       g 
 57005.362   22.53  22.497  22.461  6370.44     3631.0       r 
 57005.362  22.677  22.647  22.611   7774.3     3631.0       i 
 57005.362  22.852  22.818  22.778  9154.88     3631.0       z 
 57007.638  22.457  22.407   22.37   4769.9     3631.0       g 
 57007.638  22.473  22.444  22.411  6370.44     3631.0       r 
 57007.638  22.604  22.576  22.541   7774.3     3631.0       i 
 57007.638  22.771  22.739  22.699  9154.88     3631.0       z 
  57008.11  22.455  22.405  22.369   4769.9     3631.0       g 
  57008.11  22.463  22.435  22.403  6370.44     3631.0       r 
  57008.11  22.592  22.564  22.529   7774.3     3631.0       i 
  57008.11  22.756  22.724  22.686  9154.88     3631.0       z 
  57008.12  22.455  22.405  22.369   4769.9     3631.0       g 
  57008.12  22.463  22.435  22.403  6370.44     3631.0       r 
  57008.12  22.591  22.564  22.528   7774.3     3631.0       i 
  57008.12  22.755  22.724  22.685  9154.88     3631.0       z 
 57009.913  22.433  22.411  22.379  6370.44     3631.0       r 
 57009.913  22.461  22.406   22.37   4769.9     3631.0       g 
 57009.913   22.55  22.523   22.49   7774.3     3631.0       i 
 57009.913  22.706  22.675  22.638  9154.88     3631.0       z 
  57012.08  22.415  22.394  22.362  6370.44     3631.0       r 
  57012.08  22.476  22.422  22.386   4769.9     3631.0       g 
  57012.08  22.511  22.487  22.457   7774.3     3631.0       i 
  57012.08  22.657  22.628  22.592  9154.88     3631.0       z 
  57012.09  22.415  22.394  22.362  6370.44     3631.0       r 
  57012.09  22.477  22.422  22.386   4769.9     3631.0       g 
  57012.09  22.511  22.487  22.457   7774.3     3631.0       i 
  57012.09  22.657  22.628  22.592  9154.88     3631.0       z 
 57012.188  22.414  22.393  22.361  6370.44     3631.0       r 
 57012.188  22.478  22.423  22.388   4769.9     3631.0       g 
 57012.188   22.51  22.486  22.456   7774.3     3631.0       i 
 57012.188  22.655  22.626   22.59  9154.88     3631.0       z 
 57014.463  22.407  22.387  22.357  6370.44     3631.0       r 
 57014.463  22.487  22.463  22.435   7774.3     3631.0       i 
 57014.463   22.51  22.456  22.419   4769.9     3631.0       g 
 57014.463   22.62  22.591  22.553  9154.88     3631.0       z 
 57016.739  22.417  22.393  22.365  6370.44     3631.0       r 
 57016.739  22.477   22.45  22.423   7774.3     3631.0       i 
 57016.739  22.558  22.506  22.465   4769.9     3631.0       g 
 57016.739  22.597  22.566  22.531  9154.88     3631.0       z 
  57018.07  22.427  22.404  22.375  6370.44     3631.0       r 
  57018.07  22.477  22.448  22.421   7774.3     3631.0       i 
  57018.07  22.588  22.556  22.519  9154.88     3631.0       z 
  57018.07  22.594  22.542  22.498   4769.9     3631.0       g 
  57018.08  22.427  22.404  22.375  6370.44     3631.0       r 
  57018.08  22.477  22.448  22.421   7774.3     3631.0       i 
  57018.08  22.588  22.556  22.519  9154.88     3631.0       z 
  57018.08  22.594  22.542  22.498   4769.9     3631.0       g 
 57019.014  22.439  22.413  22.385  6370.44     3631.0       r 
 57019.014  22.478   22.45  22.422   7774.3     3631.0       i 
 57019.014  22.582  22.551  22.514  9154.88     3631.0       z 
 57019.014  22.622   22.57  22.524   4769.9     3631.0       g 
  57019.07   22.44  22.414  22.385  6370.44     3631.0       r 
  57019.07  22.478   22.45  22.422   7774.3     3631.0       i 
  57019.07  22.582  22.551  22.513  9154.88     3631.0       z 
  57019.07  22.624  22.572  22.526   4769.9     3631.0       g 
  57019.08   22.44  22.414  22.385  6370.44     3631.0       r 
  57019.08  22.478   22.45  22.422   7774.3     3631.0       i 
  57019.08  22.582  22.551  22.513  9154.88     3631.0       z 
  57019.08  22.624  22.572  22.526   4769.9     3631.0       g 
 57021.289  22.475  22.444  22.417  6370.44     3631.0       r 
 57021.289  22.489  22.462   22.43   7774.3     3631.0       i 
 57021.289  22.578  22.549  22.505  9154.88     3631.0       z 
 57021.289  22.699  22.645  22.599   4769.9     3631.0       g 
 57023.564  22.508  22.481  22.447   7774.3     3631.0       i 
 57023.564  22.521  22.487   22.46  6370.44     3631.0       r 
 57023.564  22.584  22.553  22.512  9154.88     3631.0       z 
 57023.564   22.79  22.733   22.68   4769.9     3631.0       g 
  57025.84  22.538  22.511  22.475   7774.3     3631.0       i 
  57025.84  22.578   22.54  22.511  6370.44     3631.0       r 
  57025.84  22.602  22.567  22.522  9154.88     3631.0       z 
