# STATUS =
# OBJECT = DES14E2slp
# TELESCOPE = VLT
# INSTRUMENT = Xshooter
# DATE-OBS = 2014-12-29
# MJD = 57019.99
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 2.488756e+00
3010.000000 2.411774e+00
3020.000000 2.410358e+00
3030.000000 2.432005e+00
3040.000000 2.523471e+00
3050.000000 2.502893e+00
3060.000000 2.274181e+00
3070.000000 2.175737e+00
3080.000000 2.182357e+00
3090.000000 2.241673e+00
3100.000000 2.247302e+00
3110.000000 2.172655e+00
3120.000000 2.266507e+00
3130.000000 2.308442e+00
3140.000000 2.360737e+00
3150.000000 2.509254e+00
3160.000000 2.566870e+00
3170.000000 2.696353e+00
3180.000000 2.519444e+00
3190.000000 2.334828e+00
3200.000000 2.232422e+00
3210.000000 2.306530e+00
3220.000000 2.262178e+00
3230.000000 2.241563e+00
3240.000000 2.136676e+00
3250.000000 2.136285e+00
3260.000000 2.242027e+00
3270.000000 1.999379e+00
3280.000000 2.110383e+00
3290.000000 1.847065e+00
3300.000000 1.830707e+00
3310.000000 1.840497e+00
3320.000000 1.594559e+00
3330.000000 1.670361e+00
3340.000000 1.624811e+00
3350.000000 1.665703e+00
3360.000000 1.718834e+00
3370.000000 1.772731e+00
3380.000000 1.688540e+00
3390.000000 1.826326e+00
3400.000000 1.915747e+00
3410.000000 1.960608e+00
3420.000000 1.982455e+00
3430.000000 1.793846e+00
3440.000000 1.727679e+00
3450.000000 1.885305e+00
3460.000000 1.913250e+00
3470.000000 1.830272e+00
3480.000000 1.706357e+00
3490.000000 1.703303e+00
3500.000000 1.683194e+00
3510.000000 1.543174e+00
3520.000000 1.370188e+00
3530.000000 1.357495e+00
3540.000000 1.661029e+00
3550.000000 1.587516e+00
3560.000000 1.713901e+00
3570.000000 1.790611e+00
3580.000000 1.876773e+00
3590.000000 2.132228e+00
3600.000000 2.028241e+00
3610.000000 2.018199e+00
3620.000000 2.205715e+00
3630.000000 2.195287e+00
3640.000000 2.071050e+00
3650.000000 1.772473e+00
3660.000000 1.500415e+00
3670.000000 1.483819e+00
3680.000000 1.515936e+00
3690.000000 1.556817e+00
3700.000000 1.563662e+00
3710.000000 1.680572e+00
3720.000000 1.684492e+00
3730.000000 1.693181e+00
3740.000000 1.591178e+00
3750.000000 1.761564e+00
3760.000000 1.866409e+00
3770.000000 1.877137e+00
3780.000000 1.723721e+00
3790.000000 1.703712e+00
3800.000000 1.814506e+00
3810.000000 1.865882e+00
3820.000000 1.714069e+00
3830.000000 1.540695e+00
3840.000000 1.529636e+00
3850.000000 1.547068e+00
3860.000000 1.589577e+00
3870.000000 1.523827e+00
3880.000000 1.452741e+00
3890.000000 1.496143e+00
3900.000000 1.561543e+00
3910.000000 1.532390e+00
3920.000000 1.535689e+00
3930.000000 1.365537e+00
3940.000000 1.371186e+00
3950.000000 1.384393e+00
3960.000000 1.321667e+00
3970.000000 1.359473e+00
3980.000000 1.294306e+00
3990.000000 1.274296e+00
4000.000000 1.306818e+00
4010.000000 1.369653e+00
4020.000000 1.230315e+00
4030.000000 1.303052e+00
4040.000000 1.368438e+00
4050.000000 1.472643e+00
4060.000000 1.446080e+00
4070.000000 1.202305e+00
4080.000000 1.107565e+00
4090.000000 1.164051e+00
4100.000000 1.336117e+00
4110.000000 1.466043e+00
4120.000000 1.340886e+00
4130.000000 1.267405e+00
4140.000000 1.255670e+00
4150.000000 1.371092e+00
4160.000000 1.496392e+00
4170.000000 1.520001e+00
4180.000000 1.389666e+00
4190.000000 1.317822e+00
4200.000000 1.211865e+00
4210.000000 1.196270e+00
4220.000000 1.151881e+00
4230.000000 1.150684e+00
4240.000000 1.174370e+00
4250.000000 1.073160e+00
4260.000000 1.098984e+00
4270.000000 1.130069e+00
4280.000000 1.094388e+00
4290.000000 1.204320e+00
4300.000000 1.198537e+00
4310.000000 1.177065e+00
4320.000000 1.219494e+00
4330.000000 1.167641e+00
4340.000000 1.118342e+00
4350.000000 1.046358e+00
4360.000000 9.504288e-01
4370.000000 9.098437e-01
4380.000000 1.025605e+00
4390.000000 9.638049e-01
4400.000000 1.037713e+00
4410.000000 1.041409e+00
4420.000000 1.006593e+00
4430.000000 1.067808e+00
4440.000000 1.081640e+00
4450.000000 1.063463e+00
4460.000000 1.013183e+00
4470.000000 9.753054e-01
4480.000000 9.948255e-01
4490.000000 1.031177e+00
4500.000000 1.039898e+00
4510.000000 1.035368e+00
4520.000000 9.813244e-01
4530.000000 9.988803e-01
4540.000000 1.037939e+00
4550.000000 1.032597e+00
4560.000000 9.690178e-01
4570.000000 9.129115e-01
4580.000000 8.644059e-01
4590.000000 8.492066e-01
4600.000000 8.900737e-01
4610.000000 8.909346e-01
4620.000000 9.113815e-01
4630.000000 9.778658e-01
4640.000000 9.286866e-01
4650.000000 8.297172e-01
4660.000000 7.636535e-01
4670.000000 7.325672e-01
4680.000000 7.784894e-01
4690.000000 8.796365e-01
4700.000000 9.083498e-01
4710.000000 8.429315e-01
4720.000000 8.793338e-01
4730.000000 9.370161e-01
4740.000000 8.717571e-01
4750.000000 8.134268e-01
4760.000000 6.820893e-01
4770.000000 7.031812e-01
4780.000000 7.897444e-01
4790.000000 7.674487e-01
4800.000000 7.892132e-01
4810.000000 7.520221e-01
4820.000000 6.574548e-01
4830.000000 5.189185e-01
4840.000000 5.926875e-01
4850.000000 5.556745e-01
4860.000000 6.343439e-01
4870.000000 7.626318e-01
4880.000000 6.845365e-01
4890.000000 7.337939e-01
4900.000000 7.065649e-01
4910.000000 6.478095e-01
4920.000000 6.499411e-01
4930.000000 6.672479e-01
4940.000000 6.941838e-01
4950.000000 7.440554e-01
4960.000000 6.765128e-01
4970.000000 6.541870e-01
4980.000000 6.547841e-01
4990.000000 6.793424e-01
5000.000000 6.759597e-01
5010.000000 6.472810e-01
5020.000000 5.843631e-01
5030.000000 5.159238e-01
5040.000000 5.420956e-01
5050.000000 5.981644e-01
5060.000000 6.378927e-01
5070.000000 6.476186e-01
5080.000000 6.349388e-01
5090.000000 6.615524e-01
5100.000000 6.233057e-01
5110.000000 5.770291e-01
5120.000000 5.347481e-01
5130.000000 5.677133e-01
5140.000000 5.604764e-01
5150.000000 5.420414e-01
5160.000000 5.479515e-01
5170.000000 5.296470e-01
5180.000000 5.325091e-01
5190.000000 5.407350e-01
5200.000000 5.465005e-01
5210.000000 5.664800e-01
5220.000000 5.614938e-01
5230.000000 5.634501e-01
5240.000000 5.498324e-01
5250.000000 5.099160e-01
5260.000000 5.094225e-01
5270.000000 5.177460e-01
5280.000000 4.727483e-01
5290.000000 4.935416e-01
5300.000000 4.724737e-01
5310.000000 4.855406e-01
5320.000000 4.864448e-01
5330.000000 4.949834e-01
5340.000000 5.200929e-01
5350.000000 4.794302e-01
5360.000000 5.163268e-01
5370.000000 6.405627e-01
5380.000000 6.584275e-01
5390.000000 6.127318e-01
5400.000000 5.215765e-01
5410.000000 4.762770e-01
5420.000000 5.002075e-01
5430.000000 5.064775e-01
5440.000000 5.107007e-01
5450.000000 4.950389e-01
5460.000000 4.826360e-01
5470.000000 4.625660e-01
5480.000000 4.623517e-01
