       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 57028.066    99.0    99.0    99.0   4769.9     3631.0       g 
 57028.066    99.0    99.0    99.0  6370.44     3631.0       r 
 57028.066    99.0    99.0    99.0   7774.3     3631.0       i 
 57028.066    99.0    99.0    99.0  9154.88     3631.0       z 
 57030.725    99.0    99.0  26.514  6370.44     3631.0       r 
 57030.725    99.0    99.0  26.526   4769.9     3631.0       g 
 57030.725    99.0    99.0  26.677   7774.3     3631.0       i 
 57030.725    99.0    99.0  26.901  9154.88     3631.0       z 
 57033.385  24.981  23.975  23.547   4769.9     3631.0       g 
 57033.385  25.052  23.993  23.534  6370.44     3631.0       r 
 57033.385  25.165  24.153  23.695   7774.3     3631.0       i 
 57033.385   25.38  24.335  23.867  9154.88     3631.0       z 
  57036.04  22.905  22.756  22.632  6370.44     3631.0       r 
  57036.04   22.91   22.79  22.666   4769.9     3631.0       g 
  57036.04  23.026  22.878  22.774   7774.3     3631.0       i 
  57036.04  23.218  23.069  22.945  9154.88     3631.0       z 
 57036.045  22.904  22.755  22.631  6370.44     3631.0       r 
 57036.045  22.908  22.789  22.664   4769.9     3631.0       g 
 57036.045  23.024  22.877  22.773   7774.3     3631.0       i 
 57036.045  23.217  23.068  22.943  9154.88     3631.0       z 
  57038.12  22.375   22.29  22.218  6370.44     3631.0       r 
  57038.12    22.4  22.342  22.271   4769.9     3631.0       g 
  57038.12   22.48  22.408  22.336   7774.3     3631.0       i 
  57038.12   22.67  22.588  22.502  9154.88     3631.0       z 
 57038.704  22.271  22.186  22.116  6370.44     3631.0       r 
 57038.704  22.307  22.246  22.181   4769.9     3631.0       g 
 57038.704  22.374   22.31   22.24   7774.3     3631.0       i 
 57038.704  22.568  22.485  22.402  9154.88     3631.0       z 
  57039.05  22.217  22.134  22.067  6370.44     3631.0       r 
  57039.05  22.252  22.193  22.132   4769.9     3631.0       g 
  57039.05  22.314  22.254  22.185   7774.3     3631.0       i 
  57039.05  22.509   22.43  22.349  9154.88     3631.0       z 
  57040.08  22.062  21.994  21.924  6370.44     3631.0       r 
  57040.08  22.113  22.053  22.002   4769.9     3631.0       g 
  57040.08  22.157  22.105  22.039   7774.3     3631.0       i 
  57040.08  22.343  22.276  22.203  9154.88     3631.0       z 
 57041.364  21.911  21.846   21.77  6370.44     3631.0       r 
 57041.364  21.973  21.911  21.859   4769.9     3631.0       g 
 57041.364  21.998  21.945  21.887   7774.3     3631.0       i 
 57041.364  22.172  22.114  22.041  9154.88     3631.0       z 
  57042.07  21.837  21.772  21.693  6370.44     3631.0       r 
  57042.07  21.902  21.843  21.787   4769.9     3631.0       g 
  57042.07  21.919  21.869   21.81   7774.3     3631.0       i 
  57042.07   22.09  22.035   21.96  9154.88     3631.0       z 
 57044.023  21.657  21.591  21.521  6370.44     3631.0       r 
 57044.023  21.732  21.684   21.63   7774.3     3631.0       i 
 57044.023   21.74  21.679  21.627   4769.9     3631.0       g 
 57044.023    21.9  21.845  21.773  9154.88     3631.0       z 
  57044.08  21.653  21.586  21.516  6370.44     3631.0       r 
  57044.08  21.727  21.679  21.626   7774.3     3631.0       i 
  57044.08  21.735  21.675  21.622   4769.9     3631.0       g 
  57044.08  21.895   21.84  21.768  9154.88     3631.0       z 
   57044.1  21.651  21.585  21.515  6370.44     3631.0       r 
   57044.1  21.726  21.677  21.624   7774.3     3631.0       i 
   57044.1  21.734  21.673  21.621   4769.9     3631.0       g 
   57044.1  21.893  21.838  21.766  9154.88     3631.0       z 
  57045.08  21.572  21.509   21.44  6370.44     3631.0       r 
  57045.08  21.646  21.601  21.549   7774.3     3631.0       i 
  57045.08  21.665  21.605  21.553   4769.9     3631.0       g 
  57045.08  21.811  21.757  21.682  9154.88     3631.0       z 
 57046.683  21.462  21.398  21.336  6370.44     3631.0       r 
 57046.683  21.526  21.486  21.434   7774.3     3631.0       i 
 57046.683  21.567  21.509  21.455   4769.9     3631.0       g 
 57046.683  21.694  21.638  21.566  9154.88     3631.0       z 
  57049.06  21.328  21.257  21.201  6370.44     3631.0       r 
  57049.06  21.377  21.341  21.294   7774.3     3631.0       i 
  57049.06   21.44   21.39  21.337   4769.9     3631.0       g 
  57049.06  21.543  21.487  21.419  9154.88     3631.0       z 
 57049.343  21.313  21.242  21.187  6370.44     3631.0       r 
 57049.343   21.36  21.325  21.279   7774.3     3631.0       i 
 57049.343  21.427  21.377  21.325   4769.9     3631.0       g 
 57049.343  21.527   21.47  21.403  9154.88     3631.0       z 
  57051.07  21.229   21.16  21.105  6370.44     3631.0       r 
  57051.07  21.271  21.235  21.192   7774.3     3631.0       i 
  57051.07  21.357  21.306  21.256   4769.9     3631.0       g 
  57051.07  21.433  21.379   21.31  9154.88     3631.0       z 
  57051.09  21.228  21.159  21.105  6370.44     3631.0       r 
  57051.09   21.27  21.235  21.191   7774.3     3631.0       i 
  57051.09  21.356  21.305  21.255   4769.9     3631.0       g 
  57051.09  21.432  21.378  21.309  9154.88     3631.0       z 
 57052.002   21.19  21.118  21.066  6370.44     3631.0       r 
 57052.002  21.228  21.191  21.148   7774.3     3631.0       i 
 57052.002  21.321  21.273  21.223   4769.9     3631.0       g 
 57052.002  21.387  21.332  21.264  9154.88     3631.0       z 
  57052.07  21.187  21.115  21.063  6370.44     3631.0       r 
  57052.07  21.225  21.188  21.145   7774.3     3631.0       i 
  57052.07  21.319  21.271  21.221   4769.9     3631.0       g 
  57052.07  21.384  21.329  21.261  9154.88     3631.0       z 
 57054.662  21.089  21.015  20.964  6370.44     3631.0       r 
 57054.662   21.12  21.075  21.039   7774.3     3631.0       i 
 57054.662  21.234  21.188  21.138   4769.9     3631.0       g 
 57054.662  21.273  21.216  21.139  9154.88     3631.0       z 
 57057.321  21.003  20.929  20.879  6370.44     3631.0       r 
 57057.321  21.028  20.981  20.945   7774.3     3631.0       i 
 57057.321  21.163  21.121  21.069   4769.9     3631.0       g 
 57057.321  21.174  21.117  21.044  9154.88     3631.0       z 
 57059.981  20.933  20.857  20.808  6370.44     3631.0       r 
 57059.981  20.948  20.903  20.864   7774.3     3631.0       i 
 57059.981   21.09  21.033  20.964  9154.88     3631.0       z 
 57059.981   21.11  21.065  21.014   4769.9     3631.0       g 
  57060.03  20.932  20.856  20.807  6370.44     3631.0       r 
  57060.03  20.946  20.902  20.862   7774.3     3631.0       i 
  57060.03  21.088  21.031  20.963  9154.88     3631.0       z 
  57060.03  21.109  21.065  21.013   4769.9     3631.0       g 
  57060.04  20.932  20.856  20.807  6370.44     3631.0       r 
  57060.04  20.946  20.902  20.862   7774.3     3631.0       i 
  57060.04  21.088  21.031  20.963  9154.88     3631.0       z 
  57060.04  21.108  21.064  21.012   4769.9     3631.0       g 
  57060.05  20.931  20.856  20.807  6370.44     3631.0       r 
  57060.05  20.946  20.901  20.862   7774.3     3631.0       i 
  57060.05  21.088  21.031  20.962  9154.88     3631.0       z 
  57060.05  21.108  21.064  21.012   4769.9     3631.0       g 
 57062.641  20.869  20.799  20.749  6370.44     3631.0       r 
 57062.641   20.88  20.833  20.794   7774.3     3631.0       i 
 57062.641  21.019  20.959  20.891  9154.88     3631.0       z 
 57062.641  21.069  21.024  20.971   4769.9     3631.0       g 
   57065.3  20.819  20.748  20.699  6370.44     3631.0       r 
   57065.3  20.824  20.775  20.737   7774.3     3631.0       i 
   57065.3  20.959  20.897  20.826  9154.88     3631.0       z 
   57065.3  21.036  20.989  20.935   4769.9     3631.0       g 
  57067.96  20.776  20.726  20.686   7774.3     3631.0       i 
  57067.96  20.781   20.71  20.655  6370.44     3631.0       r 
  57067.96  20.912  20.845  20.769  9154.88     3631.0       z 
  57067.96  21.012  20.965  20.908   4769.9     3631.0       g 
 57070.619  20.737  20.683  20.646   7774.3     3631.0       i 
 57070.619  20.749  20.678  20.623  6370.44     3631.0       r 
 57070.619  20.868  20.799  20.723  9154.88     3631.0       z 
 57070.619  20.999  20.948  20.889   4769.9     3631.0       g 
 57073.279  20.704  20.649   20.61   7774.3     3631.0       i 
 57073.279  20.723  20.655  20.596  6370.44     3631.0       r 
 57073.279  20.831  20.759  20.684  9154.88     3631.0       z 
 57073.279  20.989  20.938  20.879   4769.9     3631.0       g 
 57075.939  20.677  20.623  20.584   7774.3     3631.0       i 
 57075.939  20.701  20.635  20.577  6370.44     3631.0       r 
 57075.939  20.798  20.728  20.651  9154.88     3631.0       z 
 57075.939  20.989  20.934  20.875   4769.9     3631.0       g 
  57078.01   20.66  20.605  20.566   7774.3     3631.0       i 
  57078.01  20.689  20.622  20.565  6370.44     3631.0       r 
  57078.01  20.774  20.706  20.631  9154.88     3631.0       z 
  57078.01  20.994  20.934  20.875   4769.9     3631.0       g 
  57078.02   20.66  20.605  20.565   7774.3     3631.0       i 
  57078.02  20.689  20.622  20.565  6370.44     3631.0       r 
  57078.02  20.774  20.706  20.631  9154.88     3631.0       z 
  57078.02  20.994  20.934  20.875   4769.9     3631.0       g 
  57078.03   20.66  20.605  20.565   7774.3     3631.0       i 
  57078.03  20.689  20.621  20.565  6370.44     3631.0       r 
  57078.03  20.774  20.706  20.631  9154.88     3631.0       z 
  57078.03  20.994  20.934  20.876   4769.9     3631.0       g 
  57078.04   20.66  20.605  20.565   7774.3     3631.0       i 
  57078.04  20.689  20.621  20.565  6370.44     3631.0       r 
  57078.04  20.774  20.705  20.631  9154.88     3631.0       z 
  57078.04  20.994  20.934  20.876   4769.9     3631.0       g 
 57078.598  20.656    20.6   20.56   7774.3     3631.0       i 
 57078.598  20.686  20.619  20.563  6370.44     3631.0       r 
 57078.598  20.768    20.7  20.626  9154.88     3631.0       z 
 57078.598  20.995  20.936  20.877   4769.9     3631.0       g 
 57081.258  20.641  20.583  20.541   7774.3     3631.0       i 
 57081.258  20.676  20.611  20.555  6370.44     3631.0       r 
 57081.258  20.744  20.675  20.601  9154.88     3631.0       z 
 57081.258  21.009  20.941  20.889   4769.9     3631.0       g 
 57083.917   20.63  20.575  20.527   7774.3     3631.0       i 
 57083.917  20.671  20.607   20.55  6370.44     3631.0       r 
 57083.917  20.726   20.66   20.58  9154.88     3631.0       z 
 57083.917  21.025  20.954  20.902   4769.9     3631.0       g 
 57086.577  20.624  20.571  20.517   7774.3     3631.0       i 
 57086.577  20.672  20.609  20.554  6370.44     3631.0       r 
 57086.577  20.714  20.645  20.566  9154.88     3631.0       z 
 57086.577  21.048  20.972  20.919   4769.9     3631.0       g 
 57089.237  20.621  20.566  20.512   7774.3     3631.0       i 
 57089.237  20.679  20.615  20.557  6370.44     3631.0       r 
 57089.237  20.706  20.635  20.556  9154.88     3631.0       z 
 57089.237  21.073  20.996   20.94   4769.9     3631.0       g 
 57091.896  20.625  20.568  20.511   7774.3     3631.0       i 
 57091.896  20.692  20.626  20.566  6370.44     3631.0       r 
 57091.896  20.703   20.63  20.551  9154.88     3631.0       z 
 57091.896   21.11  21.023  20.966   4769.9     3631.0       g 
   57092.0  20.625  20.568  20.511   7774.3     3631.0       i 
   57092.0  20.693  20.626  20.566  6370.44     3631.0       r 
   57092.0  20.703   20.63   20.55  9154.88     3631.0       z 
   57092.0  21.111  21.025  20.967   4769.9     3631.0       g 
  57092.01  20.625  20.568  20.511   7774.3     3631.0       i 
  57092.01  20.693  20.626  20.566  6370.44     3631.0       r 
  57092.01  20.703   20.63   20.55  9154.88     3631.0       z 
  57092.01  21.111  21.025  20.967   4769.9     3631.0       g 
 57094.556  20.633  20.575  20.514   7774.3     3631.0       i 
 57094.556  20.704  20.628  20.547  9154.88     3631.0       z 
 57094.556  20.707  20.641   20.58  6370.44     3631.0       r 
 57094.556  21.148  21.058  20.998   4769.9     3631.0       g 
 57097.215  20.643  20.584  20.522   7774.3     3631.0       i 
 57097.215  20.707  20.628  20.547  9154.88     3631.0       z 
 57097.215  20.729  20.663  20.598  6370.44     3631.0       r 
 57097.215  21.188  21.096  21.029   4769.9     3631.0       g 
 57099.875  20.657  20.594  20.532   7774.3     3631.0       i 
 57099.875  20.717  20.638  20.551  9154.88     3631.0       z 
 57099.875  20.753  20.685  20.621  6370.44     3631.0       r 
 57099.875  21.235  21.138  21.067   4769.9     3631.0       g 
 57102.535  20.674  20.605  20.544   7774.3     3631.0       i 
 57102.535  20.724  20.648  20.559  9154.88     3631.0       z 
 57102.535  20.784  20.714  20.647  6370.44     3631.0       r 
 57102.535  21.295  21.185  21.109   4769.9     3631.0       g 
 57105.194  20.697  20.624   20.56   7774.3     3631.0       i 
 57105.194  20.737  20.658  20.568  9154.88     3631.0       z 
 57105.194  20.815  20.746  20.676  6370.44     3631.0       r 
 57105.194  21.354  21.237  21.156   4769.9     3631.0       g 
 57107.854  20.728  20.647  20.581   7774.3     3631.0       i 
 57107.854  20.758  20.673  20.582  9154.88     3631.0       z 
 57107.854  20.851  20.781  20.709  6370.44     3631.0       r 
 57107.854  21.416  21.289  21.208   4769.9     3631.0       g 
 57110.513  20.757  20.674  20.604   7774.3     3631.0       i 
 57110.513  20.782  20.691  20.599  9154.88     3631.0       z 
 57110.513  20.896  20.819  20.745  6370.44     3631.0       r 
 57110.513  21.485  21.345  21.261   4769.9     3631.0       g 
 57113.173  20.792    20.7   20.63   7774.3     3631.0       i 
 57113.173  20.806  20.713  20.617  9154.88     3631.0       z 
 57113.173  20.945  20.859  20.783  6370.44     3631.0       r 
 57113.173  21.566  21.408  21.318   4769.9     3631.0       g 
 57115.833  20.832   20.74  20.638  9154.88     3631.0       z 
 57115.833  20.837  20.733  20.658   7774.3     3631.0       i 
 57115.833  20.996  20.902  20.822  6370.44     3631.0       r 
 57115.833  21.646   21.48   21.38   4769.9     3631.0       g 
 57118.492  20.862   20.77  20.664  9154.88     3631.0       z 
 57118.492  20.875  20.765  20.691   7774.3     3631.0       i 
 57118.492  21.055  20.946  20.865  6370.44     3631.0       r 
 57118.492  21.734  21.551  21.445   4769.9     3631.0       g 
 57121.152  20.893    20.8   20.69  9154.88     3631.0       z 
 57121.152  20.917  20.801  20.731   7774.3     3631.0       i 
 57121.152  21.115  20.994  20.914  6370.44     3631.0       r 
 57121.152  21.829  21.628  21.515   4769.9     3631.0       g 
 57123.811  20.933  20.831  20.717  9154.88     3631.0       z 
 57123.811  20.964  20.844  20.771   7774.3     3631.0       i 
 57123.811  21.174  21.046  20.965  6370.44     3631.0       r 
 57123.811  21.929  21.705  21.588   4769.9     3631.0       g 
 57126.471  20.973  20.863   20.75  9154.88     3631.0       z 
 57126.471  21.017  20.888  20.811   7774.3     3631.0       i 
 57126.471  21.246  21.105  21.016  6370.44     3631.0       r 
 57126.471  22.031  21.786   21.67   4769.9     3631.0       g 
 57129.131  21.013    20.9  20.787  9154.88     3631.0       z 
 57129.131  21.072  20.933  20.854   7774.3     3631.0       i 
 57129.131  21.324  21.165  21.072  6370.44     3631.0       r 
 57129.131  22.149  21.878   21.75   4769.9     3631.0       g 
  57131.79  21.062  20.941  20.824  9154.88     3631.0       z 
  57131.79  21.129  20.982  20.899   7774.3     3631.0       i 
  57131.79  21.398  21.227  21.129  6370.44     3631.0       r 
  57131.79  22.269  21.979  21.835   4769.9     3631.0       g 
  57134.45  21.109  20.983  20.863  9154.88     3631.0       z 
  57134.45  21.188  21.031   20.95   7774.3     3631.0       i 
  57134.45  21.473  21.294  21.191  6370.44     3631.0       r 
  57134.45  22.386  22.081  21.919   4769.9     3631.0       g 
 57137.109  21.161  21.028  20.907  9154.88     3631.0       z 
 57137.109  21.252  21.088  21.002   7774.3     3631.0       i 
 57137.109  21.551  21.362  21.255  6370.44     3631.0       r 
 57137.109  22.505  22.184  22.011   4769.9     3631.0       g 
 57139.769  21.209  21.073  20.955  9154.88     3631.0       z 
 57139.769  21.319  21.151  21.054   7774.3     3631.0       i 
 57139.769  21.636  21.432  21.322  6370.44     3631.0       r 
 57139.769  22.625  22.285  22.107   4769.9     3631.0       g 
 57142.429  21.261   21.12  21.005  9154.88     3631.0       z 
 57142.429  21.389  21.215  21.111   7774.3     3631.0       i 
 57142.429  21.726  21.509  21.393  6370.44     3631.0       r 
 57142.429  22.755  22.392  22.206   4769.9     3631.0       g 
 57145.088  21.322  21.169  21.056  9154.88     3631.0       z 
 57145.088  21.457  21.278  21.169   7774.3     3631.0       i 
 57145.088  21.818  21.592  21.465  6370.44     3631.0       r 
 57145.088   22.89  22.502  22.316   4769.9     3631.0       g 
 57147.748  21.379  21.222   21.11  9154.88     3631.0       z 
 57147.748  21.524  21.344  21.229   7774.3     3631.0       i 
 57147.748  21.918  21.677  21.535  6370.44     3631.0       r 
 57147.748  23.026   22.62  22.419   4769.9     3631.0       g 
 57150.407  21.436  21.283  21.161  9154.88     3631.0       z 
 57150.407  21.597  21.407  21.293   7774.3     3631.0       i 
 57150.407   22.02  21.763  21.617  6370.44     3631.0       r 
 57150.407  23.168  22.739  22.527   4769.9     3631.0       g 
 57153.067  21.495   21.34  21.212  9154.88     3631.0       z 
 57153.067  21.672  21.476  21.355   7774.3     3631.0       i 
 57153.067  22.125  21.854  21.702  6370.44     3631.0       r 
 57153.067  23.309  22.861  22.642   4769.9     3631.0       g 
 57155.727  21.557  21.399  21.267  9154.88     3631.0       z 
 57155.727  21.752  21.548  21.424   7774.3     3631.0       i 
 57155.727  22.227  21.942  21.791  6370.44     3631.0       r 
 57155.727   23.45  22.987  22.762   4769.9     3631.0       g 
 57158.386   21.62  21.461  21.325  9154.88     3631.0       z 
 57158.386  21.833  21.624  21.494   7774.3     3631.0       i 
 57158.386  22.337  22.037  21.878  6370.44     3631.0       r 
 57158.386  23.577  23.117  22.886   4769.9     3631.0       g 
 57161.046  21.687  21.522  21.388  9154.88     3631.0       z 
 57161.046  21.919  21.701  21.564   7774.3     3631.0       i 
 57161.046  22.438  22.138  21.966  6370.44     3631.0       r 
 57161.046  23.722  23.249  23.013   4769.9     3631.0       g 
 57163.705   21.75  21.586  21.454  9154.88     3631.0       z 
 57163.705  21.995  21.778  21.639   7774.3     3631.0       i 
 57163.705  22.543  22.236  22.058  6370.44     3631.0       r 
 57163.705  23.854  23.385  23.143   4769.9     3631.0       g 
 57166.365  21.814  21.654  21.519  9154.88     3631.0       z 
 57166.365  22.075  21.857  21.716   7774.3     3631.0       i 
 57166.365  22.645  22.339  22.156  6370.44     3631.0       r 
 57166.365  24.001  23.528  23.272   4769.9     3631.0       g 
 57169.025  21.887  21.725  21.587  9154.88     3631.0       z 
 57169.025  22.153  21.939  21.792   7774.3     3631.0       i 
 57169.025  22.729  22.439  22.254  6370.44     3631.0       r 
 57169.025  24.138  23.663   23.41   4769.9     3631.0       g 
 57171.684  21.958  21.794  21.655  9154.88     3631.0       z 
 57171.684  22.232  22.021   21.87   7774.3     3631.0       i 
 57171.684  22.817  22.549  22.355  6370.44     3631.0       r 
 57171.684  24.248  23.806   23.55   4769.9     3631.0       g 
 57174.344  22.023  21.864  21.724  9154.88     3631.0       z 
 57174.344   22.32  22.104  21.952   7774.3     3631.0       i 
 57174.344  22.902  22.654  22.462  6370.44     3631.0       r 
 57174.344  24.373  23.935  23.689   4769.9     3631.0       g 
 57177.003  22.087  21.939  21.795  9154.88     3631.0       z 
 57177.003  22.407  22.187  22.038   7774.3     3631.0       i 
 57177.003  22.987  22.748   22.57  6370.44     3631.0       r 
 57177.003  24.453  24.083  23.811   4769.9     3631.0       g 
 57179.663  22.154  22.006  21.868  9154.88     3631.0       z 
 57179.663   22.49  22.271  22.125   7774.3     3631.0       i 
 57179.663  23.077  22.845  22.669  6370.44     3631.0       r 
 57179.663  24.545  24.207  23.934   4769.9     3631.0       g 
 57182.323  22.225  22.077  21.941  9154.88     3631.0       z 
 57182.323  22.562  22.356  22.207   7774.3     3631.0       i 
 57182.323  23.149  22.936  22.775  6370.44     3631.0       r 
 57182.323  24.627  24.318  24.073   4769.9     3631.0       g 
 57184.982  22.292   22.15  22.015  9154.88     3631.0       z 
 57184.982  22.627  22.435  22.288   7774.3     3631.0       i 
 57184.982  23.216  23.021  22.887  6370.44     3631.0       r 
 57184.982  24.696  24.435  24.169   4769.9     3631.0       g 
 57187.642  22.354  22.218  22.085  9154.88     3631.0       z 
 57187.642  22.688  22.509   22.37   7774.3     3631.0       i 
 57187.642  23.288  23.105  22.973  6370.44     3631.0       r 
 57187.642  24.769  24.561  24.263   4769.9     3631.0       g 
 57190.301  22.417  22.285  22.158  9154.88     3631.0       z 
 57190.301  22.754  22.578  22.451   7774.3     3631.0       i 
 57190.301  23.352  23.188  23.067  6370.44     3631.0       r 
 57190.301  24.854  24.656  24.371   4769.9     3631.0       g 
 57192.961  22.477  22.353  22.229  9154.88     3631.0       z 
 57192.961  22.812   22.65  22.531   7774.3     3631.0       i 
 57192.961  23.413  23.259  23.162  6370.44     3631.0       r 
 57192.961   24.93  24.767   24.47   4769.9     3631.0       g 
 57195.621  22.543  22.419  22.299  9154.88     3631.0       z 
 57195.621  22.869  22.723  22.606   7774.3     3631.0       i 
 57195.621  23.482  23.337   23.24  6370.44     3631.0       r 
 57195.621  25.004  24.844  24.572   4769.9     3631.0       g 
  57198.28  22.603  22.483  22.368  9154.88     3631.0       z 
  57198.28  22.924  22.793  22.679   7774.3     3631.0       i 
  57198.28   23.54  23.418  23.316  6370.44     3631.0       r 
  57198.28  25.097  24.909   24.66   4769.9     3631.0       g 
  57200.94  22.653  22.547  22.436  9154.88     3631.0       z 
  57200.94   22.98  22.856  22.747   7774.3     3631.0       i 
  57200.94  23.603  23.485  23.384  6370.44     3631.0       r 
  57200.94  25.165  24.985  24.737   4769.9     3631.0       g 
 57203.599  22.705  22.606    22.5  9154.88     3631.0       z 
 57203.599  23.033  22.918  22.818   7774.3     3631.0       i 
 57203.599  23.653  23.552  23.447  6370.44     3631.0       r 
 57203.599  25.225  25.045  24.796   4769.9     3631.0       g 
 57206.259  22.764  22.661  22.565  9154.88     3631.0       z 
 57206.259   23.09   22.98  22.883   7774.3     3631.0       i 
 57206.259  23.706  23.616  23.509  6370.44     3631.0       r 
 57206.259  25.289  25.101  24.858   4769.9     3631.0       g 
 57208.919  22.821  22.719  22.626  9154.88     3631.0       z 
 57208.919  23.141   23.04  22.947   7774.3     3631.0       i 
 57208.919  23.759  23.674  23.569  6370.44     3631.0       r 
 57208.919  25.349  25.153  24.916   4769.9     3631.0       g 
  57211.36  22.868  22.773  22.677  9154.88     3631.0       z 
  57211.36  23.185  23.094  23.004   7774.3     3631.0       i 
  57211.36  23.809  23.723  23.623  6370.44     3631.0       r 
  57211.36  25.406  25.199  24.968   4769.9     3631.0       g 
  57211.39  22.868  22.774  22.677  9154.88     3631.0       z 
  57211.39  23.186  23.095  23.005   7774.3     3631.0       i 
  57211.39   23.81  23.724  23.624  6370.44     3631.0       r 
  57211.39  25.407    25.2  24.969   4769.9     3631.0       g 
 57211.578  22.872  22.778  22.681  9154.88     3631.0       z 
 57211.578  23.189  23.099  23.009   7774.3     3631.0       i 
 57211.578  23.814  23.727  23.629  6370.44     3631.0       r 
 57211.578  25.411  25.204  24.977   4769.9     3631.0       g 
 57214.238  22.921  22.831  22.738  9154.88     3631.0       z 
 57214.238  23.232  23.153  23.067   7774.3     3631.0       i 
 57214.238  23.865  23.781  23.694  6370.44     3631.0       r 
 57214.238  25.466  25.259  25.034   4769.9     3631.0       g 
 57216.897  22.969  22.885  22.795  9154.88     3631.0       z 
 57216.897  23.285  23.206  23.124   7774.3     3631.0       i 
 57216.897  23.914  23.831  23.753  6370.44     3631.0       r 
