# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = DES15E2mlf
# TELESCOPE = Gemini-S
# INSTRUMENT = GMOS
# DATE-OBS = 2015-12-15
# MJD =
# EXPTIME =
# SLIT =
# DISPERSER =
# SOURCE = 2019MNRAS.487.2215A
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY = MEDIUM
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
3790.0 -3.964387e-20
3791.5 -8.455283e-18
3793.0 8.147059e-18
3794.5 1.308419e-17
3796.0 2.674965e-18
3797.5 2.979249e-17
3799.0 2.712031e-17
3800.5 3.823848e-18
3802.0 6.189482e-18
3803.5 4.790065e-18
3805.0 1.040678e-17
3806.5 2.584865e-17
3808.0 2.887065e-17
3809.5 8.138913e-18
3811.0 -8.897148e-18
3812.5 1.531034e-17
3814.0 2.249242e-17
3815.5 3.508991e-17
3817.0 5.13646e-18
3818.5 2.565281e-18
3820.0 2.034815e-17
3821.5 2.807921e-17
3823.0 1.717328e-17
3824.5 1.627271e-17
3826.0 1.707218e-17
3827.5 -1.807261e-17
3829.0 -6.197105e-18
3830.5 2.105491e-17
3832.0 9.604544e-18
3833.5 2.047079e-17
3835.0 1.282273e-17
3836.5 2.046298e-19
3838.0 4.125876e-18
3839.5 -3.899033e-18
3841.0 1.012242e-18
3842.5 -2.596851e-18
3844.0 -4.45349e-19
3845.5 -1.082846e-17
3847.0 8.091008e-18
3848.5 -1.899296e-17
3850.0 -7.256532e-18
3851.5 -1.962611e-19
3853.0 -6.145918e-18
3854.5 -1.396277e-17
3856.0 -4.514965e-18
3857.5 -1.058251e-17
3859.0 -2.952729e-18
3860.5 -1.595921e-17
3862.0 5.916034e-18
3863.5 1.057282e-17
3865.0 -6.990199e-18
3866.5 9.81524e-18
3868.0 6.801458e-19
3869.5 3.229273e-18
3871.0 -1.631055e-17
3872.5 3.631637e-18
3874.0 -1.783237e-18
3875.5 -1.062814e-18
3877.0 -1.171269e-17
3878.5 -6.902081e-18
3880.0 4.248716e-18
3881.5 5.779795e-19
3883.0 9.707256e-18
3884.5 1.06493e-17
3886.0 -1.280115e-17
3887.5 -1.267963e-17
3889.0 2.261772e-18
3890.5 3.950689e-18
3892.0 2.087474e-17
3893.5 8.782568e-18
3895.0 1.067152e-17
3896.5 -6.694374e-18
3898.0 -4.016065e-18
3899.5 -2.815071e-18
3901.0 3.91029e-18
3902.5 -4.628855e-18
3904.0 1.146775e-18
3905.5 1.492252e-17
3907.0 -2.959903e-18
3908.5 3.180224e-18
3910.0 3.466376e-18
3911.5 7.995032e-18
3913.0 1.095749e-17
3914.5 5.259429e-18
3916.0 -7.955663e-20
3917.5 -2.470367e-18
3919.0 4.70654e-19
3920.5 2.024385e-18
3922.0 -1.049021e-17
3923.5 1.557659e-18
3925.0 7.520015e-20
3926.5 1.27695e-18
3928.0 2.186328e-18
3929.5 4.460215e-18
3931.0 4.699831e-18
3932.5 -2.718137e-19
3934.0 3.13987e-18
3935.5 9.93596e-18
3937.0 1.557599e-17
3938.5 1.230353e-17
3940.0 1.186151e-17
3941.5 1.697062e-18
3943.0 4.582726e-18
3944.5 4.664062e-18
3946.0 2.81449e-18
3947.5 4.506821e-18
3949.0 2.810133e-18
3950.5 -6.552403e-18
3952.0 -4.443954e-18
3953.5 1.278958e-17
3955.0 6.810807e-18
3956.5 9.726903e-18
3958.0 -2.064994e-18
3959.5 1.03971e-17
3961.0 1.301529e-17
3962.5 1.790497e-17
3964.0 -3.365677e-18
3965.5 -5.125702e-18
3967.0 -2.890526e-18
3968.5 -3.27374e-18
3970.0 -3.250976e-18
3971.5 1.587802e-18
3973.0 2.346709e-19
3974.5 1.200117e-17
3976.0 1.302976e-18
3977.5 2.440678e-19
3979.0 -4.920763e-18
3980.5 9.999653e-18
3982.0 4.766484e-18
3983.5 5.316777e-18
3985.0 3.481207e-18
3986.5 -6.135673e-18
3988.0 -1.699349e-18
3989.5 4.468838e-18
3991.0 -6.620231e-18
3992.5 -1.297483e-18
3994.0 1.30026e-17
3995.5 1.215103e-17
3997.0 5.864406e-18
3998.5 1.108381e-18
4000.0 4.103574e-18
4001.5 2.202912e-18
4003.0 1.149398e-17
4004.5 6.893707e-18
4006.0 1.29647e-17
4007.5 6.936706e-18
4009.0 -7.12381e-19
4010.5 5.197706e-18
4012.0 7.704068e-18
4013.5 -2.883727e-18
4015.0 -3.237498e-18
4016.5 2.870154e-18
4018.0 2.035246e-17
4019.5 -3.525995e-18
4021.0 -2.172402e-18
4022.5 2.622575e-18
4024.0 1.722066e-18
4025.5 2.194326e-18
4027.0 5.232015e-18
4028.5 5.265404e-18
4030.0 -1.707776e-18
4031.5 5.256416e-18
4033.0 7.670648e-18
4034.5 1.24848e-17
4036.0 8.967287e-18
4037.5 9.311025e-19
4039.0 -4.889679e-18
4040.5 3.416538e-18
4042.0 2.241856e-18
4043.5 7.905707e-18
4045.0 3.517859e-18
4046.5 4.587824e-18
4048.0 4.81289e-19
4049.5 5.53925e-19
4051.0 7.377537e-18
4052.5 5.325187e-18
4054.0 -3.487654e-18
4055.5 2.36903e-18
4057.0 4.590349e-18
4058.5 -2.088545e-18
4060.0 1.031389e-17
4061.5 4.671274e-18
4063.0 3.896034e-18
4064.5 4.906193e-18
4066.0 7.484141e-18
4067.5 6.888236e-18
4069.0 1.250858e-18
4070.5 5.019832e-19
4072.0 2.071458e-18
4073.5 2.307633e-18
4075.0 -1.956131e-18
4076.5 -6.284508e-19
4078.0 -1.911399e-18
4079.5 3.956742e-18
4081.0 -4.280748e-18
4082.5 5.402762e-18
4084.0 -1.752939e-18
4085.5 -5.612698e-18
4087.0 5.876666e-18
4088.5 7.301734e-18
4090.0 -2.52319e-18
4091.5 -3.669105e-19
4093.0 1.341624e-18
4094.5 1.186889e-18
4096.0 -2.115174e-18
4097.5 5.444569e-18
4099.0 9.636526e-18
4100.5 5.936765e-18
4102.0 5.271348e-18
4103.5 1.087938e-17
4105.0 5.16438e-18
4106.5 -1.449048e-18
4108.0 5.624547e-18
4109.5 7.348947e-18
4111.0 2.824152e-18
4112.5 6.206977e-18
4114.0 2.163417e-20
4115.5 6.978583e-18
4117.0 2.079013e-18
4118.5 -2.043523e-18
4120.0 -1.06848e-19
4121.5 8.36455e-18
4123.0 5.125884e-18
4124.5 6.79954e-18
4126.0 -4.446044e-18
4127.5 -8.462757e-19
4129.0 5.416271e-18
4130.5 1.324992e-18
4132.0 -6.696826e-19
4133.5 1.280023e-18
4135.0 -9.360199e-19
4136.5 3.664269e-18
4138.0 -2.457382e-19
4139.5 4.156489e-18
4141.0 3.379882e-18
4142.5 7.692796e-18
4144.0 -1.645853e-18
4145.5 6.620011e-19
4147.0 4.534264e-18
4148.5 1.925512e-18
4150.0 2.564706e-18
4151.5 -4.166019e-18
4153.0 1.438634e-18
4154.5 2.862106e-18
4156.0 8.394381e-19
4157.5 4.172074e-18
4159.0 -1.524865e-18
4160.5 -1.309033e-18
4162.0 -3.58249e-18
4163.5 3.45286e-18
4165.0 3.244435e-18
4166.5 -1.601706e-18
4168.0 5.006554e-18
4169.5 6.030813e-19
4171.0 1.325735e-18
4172.5 2.616818e-18
4174.0 2.438887e-18
4175.5 4.09274e-18
4177.0 3.606882e-18
4178.5 3.951499e-18
4180.0 -1.28828e-19
4181.5 7.125646e-18
