 log(Bfield)      Mns     Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma  mejecta  log(nhhost)  temperature  texplosion  thetaPB     vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.16064  1.29196   6.79243       0.14922         2252.58457  0.02886  0.01067     0.14203  6.15568     16.84492   4051.73734   -11.69037  0.74096  6501.35121    4e-05  57343.52963  52.17748   1.72235  21.97938  57377.68195 
    14.12812  1.55841   7.44313       4.72127          2107.8021  0.01408  0.01661     0.01981   3.9268     18.44234   5005.82362   -10.62098  0.73446  6012.49935  0.00154  57344.59902   52.0595   0.74878  21.96036  57380.32065 
    14.03976  1.55324   7.82422       4.61131         2014.29256  0.06528    0.014     0.13627  4.27528     19.53904   8010.57646    -8.21855  1.22189  6434.06776  0.01922  57347.00145  52.12829   3.55191   21.9352  57380.32065 
    14.29808  1.65276    8.0382       3.72812         2414.26867  0.02262   0.0125     0.01341  5.50959     19.07685   8636.45859    -9.26032  0.52818  6206.49265  0.00663  57345.95968  52.12534   1.31379  21.93561  57377.68195 
    14.04788  1.44502    6.9121       0.11567         2877.47092  0.00263  0.01414     0.07986  4.03465     18.92054   4893.07587   -12.06675  1.28913  5960.00454  0.00463  57343.15325  52.05507     0.141  21.95982  57375.04326 
    14.41005  2.03112   8.97713       0.15437         2641.42001  0.01194  0.01809     0.06599  3.46548     19.27161   4431.20838   -11.34225  0.78171  6206.00549  0.01038  57343.87775    52.072   0.61328  21.91294  57375.04326 
    13.93116  1.49262   9.45619       3.48805         2500.64077  0.18727  0.01085     0.04977  8.18954     18.17154   4920.20051    -9.77772  1.44125  6176.65435  0.00082  57345.44228  52.16203  11.95023  21.97216  57377.68195 
    14.29827  1.25303   6.76959       0.41568         2298.12521  0.07696  0.01215     0.02713  5.05534     18.23878   5131.19128   -10.32145  0.46931  6567.30907  0.00096  57344.89855  52.16502   4.37424   21.9526  57377.68195 
    14.27791  1.70628   7.61753       1.93516         2445.54051   0.0087  0.03314        0.32  2.20149     19.50815   9468.88444    -12.5317  0.56695  5384.86575   0.0179   57342.6883  51.88938   0.38981  21.95751  57380.32065 
    14.33473  1.16481   6.97277       1.68502         2068.41904  0.08498  0.01225     0.08429  7.99841       19.708   3949.88642   -11.86478  0.43696  6281.79594  0.02836  57343.35522  52.17436   5.39383  21.92996  57377.68195 
    14.36852  1.71304   8.59569       3.87687         2638.69231  0.00338  0.04003     0.42187  1.94545     18.78263   7867.77601   -11.18667  0.53799  5500.54085  0.00337  57344.03333  51.89015   0.14529  21.94204  57377.68195 
    14.04896  1.53509   7.46909       1.38903         2385.93947  0.01664  0.02305     0.10475  2.90999     17.07689   6020.41883   -11.11581  1.07517  6349.81236    7e-05  57344.10419  52.06999   0.81275  21.95373  57377.68195 
    14.18278   1.6837   7.76099       0.72766          2106.5831  0.00164  0.01461     0.04401  6.59663      16.1217   9838.96268   -15.84068  1.44987  4919.41666    1e-05  57339.37932  51.94252   0.09953  21.92052  57377.68195 
    14.20289  1.77866   8.19812       2.12118         2188.85233  0.02557  0.01332     0.02291  7.45994     20.28928   5673.98809   -11.38847  1.31718  5831.46723  0.10814  57343.83153   52.1028   1.59688  21.93058  57377.68195 
     14.4356  1.98568   9.10389       0.72767         2249.99904  0.00152   0.0323     0.39398  1.99994     17.38988   9369.00434    -10.6024  0.71332  6058.13196  0.00014   57344.6176  51.97803   0.06598  21.92939  57377.68195 
    14.50406  1.72036   8.10323        0.6382         2171.58144  0.00657  0.02453     0.42172  3.61258     19.02899   6045.37483   -12.87447  0.45933  6132.60352  0.00594  57342.34553  52.06671   0.34173  21.89586  57377.68195 
     14.5529  1.95977  10.03448       3.67944         2033.08917  0.09028  0.01359     0.01134  6.04724     17.97742    4037.0862   -10.48592  0.49493  6325.62363  0.00053  57344.73408  52.15181   5.36485  21.94014  57377.68195 
