 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB  mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -25.25669  0.02456   3.4772     14.11269   1.9166  0.61592  3.61566  0.09822     0.01185  10817.36209   4779.33055  0.68551         3428.35548     18.56052  0.00202  57186.10331  2.52382  0.08879  1280626.54876   45.3615  21.00547   57236.1223    51.12691       44.61504   22.51744  23.84199   35.0    0.40957  -21.65664  0.99501 
  -20.88317  0.22561  3.13533     14.62657   1.7868  0.33727  4.61424  0.11182     0.02969   11319.4802   4610.84904  1.28534          2936.1068     19.99098  0.05441  57190.47683   3.5268  1.04103    91059.58423  46.56903  21.03187   57236.1223    51.13466       44.62927   22.31782  24.04161   34.5    0.36734  -21.67019  0.95084 
  -19.50762  0.00316  3.16682     14.28453  1.95467  1.10668  3.86373  0.10876     0.03522   9559.10284   5074.73648  0.95888         3818.91906     18.47053  0.00164  57191.85238  2.10605  0.01221    490991.6593   45.8676  21.00345   57236.1223    51.11017       44.59782   20.97714  24.22581   34.0     0.3855  -21.59853  0.99946 
  -25.51813   0.0044   3.0602     13.99701  1.52088  0.74916   1.9972  0.20024     0.03077   10732.9188   4947.28724   0.7622         3354.74539     18.76233  0.00321  57185.84187  1.37241   0.0088  1340883.03804  45.35205  21.01264   57236.1223    51.11499       44.59017   22.51744  25.16655   34.5    0.39162  -21.63708  0.99946 
  -23.57827  0.08049  3.46835     14.04071   1.7471  1.07506  4.98276  0.07194     0.01381  10383.48466   4807.40929  0.80825         3392.83998     17.97291  0.00052  57187.78173  3.20467  0.40107  1617936.41696  45.22196  21.05187   57236.1223     51.0978       44.58057   19.86833  25.16655   35.5    0.37783  -21.59976  0.97514 
  -27.36419  0.00234  3.41101      14.4817  1.95263  0.26829  4.21701  0.10186     0.01107  10667.73645   4831.86602  0.89793         3084.08803     19.95752  0.05038  57183.99581   2.8627  0.00985   229513.72448  46.13289  21.01258  57233.65863    51.13254       44.61487   23.62625  24.05774   34.5    0.38983  -21.69303  0.99948 
  -21.27127  0.06487  3.48856     14.40153   1.7919  0.43808  2.17492  0.14225     0.02378   9246.05013   5025.11733  0.93362         3774.38168     16.57471    2e-05  57190.08873  1.10913   0.1411   318683.80656  45.93351   21.0467   57236.1223    51.11116       44.60423   21.19288  24.01006   34.0    0.39938  -21.59018  0.99136 
  -23.94877  0.00135  3.66879     14.56782  1.93226  0.25786    4.205  0.08377     0.01072   9988.21967   4978.90474  0.92269         3499.00103     18.20029  0.00088  57187.41123  2.50247  0.00568   176724.23093  46.17857   21.0005  57233.65863    51.12616       44.60251   19.86833  25.33462   34.0    0.41107  -21.62775  0.99965 
  -22.72547  0.00208  3.62501     14.03035  1.82406  1.11032  1.13693  0.28115     0.06341  10843.92799   4656.91553  0.86566         3373.73967     17.47049  0.00016  57188.63453   0.7975  0.00237  1935419.29299  45.12449  21.02986  57233.65863    51.03575       44.48188   25.16655  26.49111   35.5    0.38852  -21.63705  0.99985 
  -20.77327  0.03502  3.67141     14.27311  1.97101  0.73605  4.11047  0.08216     0.01288   9538.66036   5089.84305  0.82165         3886.05969     18.59905  0.00221  57190.58673  2.23097  0.14395   701380.63903  45.58792  21.01808   57236.1223    51.12754        44.6163   21.19288  24.01006   33.0     0.4188  -21.60382  0.99155 
  -23.83419  0.04005  3.28314     13.82894  1.76034  1.52751   1.6129  0.18979     0.01971   9710.34417   4781.16784  0.77771          3664.4292     17.16378    8e-05  57187.52581   0.9072  0.06459  3873607.57143  44.89375  21.04009   57236.1223    51.11796       44.59954   23.84199  24.01006   34.5    0.41214  -21.60313  0.99632 
  -19.69802  0.00107  3.38802     14.24443  1.91488  0.95088  2.86488  0.12434     0.03667  10134.33977   4821.31564   0.8701         3690.46309     19.02859  0.00593  57191.66198  1.75519  0.00306   662215.18243   45.6701  20.95889   57236.1223    51.10578       44.59954   21.19288  24.01006   35.0    0.40294  -21.62986  0.99984 
  -23.84809  0.08815  3.31457     14.08168  1.70939  0.87747  3.62567  0.09873     0.01836  10432.22448   4817.65064  0.72212         3634.79936     18.94432  0.00489  57187.51191   2.3538   0.3196   1197164.3509  45.38268  21.10712   57236.1223    51.17674       44.66061   22.51744  23.84199   34.5    0.40556  -21.64009   0.9812 
  -27.14406  0.07264   3.1531      14.1136  1.73994  0.51073  1.76185  0.22504     0.02349  10710.74011   4812.60573  0.56489         3753.61475     17.93746  0.00048  57184.21594  1.20569  0.12797   951970.78864  45.53328  21.02237   57236.1223    51.13304       44.61875   22.30169  24.05774   34.5    0.39524  -21.67079  0.99318 
