# STATUS =
# OBJECT = DES16C3cv
# TELESCOPE =  Magellan
# INSTRUMENT =
# DATE-OBS =  2016-10-10
# MJD = 57671.0
# EXPTIME =
# AIRMASS =
# SLIT =
# DISPERSER =
# SOURCE =  2019MNRAS.487.2215A
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS =
# WAVE_UNITS =
# QUALITY =  MEDIUM
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =  Obtained from private comm with Angus.
 Wavelength          Flux 
    4156.86   4.12039e-18 
    4161.86   2.30784e-19 
    4166.86   1.33754e-18 
    4171.86   -3.9541e-19 
    4176.86   1.07223e-18 
    4181.86   2.44449e-18 
    4186.86   4.15853e-19 
    4191.86   1.40961e-18 
    4196.86   8.66991e-19 
    4201.86    2.3695e-18 
    4206.86  -1.85792e-18 
    4211.86   2.84381e-18 
    4216.86   1.60109e-18 
    4221.86   9.42645e-19 
    4226.86  -1.52137e-18 
    4231.86  -8.23704e-19 
    4236.86  -9.60233e-19 
    4241.86   2.11596e-18 
    4246.86  -1.77225e-18 
    4251.86   1.49471e-18 
    4256.86   4.99164e-18 
    4261.86   1.75051e-18 
    4266.86   3.54673e-18 
    4271.86   3.01859e-18 
    4276.86  -3.02379e-18 
    4281.86   8.48017e-19 
    4286.86    3.1611e-19 
    4291.86   5.23445e-18 
    4296.86   2.81632e-19 
    4301.86   2.65329e-18 
    4306.86   3.71876e-19 
    4311.86   2.54935e-18 
    4316.86   2.42645e-18 
    4321.86     3.277e-18 
    4326.86  -3.44423e-18 
    4331.86   2.01501e-18 
    4336.86     3.429e-19 
    4341.86   5.18638e-18 
    4346.86   1.40675e-18 
    4351.86  -2.73938e-18 
    4356.86   7.02591e-19 
    4361.86   7.81069e-19 
    4366.86   2.25935e-18 
    4371.86   4.19482e-18 
    4376.86  -2.38519e-18 
    4381.86   5.75951e-19 
    4386.86  -1.97825e-18 
    4391.86   1.97795e-20 
    4396.86   1.02203e-19 
