# STATUS =
# OBJECT = LSQ12dlf
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2012-08-25 06:57:19.00
# MJD = 56164.289803199936
# EXPTIME = 1800.03
# AIRMASS = 1.04
# SLIT = 0.0
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3653.03100586
# MAX_WAVE = 9249.3009281134
# COMMENT = As part of the &lt;a hrefhttp://www.eso.org/sci/publications/announcements/sciann14004.html&gt;PESSTO SSDR1&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
       Wavelength          Flux 
  3658.5500097281  6.174038e-17 
  3664.0690135962  6.179312e-17 
  3669.5880174643  5.980583e-17 
  3675.1070213324  6.399102e-17 
  3680.6260252005  6.114104e-17 
  3686.1450290686  6.359762e-17 
  3691.6640329367  6.280206e-17 
  3697.1830368048  5.982878e-17 
  3702.7020406729  5.839043e-17 
   3708.221044541  4.931044e-17 
  3713.7400484091  5.777634e-17 
  3719.2590522772  5.735793e-17 
  3724.7780561453  5.905459e-17 
  3730.2970600134  6.161783e-17 
  3735.8160638815  6.049529e-17 
  3741.3350677496  6.188353e-17 
  3746.8540716177  6.654969e-17 
  3752.3730754858  4.501638e-17 
  3757.8920793539  6.205208e-17 
   3763.411083222  4.921429e-17 
  3768.9300870901  5.107365e-17 
  3774.4490909582  5.039585e-17 
  3779.9680948263  5.560311e-17 
  3785.4870986944  4.679009e-17 
  3791.0061025625  4.835821e-17 
  3796.5251064306  4.847691e-17 
  3802.0441102987  5.430853e-17 
  3807.5631141668   4.70761e-17 
  3813.0821180349   4.77667e-17 
   3818.601121903  4.585386e-17 
  3824.1201257711  5.009908e-17 
  3829.6391296392  5.023724e-17 
  3835.1581335073  5.268702e-17 
  3840.6771373754  4.826694e-17 
  3846.1961412435  5.299116e-17 
  3851.7151451116  4.925982e-17 
  3857.2341489797  5.258023e-17 
  3862.7531528478  4.608223e-17 
  3868.2721567159  5.717189e-17 
   3873.791160584  5.925194e-17 
  3879.3101644521   5.34959e-17 
  3884.8291683202  4.924817e-17 
  3890.3481721883  5.924631e-17 
  3895.8671760564  5.731536e-17 
  3901.3861799245  5.244143e-17 
  3906.9051837926  6.090751e-17 
  3912.4241876607  5.675162e-17 
  3917.9431915288  5.348834e-17 
  3923.4621953969  5.562911e-17 
   3928.981199265  5.030301e-17 
  3934.5002031331  5.497813e-17 
  3940.0192070012  4.956008e-17 
  3945.5382108693   4.87274e-17 
  3951.0572147374  5.426152e-17 
  3956.5762186055  4.775837e-17 
  3962.0952224736  4.960722e-17 
  3967.6142263417  5.359454e-17 
  3973.1332302098  5.339233e-17 
  3978.6522340779   4.97528e-17 
   3984.171237946  5.840486e-17 
  3989.6902418141  5.013689e-17 
  3995.2092456822  5.041658e-17 
  4000.7282495503  4.694294e-17 
  4006.2472534184  4.944828e-17 
  4011.7662572865   4.57423e-17 
  4017.2852611546  5.058005e-17 
  4022.8042650227  4.634888e-17 
  4028.3232688908  5.059695e-17 
  4033.8422727589  4.942299e-17 
   4039.361276627  4.468663e-17 
  4044.8802804951  4.921746e-17 
  4050.3992843632  5.371959e-17 
  4055.9182882313  5.165432e-17 
  4061.4372920994   4.48347e-17 
  4066.9562959675  5.078134e-17 
  4072.4752998356  4.670763e-17 
  4077.9943037037  5.062896e-17 
  4083.5133075718  5.179893e-17 
  4089.0323114399  5.128554e-17 
   4094.551315308    4.7885e-17 
  4100.0703191761  5.019094e-17 
  4105.5893230442  4.817154e-17 
  4111.1083269123  5.093548e-17 
  4116.6273307804  5.056903e-17 
  4122.1463346485  5.353192e-17 
  4127.6653385166  4.878463e-17 
  4133.1843423847  4.839634e-17 
  4138.7033462528  4.942178e-17 
  4144.2223501209  5.287823e-17 
   4149.741353989  4.762951e-17 
  4155.2603578571  4.924883e-17 
  4160.7793617252  4.963408e-17 
  4166.2983655933  4.930034e-17 
  4171.8173694614  5.091041e-17 
  4177.3363733295  4.805731e-17 
  4182.8553771976  4.886737e-17 
  4188.3743810657  5.006985e-17 
  4193.8933849338  4.764384e-17 
  4199.4123888019  4.974732e-17 
