# STATUS =
# OBJECT = LSQ12dlf
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2012-08-25 06:57:19.00
# MJD = 56164.289803199936
# EXPTIME = 1800.0
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3650.2715
# MAX_WAVE = 9252.061
# COMMENT = Released as part of DR1
 Wavelength            Flux          Error 
  3650.2715    6.379217e-17  3.9986825e-18 
   3655.796   6.1740384e-17  3.9480963e-18 
  3661.3203   6.1793125e-17   3.827599e-18 
  3666.8447    5.980583e-17   3.697824e-18 
  3672.3694    6.399102e-17   3.662279e-18 
  3677.8938    6.114104e-17  3.6879736e-18 
  3683.4182   6.3597616e-17   3.652065e-18 
  3688.9426    6.280206e-17    3.63155e-18 
   3694.467    5.982878e-17  3.5755693e-18 
  3699.9915   5.8390435e-17  3.5167542e-18 
  3705.5159   4.9310443e-17  3.3852236e-18 
  3711.0405   5.7776336e-17  3.3805854e-18 
   3716.565   5.7357935e-17  3.3684683e-18 
  3722.0894    5.905459e-17   3.377261e-18 
  3727.6138    6.161783e-17  3.3863269e-18 
  3733.1382    6.049529e-17  3.3715946e-18 
  3738.6626   6.1883526e-17  3.3496815e-18 
   3744.187    6.654969e-17   3.594883e-18 
  3749.7114   4.5016377e-17  3.1003517e-18 
   3755.236    6.205208e-17  3.1418677e-18 
  3760.7605   4.9214292e-17  2.9733075e-18 
   3766.285    5.107365e-17  2.9286596e-18 
  3771.8093   5.0395853e-17  2.9129579e-18 
  3777.3337    5.560311e-17  2.9745049e-18 
  3782.8582   4.6790093e-17  2.8756202e-18 
  3788.3826    4.835821e-17   2.838683e-18 
  3793.9072   4.8476907e-17   2.802408e-18 
  3799.4316    5.430853e-17  2.7809829e-18 
   3804.956     4.70761e-17   2.755246e-18 
  3810.4805     4.77667e-17  2.7583287e-18 
   3816.005   4.5853857e-17  2.7458583e-18 
  3821.5293    5.009908e-17   2.816594e-18 
  3827.0537   5.0237236e-17  2.8069125e-18 
  3832.5781   5.2687024e-17   2.763958e-18 
  3838.1028   4.8266945e-17  2.7301448e-18 
  3843.6272    5.299116e-17  2.7133147e-18 
  3849.1516   4.9259816e-17  2.6105398e-18 
   3854.676   5.2580225e-17  2.5955683e-18 
  3860.2004    4.608223e-17  2.5477901e-18 
  3865.7249    5.717189e-17   2.575225e-18 
  3871.2493    5.925194e-17  2.5643064e-18 
   3876.774     5.34959e-17  2.4863112e-18 
  3882.2983   4.9248173e-17    2.41654e-18 
  3887.8228    5.924631e-17  2.4801462e-18 
  3893.3472   5.7315364e-17  2.5099141e-18 
  3898.8716   5.2441434e-17  2.5104433e-18 
   3904.396    6.090751e-17  2.5774876e-18 
  3909.9204   5.6751624e-17  2.5147033e-18 
  3915.4448   5.3488344e-17   2.444054e-18 
  3920.9695    5.562911e-17  2.4192456e-18 
   3926.494   5.0303014e-17  2.3567716e-18 
  3932.0183    5.497813e-17   2.378959e-18 
  3937.5427    4.956008e-17  2.3419216e-18 
  3943.0671   4.8727397e-17  2.3282152e-18 
  3948.5916   5.4261516e-17  2.3838398e-18 
   3954.116    4.775837e-17  2.3055058e-18 
  3959.6406   4.9607216e-17  2.2701728e-18 
   3965.165   5.3594544e-17   2.279234e-18 
  3970.6895   5.3392335e-17  2.2495948e-18 
  3976.2139   4.9752796e-17   2.251839e-18 
  3981.7383    5.840486e-17  2.3280827e-18 
  3987.2627   5.0136886e-17  2.2415716e-18 
   3992.787   5.0416576e-17  2.2583962e-18 
  3998.3115   4.6942937e-17   2.210863e-18 
  4003.8362   4.9448285e-17  2.2363488e-18 
  4009.3606   4.5742297e-17  2.2044915e-18 
   4014.885    5.058005e-17  2.2786665e-18 
  4020.4094   4.6348875e-17  2.2179154e-18 
  4025.9338    5.059695e-17   2.233013e-18 
  4031.4583   4.9422986e-17   2.175966e-18 
  4036.9827   4.4686626e-17  2.1558324e-18 
  4042.5073   4.9217458e-17  2.2102882e-18 
  4048.0317    5.371959e-17  2.2395603e-18 
  4053.5562   5.1654322e-17   2.221374e-18 
  4059.0806     4.48347e-17   2.148108e-18 
   4064.605    5.078134e-17  2.1943511e-18 
  4070.1294   4.6707633e-17  2.1603602e-18 
  4075.6538    5.062896e-17  2.1882925e-18 
  4081.1782    5.179893e-17  2.1979318e-18 
   4086.703    5.128554e-17  2.1779196e-18 
  4092.2273      4.7885e-17  2.0963373e-18 
  4097.7515   5.0190944e-17   2.102397e-18 
  4103.2764   4.8171545e-17  2.0903204e-18 
   4108.801    5.093548e-17  2.0912658e-18 
   4114.325   5.0569025e-17   2.088163e-18 
  4119.8496   5.3531923e-17  2.1130672e-18 
   4125.374   4.8784634e-17  2.0860995e-18 
  4130.8984   4.8396342e-17  2.0801659e-18 
   4136.423    4.942178e-17   2.085122e-18 
  4141.9473   5.2878232e-17  2.0796628e-18 
  4147.4717   4.7629513e-17   2.042613e-18 
   4152.996    4.924883e-17  2.0766016e-18 
  4158.5205    4.963408e-17  2.0812772e-18 
   4164.045   4.9300342e-17   2.096382e-18 
  4169.5693   5.0910406e-17   2.122682e-18 
  4175.0938    4.805731e-17  2.0871268e-18 
   4180.618    4.886737e-17  2.0711902e-18 
   4186.143   5.0069848e-17   2.050089e-18 
  4191.6675   4.7643836e-17   2.000492e-18 
   4197.192   4.9747317e-17   2.004127e-18 
  4202.7163    4.712854e-17  1.9798508e-18 
  4208.2407   4.6393636e-17    1.95352e-18 
   4213.765    4.987736e-17   1.996686e-18 
  4219.2896   5.3558965e-17  2.0087595e-18 
   4224.814   5.0172845e-17  1.9904122e-18 
  4230.3384   5.3928328e-17  1.9750773e-18 
   4235.863   5.2826927e-17  1.9975578e-18 
   4241.387   5.3884444e-17  2.0066796e-18 
  4246.9116   5.2526022e-17  2.0008833e-18 
   4252.436   5.0455562e-17  1.9774772e-18 
  4257.9604    5.221318e-17   1.998223e-18 
   4263.485   5.3102808e-17  1.9972232e-18 
    4269.01    5.377774e-17  1.9884082e-18 
   4274.534    5.261766e-17  1.9919227e-18 
  4280.0586    5.689935e-17  2.0423224e-18 
   4285.583    5.641674e-17  2.0112282e-18 
  4291.1074   5.8091644e-17  2.0092564e-18 
   4296.632   5.4591852e-17  1.9934083e-18 
  4302.1562   5.4279175e-17  1.9828543e-18 
  4307.6807   5.4770348e-17  1.9802344e-18 
   4313.205    5.887738e-17   2.015587e-18 
  4318.7295    6.200208e-17  2.0391493e-18 
   4324.254    5.635232e-17  2.0170867e-18 
  4329.7783   5.9328835e-17   2.030688e-18 
  4335.3027    6.154921e-17  2.0410072e-18 
   4340.827   5.9132184e-17   2.000571e-18 
  4346.3516    6.303666e-17  2.0242036e-18 
  4351.8765   5.9376216e-17  2.0266841e-18 
   4357.401   6.0274964e-17   2.039293e-18 
  4362.9253   6.8193564e-17  2.0761617e-18 
  4368.4497   6.0458975e-17   2.021985e-18 
   4373.974   6.5088546e-17  2.0458875e-18 
  4379.4985    6.585531e-17  2.0616472e-18 
   4385.023    6.680896e-17  2.0618203e-18 
  4390.5474    6.554876e-17  2.0441353e-18 
   4396.072    6.422455e-17  2.0407766e-18 
   4401.596    6.101062e-17  2.0351805e-18 
  4407.1206    6.557942e-17  2.0754648e-18 
   4412.645    6.166918e-17   2.072376e-18 
  4418.1694     6.49896e-17  2.1011314e-18 
   4423.694   7.0440147e-17  2.1424913e-18 
  4429.2183   6.5815565e-17  2.0937242e-18 
   4434.743    6.139932e-17  2.0488133e-18 
  4440.2676    6.343304e-17  2.0497744e-18 
   4445.792    7.092835e-17   2.082803e-18 
  4451.3164    6.200079e-17  2.0204296e-18 
   4456.841   6.5508006e-17  2.0645655e-18 
   4462.365    6.788975e-17  2.0360267e-18 
  4467.8896    6.471911e-17  2.0065462e-18 
   4473.414    6.724256e-17  2.0431233e-18 
  4478.9385    6.481847e-17  2.0259318e-18 
   4484.463     6.89554e-17  2.0585773e-18 
  4489.9873    6.687762e-17   2.052122e-18 
  4495.5117   7.0295595e-17   2.066952e-18 
   4501.036   7.0653116e-17  2.0720285e-18 
  4506.5605   6.8266376e-17     2.0448e-18 
   4512.085    6.891606e-17  2.0515924e-18 
    4517.61   7.1125065e-17  2.0696688e-18 
  4523.1343   7.4383595e-17  2.1089741e-18 
  4528.6587     7.21701e-17  2.0990033e-18 
   4534.183   7.0874926e-17  2.0991586e-18 
  4539.7075    7.157045e-17  2.0924646e-18 
   4545.232    6.762692e-17  2.0627457e-18 
  4550.7563   6.9544753e-17   2.074585e-18 
   4556.281    6.924335e-17  2.0603158e-18 
   4561.805    7.118294e-17  2.0621536e-18 
  4567.3296   6.9574486e-17  2.0482392e-18 
   4572.854   6.9841036e-17  2.0421092e-18 
  4578.3784   6.2386485e-17   1.976487e-18 
   4583.903    6.635859e-17  2.0144212e-18 
  4589.4272   7.0888565e-17  2.0380183e-18 
  4594.9517    6.657573e-17  1.9923478e-18 
  4600.4766       6.136e-17  1.9492422e-18 
   4606.001    6.571426e-17  1.9778865e-18 
  4611.5254    6.160544e-17  1.9628558e-18 
    4617.05    6.014316e-17  1.9436319e-18 
   4622.574   6.4160906e-17  1.9667857e-18 
  4628.0986    6.047278e-17  1.9316165e-18 
   4633.623   5.5936607e-17  1.8949895e-18 
  4639.1475   5.8411246e-17  1.9050094e-18 
   4644.672   5.6088186e-17  1.9038416e-18 
  4650.1963    5.863625e-17  1.9070996e-18 
  4655.7207    5.691613e-17  1.9113762e-18 
   4661.245    5.821525e-17  1.9290627e-18 
  4666.7695   5.3838787e-17  1.8958074e-18 
   4672.294   5.5407052e-17  1.9054693e-18 
  4677.8184   5.5466136e-17  1.8955177e-18 
  4683.3433    5.471864e-17  1.8984777e-18 
  4688.8677   5.7902405e-17   1.932057e-18 
   4694.392   5.6222804e-17  1.9051973e-18 
  4699.9165   5.3276887e-17  1.8642897e-18 
   4705.441    5.917539e-17  1.9249866e-18 
  4710.9653    5.672114e-17  1.9027826e-18 
  4716.4897   5.3708166e-17   1.876851e-18 
   4722.014   5.2359673e-17  1.8559923e-18 
  4727.5386   5.2327363e-17  1.8582267e-18 
   4733.063    5.516762e-17  1.8799927e-18 
  4738.5874    5.737822e-17  1.8914173e-18 
   4744.112   5.4650897e-17  1.8632413e-18 
   4749.636   5.9212235e-17  1.9062718e-18 
  4755.1606    5.744575e-17  1.8956531e-18 
   4760.685   5.6443106e-17  1.8713936e-18 
    4766.21    6.072932e-17   1.910109e-18 
  4771.7344    6.010053e-17   1.902787e-18 
   4777.259   5.7070784e-17   1.893917e-18 
   4782.783    5.773987e-17   1.899231e-18 
  4788.3076    5.894794e-17   1.900048e-18 
   4793.832   6.0155764e-17  1.9289246e-18 
  4799.3564    6.653169e-17  1.9746267e-18 
   4804.881    6.613202e-17  1.9582858e-18 
