# STATUS =
# OBJECT = LSQ14an
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-01-09 07:21:15.00
# MJD = 56666.30642359983
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 6008.9
# MAX_WAVE = 10007.734
# COMMENT = Released as part of DR2
 Wavelength            Flux           Error 
     6008.9             0.0   3.5517043e-18 
  6013.1133   1.3227957e-16   3.6540613e-18 
   6017.327    1.360829e-16   3.6426213e-18 
   6021.541    1.332233e-16   3.6269037e-18 
   6025.755   1.3178642e-16    3.636337e-18 
  6029.9683   1.3431126e-16   3.6487446e-18 
   6034.182   1.3709506e-16    3.671856e-18 
   6038.396   1.3588932e-16   3.6638207e-18 
    6042.61   1.4498895e-16    3.719928e-18 
   6046.823   1.4785176e-16   3.7384043e-18 
   6051.037   1.4839418e-16   3.7304357e-18 
   6055.251   1.4370401e-16   3.6846876e-18 
  6059.4644    1.449167e-16   3.7113617e-18 
   6063.678   1.4457074e-16   3.7129433e-18 
   6067.892   1.5241424e-16    3.765939e-18 
   6072.106   1.4804815e-16   3.7089203e-18 
  6076.3193   1.4867073e-16   3.6915404e-18 
   6080.533    1.561783e-16    3.754233e-18 
   6084.747    1.568948e-16    3.752291e-18 
   6088.961   1.4761751e-16    3.713328e-18 
  6093.1743   1.4772919e-16    3.688837e-18 
   6097.388   1.4840803e-16    3.688493e-18 
   6101.602   1.4922639e-16    3.679587e-18 
  6105.8154   1.5223388e-16   3.7174613e-18 
  6110.0293   1.4711307e-16   3.6624824e-18 
   6114.243   1.4301003e-16   3.6309585e-18 
   6118.457   1.5341408e-16   3.7106652e-18 
  6122.6704   1.5512295e-16   3.7261414e-18 
  6126.8843   1.6013155e-16   3.7579274e-18 
   6131.098   1.4924118e-16   3.6726827e-18 
   6135.312   1.5240547e-16    3.709993e-18 
  6139.5254   1.5101246e-16    3.683405e-18 
  6143.7393   1.4581464e-16   3.6539455e-18 
   6147.953   1.5286487e-16   3.7083363e-18 
  6152.1665   1.5270167e-16   3.7018835e-18 
  6156.3804   1.5952745e-16    3.741525e-18 
   6160.594   1.4718803e-16     3.65704e-18 
   6164.808    1.533715e-16    3.687528e-18 
  6169.0215   1.4856409e-16   3.6540302e-18 
  6173.2354    1.526549e-16    3.667172e-18 
   6177.449   1.5314872e-16   3.6656257e-18 
   6181.663   1.4993198e-16   3.6542734e-18 
  6185.8765   1.4700592e-16   3.6213355e-18 
  6190.0903   1.4854287e-16   3.6054917e-18 
   6194.304   1.4872445e-16    3.604067e-18 
   6198.518   1.4206294e-16   3.5593214e-18 
  6202.7314    1.357903e-16   3.5314007e-18 
  6206.9453   1.3443034e-16   3.5015693e-18 
   6211.159   1.3856963e-16    3.537387e-18 
  6215.3726   1.3429849e-16    3.496796e-18 
  6219.5864   1.3776195e-16    3.521708e-18 
  6223.8003   1.2619647e-16    3.504741e-18 
   6228.014   1.3268456e-16    3.567483e-18 
  6232.2275   1.3588232e-16   3.6086106e-18 
  6236.4414   1.2852932e-16   3.5325976e-18 
  6240.6553   1.2987773e-16    3.484177e-18 
   6244.869   1.2584331e-16   3.4553824e-18 
  6249.0825   1.2184161e-16   3.4302967e-18 
  6253.2964   1.2957537e-16    3.501995e-18 
  6257.5103   1.2836235e-16    3.521089e-18 
  6261.7236   1.2020393e-16   3.4065595e-18 
  6265.9375   1.2637034e-16   3.4010716e-18 
  6270.1514   1.2687214e-16   3.3888384e-18 
   6274.365   1.2149377e-16   3.3743894e-18 
  6278.5786   1.1852876e-16    3.322883e-18 
  6282.7925   1.2572163e-16   3.4972088e-18 
  6287.0063   1.2861332e-16    4.260247e-18 
    6291.22   1.3520524e-16   5.3882094e-18 
  6295.4336    1.278932e-16    5.435839e-18 
  6299.6475   1.3136221e-16    5.368427e-18 
  6303.8613   1.1533287e-16   4.3433897e-18 
  6308.0747   1.1713818e-16   3.3492278e-18 
  6312.2886    1.212638e-16    3.363266e-18 
  6316.5024   1.2216155e-16   3.3630231e-18 
  6320.7163    1.282218e-16   3.4338058e-18 
  6324.9297    1.309861e-16   3.4220923e-18 
  6329.1436   1.2486101e-16    3.376152e-18 
  6333.3574   1.1787696e-16   3.3079722e-18 
  6337.5713   1.2509364e-16    3.304142e-18 
  6341.7847   1.2609026e-16    3.371028e-18 
  6345.9985   1.1888195e-16    3.339737e-18 
  6350.2124   1.2259206e-16   3.5617756e-18 
   6354.426   1.2284492e-16    4.041148e-18 
  6358.6396    1.240736e-16    4.085072e-18 
  6362.8535    1.128479e-16    4.000162e-18 
  6367.0674   1.1578692e-16    3.669125e-18 
   6371.281   1.1274932e-16   3.2237052e-18 
  6375.4946   1.1423182e-16   3.2227908e-18 
  6379.7085   1.1182964e-16   3.1996794e-18 
  6383.9224   1.1393534e-16   3.2258278e-18 
  6388.1357  1.10035264e-16   3.1740562e-18 
  6392.3496   1.1302536e-16   3.1621816e-18 
  6396.5635     1.09945e-16   3.1448571e-18 
  6400.7773   1.0549311e-16   3.1147296e-18 
  6404.9907   1.0430873e-16   3.0894513e-18 
  6409.2046   1.0555726e-16    3.106094e-18 
  6413.4185   1.0472593e-16   3.0868401e-18 
   6417.632   1.0251663e-16   3.0763068e-18 
  6421.8457  1.02033265e-16    3.050016e-18 
  6426.0596   9.9307354e-17   3.0221658e-18 
  6430.2734    9.911575e-17   3.0061354e-18 
   6434.487   9.6105834e-17   2.9571304e-18 
  6438.7007   1.0025561e-16   3.0182811e-18 
  6442.9146   9.9491464e-17   3.0027037e-18 
  6447.1284    9.945795e-17   3.0063513e-18 
   6451.342   9.8516146e-17   3.0376936e-18 
  6455.5557   1.0175228e-16   3.0902002e-18 
  6459.7695    9.815491e-17   3.0666588e-18 
   6463.983     9.53662e-17   3.0413665e-18 
   6468.197     9.49475e-17   3.0174176e-18 
  6472.4106   1.0022436e-16   3.0373568e-18 
  6476.6245    9.759768e-17   2.9708738e-18 
   6480.838    9.478713e-17   2.9269463e-18 
   6485.052   9.0805704e-17   2.9251162e-18 
  6489.2656   9.3477206e-17   2.9818962e-18 
  6493.4795   9.1592306e-17   2.9963238e-18 
   6497.693    8.745312e-17   2.9728383e-18 
  6501.9067    9.194858e-17   2.9854596e-18 
  6506.1206     8.70749e-17    2.898876e-18 
   6510.334    9.307505e-17   2.9258474e-18 
   6514.548   8.9941975e-17   2.9004387e-18 
  6518.7617     9.32137e-17   2.9235524e-18 
  6522.9756    9.065885e-17   2.9373452e-18 
   6527.189    8.640735e-17   2.9363752e-18 
   6531.403   9.2011296e-17   2.9705284e-18 
  6535.6167   8.5664406e-17   2.9013424e-18 
  6539.8306    8.749357e-17   2.9010668e-18 
