# STATUS =
# OBJECT = LSQ14an
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-02-22 03:02:18.00
# MJD = 56710.126597200055
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 6006.204
# MAX_WAVE = 10005.932
# COMMENT = Released as part of DR2
 Wavelength            Flux          Error 
   6006.204             0.0  2.1747614e-18 
  6010.4185    4.748243e-17  2.1350278e-18 
  6014.6333    5.170051e-17  2.1860088e-18 
   6018.848   5.4857543e-17  2.1995487e-18 
  6023.0625   5.0065682e-17  2.1570993e-18 
  6027.2773   4.9976274e-17  2.1749591e-18 
   6031.492    4.787816e-17  2.1531602e-18 
  6035.7065   5.5190996e-17  2.1960975e-18 
  6039.9214   5.3628207e-17  2.1597647e-18 
   6044.136   5.1381253e-17   2.158502e-18 
  6048.3506    5.353475e-17  2.1667518e-18 
  6052.5654   5.2492984e-17  2.1715489e-18 
  6056.7803    5.620412e-17  2.1854166e-18 
  6060.9946   5.3894334e-17  2.1778902e-18 
  6065.2095    5.806854e-17  2.2011677e-18 
  6069.4243   5.3709267e-17   2.157408e-18 
  6073.6387   5.4984456e-17  2.1569824e-18 
  6077.8535   5.4586764e-17   2.130976e-18 
  6082.0684   5.1804912e-17  2.1264963e-18 
  6086.2827   5.4985475e-17  2.1433062e-18 
  6090.4976     5.58406e-17  2.1520357e-18 
   6094.712    5.668399e-17  2.1548165e-18 
   6098.927   5.6761815e-17  2.1553986e-18 
  6103.1416   5.4368196e-17  2.1352162e-18 
   6107.356    5.484361e-17  2.1213723e-18 
   6111.571       5.545e-17   2.106179e-18 
  6115.7856    5.721194e-17  2.1420324e-18 
     6120.0   5.1699347e-17  2.1110782e-18 
   6124.215    5.652806e-17  2.1377585e-18 
  6128.4297    5.824767e-17  2.1775633e-18 
   6132.644    5.573308e-17   2.176113e-18 
   6136.859    5.463579e-17  2.1531104e-18 
  6141.0737   5.7404707e-17   2.178812e-18 
   6145.288   5.3236874e-17  2.1783034e-18 
   6149.503   5.3297328e-17  2.2100192e-18 
   6153.718   5.7235485e-17   2.219148e-18 
   6157.932   4.9453876e-17  2.1403904e-18 
   6162.147   5.4938686e-17  2.1423333e-18 
   6166.362    5.659364e-17  2.1511386e-18 
   6170.576    5.514974e-17   2.152692e-18 
   6174.791   5.2551238e-17  2.1018405e-18 
   6179.006   5.5926045e-17  2.1060753e-18 
    6183.22   5.4882874e-17  2.0935697e-18 
   6187.435   5.2589705e-17   2.100634e-18 
    6191.65   5.0247473e-17  2.0724543e-18 
  6195.8643   4.6011362e-17  2.0304643e-18 
   6200.079    5.024947e-17  2.0900809e-18 
   6204.294   4.8568786e-17  2.0497873e-18 
  6208.5083    4.927471e-17  2.0593458e-18 
   6212.723   5.5192425e-17   2.102297e-18 
   6216.938    5.245295e-17  2.0707625e-18 
  6221.1523   5.3358745e-17  2.1436586e-18 
   6225.367   4.8819412e-17  2.1867946e-18 
  6229.5815   4.6054664e-17  2.1975238e-18 
  6233.7964     4.78352e-17   2.214787e-18 
   6238.011   4.7827676e-17  2.1227624e-18 
  6242.2256      4.5885e-17  2.0641333e-18 
  6246.4404   4.3486377e-17  2.0747201e-18 
  6250.6553   4.5329283e-17    2.13534e-18 
  6254.8696     4.42374e-17  2.1496242e-18 
  6259.0845    4.058262e-17  2.0675723e-18 
  6263.2993   3.7814727e-17  2.0012899e-18 
  6267.5137   4.4044535e-17       1.99e-18 
  6271.7285   4.1499178e-17  1.9715232e-18 
  6275.9434   4.2247955e-17  2.0438589e-18 
  6280.1577   4.7292166e-17  2.1134603e-18 
  6284.3726   4.5821194e-17   2.476689e-18 
  6288.5874   3.7844658e-17  3.4983486e-18 
   6292.802    5.017349e-17  3.7934085e-18 
  6297.0166   3.8599338e-17  3.7570825e-18 
  6301.2314    3.524546e-17  3.1803209e-18 
   6305.446   4.2626073e-17  2.1671142e-18 
  6309.6606    4.195153e-17   1.983499e-18 
  6313.8755   4.4019306e-17  1.9986994e-18 
    6318.09   4.6913188e-17  2.0599252e-18 
  6322.3047   4.4294284e-17  2.0563997e-18 
  6326.5195   4.3254108e-17  2.0216797e-18 
   6330.734   3.9061513e-17  1.9524345e-18 
  6334.9487   4.3199273e-17  1.9421247e-18 
  6339.1636    4.512675e-17   1.973792e-18 
   6343.378    3.731988e-17   1.964085e-18 
   6347.593   4.0175802e-17  2.0588323e-18 
  6351.8076   4.7565357e-17  2.5649791e-18 
   6356.022   4.3417992e-17   2.653219e-18 
   6360.237    3.824366e-17  2.5780722e-18 
   6364.451   3.6169174e-17  2.3853788e-18 
   6368.666   4.0843694e-17   1.964519e-18 
   6372.881    3.920164e-17  1.8942291e-18 
   6377.095    3.824274e-17  1.9067386e-18 
    6381.31   3.6985436e-17  1.8792325e-18 
   6385.525   3.9514927e-17  1.8791658e-18 
  6389.7393    4.108191e-17   1.859123e-18 
