# STATUS =
# OBJECT = LSQ14an
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-01-30 05:20:18.00
# MJD = 56687.22243059985
# EXPTIME = 1800
# AIRMASS = --
# SLIT = 1.0
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3358.41567874
# MAX_WAVE = 7485.53680253
# COMMENT = As part of the &lt;a hrefhttp://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
    Wavelength          Flux 
 3362.50193728   1.29094e-16 
 3366.58819582   7.12964e-17 
 3370.67445436  -2.53267e-17 
 3374.76071289   6.75578e-17 
 3378.84697143   1.59941e-16 
 3382.93322997   9.02867e-17 
 3387.01948851   1.48358e-16 
 3391.10574705   8.73979e-17 
 3395.19200559   1.17166e-16 
 3399.27826412   8.99627e-17 
 3403.36452266   1.19522e-16 
  3407.4507812   8.35555e-17 
 3411.53703974   9.92399e-17 
 3415.62329828   7.06691e-17 
 3419.70955682   5.05209e-17 
 3423.79581535   1.52545e-16 
 3427.88207389   1.12593e-16 
 3431.96833243   2.71129e-17 
 3436.05459097   6.05379e-17 
 3440.14084951   6.55852e-17 
 3444.22710805    3.1599e-17 
 3448.31336658   3.45456e-17 
 3452.39962512   9.84242e-17 
 3456.48588366    1.1742e-16 
  3460.5721422   6.96889e-17 
 3464.65840074   9.67385e-17 
 3468.74465928   4.14087e-17 
 3472.83091782   1.59476e-16 
 3476.91717635    7.5827e-17 
 3481.00343489   1.25785e-16 
 3485.08969343   1.09719e-16 
 3489.17595197   1.04916e-16 
 3493.26221051   1.11131e-16 
 3497.34846905   7.93832e-17 
 3501.43472758   4.26241e-17 
 3505.52098612   9.31967e-17 
 3509.60724466   8.62617e-17 
  3513.6935032   1.01924e-16 
 3517.77976174   7.89054e-17 
 3521.86602028   7.68076e-17 
 3525.95227881   1.09829e-16 
 3530.03853735   9.21036e-17 
 3534.12479589   8.37752e-17 
 3538.21105443   1.04121e-16 
 3542.29731297    7.9927e-17 
 3546.38357151   7.93062e-17 
 3550.46983005   3.46015e-17 
 3554.55608858   5.50297e-17 
 3558.64234712   1.00362e-16 
 3562.72860566   6.11659e-17 
  3566.8148642    1.0047e-16 
 3570.90112274   7.88778e-17 
 3574.98738128   2.99467e-17 
 3579.07363981   6.98413e-17 
 3583.15989835   1.20041e-16 
 3587.24615689    1.3867e-16 
 3591.33241543   1.24023e-16 
 3595.41867397   8.98673e-17 
 3599.50493251   6.05507e-17 
 3603.59119104   5.82546e-17 
 3607.67744958   7.38869e-17 
 3611.76370812    7.0673e-17 
 3615.84996666   5.79424e-17 
  3619.9362252   1.16919e-16 
 3624.02248374   1.00863e-16 
 3628.10874227   1.14916e-16 
 3632.19500081   7.59702e-17 
 3636.28125935   9.54416e-17 
 3640.36751789   7.25827e-17 
 3644.45377643   6.56221e-17 
 3648.54003497   1.03003e-16 
 3652.62629351   1.11284e-16 
 3656.71255204   9.03757e-17 
 3660.79881058   7.40116e-17 
 3664.88506912   8.76209e-17 
 3668.97132766   4.09838e-17 
  3673.0575862   2.34487e-17 
 3677.14384474     6.842e-17 
 3681.23010327   7.40619e-17 
 3685.31636181   6.56426e-17 
 3689.40262035   8.79975e-17 
 3693.48887889   7.50734e-17 
 3697.57513743   1.05789e-16 
 3701.66139597   1.07015e-16 
  3705.7476545   1.03409e-16 
 3709.83391304   1.11292e-16 
 3713.92017158   8.43037e-17 
 3718.00643012   9.93559e-17 
 3722.09268866   7.00625e-17 
  3726.1789472   7.71397e-17 
 3730.26520573   1.01103e-16 
 3734.35146427   9.70368e-17 
 3738.43772281   6.87001e-17 
 3742.52398135   9.19775e-17 
 3746.61023989   6.81264e-17 
 3750.69649843   9.45807e-17 
 3754.78275697   1.13597e-16 
  3758.8690155   1.04032e-16 
 3762.95527404   1.01144e-16 
 3767.04153258   1.18358e-16 
 3771.12779112   1.03397e-16 
 3775.21404966   7.86643e-17 
  3779.3003082   8.35373e-17 
 3783.38656673   1.01711e-16 
 3787.47282527   7.74658e-17 
 3791.55908381   8.43284e-17 
 3795.64534235   8.65918e-17 
 3799.73160089   1.11233e-16 
 3803.81785943   7.85057e-17 
 3807.90411796   1.06177e-16 
  3811.9903765    1.3533e-16 
