# STATUS =
# OBJECT = LSQ14an
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-01-08 07:03:24.00
# MJD = 56665.294027800206
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3358.5376
# MAX_WAVE = 7485.766
# COMMENT = Released as part of DR2
 Wavelength            Flux           Error 
  3358.5376   3.1732336e-17   2.9336003e-17 
   3362.624    8.156174e-17   2.9386597e-17 
  3366.7104   3.6132285e-17   2.8024366e-17 
  3370.7969   1.1220873e-16   2.8626898e-17 
   3374.883    8.995363e-17    2.776895e-17 
  3378.9695   4.6593224e-17   2.6858629e-17 
   3383.056   1.1067448e-16   2.6519788e-17 
  3387.1423   1.3224316e-16   2.6244239e-17 
  3391.2285   1.4195454e-16   2.5664916e-17 
   3395.315   1.4258055e-16   2.5407155e-17 
  3399.4014   1.3855782e-16   2.4815491e-17 
  3403.4878    3.688909e-17   2.3321763e-17 
   3407.574    8.459429e-17   2.3467213e-17 
  3411.6604   4.6673977e-17    2.257809e-17 
  3415.7468   6.3670454e-17   2.2272751e-17 
  3419.8333   1.0624555e-16    2.242671e-17 
  3423.9194  1.00831014e-16   2.2056874e-17 
  3428.0059    7.420689e-17   2.1051733e-17 
  3432.0923   2.9312584e-17   2.0580654e-17 
  3436.1787   8.0379145e-17   2.1079805e-17 
   3440.265    7.274736e-17   2.0224458e-17 
  3444.3513   3.7589486e-17   1.9529033e-17 
  3448.4377    7.481733e-17   1.9223198e-17 
  3452.5242   1.8287008e-17   1.8455251e-17 
  3456.6104   1.0616302e-16    1.866476e-17 
  3460.6968    8.203783e-17   1.8456224e-17 
  3464.7832    5.864057e-17    1.829021e-17 
  3468.8696    6.093488e-17   1.8378375e-17 
  3472.9558  -1.7677416e-18   1.7598916e-17 
  3477.0422    2.835191e-17   1.7235105e-17 
  3481.1287    5.849634e-17   1.7092816e-17 
   3485.215    7.509227e-17   1.6801529e-17 
  3489.3013    7.054948e-17   1.6269612e-17 
  3493.3877   4.5966347e-17   1.5870999e-17 
   3497.474   6.1827846e-17   1.5803428e-17 
  3501.5605    7.660716e-17   1.5518353e-17 
  3505.6467   1.7408153e-17   1.4922067e-17 
  3509.7332    8.481846e-17   1.5238738e-17 
  3513.8196   2.1635797e-17   1.4650861e-17 
   3517.906   7.3052184e-17     1.44925e-17 
  3521.9922    5.853503e-17   1.4073785e-17 
  3526.0786    7.253509e-17    1.475159e-17 
   3530.165   2.3257159e-17   1.4429325e-17 
  3534.2515     5.37527e-17   1.4680634e-17 
  3538.3376    5.318794e-17   1.4728194e-17 
   3542.424   7.6871635e-17   1.4404386e-17 
  3546.5105    7.522906e-17   1.4469515e-17 
   3550.597    7.927611e-17     1.41149e-17 
   3554.683   1.1265353e-16   1.3744502e-17 
  3558.7695    6.956748e-17   1.2954092e-17 
   3562.856   5.5439554e-17   1.2441347e-17 
  3566.9424    3.893245e-17  1.20230735e-17 
  3571.0286   5.2123582e-17   1.1976779e-17 
   3575.115   2.9959645e-17   1.1598806e-17 
  3579.2014    6.500909e-17  1.16788175e-17 
  3583.2878   6.8133835e-17    1.155081e-17 
   3587.374    6.200349e-17   1.1571575e-17 
  3591.4604    3.822308e-17  1.10737034e-17 
  3595.5469   4.7589527e-17    1.111766e-17 
  3599.6333    3.291417e-17   1.0739237e-17 
  3603.7195    8.952416e-17   1.1085486e-17 
   3607.806    5.663375e-17   1.0946965e-17 
  3611.8923    5.013032e-17   1.0908998e-17 
  3615.9788   2.8319243e-17  1.08057614e-17 
   3620.065    3.626606e-17  1.06624325e-17 
  3624.1514   5.0434466e-17   1.0797123e-17 
  3628.2378   2.8671797e-17   1.0617144e-17 
  3632.3242    6.058184e-17    1.074267e-17 
  3636.4104   4.2852724e-17   1.0316192e-17 
  3640.4968   3.7807144e-17    1.000166e-17 
  3644.5833   3.7036264e-17    9.681407e-18 
  3648.6697    7.491023e-17  1.01328624e-17 
  3652.7559   2.6034896e-17    9.463538e-18 
  3656.8423     9.85098e-17  1.00109236e-17 
  3660.9287   4.9840322e-17    9.422519e-18 
  3665.0151   4.9372657e-17    9.248915e-18 
  3669.1013    5.613473e-17    9.002417e-18 
  3673.1877    6.236606e-17   9.0862994e-18 
  3677.2742    6.041978e-17    8.909958e-18 
  3681.3606    6.263095e-17    8.851443e-18 
  3685.4468    4.382308e-17    8.618778e-18 
  3689.5332    3.985774e-17    8.536677e-18 
  3693.6196    3.133185e-17   8.5722844e-18 
   3697.706    4.977817e-17    8.862112e-18 
  3701.7922    6.787824e-17   8.7881645e-18 
  3705.8787    5.632624e-17   8.4832525e-18 
   3709.965   4.9201133e-17   8.4097625e-18 
  3714.0515   7.1857114e-17    8.388662e-18 
  3718.1377    6.283673e-17   8.1419594e-18 
   3722.224   4.5606603e-17    7.942901e-18 
  3726.3105   5.0329394e-17    8.123212e-18 
   3730.397    7.162747e-17    8.395588e-18 
  3734.4832    6.479544e-17    8.283467e-18 
  3738.5696   5.3554753e-17   8.2460535e-18 
   3742.656    6.660298e-17    8.126726e-18 
  3746.7424    5.915917e-17    7.918692e-18 
  3750.8286     6.12218e-17    7.785213e-18 
   3754.915    6.262426e-17     7.53936e-18 
  3759.0015   3.8357387e-17    7.435962e-18 
