# STATUS =
# OBJECT = LSQ14an
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-04-23 01:05:00.00
# MJD = 56770.04513890017
# EXPTIME = 2400
# AIRMASS = 1.182
# SLIT = 1.0
# DISPERSER = Free
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3670.33227539
# MAX_WAVE = 9326.84790039
# COMMENT = --
    Wavelength         Flux 
 3675.85621643  4.46767e-17 
 3681.38015747  3.19415e-17 
 3686.90409851  5.22276e-17 
 3692.42803955  4.32463e-17 
 3697.95198059  4.84689e-17 
 3703.47592163  4.44672e-17 
 3708.99986267  4.72269e-17 
 3714.52380371  5.04576e-17 
 3720.04774475  4.95538e-17 
 3725.57168579   5.0597e-17 
 3731.09562683  4.19392e-17 
 3736.61956787  3.38191e-17 
 3742.14350891  4.63422e-17 
 3747.66744995  5.05593e-17 
 3753.19139099  3.52947e-17 
 3758.71533203  4.15921e-17 
 3764.23927307  4.01603e-17 
 3769.76321411  4.63604e-17 
 3775.28715515  4.96529e-17 
 3780.81109619   4.5362e-17 
 3786.33503723  3.99887e-17 
 3791.85897827  5.48957e-17 
 3797.38291931  4.59816e-17 
 3802.90686035  4.12162e-17 
 3808.43080139   4.1277e-17 
 3813.95474243  4.74034e-17 
 3819.47868347  4.18938e-17 
 3825.00262451  4.81928e-17 
 3830.52656555  4.12149e-17 
 3836.05050659  4.73101e-17 
 3841.57444763  4.19979e-17 
 3847.09838867  3.53575e-17 
 3852.62232971  4.39049e-17 
 3858.14627075  3.26895e-17 
 3863.67021179  4.04576e-17 
 3869.19415283  4.25867e-17 
 3874.71809387  4.12116e-17 
 3880.24203491  3.99264e-17 
 3885.76597595  4.43016e-17 
 3891.28991699  4.32456e-17 
 3896.81385803  4.56905e-17 
 3902.33779907  4.81203e-17 
 3907.86174011  4.41022e-17 
 3913.38568115  4.38554e-17 
 3918.90962219  4.17597e-17 
 3924.43356323  4.10986e-17 
 3929.95750427  4.23534e-17 
 3935.48144531  3.98688e-17 
 3941.00538635  3.78749e-17 
 3946.52932739  4.28843e-17 
 3952.05326843  3.62386e-17 
 3957.57720947  3.14587e-17 
 3963.10115051  3.67691e-17 
 3968.62509155  4.10978e-17 
 3974.14903259  3.47334e-17 
 3979.67297363  4.31705e-17 
 3985.19691467  4.22467e-17 
 3990.72085571   4.3015e-17 
 3996.24479675   4.6028e-17 
 4001.76873779    4.436e-17 
 4007.29267883  4.72509e-17 
 4012.81661987  4.37966e-17 
 4018.34056091  4.17236e-17 
 4023.86450195  4.31838e-17 
 4029.38844299  4.79381e-17 
 4034.91238403  4.92194e-17 
 4040.43632507   5.0959e-17 
 4045.96026611  4.35704e-17 
 4051.48420715  4.58145e-17 
 4057.00814819    4.522e-17 
 4062.53208923   4.9402e-17 
 4068.05603027  4.51317e-17 
 4073.57997131  4.43891e-17 
 4079.10391235  4.20251e-17 
 4084.62785339  4.20544e-17 
 4090.15179443  4.84582e-17 
 4095.67573547  4.59088e-17 
 4101.19967651  4.42276e-17 
 4106.72361755  4.72957e-17 
 4112.24755859  4.50952e-17 
 4117.77149963  4.76058e-17 
 4123.29544067   4.4448e-17 
 4128.81938171   5.1325e-17 
 4134.34332275  4.92126e-17 
 4139.86726379  4.66232e-17 
 4145.39120483  4.66031e-17 
 4150.91514587  4.50048e-17 
 4156.43908691  4.80649e-17 
 4161.96302795  5.03735e-17 
 4167.48696899  5.43966e-17 
 4173.01091003  4.34917e-17 
 4178.53485107  4.45585e-17 
 4184.05879211  4.84638e-17 
 4189.58273315  5.09064e-17 
 4195.10667419  5.19482e-17 
 4200.63061523  4.85996e-17 
 4206.15455627   4.6898e-17 
 4211.67849731  4.36856e-17 
 4217.20243835  4.65063e-17 
 4222.72637939  4.74162e-17 
 4228.25032043  4.41614e-17 
 4233.77426147  4.38699e-17 
 4239.29820251  4.78702e-17 
 4244.82214355  5.20436e-17 
 4250.34608459  4.35953e-17 
 4255.87002563  4.02192e-17 
 4261.39396667  4.39801e-17 
 4266.91790771  4.29427e-17 
 4272.44184875  3.99524e-17 
 4277.96578979  4.21852e-17 
 4283.48973083  3.62679e-17 
 4289.01367187  4.39186e-17 
 4294.53761292  3.59889e-17 
 4300.06155396  4.51406e-17 
   4305.585495  4.36943e-17 
 4311.10943604  4.23689e-17 
 4316.63337708  4.99438e-17 
 4322.15731812  4.62481e-17 
 4327.68125916  4.76339e-17 
  4333.2052002  6.49344e-17 
 4338.72914124  8.46138e-17 
 4344.25308228  9.75369e-17 
 4349.77702332  8.86464e-17 
 4355.30096436  5.58792e-17 
  4360.8249054  4.53907e-17 
 4366.34884644  4.88499e-17 
 4371.87278748  5.04375e-17 
 4377.39672852  5.03054e-17 
 4382.92066956  5.10072e-17 
  4388.4446106  4.24181e-17 
 4393.96855164  5.00988e-17 
 4399.49249268  4.77286e-17 
 4405.01643372   4.3047e-17 
 4410.54037476  4.44086e-17 
  4416.0643158  4.69672e-17 
 4421.58825684  4.67226e-17 
 4427.11219788  4.47131e-17 
 4432.63613892  4.71167e-17 
 4438.16007996  4.80805e-17 
   4443.684021  4.46002e-17 
 4449.20796204  4.31807e-17 
 4454.73190308  4.78434e-17 
 4460.25584412  5.22271e-17 
 4465.77978516  5.36548e-17 
  4471.3037262  6.01949e-17 
 4476.82766724  5.32638e-17 
 4482.35160828  5.44785e-17 
 4487.87554932  5.44928e-17 
 4493.39949036  5.95904e-17 
  4498.9234314  5.64413e-17 
 4504.44737244  6.58626e-17 
 4509.97131348  7.01403e-17 
 4515.49525452  6.44933e-17 
 4521.01919556  5.16551e-17 
  4526.5431366  5.50021e-17 
 4532.06707764  5.55254e-17 
 4537.59101868  5.12823e-17 
 4543.11495972  5.53432e-17 
 4548.63890076  5.15334e-17 
  4554.1628418  5.07583e-17 
 4559.68678284  5.55507e-17 
 4565.21072388  5.06651e-17 
 4570.73466492  5.18735e-17 
 4576.25860596  5.09535e-17 
   4581.782547  5.31892e-17 
 4587.30648804   5.1328e-17 
 4592.83042908  5.43602e-17 
 4598.35437012  5.23401e-17 
 4603.87831116  5.39196e-17 
  4609.4022522  5.48644e-17 
 4614.92619324  5.09078e-17 
 4620.45013428  5.55098e-17 
