# STATUS =
# OBJECT = LSQ14bdq
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-05-06 01:17:20.00
# MJD = 56783.05370370019
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3674.5225
# MAX_WAVE = 9276.046
# COMMENT = Released as part of DR2
 Wavelength            Flux          Error 
  3674.5225    6.747043e-17  6.0895415e-18 
  3680.0466   6.3604564e-17   6.018788e-18 
  3685.5708    7.295753e-17   6.034168e-18 
   3691.095    6.390597e-17   6.013747e-18 
  3696.6191   7.1763616e-17    6.01248e-18 
  3702.1433    8.049457e-17   5.976696e-18 
  3707.6675   8.3847335e-17  5.9340854e-18 
  3713.1917   8.1736284e-17   5.770819e-18 
  3718.7158    7.497825e-17  5.7030865e-18 
    3724.24   9.2912004e-17  5.6189035e-18 
  3729.7642    8.072758e-17  5.5222818e-18 
  3735.2883    8.257682e-17  5.4859375e-18 
  3740.8125    8.426134e-17   5.403969e-18 
  3746.3367   8.2219324e-17  5.3926795e-18 
  3751.8608    6.762353e-17  5.1783545e-18 
  3757.3853    6.404941e-17  5.1481165e-18 
  3762.9094   6.0840676e-17  5.0124465e-18 
  3768.4336   6.9601326e-17   5.042063e-18 
  3773.9578    7.245934e-17  5.0489872e-18 
   3779.482   8.4460785e-17  5.1140826e-18 
   3785.006   8.1716564e-17   5.056242e-18 
  3790.5303    7.763807e-17  4.8928767e-18 
  3796.0544    6.988452e-17   4.792238e-18 
  3801.5786    7.036274e-17  4.7551396e-18 
  3807.1028    6.859651e-17   4.690574e-18 
   3812.627   6.9393776e-17  4.5821926e-18 
  3818.1511      7.0157e-17  4.5404837e-18 
  3823.6753    6.905625e-17  4.4490463e-18 
  3829.1995   6.5458666e-17   4.408925e-18 
  3834.7236    6.383166e-17   4.357529e-18 
  3840.2478    8.196513e-17   4.427384e-18 
   3845.772    8.019652e-17  4.4605115e-18 
  3851.2964    6.778732e-17  4.2860653e-18 
  3856.8206   7.6064876e-17   4.331772e-18 
  3862.3447   7.6407825e-17  4.2471895e-18 
   3867.869    7.823505e-17   4.257754e-18 
   3873.393   7.4612704e-17   4.201514e-18 
  3878.9172    7.295356e-17   4.111414e-18 
  3884.4414    6.787533e-17  4.0526142e-18 
  3889.9656   7.3032206e-17  4.0927644e-18 
  3895.4897    7.574178e-17  4.1553873e-18 
   3901.014   7.7807176e-17  4.1706273e-18 
   3906.538    7.289854e-17   4.170574e-18 
  3912.0623   6.0807344e-17  4.0894953e-18 
  3917.5864    7.751047e-17   4.169065e-18 
  3923.1106    6.770678e-17   3.966297e-18 
  3928.6348     7.09201e-17   3.812059e-18 
   3934.159   7.3772096e-17  3.7269532e-18 
  3939.6833   7.7161194e-17   3.776149e-18 
  3945.2075     8.11159e-17  3.9057198e-18 
  3950.7317    7.672727e-17  3.9504074e-18 
  3956.2559    8.322494e-17  3.9879316e-18 
    3961.78    8.147291e-17     3.8688e-18 
  3967.3042    7.744535e-17  3.7028322e-18 
  3972.8284    8.460493e-17  3.7382914e-18 
  3978.3525   8.2298734e-17  3.7925255e-18 
  3983.8767    8.784257e-17   3.954328e-18 
   3989.401    9.175362e-17   4.053203e-18 
   3994.925    8.652124e-17  4.0168614e-18 
  4000.4492   8.3447886e-17  3.9942997e-18 
  4005.9734    6.944873e-17  3.9225194e-18 
  4011.4976    7.352329e-17  3.9366055e-18 
  4017.0217    7.167426e-17   3.909189e-18 
   4022.546    6.111603e-17  3.8198555e-18 
    4028.07    7.102282e-17  3.8429608e-18 
  4033.5945   7.0645354e-17    3.81316e-18 
  4039.1187    7.146422e-17   3.799432e-18 
  4044.6428   7.1307766e-17  3.7998762e-18 
   4050.167   7.3484244e-17   3.797034e-18 
  4055.6912    7.205503e-17  3.7621895e-18 
  4061.2153    7.651471e-17  3.7765886e-18 
  4066.7395    7.716128e-17  3.7502586e-18 
  4072.2637    7.764741e-17  3.7670798e-18 
  4077.7878    8.220954e-17  3.7529503e-18 
   4083.312   8.3622024e-17  3.7559563e-18 
  4088.8362   7.8706957e-17   3.742976e-18 
  4094.3604    6.914651e-17  3.6452737e-18 
   4099.885     7.71163e-17  3.6381922e-18 
  4105.4087   7.9177894e-17  3.6028588e-18 
   4110.933     7.59159e-17  3.5764895e-18 
   4116.457    7.397134e-17  3.6119532e-18 
  4121.9814    7.349357e-17  3.6069885e-18 
  4127.5054    7.198243e-17  3.5891276e-18 
    4133.03    7.353413e-17  3.5588863e-18 
  4138.5537   7.3472174e-17   3.562649e-18 
   4144.078   7.8453747e-17   3.554646e-18 
   4149.602    8.079831e-17   3.570269e-18 
  4155.1265     7.76121e-17  3.5346747e-18 
  4160.6504    7.284988e-17  3.4988756e-18 
   4166.175   7.5594084e-17  3.5295925e-18 
   4171.699    7.229216e-17   3.518217e-18 
   4177.223    7.864919e-17   3.525701e-18 
  4182.7476   7.4846736e-17  3.4535777e-18 
  4188.2715   7.7464286e-17  3.4280803e-18 
   4193.796    7.274413e-17  3.3901286e-18 
    4199.32    8.014641e-17  3.4032342e-18 
   4204.844    8.065237e-17  3.3967376e-18 
   4210.368     7.81142e-17  3.3976733e-18 
  4215.8926   7.3637206e-17  3.3783181e-18 
  4221.4165   7.3544205e-17  3.3288995e-18 
   4226.941    7.189468e-17   3.287455e-18 
   4232.465     7.36979e-17  3.2576759e-18 
  4237.9893    7.205571e-17  3.2378734e-18 
   4243.513    7.507707e-17   3.272113e-18 
  4249.0376    6.110466e-17  3.1921607e-18 
  4254.5615   6.4818846e-17   3.187374e-18 
   4260.086   6.2887114e-17   3.157411e-18 
  4265.6104   6.5028016e-17  3.1657679e-18 
  4271.1343    6.680651e-17   3.180407e-18 
  4276.6587    7.225605e-17   3.181196e-18 
  4282.1826    7.051253e-17  3.1428918e-18 
   4287.707   6.7581966e-17  3.1198777e-18 
   4293.231   7.1146724e-17  3.1188733e-18 
  4298.7554     7.25226e-17  3.0734988e-18 
  4304.2793   6.5441686e-17  2.9686987e-18 
  4309.8037    6.693331e-17  2.9659494e-18 
  4315.3276    6.980757e-17  3.0326023e-18 
   4320.852    7.106391e-17   3.075319e-18 
   4326.376    6.652571e-17  3.1206119e-18 
  4331.9004   7.1661886e-17  3.1339913e-18 
  4337.4243   7.5487616e-17  3.0840848e-18 
  4342.9487    6.920246e-17  3.0766437e-18 
  4348.4727    6.518226e-17  3.0467045e-18 
   4353.997   6.4617186e-17  3.0532397e-18 
  4359.5215     6.22268e-17  3.0621153e-18 
  4365.0454    7.028936e-17  3.1128422e-18 
    4370.57   6.6841944e-17   3.094448e-18 
  4376.0938    7.306724e-17  3.1181436e-18 
   4381.618    6.641162e-17  3.0241074e-18 
   4387.142    6.803529e-17  3.0085262e-18 
  4392.6665    6.046621e-17  2.9803599e-18 
  4398.1904    6.483409e-17  2.9988207e-18 
   4403.715   6.6304164e-17  3.0434779e-18 
   4409.239    6.988952e-17  3.0824296e-18 
   4414.763    6.086702e-17   3.047986e-18 
   4420.287    6.604409e-17  3.0934981e-18 
  4425.8115    6.513379e-17   3.081901e-18 
  4431.3354     6.68258e-17     3.0944e-18 
    4436.86    6.753134e-17  3.0567639e-18 
   4442.384    6.970193e-17    3.06272e-18 
   4447.908     6.50322e-17   3.032998e-18 
  4453.4326   6.4044916e-17  3.0118415e-18 
  4458.9565    7.146826e-17  3.0339099e-18 
   4464.481    7.172562e-17   3.033833e-18 
   4470.005   7.0121265e-17  3.0235224e-18 
  4475.5293    7.880276e-17   3.099389e-18 
   4481.053     7.55535e-17  3.0625446e-18 
  4486.5776    7.136759e-17  3.0382615e-18 
  4492.1016    7.378656e-17  3.0617406e-18 
   4497.626   7.0115025e-17  3.0302633e-18 
    4503.15    7.252177e-17  3.0556137e-18 
  4508.6743   7.2920656e-17  3.0797185e-18 
   4514.198    7.363437e-17  3.0704223e-18 
  4519.7227    6.858334e-17   3.025244e-18 
  4525.2466    6.882377e-17  2.9950361e-18 
   4530.771    6.745341e-17   2.980152e-18 
  4536.2954    6.924558e-17  2.9979701e-18 
  4541.8193    7.242449e-17   2.997001e-18 
  4547.3438     6.00053e-17   2.969899e-18 
  4552.8677    7.204195e-17  3.0017673e-18 
   4558.392   6.4204767e-17   2.965285e-18 
   4563.916    6.002486e-17  2.9175086e-18 
  4569.4404    6.094064e-17   2.939618e-18 
  4574.9644   6.4483076e-17  2.9664415e-18 
   4580.489    6.517205e-17  2.9446064e-18 
  4586.0127    6.811389e-17  2.9688548e-18 
   4591.537    6.476744e-17  2.9618085e-18 
   4597.061    6.762075e-17  2.9375506e-18 
  4602.5854    6.622374e-17  2.9533324e-18 
  4608.1094   7.1333297e-17  2.9507232e-18 
   4613.634    6.616006e-17   2.892344e-18 
  4619.1577    7.127382e-17   2.987709e-18 
   4624.682   6.7981164e-17  2.9372418e-18 
  4630.2065    7.051007e-17  2.9467203e-18 
  4635.7305   7.2788545e-17  2.9758327e-18 
   4641.255    6.715823e-17  2.9178012e-18 
   4646.779   6.1024886e-17  2.8648482e-18 
   4652.303    6.616202e-17  2.8788636e-18 
   4657.827   6.7790786e-17  2.9082907e-18 
  4663.3516    7.078763e-17  2.8998194e-18 
  4668.8755    6.820262e-17  2.8990945e-18 
     4674.4    5.802076e-17   2.850789e-18 
   4679.924    6.321636e-17  2.8838182e-18 
   4685.448   5.9484854e-17  2.8246568e-18 
   4690.972    5.525913e-17  2.8200986e-18 
  4696.4966    6.484511e-17  2.8481853e-18 
  4702.0205    6.240119e-17   2.833795e-18 
   4707.545    6.141975e-17  2.8129962e-18 
   4713.069   6.2785755e-17  2.8358595e-18 
  4718.5933     6.11762e-17  2.8379057e-18 
  4724.1177    6.038737e-17   2.835141e-18 
  4729.6416    5.864645e-17  2.8208027e-18 
   4735.166     6.16774e-17   2.824333e-18 
    4740.69    6.299059e-17  2.8420815e-18 
  4746.2144   6.5620906e-17    2.84104e-18 
  4751.7383    7.539386e-17   2.907228e-18 
  4757.2627     6.08365e-17   2.810828e-18 
  4762.7866    6.603845e-17  2.8243114e-18 
   4768.311    6.240943e-17  2.8085514e-18 
   4773.835   6.5012836e-17  2.8211938e-18 
  4779.3594   7.0025617e-17  2.8487385e-18 
