# Wavelength Flux
# STATUS = PUBLIC
# OBJECT = LSQ14fxj
# TELESCOPE =
# INSTRUMENT =
# DATE-OBS =
# MJD =
# EXPTIME =
# SLIT =
# DISPERSER =
# SOURCE =
# FILTER =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# FLUX_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT =
3659.33227539 8.97376e-17
3664.85621643 7.19004e-17
3670.38015747 7.76036e-17
3675.90409851 8.94916e-17
3681.42803955 1.0818e-16
3686.95198059 9.1496e-17
3692.47592163 1.05992e-16
3697.99986267 9.09006e-17
3703.52380371 9.68383e-17
3709.04774475 9.70729e-17
3714.57168579 8.8598e-17
3720.09562683 7.8925e-17
3725.61956787 1.01752e-16
3731.14350891 1.0137e-16
3736.66744995 9.74267e-17
3742.19139099 9.56594e-17
3747.71533203 1.0063e-16
3753.23927307 1.01373e-16
3758.76321411 9.35422e-17
3764.28715515 9.19777e-17
3769.81109619 8.43259e-17
3775.33503723 8.73174e-17
3780.85897827 9.28929e-17
3786.38291931 8.82073e-17
3791.90686035 8.64391e-17
3797.43080139 8.34524e-17
3802.95474243 7.84665e-17
3808.47868347 6.93082e-17
3814.00262451 6.6902e-17
3819.52656555 7.79828e-17
3825.05050659 6.99407e-17
3830.57444763 7.58424e-17
3836.09838867 9.43286e-17
3841.62232971 9.1217e-17
3847.14627075 8.24825e-17
3852.67021179 8.01766e-17
3858.19415283 8.6532e-17
3863.71809387 8.22034e-17
3869.24203491 8.87084e-17
3874.76597595 8.19867e-17
3880.28991699 8.433e-17
3885.81385803 7.79918e-17
3891.33779907 8.09451e-17
3896.86174011 8.45372e-17
3902.38568115 8.30059e-17
3907.90962219 1.02842e-16
3913.43356323 9.40574e-17
3918.95750427 9.00236e-17
3924.48144531 9.38915e-17
3930.00538635 9.84077e-17
3935.52932739 9.71448e-17
3941.05326843 9.50959e-17
3946.57720947 1.0372e-16
3952.10115051 9.51161e-17
3957.62509155 1.01724e-16
3963.14903259 1.01317e-16
3968.67297363 9.93095e-17
3974.19691467 1.04168e-16
3979.72085571 1.05505e-16
3985.24479675 9.48782e-17
3990.76873779 1.09828e-16
3996.29267883 1.05687e-16
4001.81661987 1.01879e-16
4007.34056091 9.5044e-17
4012.86450195 9.95113e-17
4018.38844299 1.01731e-16
4023.91238403 1.03499e-16
4029.43632507 9.83217e-17
4034.96026611 9.53038e-17
4040.48420715 1.02223e-16
4046.00814819 1.12151e-16
4051.53208923 1.00259e-16
4057.05603027 1.01027e-16
4062.57997131 1.05661e-16
4068.10391235 9.8403e-17
4073.62785339 1.02811e-16
4079.15179443 1.09317e-16
4084.67573547 1.03049e-16
4090.19967651 1.06611e-16
