 log(Bfield)      Mns    Pspin  cutoff_power  cutoff_wavelength  fnickel    kappa  kappagamma   mejecta  log(nhhost)  temperature  texplosion  thetaPB      vejecta      A_V        MJD_0   log(KE)      M_Ni  Peak_mag     Peak_MJD 
    14.23879  1.41199  4.66121        1.7793          2865.9423  0.05318  0.05901     0.05802   6.79124     19.16691   5536.15016    -4.87931  1.48363  10265.52231  0.00816  56664.27069  52.58446   3.24942  19.23629   56692.0369 
    14.72393  2.09108  4.78895       1.55062         3012.56658  0.27809  0.17277     0.16372   2.75791     18.75934   5721.63237    -4.85017  0.89603   9627.53116  0.00319  56664.29983  52.42454  13.36803  19.25556   56693.0521 
    14.55331  1.71808  4.47212       1.26847         3280.39121  0.05938  0.05612     0.04467   8.11955     17.77399    4474.1417    -5.91459  0.84411   8700.69266  0.00033  56663.23541  52.45879   3.78198  19.27664   56693.0478 
    14.38342  1.76457     5.39       1.85685         2668.22735  0.01203  0.31742     0.24065   1.12975     16.97004   5691.95765    -6.00019  1.08939    9263.3209    5e-05  56663.14981  52.25526   0.42316  19.24923   56693.0521 
    14.52551  1.63688   3.8526       1.47659         3051.15988  0.30422  0.16917     0.45527   2.79093     19.32675   4845.01083    -2.40377  1.15978   9892.29683  0.01179  56666.74623  52.44966  14.67684  19.25326   56693.0521 
    14.27711  1.51063  4.44469       1.64997         2697.95447  0.06379  0.12733     0.39895   3.35321     17.01216   4272.12154     -5.9865  1.56484   9502.44553    6e-05   56663.1635    52.438   3.24688  19.23956   56692.0369 
    14.33108  1.64266  4.77863       2.30765         2592.06914  0.00801  0.07985     0.11987   5.31898     18.42972   5002.57222    -5.99363  1.45026   9177.01883  0.00149  56663.15637  52.46123   0.46114  19.23969   56692.0369 
    14.37648  1.81886  5.91437       1.18182         2920.74762  0.00281  0.21634     0.24563   1.64761     16.50195   5940.78171    -5.31044   1.0998  10729.75856    2e-05  56663.83956  52.44556   0.11433  19.26107  56692.83594 
    14.27336  1.45602  4.37314       2.20592         2609.10266  0.01096  0.26412     0.31256   1.56719     18.26625   4577.52683    -5.94734  1.12084   8984.70165  0.00103  56663.20266  52.28358   0.43714  19.26399   56693.0452 
    14.47694  1.90663   5.6451       1.68911          2810.2403  0.07647  0.06597     0.07962   5.85662     18.69794    5173.9518    -3.52127  1.34555   9860.24782  0.00277  56665.62873  52.53398   4.50896  19.23963  56692.82422 
     14.4618  2.03966   5.9811       2.81186         2421.52259  0.01791  0.10567     0.48539   3.50143     19.13433   4458.47706    -4.03569  1.51032  10137.23873  0.00757  56665.11431  52.49947   0.92267  19.25826  56692.82422 
     14.3807  1.81614  5.49372       2.18025         2636.56167  0.01068  0.17972     0.32837   2.31323     17.82598   4846.48455    -5.59696  1.36995    9802.6271  0.00037  56663.55304   52.4166   0.48612  19.23591  56692.82422 
    14.39781  1.60348  5.22235       1.90329         2829.45643  0.03304  0.08604     0.08412   4.25227     17.12305    6350.6778    -3.81139  0.95591   9737.66081    7e-05  56665.33861   52.4876   1.79493  19.24647  56692.82422 
     14.5984  1.68144  2.78487       2.20961         2816.65424  0.24631  0.15544     0.16616   3.45593     19.68193   5112.71241    -3.30625  1.06791   8635.13497  0.02671  56665.84375  52.35857  12.64392  19.25184   56692.0297 
    14.31408  1.67721  5.14053       4.09557         2165.85523   0.0036  0.26499     0.39977   1.45932     17.28666   5426.93814    -4.43125  1.54631  10269.48361  0.00011  56664.71875   52.3883    0.1399  19.27288   56693.0452 
    14.40518  1.68704  5.13642       1.46024         2833.86877  0.02574  0.11481     0.12356   3.17633     18.68893   5251.82162    -4.47886  1.05166   9406.56735  0.00271  56664.67114  52.42245   1.29001  19.25527  56692.83594 
