# STATUS =
# OBJECT = LSQ14mo
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-04-21 02:18:03.00
# MJD = 56768.10
# EXPTIME = 0
# AIRMASS =
# SLIT = 0
# DISPERSER =
# SOURCE =
# FILTER =
# RESOLUTION =
# FLUX_STANDARD = True
# EXTINCTION_CORRECTED = True
# PHOTOMETRY_CALIBRATED = True
# TELLURIC_CORRECTED = True
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# COMMENT =
    Wavelength       Flux
3000.000000 6.586006e-01
3010.000000 8.295342e-01
3020.000000 3.103433e-01
3030.000000 3.226706e-01
3040.000000 7.631235e-01
3050.000000 5.579239e-01
3060.000000 4.867212e-01
3070.000000 5.521184e-01
3080.000000 1.117220e+00
3090.000000 9.946096e-01
3100.000000 1.740954e-01
3110.000000 3.610908e-01
3120.000000 4.173673e-01
3130.000000 5.301772e-01
3140.000000 6.533510e-01
3150.000000 4.671221e-01
3160.000000 5.251755e-01
3170.000000 3.990938e-01
3180.000000 5.520253e-01
3190.000000 7.106298e-01
3200.000000 1.026517e+00
3210.000000 8.247551e-01
3220.000000 7.609605e-01
3230.000000 3.309125e-01
3240.000000 3.363776e-01
3250.000000 2.444218e-01
3260.000000 3.846730e-01
3270.000000 4.191379e-01
3280.000000 5.035514e-01
3290.000000 5.714784e-01
3300.000000 6.475627e-01
3310.000000 7.213051e-01
3320.000000 6.499123e-01
3330.000000 4.040333e-01
3340.000000 7.395294e-01
3350.000000 4.872359e-01
3360.000000 3.626302e-01
3370.000000 6.185032e-01
3380.000000 3.637490e-01
3390.000000 4.741734e-01
3400.000000 6.115406e-01
3410.000000 4.544859e-01
3420.000000 7.010300e-01
3430.000000 1.042962e+00
3440.000000 1.098176e+00
3450.000000 6.069898e-01
3460.000000 7.834365e-01
3470.000000 6.082146e-01
3480.000000 5.315273e-01
3490.000000 6.835860e-01
3500.000000 3.986753e-01
3510.000000 4.700629e-01
3520.000000 6.841387e-01
3530.000000 5.374419e-01
3540.000000 8.593091e-01
3550.000000 6.831194e-01
3560.000000 7.209862e-01
3570.000000 4.241604e-01
3580.000000 4.280951e-01
3590.000000 9.424302e-01
3600.000000 7.096083e-01
3610.000000 5.819682e-01
3620.000000 8.688427e-01
3630.000000 6.312587e-01
3640.000000 3.734733e-01
3650.000000 6.194513e-01
3660.000000 3.596431e-01
3670.000000 7.630544e-01
3680.000000 9.798704e-01
3690.000000 6.670352e-01
3700.000000 9.030135e-01
3710.000000 1.232097e+00
3720.000000 8.409464e-01
3730.000000 1.032474e+00
3740.000000 8.468366e-01
3750.000000 5.434827e-01
3760.000000 4.543479e-01
3770.000000 5.394002e-01
3780.000000 7.766616e-01
3790.000000 1.021102e+00
3800.000000 6.312621e-01
3810.000000 3.942100e-01
3820.000000 5.939983e-01
3830.000000 5.422477e-01
3840.000000 5.719898e-01
3850.000000 4.222701e-01
3860.000000 6.846853e-01
3870.000000 8.326317e-01
3880.000000 6.062509e-01
3890.000000 6.333089e-01
3900.000000 7.046762e-01
3910.000000 7.450859e-01
3920.000000 8.578165e-01
3930.000000 6.648449e-01
3940.000000 9.060018e-01
3950.000000 9.340072e-01
3960.000000 8.982810e-01
3970.000000 9.140324e-01
3980.000000 7.936840e-01
3990.000000 8.067651e-01
4000.000000 7.337201e-01
4010.000000 9.365797e-01
4020.000000 1.146666e+00
4030.000000 1.104035e+00
4040.000000 8.288334e-01
4050.000000 6.581164e-01
4060.000000 9.480723e-01
4070.000000 1.093358e+00
4080.000000 1.119046e+00
4090.000000 9.730431e-01
4100.000000 9.432238e-01
4110.000000 8.871820e-01
4120.000000 9.929012e-01
4130.000000 9.047132e-01
4140.000000 1.080424e+00
4150.000000 9.420113e-01
4160.000000 1.392175e+00
4170.000000 1.427366e+00
4180.000000 7.711746e-01
4190.000000 8.601756e-01
4200.000000 1.079857e+00
4210.000000 7.335264e-01
4220.000000 7.030189e-01
4230.000000 6.652660e-01
4240.000000 6.078210e-01
4250.000000 8.744829e-01
4260.000000 1.047892e+00
4270.000000 1.225510e+00
4280.000000 1.057456e+00
4290.000000 1.120218e+00
4300.000000 7.202901e-01
4310.000000 1.015350e+00
4320.000000 1.344724e+00
4330.000000 9.456634e-01
4340.000000 1.093184e+00
4350.000000 1.113475e+00
4360.000000 1.032235e+00
4370.000000 1.017919e+00
4380.000000 1.274030e+00
4390.000000 5.749518e-01
4400.000000 1.000353e+00
4410.000000 9.937923e-01
4420.000000 9.726356e-01
4430.000000 7.065073e-01
4440.000000 1.095839e+00
4450.000000 1.357886e+00
4460.000000 1.126878e+00
4470.000000 9.682463e-01
4480.000000 8.117364e-01
4490.000000 8.563403e-01
4500.000000 8.135502e-01
4510.000000 7.721183e-01
4520.000000 1.503062e+00
4530.000000 9.985181e-01
4540.000000 7.474879e-01
4550.000000 1.219794e+00
4560.000000 6.965443e-01
4570.000000 6.356935e-01
4580.000000 5.242539e-01
4590.000000 4.168259e-01
4600.000000 9.228393e-01
4610.000000 7.968194e-01
4620.000000 1.177132e+00
4630.000000 9.693390e-01
4640.000000 9.922443e-01
4650.000000 5.514828e-01
4660.000000 6.091829e-01
4670.000000 9.863418e-01
4680.000000 1.083092e+00
4690.000000 2.419280e+00
4700.000000 2.708609e+00
4710.000000 1.157361e+00
4720.000000 6.876796e-01
4730.000000 8.663561e-01
4740.000000 1.138298e+00
4750.000000 9.132717e-01
4760.000000 4.620535e-01
4770.000000 1.304406e+00
4780.000000 1.487458e+00
4790.000000 9.192545e-01
4800.000000 6.272480e-01
4810.000000 6.732713e-01
4820.000000 1.070944e+00
4830.000000 9.278229e-01
4840.000000 6.912574e-01
4850.000000 7.576046e-01
4860.000000 9.426218e-01
4870.000000 8.389729e-01
4880.000000 7.490030e-01
4890.000000 9.860272e-01
4900.000000 1.365383e+00
4910.000000 7.276613e-01
4920.000000 1.058531e+00
4930.000000 1.299543e+00
4940.000000 1.135130e+00
4950.000000 1.194369e+00
4960.000000 1.065236e+00
4970.000000 1.090253e+00
4980.000000 5.465130e-01
4990.000000 8.092119e-01
5000.000000 9.803879e-01
5010.000000 7.816793e-01
5020.000000 1.284140e+00
5030.000000 9.728872e-01
5040.000000 4.216512e-01
5050.000000 6.634836e-01
5060.000000 8.781688e-01
5070.000000 8.873177e-01
5080.000000 8.829130e-01
5090.000000 1.410740e+00
5100.000000 1.005784e+00
5110.000000 1.333195e+00
5120.000000 1.097536e+00
5130.000000 8.704270e-01
5140.000000 9.100544e-01
5150.000000 8.845780e-01
5160.000000 7.195520e-01
5170.000000 8.842652e-01
5180.000000 1.035382e+00
5190.000000 1.160884e+00
5200.000000 6.204623e-01
5210.000000 7.647013e-01
5220.000000 8.096107e-01
5230.000000 7.199246e-01
5240.000000 7.975521e-01
5250.000000 9.479046e-01
5260.000000 1.242705e+00
5270.000000 5.787225e-01
5280.000000 1.606067e+00
5290.000000 1.220910e+00
5300.000000 6.095213e-01
5310.000000 5.828131e-01
5320.000000 8.820175e-01
5330.000000 9.942133e-01
5340.000000 1.122712e+00
5350.000000 9.603567e-01
5360.000000 1.074897e+00
5370.000000 9.447580e-01
5380.000000 1.071436e+00
5390.000000 9.639232e-01
5400.000000 9.815524e-01
5410.000000 7.994052e-01
5420.000000 7.543937e-01
5430.000000 1.136062e+00
5440.000000 1.208633e+00
5450.000000 9.224273e-01
5460.000000 7.381548e-01
5470.000000 3.868586e-01
5480.000000 4.265993e-01
5490.000000 1.242212e+00
5500.000000 1.224652e+00
5510.000000 1.762695e+00
5520.000000 1.064384e+00
5530.000000 6.872030e-01
5540.000000 7.957762e-01
5550.000000 1.499219e+00
5560.000000 8.356472e-01
5570.000000 7.921198e-01
5580.000000 7.150081e-01
5590.000000 6.562400e-01
5600.000000 6.694245e-01
5610.000000 1.103462e+00
5620.000000 1.106485e+00
5630.000000 1.069947e+00
5640.000000 6.156319e-01
5650.000000 5.413413e-01
5660.000000 9.784866e-01
5670.000000 6.856682e-01
5680.000000 1.168614e+00
5690.000000 1.306712e+00
5700.000000 1.053429e+00
5710.000000 8.691258e-01
5720.000000 1.099260e+00
5730.000000 1.718784e+00
5740.000000 1.674358e+00
5750.000000 1.513749e+00
5760.000000 7.917482e-02
5770.000000 3.420209e-01
5780.000000 6.080494e-01
5790.000000 2.044693e+00
5800.000000 1.590850e+00
5810.000000 4.545008e-01
5820.000000 5.022297e-01
5830.000000 8.064999e-01
5840.000000 1.500496e+00
5850.000000 1.568298e+00
5860.000000 1.754245e+00
5870.000000 1.420894e+00
5880.000000 1.221628e+00
5890.000000 1.006988e+00
5900.000000 5.236214e-01
5910.000000 1.252157e+00
5920.000000 6.579598e-01
5930.000000 8.955800e-01
5940.000000 1.148152e+00
5950.000000 8.297289e-01
5960.000000 1.095430e+00
5970.000000 5.863902e-01
5980.000000 2.097753e+00
5990.000000 2.739958e+00
6000.000000 1.319363e+00
6010.000000 1.373180e+00
6020.000000 8.964323e-01
6030.000000 7.896533e-01
6040.000000 1.597378e+00
6050.000000 1.424591e+00
6060.000000 1.159063e+00
6070.000000 1.685951e+00
6080.000000 9.602884e-01
6090.000000 1.199623e+00
6100.000000 9.172624e-01
6110.000000 1.067711e+00
6120.000000 1.210757e+00
6130.000000 2.432570e-01
6140.000000 7.004821e-01
6150.000000 1.238876e+00
6160.000000 4.997808e-01
6170.000000 1.460067e+00
6180.000000 7.840317e-01
6190.000000 4.924630e-01
6200.000000 2.474768e+00
6210.000000 1.956261e+00
6220.000000 6.537425e-01
6230.000000 1.411503e+00
6240.000000 4.289097e-01
6250.000000 4.324083e-01
6260.000000 1.932958e+00
6270.000000 6.622799e-01
6280.000000 4.778193e-01
6290.000000 6.863995e-01
6300.000000 5.113405e-02
6310.000000 1.357255e+00
6320.000000 1.581892e+00
6330.000000 8.157805e-01
6340.000000 2.339418e+00
6350.000000 1.016264e+00
6360.000000 -9.719932e-02
6370.000000 1.827474e+00
6380.000000 1.483291e+00
6390.000000 3.623027e-01
6400.000000 1.220985e+00
6410.000000 8.640528e-01
6420.000000 1.589463e+00
6430.000000 1.418753e+00
6440.000000 1.005981e+00
6450.000000 6.660793e-01
6460.000000 1.404752e+00
6470.000000 6.782054e-01
6480.000000 8.573339e-01
6490.000000 1.638577e+00
6500.000000 5.965828e-01
6510.000000 1.005867e+00
6520.000000 7.708839e-01
6530.000000 5.269564e-01
6540.000000 9.489280e-01
6550.000000 9.149450e-01
6560.000000 1.031608e+00
6570.000000 8.134463e-01
6580.000000 8.391579e-01
6590.000000 -4.843392e-03
6600.000000 2.276418e+00
6610.000000 3.701957e+00
6620.000000 8.007052e-01
6630.000000 1.107933e+00
6640.000000 5.114589e-01
6650.000000 2.645514e-01
6660.000000 4.852187e-01
6670.000000 1.263674e+00
6680.000000 8.496545e-01
6690.000000 4.178139e-01
6700.000000 9.336556e-01
6710.000000 8.544288e-01
6720.000000 9.060481e-01
6730.000000 8.469997e-01
6740.000000 5.932793e-01
6750.000000 1.296487e+00
6760.000000 1.194460e+00
6770.000000 1.488540e+00
6780.000000 1.385382e+00
6790.000000 6.291212e-01
6800.000000 8.636664e-01
6810.000000 8.764007e-01
6820.000000 8.080440e-01
6830.000000 1.084249e+00
6840.000000 8.842476e-01
6850.000000 7.211625e-01
6860.000000 5.325385e-01
6870.000000 6.360756e-01
6880.000000 1.797186e+00
6890.000000 1.165901e+00
6900.000000 8.117413e-01
6910.000000 1.779549e+00
6920.000000 1.301116e+00
6930.000000 9.803852e-01
6940.000000 9.363324e-01
6950.000000 8.468648e-01
6960.000000 1.387112e+00
6970.000000 4.095302e+00
6980.000000 1.695006e+00
6990.000000 7.439427e-01
7000.000000 1.875711e+00
7010.000000 1.049002e+00
7020.000000 1.142765e+00
7030.000000 4.608881e+00
7040.000000 3.960692e+00
7050.000000 1.078645e+00
7060.000000 1.673041e+00
7070.000000 4.738885e-01
7080.000000 1.514497e+00
7090.000000 8.841382e-01
7100.000000 1.373678e+00
7110.000000 4.633131e+00
7120.000000 3.688619e+00
7130.000000 3.952203e-01
7140.000000 1.732135e+00
7150.000000 2.044752e+00
7160.000000 1.256011e+00
7170.000000 1.269063e+00
7180.000000 1.469943e+00
7190.000000 2.716391e+00
7200.000000 3.565903e+00
7210.000000 1.562084e+00
7220.000000 1.048903e+00
7230.000000 1.028998e+00
7240.000000 1.089002e+00
7250.000000 1.951061e+00
7260.000000 5.186457e-01
7270.000000 9.840770e-01
7280.000000 1.251604e+00
7290.000000 1.394168e+00
7300.000000 1.818541e+00
7310.000000 1.712011e+00
7320.000000 2.050381e+00
7330.000000 2.003322e+00
7340.000000 2.057897e+00
7350.000000 2.134168e+00
7360.000000 1.526328e+00
7370.000000 1.485360e+00
7380.000000 1.124640e+00
7390.000000 nan
7400.000000 nan
7410.000000 nan
7420.000000 nan
7430.000000 nan
7440.000000 nan
7450.000000 nan
7460.000000 nan
7470.000000 nan
7480.000000 nan
7490.000000 nan
7500.000000 nan
7510.000000 nan
7520.000000 nan
7530.000000 nan
7540.000000 nan
7550.000000 nan
7560.000000 nan
7570.000000 nan
7580.000000 nan
7590.000000 nan
7600.000000 nan
7610.000000 nan
7620.000000 nan
7630.000000 nan
7640.000000 nan
7650.000000 nan
7660.000000 nan
7670.000000 nan
7680.000000 nan
7690.000000 nan
7700.000000 nan
7710.000000 nan
7720.000000 nan
7730.000000 nan
7740.000000 nan
7750.000000 nan
7760.000000 nan
7770.000000 nan
7780.000000 nan
7790.000000 nan
7800.000000 nan
7810.000000 nan
7820.000000 nan
7830.000000 nan
7840.000000 nan
7850.000000 nan
7860.000000 nan
7870.000000 nan
7880.000000 nan
7890.000000 nan
7900.000000 nan
7910.000000 nan
7920.000000 nan
7930.000000 nan
7940.000000 nan
7950.000000 nan
7960.000000 nan
7970.000000 nan
7980.000000 nan
7990.000000 nan
8000.000000 nan
8010.000000 nan
8020.000000 nan
8030.000000 nan
8040.000000 nan
8050.000000 nan
8060.000000 nan
8070.000000 nan
8080.000000 nan
8090.000000 nan
8100.000000 nan
8110.000000 nan
8120.000000 nan
8130.000000 nan
8140.000000 nan
8150.000000 nan
8160.000000 nan
8170.000000 nan
8180.000000 nan
8190.000000 nan
8200.000000 nan
8210.000000 nan
8220.000000 nan
8230.000000 nan
8240.000000 nan
8250.000000 nan
8260.000000 nan
8270.000000 nan
8280.000000 nan
8290.000000 nan
8300.000000 nan
8310.000000 nan
8320.000000 nan
8330.000000 nan
8340.000000 nan
8350.000000 nan
8360.000000 nan
8370.000000 nan
8380.000000 nan
8390.000000 nan
8400.000000 nan
8410.000000 nan
8420.000000 nan
8430.000000 nan
8440.000000 nan
8450.000000 nan
8460.000000 nan
8470.000000 nan
8480.000000 nan
8490.000000 nan
8500.000000 nan
8510.000000 nan
8520.000000 nan
8530.000000 nan
8540.000000 nan
8550.000000 nan
8560.000000 nan
8570.000000 nan
8580.000000 nan
8590.000000 nan
8600.000000 nan
8610.000000 nan
8620.000000 nan
8630.000000 nan
8640.000000 nan
8650.000000 nan
8660.000000 nan
8670.000000 nan
8680.000000 nan
8690.000000 nan
8700.000000 nan
8710.000000 nan
8720.000000 nan
8730.000000 nan
8740.000000 nan
8750.000000 nan
8760.000000 nan
8770.000000 nan
8780.000000 nan
8790.000000 nan
8800.000000 nan
8810.000000 nan
8820.000000 nan
8830.000000 nan
8840.000000 nan
8850.000000 nan
8860.000000 nan
8870.000000 nan
8880.000000 nan
8890.000000 nan
8900.000000 nan
8910.000000 nan
8920.000000 nan
8930.000000 nan
8940.000000 nan
8950.000000 nan
8960.000000 nan
8970.000000 nan
8980.000000 nan
8990.000000 nan
