# STATUS =
# OBJECT = LSQ14mo
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-01-31 05:23:17.00
# MJD = 56688.22450229991
# EXPTIME = 1800
# AIRMASS = --
# SLIT = 1
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3358.45403147
# MAX_WAVE = 7486.02300978
# COMMENT = As part of the &lt;a hrefhttp://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
    Wavelength          Flux 
 3362.54073343   2.06674e-17 
 3366.62743539   7.92013e-17 
 3370.71413735  -2.72636e-19 
  3374.8008393  -8.59426e-18 
 3378.88754126   2.09066e-17 
 3382.97424322   6.49115e-17 
 3387.06094518   2.98603e-17 
 3391.14764714   7.66105e-17 
  3395.2343491   9.84174e-17 
 3399.32105106   5.28471e-17 
 3403.40775302   6.50372e-17 
 3407.49445497   3.30773e-17 
 3411.58115693   4.91595e-17 
 3415.66785889   6.49613e-17 
 3419.75456085   8.75054e-17 
 3423.84126281   7.81482e-17 
 3427.92796477   8.21291e-17 
 3432.01466673   5.95343e-17 
 3436.10136869   5.66952e-17 
 3440.18807064   7.95497e-17 
  3444.2747726   6.58935e-17 
 3448.36147456   9.22677e-17 
 3452.44817652   8.78811e-17 
 3456.53487848   9.92924e-17 
 3460.62158044   8.07492e-17 
  3464.7082824   6.62744e-17 
 3468.79498436   3.44633e-17 
 3472.88168631   6.53015e-17 
 3476.96838827   9.07195e-17 
 3481.05509023   7.89524e-17 
 3485.14179219   8.55403e-17 
 3489.22849415   6.43288e-17 
 3493.31519611   6.04562e-17 
 3497.40189807    4.0105e-17 
 3501.48860003   3.87373e-17 
 3505.57530198   5.41557e-17 
 3509.66200394   5.94055e-17 
  3513.7487059   9.48859e-17 
 3517.83540786   5.92904e-17 
 3521.92210982   9.32783e-17 
 3526.00881178   8.68207e-17 
 3530.09551374   7.56517e-17 
  3534.1822157   6.79583e-17 
 3538.26891765   1.04124e-16 
 3542.35561961   9.11418e-17 
 3546.44232157   9.07848e-17 
 3550.52902353   8.98225e-17 
