# STATUS =
# OBJECT = LSQ14mo
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-04-21 02:18:03.00
# MJD = 56768.09586809995
# EXPTIME = 2400
# AIRMASS = --
# SLIT = 1
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3674.90755844
# MAX_WAVE = 9274.08003616
# COMMENT = As part of the &lt;a hrefhttp://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
    Wavelength          Flux 
 3680.42942479    4.4312e-18 
 3685.95129114   3.79086e-18 
 3691.47315749  -8.80126e-19 
 3696.99502384  -4.42573e-19 
 3702.51689018  -1.61199e-19 
 3708.03875653  -4.44003e-19 
 3713.56062288   7.65936e-18 
 3719.08248923  -1.29442e-18 
 3724.60435558  -4.34144e-18 
 3730.12622193  -1.29792e-18 
 3735.64808828   3.49613e-18 
 3741.16995463  -1.16318e-18 
 3746.69182097    4.1403e-18 
 3752.21368732  -8.55425e-19 
 3757.73555367  -1.18137e-18 
 3763.25742002    4.0613e-18 
 3768.77928637   1.14533e-18 
 3774.30115272   2.43059e-18 
 3779.82301907   2.48901e-18 
 3785.34488542   7.47986e-18 
 3790.86675177  -1.06272e-18 
 3796.38861811  -3.38336e-18 
 3801.91048446   -1.1442e-18 
 3807.43235081   3.75904e-19 
 3812.95421716   3.43806e-18 
 3818.47608351   8.83339e-19 
 3823.99794986   3.26122e-18 
 3829.51981621    3.6706e-18 
 3835.04168256   1.08546e-19 
 3840.56354891  -3.14203e-18 
 3846.08541525   1.36717e-18 
  3851.6072816   3.55144e-18 
 3857.12914795  -5.95513e-19 
  3862.6510143   9.71196e-20 
 3868.17288065   6.20475e-18 
   3873.694747   5.41095e-18 
 3879.21661335   3.50984e-18 
  3884.7384797   2.10781e-18 
 3890.26034604   3.39928e-19 
 3895.78221239  -2.60043e-19 
 3901.30407874   1.07557e-20 
 3906.82594509   8.15662e-19 
 3912.34781144  -1.01872e-18 
 3917.86967779   1.28668e-18 
 3923.39154414    3.5978e-18 
 3928.91341049  -1.63506e-19 
 3934.43527684   2.20318e-18 
 3939.95714318   3.41769e-18 
 3945.47900953   3.99349e-18 
 3951.00087588  -8.22803e-19 
 3956.52274223   4.14451e-18 
 3962.04460858  -7.76637e-19 
 3967.56647493   2.45142e-18 
 3973.08834128   3.37132e-18 
 3978.61020763   1.61961e-18 
 3984.13207397   9.60527e-19 
 3989.65394032  -9.16483e-19 
 3995.17580667     2.935e-18 
 4000.69767302   5.14302e-19 
 4006.21953937  -1.72454e-19 
 4011.74140572   5.73156e-18 
 4017.26327207   4.07066e-18 
 4022.78513842    2.6352e-18 
 4028.30700477   1.39042e-19 
 4033.82887111   2.31205e-18 
 4039.35073746    4.6969e-18 
 4044.87260381   4.37545e-19 
 4050.39447016  -2.12874e-18 
 4055.91633651   3.33513e-18 
 4061.43820286    1.2652e-18 
 4066.96006921  -6.88332e-19 
 4072.48193556   1.79673e-18 
 4078.00380191   3.61652e-20 
 4083.52566825  -6.59247e-19 
  4089.0475346   2.28799e-19 
 4094.56940095  -2.09172e-18 
  4100.0912673   1.63901e-18 
 4105.61313365   -5.1911e-20 
      4111.135   1.91913e-18 
 4116.65686635  -2.04721e-19 
  4122.1787327   2.75302e-18 
 4127.70059904   2.22497e-18 
 4133.22246539   1.32244e-18 
 4138.74433174   2.10139e-18 
 4144.26619809   1.92887e-18 
 4149.78806444   1.64563e-18 
 4155.30993079   1.34978e-18 
 4160.83179714   3.65869e-18 
 4166.35366349   5.26486e-18 
