# STATUS =
# OBJECT = LSQ14mo
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-02-20 01:19:30.00
# MJD = 56708.055208299775
# EXPTIME = 1800
# AIRMASS = 1.665
# SLIT = 1
# DISPERSER = Free
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3665.33227539
# MAX_WAVE = 9321.84790039
# COMMENT = --
    Wavelength          Flux 
 3670.85621643   6.86083e-17 
 3676.38015747   7.02837e-17 
 3681.90409851   6.99496e-17 
 3687.42803955   8.08748e-17 
 3692.95198059   6.19171e-17 
 3698.47592163   5.35546e-17 
 3703.99986267   6.29912e-17 
 3709.52380371   6.76449e-17 
 3715.04774475   6.10848e-17 
 3720.57168579   4.82898e-17 
 3726.09562683   5.69947e-17 
 3731.61956787   5.23606e-17 
 3737.14350891   5.06736e-17 
 3742.66744995   5.93765e-17 
 3748.19139099   5.97713e-17 
 3753.71533203   4.96959e-17 
 3759.23927307   4.82439e-17 
 3764.76321411   4.39577e-17 
 3770.28715515   4.92133e-17 
 3775.81109619   5.39488e-17 
 3781.33503723   5.86927e-17 
 3786.85897827    5.4953e-17 
 3792.38291931   5.39426e-17 
 3797.90686035    5.5736e-17 
 3803.43080139   5.70739e-17 
 3808.95474243   6.73983e-17 
 3814.47868347   6.97028e-17 
 3820.00262451   6.55892e-17 
 3825.52656555   6.34196e-17 
 3831.05050659   5.99411e-17 
 3836.57444763   6.77951e-17 
 3842.09838867   7.11011e-17 
 3847.62232971   6.38965e-17 
 3853.14627075   6.86271e-17 
 3858.67021179   6.60566e-17 
 3864.19415283   6.31184e-17 
 3869.71809387   6.77381e-17 
 3875.24203491   7.03218e-17 
 3880.76597595   6.60504e-17 
 3886.28991699   7.17524e-17 
 3891.81385803   7.23727e-17 
 3897.33779907    8.8032e-17 
 3902.86174011   5.87911e-17 
 3908.38568115   7.65834e-17 
 3913.90962219   7.57037e-17 
 3919.43356323   7.19195e-17 
 3924.95750427   7.78593e-17 
 3930.48144531    8.0407e-17 
 3936.00538635    7.7079e-17 
 3941.52932739   6.46132e-17 
 3947.05326843   7.23631e-17 
 3952.57720947   7.40777e-17 
 3958.10115051   7.53605e-17 
 3963.62509155   7.28374e-17 
 3969.14903259   6.69112e-17 
 3974.67297363   7.07525e-17 
 3980.19691467   7.43171e-17 
 3985.72085571   8.08378e-17 
 3991.24479675   6.85095e-17 
 3996.76873779   6.48505e-17 
 4002.29267883   6.72946e-17 
 4007.81661987   7.51612e-17 
 4013.34056091   7.34305e-17 
 4018.86450195   6.94901e-17 
 4024.38844299   6.13503e-17 
 4029.91238403   7.48709e-17 
 4035.43632507   6.65619e-17 
 4040.96026611   6.76297e-17 
 4046.48420715   6.81042e-17 
 4052.00814819   6.56225e-17 
 4057.53208923   6.65923e-17 
 4063.05603027   8.03766e-17 
 4068.57997131   7.02519e-17 
 4074.10391235   6.70003e-17 
 4079.62785339   6.19018e-17 
 4085.15179443   6.36363e-17 
 4090.67573547   6.05601e-17 
 4096.19967651   5.90274e-17 
 4101.72361755   5.85548e-17 
 4107.24755859   6.64685e-17 
 4112.77149963   6.18116e-17 
 4118.29544067   6.39609e-17 
 4123.81938171   6.80699e-17 
 4129.34332275   6.14396e-17 
 4134.86726379   7.34074e-17 
 4140.39120483   6.67452e-17 
 4145.91514587   6.58381e-17 
 4151.43908691   5.97189e-17 
 4156.96302795   6.36998e-17 
 4162.48696899   6.07691e-17 
 4168.01091003   6.48596e-17 
 4173.53485107   6.69147e-17 
 4179.05879211   6.71135e-17 
 4184.58273315   6.03214e-17 
 4190.10667419   5.75481e-17 
 4195.63061523   6.70356e-17 
 4201.15455627   6.70483e-17 
 4206.67849731   6.75412e-17 
 4212.20243835   6.50128e-17 
 4217.72637939   7.14257e-17 
 4223.25032043   5.66681e-17 
 4228.77426147   6.41867e-17 
 4234.29820251   6.30533e-17 
 4239.82214355   6.09019e-17 
 4245.34608459   6.24505e-17 
 4250.87002563   6.18712e-17 
 4256.39396667    6.5692e-17 
 4261.91790771   6.77334e-17 
 4267.44184875   6.60613e-17 
 4272.96578979    6.1113e-17 
 4278.48973083   6.49503e-17 
 4284.01367187    6.2152e-17 
 4289.53761292   6.55681e-17 
 4295.06155396   6.01892e-17 
   4300.585495   6.37054e-17 
 4306.10943604   7.33774e-17 
 4311.63337708   5.92139e-17 
 4317.15731812   6.47101e-17 
 4322.68125916   6.81903e-17 
  4328.2052002   7.16897e-17 
 4333.72914124   6.86754e-17 
 4339.25308228    6.3921e-17 
 4344.77702332   7.27143e-17 
 4350.30096436   6.81204e-17 
  4355.8249054   7.40094e-17 
 4361.34884644   7.13455e-17 
 4366.87278748   7.39511e-17 
 4372.39672852   6.97705e-17 
 4377.92066956   6.95762e-17 
  4383.4446106   6.68302e-17 
 4388.96855164   7.17732e-17 
 4394.49249268   6.80185e-17 
 4400.01643372   7.49676e-17 
 4405.54037476   7.68976e-17 
  4411.0643158   7.35564e-17 
 4416.58825684   7.87153e-17 
 4422.11219788   7.74698e-17 
 4427.63613892   7.56332e-17 
 4433.16007996   7.88725e-17 
   4438.684021   7.55156e-17 
 4444.20796204    8.0062e-17 
 4449.73190308   7.65754e-17 
 4455.25584412   7.16505e-17 
 4460.77978516   7.94654e-17 
  4466.3037262   8.22837e-17 
 4471.82766724   7.62605e-17 
 4477.35160828   8.20891e-17 
 4482.87554932   7.69461e-17 
 4488.39949036   7.63972e-17 
  4493.9234314   7.52529e-17 
 4499.44737244   7.95492e-17 
 4504.97131348   7.99235e-17 
 4510.49525452   7.50243e-17 
 4516.01919556   8.01952e-17 
  4521.5431366   8.16467e-17 
 4527.06707764   7.90594e-17 
 4532.59101868   7.68524e-17 
 4538.11495972   8.11633e-17 
 4543.63890076   7.71282e-17 
  4549.1628418   7.65658e-17 
 4554.68678284   7.20276e-17 
 4560.21072388   7.64853e-17 
 4565.73466492   7.50864e-17 
 4571.25860596   8.35563e-17 
   4576.782547   7.25138e-17 
 4582.30648804   7.52918e-17 
 4587.83042908   7.50689e-17 
 4593.35437012    7.1185e-17 
 4598.87831116   8.02277e-17 
  4604.4022522   7.94495e-17 
 4609.92619324   7.42014e-17 
 4615.45013428   7.53891e-17 
 4620.97407532    7.7496e-17 
 4626.49801636   7.67551e-17 
  4632.0219574   7.12232e-17 
 4637.54589844   7.31598e-17 
 4643.06983948   7.66756e-17 
 4648.59378052   7.72221e-17 
 4654.11772156   7.59896e-17 
  4659.6416626   7.34393e-17 
 4665.16560364    7.2153e-17 
 4670.68954468   7.44642e-17 
 4676.21348572   7.53685e-17 
 4681.73742676   7.30426e-17 
  4687.2613678   6.97017e-17 
 4692.78530884    7.6115e-17 
 4698.30924988   7.06696e-17 
 4703.83319092   7.06035e-17 
 4709.35713196   6.67075e-17 
   4714.881073   7.08444e-17 
 4720.40501404   6.51061e-17 
 4725.92895508    6.5642e-17 
 4731.45289612   6.15518e-17 
 4736.97683716   5.84413e-17 
  4742.5007782   6.89938e-17 
 4748.02471924   6.31942e-17 
 4753.54866028   6.35338e-17 
 4759.07260132    6.4705e-17 
 4764.59654236   6.29979e-17 
  4770.1204834   6.46252e-17 
 4775.64442444   7.13083e-17 
 4781.16836548   6.84532e-17 
 4786.69230652   6.62285e-17 
 4792.21624756   7.12749e-17 
  4797.7401886     7.348e-17 
 4803.26412964   6.40546e-17 
 4808.78807068   7.07284e-17 
 4814.31201172   6.98134e-17 
 4819.83595276   7.23087e-17 
  4825.3598938   6.81175e-17 
 4830.88383484   7.32919e-17 
 4836.40777588   7.02431e-17 
 4841.93171692     7.152e-17 
 4847.45565796   6.64738e-17 
   4852.979599   6.94804e-17 
 4858.50354004   7.09738e-17 
 4864.02748108   6.77514e-17 
 4869.55142212    7.3934e-17 
 4875.07536316   6.77816e-17 
  4880.5993042    7.2022e-17 
 4886.12324524    6.5268e-17 
 4891.64718628   7.11709e-17 
 4897.17112732   7.48502e-17 
 4902.69506836   7.18954e-17 
  4908.2190094   7.25331e-17 
 4913.74295044   7.74768e-17 
 4919.26689148   7.62772e-17 
 4924.79083252   7.89532e-17 
 4930.31477356   7.24743e-17 
  4935.8387146   7.34408e-17 
 4941.36265564   6.88918e-17 
 4946.88659668   7.36886e-17 
 4952.41053772   7.85122e-17 
 4957.93447876   7.34138e-17 
  4963.4584198   7.22318e-17 
 4968.98236084   7.32672e-17 
 4974.50630188   7.32721e-17 
 4980.03024292   6.85873e-17 
 4985.55418396   7.01304e-17 
   4991.078125   6.27097e-17 
 4996.60206604   7.14766e-17 
 5002.12600708   7.30809e-17 
 5007.64994812   7.27199e-17 
 5013.17388916   7.12425e-17 
  5018.6978302   6.91016e-17 
 5024.22177124   6.19782e-17 
 5029.74571228   6.46655e-17 
 5035.26965332   6.83686e-17 
 5040.79359436   6.72152e-17 
  5046.3175354   6.51238e-17 
 5051.84147644   6.73151e-17 
 5057.36541748   7.00114e-17 
 5062.88935852   6.82063e-17 
 5068.41329956   7.34012e-17 
  5073.9372406   7.50804e-17 
 5079.46118164   6.72557e-17 
 5084.98512268   7.02094e-17 
 5090.50906372   6.94159e-17 
 5096.03300476   6.98366e-17 
  5101.5569458   6.87297e-17 
 5107.08088684   6.12262e-17 
 5112.60482788   6.63903e-17 
 5118.12876892   6.79635e-17 
 5123.65270996   7.07762e-17 
   5129.176651   6.79591e-17 
 5134.70059204   6.79166e-17 
 5140.22453308   6.52938e-17 
 5145.74847412   6.52611e-17 
 5151.27241516   7.07126e-17 
  5156.7963562   6.42952e-17 
 5162.32029724   6.04901e-17 
 5167.84423828     6.998e-17 
 5173.36817932   7.52118e-17 
 5178.89212036   6.52084e-17 
  5184.4160614   6.49455e-17 
 5189.94000244   7.01054e-17 
 5195.46394348   6.66724e-17 
 5200.98788452   6.44602e-17 
 5206.51182556   6.69713e-17 
  5212.0357666   6.79206e-17 
 5217.55970764   6.57278e-17 
 5223.08364868   6.61184e-17 
 5228.60758972   6.49185e-17 
 5234.13153076   6.83078e-17 
  5239.6554718   6.56341e-17 
 5245.17941284   6.72666e-17 
 5250.70335388   6.65957e-17 
 5256.22729492   6.37888e-17 
 5261.75123596   5.89072e-17 
   5267.275177   5.82935e-17 
 5272.79911804    6.6374e-17 
 5278.32305908    6.3712e-17 
 5283.84700012   6.28701e-17 
 5289.37094116   6.27312e-17 
  5294.8948822    6.0361e-17 
 5300.41882324   5.99405e-17 
 5305.94276428   6.20821e-17 
 5311.46670532   6.07228e-17 
 5316.99064636   5.36762e-17 
  5322.5145874   5.66487e-17 
 5328.03852844   6.24458e-17 
 5333.56246948   5.78894e-17 
 5339.08641052    5.5602e-17 
 5344.61035156   5.09425e-17 
  5350.1342926    5.8401e-17 
 5355.65823364   5.68407e-17 
 5361.18217468   6.33095e-17 
 5366.70611572   5.86517e-17 
 5372.23005676   5.71332e-17 
  5377.7539978   5.76145e-17 
 5383.27793884   6.11314e-17 
 5388.80187988   5.34384e-17 
 5394.32582092   5.23518e-17 
 5399.84976196     5.798e-17 
   5405.373703    5.5919e-17 
 5410.89764404   5.79977e-17 
 5416.42158508   5.40484e-17 
 5421.94552612   5.30547e-17 
 5427.46946716   5.04284e-17 
  5432.9934082    5.5911e-17 
 5438.51734924   5.52669e-17 
 5444.04129028   5.41275e-17 
 5449.56523132   5.35121e-17 
 5455.08917236   5.43321e-17 
  5460.6131134    5.9459e-17 
 5466.13705444   5.44297e-17 
 5471.66099548   5.81241e-17 
 5477.18493652   6.15469e-17 
 5482.70887756   5.61081e-17 
  5488.2328186     5.965e-17 
 5493.75675964   5.60047e-17 
 5499.28070068   6.25422e-17 
 5504.80464172   5.91808e-17 
 5510.32858276   5.61532e-17 
  5515.8525238   5.75563e-17 
 5521.37646484   5.43654e-17 
 5526.90040588   5.97148e-17 
 5532.42434692     5.632e-17 
 5537.94828796    6.3734e-17 
   5543.472229   5.27446e-17 
 5548.99617004   6.05865e-17 
 5554.52011108   6.22644e-17 
 5560.04405212   6.06061e-17 
 5565.56799316   6.04104e-17 
  5571.0919342   6.00859e-17 
 5576.61587524   5.46766e-17 
 5582.13981628   5.84784e-17 
 5587.66375732    5.3678e-17 
 5593.18769836   6.31856e-17 
  5598.7116394   6.22696e-17 
 5604.23558044   6.58355e-17 
 5609.75952148   6.30759e-17 
 5615.28346252    6.3498e-17 
 5620.80740356   6.80255e-17 
  5626.3313446   6.35048e-17 
 5631.85528564   6.42822e-17 
 5637.37922668   5.80859e-17 
 5642.90316772   6.54153e-17 
 5648.42710876   6.25603e-17 
  5653.9510498    6.7235e-17 
 5659.47499084   6.75091e-17 
 5664.99893188   6.58805e-17 
 5670.52287292   6.14587e-17 
 5676.04681396    6.0528e-17 
   5681.570755   6.41394e-17 
 5687.09469604   6.27014e-17 
 5692.61863708   6.32207e-17 
 5698.14257812   6.11492e-17 
 5703.66651917   6.39359e-17 
 5709.19046021   6.61814e-17 
 5714.71440125   6.82514e-17 
 5720.23834229   6.46469e-17 
 5725.76228333   6.27882e-17 
 5731.28622437    6.1008e-17 
 5736.81016541    6.3681e-17 
 5742.33410645   6.66381e-17 
 5747.85804749   6.21436e-17 
 5753.38198853   6.47577e-17 
 5758.90592957   6.37526e-17 
 5764.42987061   6.48248e-17 
 5769.95381165   5.71459e-17 
 5775.47775269  -1.37883e-17 
 5781.00169373   2.38116e-17 
 5786.52563477   6.08376e-17 
 5792.04957581   5.62975e-17 
 5797.57351685   6.55521e-17 
 5803.09745789   6.07153e-17 
 5808.62139893   5.85994e-17 
 5814.14533997   6.24456e-17 
 5819.66928101   5.58175e-17 
 5825.19322205   5.86485e-17 
 5830.71716309   5.98572e-17 
 5836.24110413   6.24992e-17 
 5841.76504517   5.77258e-17 
 5847.28898621   5.60008e-17 
 5852.81292725    5.6248e-17 
 5858.33686829   6.01817e-17 
 5863.86080933    5.7442e-17 
 5869.38475037   5.73336e-17 
 5874.90869141    4.6748e-17 
 5880.43263245   5.10847e-17 
 5885.95657349   5.08852e-17 
 5891.48051453   5.39907e-17 
 5897.00445557   5.33482e-17 
 5902.52839661   5.20289e-17 
 5908.05233765   5.32496e-17 
 5913.57627869    4.7407e-17 
 5919.10021973   5.41589e-17 
 5924.62416077   5.05224e-17 
 5930.14810181   4.73493e-17 
 5935.67204285    5.2232e-17 
 5941.19598389   5.26106e-17 
 5946.71992493   5.41025e-17 
 5952.24386597   4.85652e-17 
 5957.76780701   5.06109e-17 
 5963.29174805   5.03039e-17 
 5968.81568909   4.94317e-17 
 5974.33963013   5.02779e-17 
 5979.86357117   4.98843e-17 
 5985.38751221   5.34106e-17 
