# STATUS =
# OBJECT = LSQ14mo
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-02-06 04:30:51.00
# MJD = 56694.18809030019
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3357.6611
# MAX_WAVE = 7485.233
# COMMENT = Released as part of DR2
 Wavelength            Flux           Error 
  3357.6611   7.4599614e-17   1.8671338e-17 
  3361.7478    8.969451e-17   1.8372959e-17 
  3365.8345    9.368844e-17   1.7857291e-17 
  3369.9211   1.1184701e-16   1.7271128e-17 
  3374.0078   1.1944428e-16   1.7252938e-17 
  3378.0945   1.0218469e-16   1.6496997e-17 
  3382.1814    9.882317e-17   1.5884629e-17 
   3386.268    6.823365e-17   1.5324474e-17 
  3390.3547   1.1237793e-16   1.5304024e-17 
  3394.4414   1.4958316e-16   1.5689514e-17 
   3398.528   1.3626203e-16   1.5175374e-17 
  3402.6147    1.291021e-16   1.4780943e-17 
  3406.7014   1.0871414e-16   1.4194219e-17 
  3410.7883     1.48421e-16   1.4559047e-17 
   3414.875   1.3250594e-16   1.3990562e-17 
  3418.9617   1.3785161e-16   1.4499831e-17 
  3423.0483   1.4496302e-16  1.37253384e-17 
   3427.135    1.474969e-16   1.3472783e-17 
  3431.2217   1.5365842e-16    1.348788e-17 
  3435.3083   1.7650369e-16   1.3625884e-17 
  3439.3953   1.4542185e-16   1.3053691e-17 
   3443.482   1.7806635e-16  1.29959645e-17 
  3447.5686   1.6527221e-16   1.2553561e-17 
  3451.6553   1.7876485e-16   1.2683293e-17 
   3455.742   1.3732146e-16  1.18494045e-17 
  3459.8286    1.613072e-16  1.21639415e-17 
  3463.9153    1.384343e-16  1.18845075e-17 
  3468.0022    1.603927e-16  1.19908565e-17 
  3472.0889   1.4108447e-16   1.1548173e-17 
  3476.1755    1.428428e-16  1.14584045e-17 
  3480.2622    1.211194e-16  1.09046716e-17 
  3484.3489   1.4496946e-16   1.0830232e-17 
  3488.4355   1.2872704e-16   1.0412041e-17 
  3492.5222    1.198331e-16  1.01459716e-17 
  3496.6091     8.68091e-17    9.808472e-18 
  3500.6958   1.0965439e-16    9.858261e-18 
  3504.7825    9.201581e-17    9.666353e-18 
  3508.8691   1.1155554e-16    9.509551e-18 
  3512.9558   1.5879613e-16  1.00776175e-17 
  3517.0425   1.4015011e-16   9.6326175e-18 
  3521.1292   1.3328069e-16    9.611162e-18 
   3525.216    1.351542e-16    9.511188e-18 
  3529.3027   1.5025382e-16    9.853986e-18 
  3533.3894   1.3913748e-16     9.81778e-18 
   3537.476   1.4120386e-16    9.602658e-18 
  3541.5627   1.6113936e-16   9.6987125e-18 
  3545.6494   1.3578957e-16    9.342052e-18 
   3549.736   1.5128824e-16    9.263115e-18 
   3553.823   1.2785171e-16    8.781042e-18 
  3557.9097   1.3850967e-16    8.983372e-18 
  3561.9963   1.5882023e-16   8.8774785e-18 
   3566.083   1.3887067e-16    8.477497e-18 
  3570.1697   1.3383672e-16    8.305934e-18 
  3574.2563   1.3415771e-16    8.318103e-18 
   3578.343   1.4699631e-16    8.395607e-18 
    3582.43   1.4993034e-16    8.242204e-18 
  3586.5166   1.5226045e-16     8.26727e-18 
  3590.6033   1.3363769e-16    8.025442e-18 
    3594.69   1.2821258e-16   7.8440975e-18 
  3598.7766   1.4502688e-16    7.977208e-18 
  3602.8633   1.5581945e-16    7.938069e-18 
    3606.95   1.5963583e-16    8.044016e-18 
  3611.0369   1.3251422e-16   7.7398595e-18 
  3615.1235   1.4668403e-16    7.873705e-18 
  3619.2102   1.5299382e-16   7.8503824e-18 
  3623.2969   1.6043954e-16    7.961221e-18 
  3627.3835   1.3076984e-16    7.593508e-18 
  3631.4702   1.4634429e-16    7.587253e-18 
   3635.557   1.4624694e-16   7.5265875e-18 
  3639.6438   1.4527332e-16    7.473977e-18 
  3643.7305   1.6120705e-16    7.470469e-18 
  3647.8171   1.4566273e-16    7.270782e-18 
  3651.9038   1.4729166e-16    7.274277e-18 
  3655.9905   1.5983709e-16    7.346111e-18 
  3660.0771   1.6008221e-16    7.247384e-18 
  3664.1638   1.4264497e-16   6.9812745e-18 
  3668.2507   1.6507046e-16   7.0876665e-18 
  3672.3374   1.5728483e-16    7.012172e-18 
   3676.424    1.330026e-16   6.6479493e-18 
  3680.5107   1.4793921e-16   6.7923655e-18 
  3684.5974    1.425047e-16   6.5887686e-18 
   3688.684   1.5629678e-16    6.802865e-18 
  3692.7708   1.5811629e-16    6.806642e-18 
  3696.8577   1.5405855e-16   6.7324875e-18 
  3700.9443    1.494763e-16   6.5973436e-18 
   3705.031   1.4422091e-16    6.543949e-18 
  3709.1177   1.4646473e-16   6.4367833e-18 
  3713.2043   1.4105346e-16    6.331529e-18 
   3717.291   1.3906954e-16    6.278893e-18 
  3721.3777   1.3143564e-16   6.2189262e-18 
  3725.4646   1.4156466e-16    6.263037e-18 
  3729.5513   1.4905027e-16   6.4034913e-18 
   3733.638   1.4406702e-16   6.2496543e-18 
  3737.7246   1.3883566e-16    6.954996e-18 
  3741.8113   1.3566265e-16   6.0800137e-18 
   3745.898   1.5477059e-16   6.1975854e-18 
  3749.9846   1.3767044e-16   5.9179595e-18 
  3754.0715   1.3575041e-16   5.8655373e-18 
  3758.1582   1.3845291e-16    5.736445e-18 
  3762.2449    1.347514e-16   5.7093197e-18 
  3766.3315   1.3953434e-16   5.7604515e-18 
  3770.4182   1.3763743e-16     5.71492e-18 
   3774.505   1.4033864e-16   5.7214135e-18 
  3778.5916   1.3813906e-16   5.6527447e-18 
  3782.6785   1.3330618e-16   5.5660206e-18 
  3786.7651   1.3543367e-16    5.518365e-18 
  3790.8518   1.4722873e-16    5.596982e-18 
  3794.9385   1.3102688e-16   5.3875493e-18 
  3799.0251   1.3187928e-16    5.418311e-18 
  3803.1118   1.3409941e-16   5.3085007e-18 
  3807.1985   1.3788541e-16   5.3963646e-18 
  3811.2854   1.3741613e-16    5.346682e-18 
   3815.372   1.3948589e-16   5.3541164e-18 
  3819.4587   1.3136351e-16   5.2477906e-18 
  3823.5454   1.4159769e-16   5.3401995e-18 
   3827.632   1.4973429e-16    5.409082e-18 
  3831.7188   1.3345982e-16   5.2432344e-18 
  3835.8054   1.2884718e-16   5.1591085e-18 
  3839.8923   1.3611961e-16   5.1450163e-18 
   3843.979   1.4875419e-16   5.2407244e-18 
  3848.0657    1.331316e-16   5.0882737e-18 
  3852.1523   1.3692616e-16   5.0224178e-18 
   3856.239   1.3980799e-16   5.0369898e-18 
  3860.3257    1.349749e-16   4.9550373e-18 
  3864.4124   1.3050013e-16    4.873234e-18 
  3868.4993   1.4124759e-16    4.932525e-18 
   3872.586   1.3587257e-16    4.857779e-18 
  3876.6726   1.5224429e-16    5.017811e-18 
  3880.7593   1.2960455e-16   4.7500962e-18 
   3884.846   1.3597468e-16   4.8023215e-18 
  3888.9326   1.3264543e-16   4.7178023e-18 
  3893.0193   1.4002925e-16   4.7816735e-18 
  3897.1062   1.3819096e-16    4.802585e-18 
  3901.1929   1.3676191e-16    4.766395e-18 
  3905.2795   1.3819423e-16     4.82689e-18 
  3909.3662   1.3794104e-16   4.7477152e-18 
   3913.453   1.3415955e-16    4.759204e-18 
  3917.5396   1.3373785e-16    4.669136e-18 
  3921.6262    1.308008e-16   4.6114083e-18 
  3925.7131   1.2574237e-16   4.5676864e-18 
  3929.7998   1.3027058e-16   4.5107052e-18 
  3933.8865   1.2462589e-16   4.4620174e-18 
  3937.9731   1.2714949e-16    4.496718e-18 
  3942.0598   1.3126316e-16    4.580874e-18 
  3946.1465   1.4494452e-16   4.6749845e-18 
  3950.2332   1.2532684e-16    4.510003e-18 
    3954.32   1.3361734e-16    4.549488e-18 
  3958.4067   1.3469634e-16    4.492937e-18 
  3962.4934   1.2469459e-16    4.368642e-18 
    3966.58   1.2775447e-16    4.399398e-18 
  3970.6667   1.2794832e-16   4.3974754e-18 
  3974.7534   1.2426749e-16    4.330536e-18 
    3978.84   1.2493741e-16    4.394099e-18 
