# STATUS =
# OBJECT = LSQ14mo
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2014-02-20 02:20:39.00
# MJD = 56708.097673600074
# EXPTIME = 1800
# AIRMASS = --
# SLIT = 1
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = High
# MIN_WAVE = 3669.25209069
# MAX_WAVE = 9270.30583644
# COMMENT = As part of the &lt;a hrefhttp://www.eso.org/sci/publications/announcements/sciann15062.html&gt;PESSTO SSDR2&lt;/a&gt; [Prev. spec info - createdby: ofer-UploadSet; modifiedby: ofer-UploadSet]
    Wavelength         Flux 
 3674.77581233  7.21107e-17 
 3680.29953398   8.1856e-17 
 3685.82325562  6.51181e-17 
 3691.34697726  8.02411e-17 
  3696.8706989   7.9168e-17 
 3702.39442055  6.41227e-17 
 3707.91814219  7.27919e-17 
 3713.44186383  7.50133e-17 
 3718.96558547  8.16038e-17 
 3724.48930712  6.42494e-17 
 3730.01302876  5.42375e-17 
  3735.5367504   4.9264e-17 
 3741.06047205  6.39066e-17 
 3746.58419369  5.91388e-17 
 3752.10791533   6.4916e-17 
 3757.63163697  5.59479e-17 
 3763.15535862  5.93084e-17 
 3768.67908026  5.55696e-17 
  3774.2028019  6.59517e-17 
 3779.72652355  6.30026e-17 
 3785.25024519  6.50534e-17 
 3790.77396683  6.78066e-17 
 3796.29768847  7.28926e-17 
 3801.82141012  6.96745e-17 
 3807.34513176   7.3138e-17 
  3812.8688534  6.75973e-17 
 3818.39257504  6.16854e-17 
 3823.91629669   7.5709e-17 
 3829.44001833  7.45255e-17 
 3834.96373997  8.00331e-17 
 3840.48746162  8.57535e-17 
 3846.01118326  8.12099e-17 
  3851.5349049  7.96067e-17 
 3857.05862654  8.65163e-17 
 3862.58234819  7.61722e-17 
 3868.10606983  8.37891e-17 
 3873.62979147  8.09969e-17 
 3879.15351311  7.73218e-17 
 3884.67723476  8.80629e-17 
  3890.2009564  7.19157e-17 
 3895.72467804  8.80514e-17 
 3901.24839969  7.84561e-17 
 3906.77212133   8.5589e-17 
 3912.29584297  8.49857e-17 
 3917.81956461   7.7907e-17 
 3923.34328626  7.92594e-17 
  3928.8670079   8.4769e-17 
 3934.39072954  8.63802e-17 
 3939.91445118  8.78563e-17 
 3945.43817283  8.61133e-17 
 3950.96189447  7.39132e-17 
 3956.48561611  8.33116e-17 
 3962.00933776  9.05527e-17 
  3967.5330594  8.50943e-17 
 3973.05678104  8.56794e-17 
 3978.58050268  8.15062e-17 
 3984.10422433  7.69442e-17 
 3989.62794597  8.78019e-17 
 3995.15166761  8.62901e-17 
 4000.67538926  8.85118e-17 
  4006.1991109  8.67672e-17 
 4011.72283254  8.03847e-17 
 4017.24655418  7.36623e-17 
 4022.77027583  7.21965e-17 
 4028.29399747   7.5665e-17 
 4033.81771911  8.29363e-17 
 4039.34144075  8.24205e-17 
  4044.8651624  7.73108e-17 
 4050.38888404  7.47754e-17 
 4055.91260568  7.27992e-17 
 4061.43632733   7.9226e-17 
 4066.96004897  7.68931e-17 
 4072.48377061  7.15723e-17 
 4078.00749225   7.4992e-17 
  4083.5312139  7.96664e-17 
 4089.05493554  7.65217e-17 
 4094.57865718  7.28757e-17 
 4100.10237882  6.69625e-17 
 4105.62610047  7.39267e-17 
 4111.14982211  7.24107e-17 
 4116.67354375  7.32385e-17 
  4122.1972654  7.17767e-17 
 4127.72098704  7.25218e-17 
 4133.24470868  7.49368e-17 
 4138.76843032  6.82434e-17 
 4144.29215197  7.66089e-17 
 4149.81587361  7.61737e-17 
 4155.33959525  7.13995e-17 
 4160.86331689  7.62284e-17 
 4166.38703854  7.81139e-17 
 4171.91076018  7.88367e-17 
 4177.43448182  7.39218e-17 
 4182.95820347  6.54678e-17 
 4188.48192511  6.31174e-17 
 4194.00564675  6.69043e-17 
 4199.52936839  6.78824e-17 
 4205.05309004  7.53226e-17 
 4210.57681168  7.40801e-17 
 4216.10053332  6.39721e-17 
 4221.62425497  7.52907e-17 
 4227.14797661  6.89776e-17 
 4232.67169825  6.24957e-17 
 4238.19541989  7.06582e-17 
 4243.71914154  6.85554e-17 
 4249.24286318  6.76985e-17 
 4254.76658482  6.57783e-17 
 4260.29030646  7.28198e-17 
 4265.81402811  6.66211e-17 
 4271.33774975  7.13172e-17 
 4276.86147139  6.51254e-17 
 4282.38519304  7.29746e-17 
 4287.90891468  7.56674e-17 
 4293.43263632  7.09172e-17 
 4298.95635796   7.2416e-17 
 4304.48007961  6.84905e-17 
 4310.00380125  6.68426e-17 
 4315.52752289  6.88965e-17 
 4321.05124453  7.78781e-17 
 4326.57496618  7.25276e-17 
 4332.09868782  6.87357e-17 
 4337.62240946  7.43507e-17 
 4343.14613111  8.34601e-17 
 4348.66985275  7.82952e-17 
 4354.19357439  7.49069e-17 
 4359.71729603  7.77587e-17 
 4365.24101768  7.48286e-17 
 4370.76473932    8.049e-17 
 4376.28846096  7.05349e-17 
  4381.8121826  7.74789e-17 
 4387.33590425  7.31879e-17 
 4392.85962589   7.4379e-17 
 4398.38334753  7.94768e-17 
 4403.90706918  8.60733e-17 
 4409.43079082  7.80623e-17 
 4414.95451246  7.73526e-17 
  4420.4782341  8.08556e-17 
 4426.00195575  7.43995e-17 
 4431.52567739  8.25817e-17 
 4437.04939903  8.54706e-17 
 4442.57312068  8.32651e-17 
 4448.09684232   7.9533e-17 
 4453.62056396  7.60419e-17 
  4459.1442856   8.8376e-17 
 4464.66800725  7.98076e-17 
 4470.19172889  7.90851e-17 
 4475.71545053  8.88606e-17 
 4481.23917217  7.81112e-17 
 4486.76289382  8.18871e-17 
 4492.28661546   8.8028e-17 
  4497.8103371  8.69347e-17 
 4503.33405875  9.03462e-17 
 4508.85778039  7.96216e-17 
 4514.38150203  7.23535e-17 
 4519.90522367  8.18148e-17 
 4525.42894532  8.12567e-17 
 4530.95266696  7.94735e-17 
  4536.4763886  7.91814e-17 
 4542.00011024  8.25664e-17 
 4547.52383189  8.64926e-17 
 4553.04755353  8.63483e-17 
 4558.57127517  7.65424e-17 
 4564.09499682  8.63831e-17 
 4569.61871846  8.32446e-17 
  4575.1424401  7.95662e-17 
 4580.66616174  8.01704e-17 
 4586.18988339  8.02444e-17 
 4591.71360503  8.06523e-17 
 4597.23732667   8.3808e-17 
 4602.76104832  8.83188e-17 
 4608.28476996  8.43824e-17 
  4613.8084916   8.3867e-17 
 4619.33221324  7.89477e-17 
 4624.85593489  7.89402e-17 
 4630.37965653  7.65316e-17 
 4635.90337817  8.13595e-17 
 4641.42709981   9.3379e-17 
 4646.95082146  8.33879e-17 
  4652.4745431  7.66897e-17 
 4657.99826474  7.87928e-17 
 4663.52198639  7.95779e-17 
 4669.04570803  7.85344e-17 
 4674.56942967  7.49883e-17 
 4680.09315131  8.66429e-17 
 4685.61687296  7.76012e-17 
  4691.1405946  7.48347e-17 
 4696.66431624  8.06905e-17 
 4702.18803788  7.61425e-17 
 4707.71175953  7.44838e-17 
 4713.23548117  7.35435e-17 
 4718.75920281  7.31939e-17 
 4724.28292446  7.44233e-17 
  4729.8066461  7.29259e-17 
 4735.33036774  7.06952e-17 
 4740.85408938  6.60706e-17 
 4746.37781103  6.56237e-17 
 4751.90153267  6.82152e-17 
 4757.42525431  6.82145e-17 
 4762.94897595  6.81839e-17 
  4768.4726976  6.75256e-17 
 4773.99641924  6.79088e-17 
 4779.52014088   6.7744e-17 
 4785.04386253  6.99159e-17 
 4790.56758417  7.12943e-17 
 4796.09130581  6.58413e-17 
 4801.61502745   7.0938e-17 
  4807.1387491  7.50134e-17 
 4812.66247074  7.30687e-17 
 4818.18619238  7.38374e-17 
 4823.70991403  7.53709e-17 
 4829.23363567  6.85518e-17 
 4834.75735731  7.83521e-17 
 4840.28107895  7.18118e-17 
  4845.8048006  7.09862e-17 
 4851.32852224  7.04172e-17 
 4856.85224388  7.28605e-17 
 4862.37596552  7.10041e-17 
 4867.89968717   7.0075e-17 
 4873.42340881  7.42878e-17 
 4878.94713045  7.33606e-17 
  4884.4708521  7.11434e-17 
 4889.99457374  7.17085e-17 
 4895.51829538  7.41649e-17 
 4901.04201702  7.26573e-17 
 4906.56573867  7.82222e-17 
 4912.08946031  7.75272e-17 
 4917.61318195  7.59042e-17 
 4923.13690359  7.74695e-17 
 4928.66062524  7.87608e-17 
 4934.18434688   7.6817e-17 
 4939.70806852   7.0408e-17 
 4945.23179017  6.56984e-17 
 4950.75551181  7.96545e-17 
 4956.27923345  7.37468e-17 
 4961.80295509  6.80458e-17 
 4967.32667674  7.24909e-17 
 4972.85039838  7.21743e-17 
 4978.37412002  7.37106e-17 
 4983.89784166  7.12241e-17 
 4989.42156331  7.07615e-17 
 4994.94528495  7.46869e-17 
 5000.46900659  6.79743e-17 
 5005.99272824   7.3115e-17 
 5011.51644988   7.2362e-17 
 5017.04017152  6.82133e-17 
 5022.56389316  6.42393e-17 
 5028.08761481  6.70428e-17 
 5033.61133645  7.23635e-17 
 5039.13505809  7.62688e-17 
 5044.65877974  7.54608e-17 
 5050.18250138   6.7862e-17 
 5055.70622302  7.38828e-17 
 5061.22994466  6.91696e-17 
 5066.75366631   6.9545e-17 
 5072.27738795  6.99143e-17 
 5077.80110959  6.38726e-17 
 5083.32483123    6.917e-17 
 5088.84855288  6.87101e-17 
 5094.37227452  6.83773e-17 
 5099.89599616  7.09497e-17 
 5105.41971781  6.87948e-17 
 5110.94343945  7.14287e-17 
 5116.46716109  7.00272e-17 
 5121.99088273  7.72341e-17 
 5127.51460438  7.27215e-17 
 5133.03832602  7.21406e-17 
 5138.56204766  7.00419e-17 
  5144.0857693  7.24998e-17 
 5149.60949095  7.88653e-17 
 5155.13321259  7.38712e-17 
 5160.65693423  7.01383e-17 
 5166.18065588  6.79915e-17 
 5171.70437752  6.85324e-17 
 5177.22809916  6.97679e-17 
  5182.7518208  7.11853e-17 
 5188.27554245  6.35759e-17 
 5193.79926409  6.79982e-17 
 5199.32298573  6.90737e-17 
 5204.84670737  7.01463e-17 
 5210.37042902  7.24462e-17 
 5215.89415066  7.02713e-17 
  5221.4178723  6.78335e-17 
 5226.94159395  7.62782e-17 
 5232.46531559  6.81378e-17 
 5237.98903723  6.82938e-17 
 5243.51275887  7.05923e-17 
 5249.03648052  6.98278e-17 
 5254.56020216  6.53017e-17 
  5260.0839238  5.75619e-17 
 5265.60764545  6.86342e-17 
 5271.13136709  6.77074e-17 
 5276.65508873  6.57982e-17 
 5282.17881037  6.03645e-17 
 5287.70253202  6.63929e-17 
 5293.22625366  6.51936e-17 
  5298.7499753   6.0992e-17 
 5304.27369694  6.40467e-17 
 5309.79741859   6.3067e-17 
 5315.32114023  6.40015e-17 
 5320.84486187  6.38878e-17 
 5326.36858352  6.46618e-17 
 5331.89230516  6.60655e-17 
  5337.4160268  5.58839e-17 
 5342.93974844   6.4136e-17 
 5348.46347009  5.74409e-17 
 5353.98719173   5.5129e-17 
 5359.51091337  6.01672e-17 
 5365.03463501  6.01341e-17 
 5370.55835666  5.32963e-17 
  5376.0820783  5.51015e-17 
 5381.60579994  5.90098e-17 
 5387.12952159  5.48853e-17 
 5392.65324323  5.75512e-17 
 5398.17696487  6.29149e-17 
 5403.70068651  5.62239e-17 
 5409.22440816  5.73049e-17 
  5414.7481298  4.78462e-17 
 5420.27185144  5.50018e-17 
 5425.79557308  5.64322e-17 
 5431.31929473  5.21991e-17 
 5436.84301637  6.58289e-17 
 5442.36673801  5.51873e-17 
 5447.89045966  5.11311e-17 
  5453.4141813  5.21231e-17 
 5458.93790294  5.45561e-17 
 5464.46162458   5.5593e-17 
 5469.98534623  5.96763e-17 
 5475.50906787  5.11664e-17 
 5481.03278951  5.25999e-17 
 5486.55651116  5.52688e-17 
  5492.0802328  5.78079e-17 
 5497.60395444  5.10796e-17 
 5503.12767608  5.25835e-17 
 5508.65139773  5.72621e-17 
 5514.17511937  5.90485e-17 
 5519.69884101  6.18603e-17 
 5525.22256265  5.68352e-17 
  5530.7462843  6.16801e-17 
 5536.27000594  5.92441e-17 
 5541.79372758  6.07406e-17 
 5547.31744923  6.40132e-17 
 5552.84117087  5.94911e-17 
 5558.36489251   5.9771e-17 
 5563.88861415  6.23922e-17 
  5569.4123358  6.93921e-17 
 5574.93605744  7.66066e-17 
 5580.45977908   6.5071e-17 
 5585.98350072  5.79552e-17 
 5591.50722237  6.04777e-17 
 5597.03094401  6.48567e-17 
 5602.55466565  6.50112e-17 
  5608.0783873  6.00885e-17 
 5613.60210894  6.20522e-17 
 5619.12583058  6.37166e-17 
 5624.64955222  6.07841e-17 
 5630.17327387  6.68671e-17 
 5635.69699551  6.72484e-17 
 5641.22071715  6.57438e-17 
  5646.7444388  6.42277e-17 
 5652.26816044  6.01763e-17 
 5657.79188208  6.28968e-17 
 5663.31560372  6.31788e-17 
 5668.83932537  6.41961e-17 
 5674.36304701   6.4097e-17 
 5679.88676865  6.88808e-17 
 5685.41049029  5.98597e-17 
 5690.93421194  6.67385e-17 
 5696.45793358  6.54309e-17 
 5701.98165522  6.69448e-17 
 5707.50537687  6.41808e-17 
 5713.02909851  6.69644e-17 
 5718.55282015   6.6967e-17 
 5724.07654179  6.34899e-17 
 5729.60026344  6.26891e-17 
 5735.12398508  6.70505e-17 
 5740.64770672  6.16582e-17 
 5746.17142836  6.32814e-17 
 5751.69515001  6.63836e-17 
 5757.21887165  6.20971e-17 
 5762.74259329  6.78049e-17 
 5768.26631494  7.04899e-17 
 5773.79003658  6.26019e-17 
 5779.31375822  6.04883e-17 
 5784.83747986  6.52816e-17 
 5790.36120151  6.32314e-17 
 5795.88492315  5.69088e-17 
 5801.40864479   6.1916e-17 
 5806.93236643  6.36543e-17 
 5812.45608808  6.33679e-17 
 5817.97980972  6.40663e-17 
 5823.50353136  5.61384e-17 
 5829.02725301  6.31367e-17 
 5834.55097465  6.66668e-17 
 5840.07469629  5.99226e-17 
 5845.59841793   5.5955e-17 
 5851.12213958  6.30855e-17 
 5856.64586122  5.70714e-17 
 5862.16958286  5.96986e-17 
 5867.69330451  5.83397e-17 
 5873.21702615  5.86002e-17 
 5878.74074779  6.03096e-17 
 5884.26446943  5.19761e-17 
 5889.78819108  5.53249e-17 
 5895.31191272  5.56883e-17 
 5900.83563436  4.71738e-17 
   5906.359356  4.94158e-17 
 5911.88307765  5.35971e-17 
 5917.40679929  5.76188e-17 
 5922.93052093   5.4919e-17 
 5928.45424258  5.32658e-17 
 5933.97796422  5.86786e-17 
 5939.50168586  4.78537e-17 
  5945.0254075  5.40168e-17 
 5950.54912915   5.0249e-17 
 5956.07285079  4.75136e-17 
 5961.59657243  5.28968e-17 
 5967.12029407  5.29314e-17 
 5972.64401572   5.4356e-17 
 5978.16773736  4.78649e-17 
   5983.691459  4.46995e-17 
 5989.21518065  4.71012e-17 
 5994.73890229  5.68706e-17 
 6000.26262393   5.2532e-17 
 6005.78634557   5.6956e-17 
 6011.31006722  5.51652e-17 
 6016.83378886  5.03776e-17 
  6022.3575105  5.41658e-17 
 6027.88123214   4.9289e-17 
 6033.40495379  4.78037e-17 
 6038.92867543  4.90073e-17 
 6044.45239707   5.1183e-17 
 6049.97611872   5.2358e-17 
 6055.49984036  5.31076e-17 
   6061.023562  5.05604e-17 
 6066.54728364  5.35549e-17 
 6072.07100529  5.10664e-17 
 6077.59472693  3.88979e-17 
 6083.11844857  4.40461e-17 
 6088.64217022  4.87961e-17 
 6094.16589186  4.88265e-17 
  6099.6896135  4.94179e-17 
 6105.21333514  4.83124e-17 
 6110.73705679  5.04826e-17 
 6116.26077843  4.40796e-17 
 6121.78450007  4.54801e-17 
 6127.30822171   4.9056e-17 
 6132.83194336  4.87053e-17 
   6138.355665  4.74027e-17 
 6143.87938664  4.94266e-17 
 6149.40310829  4.65642e-17 
 6154.92682993  4.47764e-17 
 6160.45055157  4.88821e-17 
 6165.97427321  4.59539e-17 
 6171.49799486  4.45585e-17 
  6177.0217165  4.73928e-17 
 6182.54543814  4.78511e-17 
 6188.06915978  4.22825e-17 
 6193.59288143  4.74575e-17 
 6199.11660307  4.33718e-17 
 6204.64032471  4.35218e-17 
 6210.16404636  4.48216e-17 
   6215.687768  4.74295e-17 
 6221.21148964  4.34947e-17 
 6226.73521128  4.57076e-17 
 6232.25893293  4.72762e-17 
 6237.78265457  4.14634e-17 
 6243.30637621  4.34681e-17 
 6248.83009785  5.53371e-17 
  6254.3538195  4.45687e-17 
 6259.87754114   4.3956e-17 
 6265.40126278  4.80008e-17 
 6270.92498443  4.99186e-17 
 6276.44870607  4.95308e-17 
 6281.97242771  4.45851e-17 
 6287.49614935  4.62713e-17 
   6293.019871  5.52134e-17 
 6298.54359264  4.85675e-17 
 6304.06731428  4.83144e-17 
 6309.59103593  4.20258e-17 
 6315.11475757  4.76177e-17 
 6320.63847921  4.77237e-17 
 6326.16220085  4.39709e-17 
  6331.6859225  4.88766e-17 
 6337.20964414  4.65715e-17 
 6342.73336578  4.39506e-17 
 6348.25708742  4.54915e-17 
 6353.78080907  4.56987e-17 
 6359.30453071  4.85897e-17 
 6364.82825235   4.9815e-17 
   6370.351974  4.37876e-17 
 6375.87569564  4.21201e-17 
 6381.39941728  4.43621e-17 
 6386.92313892  4.46268e-17 
 6392.44686057  4.58263e-17 
 6397.97058221  4.44134e-17 
 6403.49430385  4.35945e-17 
 6409.01802549  4.52206e-17 
 6414.54174714  4.99066e-17 
 6420.06546878  4.97688e-17 
 6425.58919042  4.59436e-17 
 6431.11291207  4.86289e-17 
 6436.63663371  4.53248e-17 
 6442.16035535  4.65239e-17 
 6447.68407699  5.17134e-17 
 6453.20779864  5.07698e-17 
 6458.73152028  4.64057e-17 
 6464.25524192  4.23856e-17 
 6469.77896357  4.60583e-17 
 6475.30268521  4.85981e-17 
 6480.82640685  4.45028e-17 
 6486.35012849   4.8281e-17 
 6491.87385014  4.82259e-17 
 6497.39757178   5.1167e-17 
 6502.92129342  4.65219e-17 
 6508.44501506  4.67607e-17 
 6513.96873671    4.841e-17 
 6519.49245835  4.52619e-17 
 6525.01617999  4.89477e-17 
 6530.53990164  4.51225e-17 
 6536.06362328  4.30936e-17 
 6541.58734492  4.47486e-17 
 6547.11106656  4.73049e-17 
 6552.63478821  4.86974e-17 
 6558.15850985  4.75152e-17 
 6563.68223149  5.18038e-17 
 6569.20595313  5.10021e-17 
 6574.72967478  4.41219e-17 
 6580.25339642  4.64143e-17 
 6585.77711806  4.78632e-17 
 6591.30083971  4.94507e-17 
 6596.82456135  4.69323e-17 
 6602.34828299  4.79206e-17 
 6607.87200463  4.59427e-17 
 6613.39572628  4.25173e-17 
 6618.91944792  4.11495e-17 
 6624.44316956  4.96311e-17 
  6629.9668912  4.82109e-17 
 6635.49061285  4.61735e-17 
 6641.01433449  5.12494e-17 
 6646.53805613  4.32587e-17 
 6652.06177778   4.7087e-17 
 6657.58549942  4.50638e-17 
 6663.10922106  3.84271e-17 
  6668.6329427  4.10539e-17 
 6674.15666435  4.63776e-17 
 6679.68038599  4.27032e-17 
 6685.20410763  3.84077e-17 
 6690.72782928  4.52999e-17 
 6696.25155092  4.52647e-17 
 6701.77527256  4.57844e-17 
  6707.2989942  4.14051e-17 
 6712.82271585  4.40437e-17 
 6718.34643749  4.44698e-17 
 6723.87015913  4.37988e-17 
 6729.39388077   4.2682e-17 
 6734.91760242  4.68903e-17 
 6740.44132406  4.14792e-17 
  6745.9650457  4.13297e-17 
 6751.48876735  4.71178e-17 
 6757.01248899  4.38027e-17 
 6762.53621063  4.43485e-17 
 6768.05993227  4.42777e-17 
 6773.58365392  4.21118e-17 
 6779.10737556  4.13464e-17 
  6784.6310972  4.42795e-17 
 6790.15481884  3.91388e-17 
 6795.67854049  3.86811e-17 
 6801.20226213  4.16704e-17 
 6806.72598377  4.26525e-17 
 6812.24970542  4.54447e-17 
 6817.77342706  3.65812e-17 
  6823.2971487  4.46912e-17 
 6828.82087034  4.16673e-17 
 6834.34459199  4.08254e-17 
 6839.86831363  4.19817e-17 
 6845.39203527  3.55842e-17 
