# STATUS =
# OBJECT = OGLE15xl
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2015-12-19 06:09:45.00
# MJD = 57375.25677079987
# EXPTIME = 1800
# AIRMASS = --
# SLIT = --
# DISPERSER = --
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = erg cm(-2) sec(-1) Ang(-1)
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3340.5261
# MAX_WAVE = 7461.902
# COMMENT = Released as part of DR3
 Wavelength            Flux           Error 
  3340.5261   2.3142307e-17   2.5378649e-17 
  3344.6067  -1.5738208e-17   2.5650267e-17 
  3348.6873    1.938329e-17   2.5759913e-17 
  3352.7678   -1.413194e-17   2.5937489e-17 
  3356.8484   1.1885229e-17   2.5591737e-17 
   3360.929   1.1767095e-17   2.5638342e-17 
  3365.0095   2.0719773e-17   2.5434459e-17 
    3369.09   3.2212038e-17   2.5404761e-17 
  3373.1707   2.4909434e-17   2.5173662e-17 
  3377.2512  -1.9176954e-18   2.4693877e-17 
  3381.3318   1.7546089e-17   2.4443364e-17 
  3385.4124   3.2613912e-17   2.4397479e-17 
   3389.493   2.8883463e-17     2.41457e-17 
  3393.5735   3.8882465e-17   2.4042411e-17 
   3397.654  -1.7174837e-17   2.3513252e-17 
  3401.7346   4.8160652e-17   2.3637311e-17 
  3405.8152   6.9691957e-19   2.2994668e-17 
   3409.896   2.2563705e-17   2.2859235e-17 
  3413.9766   6.5075265e-17   2.2645305e-17 
  3418.0571   2.1021351e-17   2.2290537e-17 
  3422.1377     3.79665e-17   2.2081998e-17 
  3426.2183     3.52816e-17   2.1714375e-17 
  3430.2988   1.4153505e-17   2.1406528e-17 
  3434.3794    1.871911e-17   2.1192687e-17 
    3438.46   3.7138054e-17   2.1039529e-17 
  3442.5405   4.1686756e-17    2.080018e-17 
   3446.621   3.0589185e-17   2.0559422e-17 
  3450.7017   3.1149627e-17   2.0214668e-17 
  3454.7822  -6.2606732e-18   1.9877603e-17 
  3458.8628   1.3239056e-17   1.9705821e-17 
  3462.9434   2.5287722e-17    1.969829e-17 
   3467.024   2.8187754e-17   1.9510911e-17 
  3471.1045   6.2063884e-17   1.9518906e-17 
   3475.185     6.44569e-17   1.9230818e-17 
  3479.2656   3.3948945e-17    1.849506e-17 
  3483.3462   3.6503097e-17   1.8360395e-17 
  3487.4268   5.3694305e-17    1.818742e-17 
  3491.5073   2.3659809e-17   1.7851588e-17 
   3495.588   3.9193935e-17   1.7480384e-17 
  3499.6685    4.072651e-17   1.7204051e-17 
   3503.749   2.7232341e-17   1.6851577e-17 
  3507.8296   2.2931017e-17    1.652211e-17 
  3511.9102    4.887158e-17    1.646535e-17 
  3515.9907    3.314903e-17   1.6137424e-17 
  3520.0713   4.7184477e-17   1.5834508e-17 
  3524.1519   5.1143082e-17   1.5748847e-17 
  3528.2324   3.6287603e-17    1.555817e-17 
   3532.313     2.79855e-17   1.5438658e-17 
  3536.3936    6.209456e-17   1.5437655e-17 
   3540.474    5.447706e-17   1.5126187e-17 
  3544.5547   3.8107374e-17    1.487266e-17 
  3548.6353   1.6507522e-17    1.448457e-17 
  3552.7158   4.1660988e-17   1.4292199e-17 
  3556.7964   3.7784343e-17   1.4019476e-17 
   3560.877   3.1606753e-17   1.3786708e-17 
  3564.9575   2.3374945e-17   1.3546808e-17 
   3569.038    1.729379e-17   1.3245462e-17 
  3573.1187   2.3427396e-17   1.3087135e-17 
  3577.1992   4.3946164e-17   1.3018771e-17 
  3581.2798   3.2321014e-17   1.2827356e-17 
  3585.3604   3.8723034e-17    1.271986e-17 
   3589.441   3.8707927e-17   1.2536178e-17 
  3593.5215    3.295175e-17  1.23217825e-17 
   3597.602   2.6326515e-17  1.21549335e-17 
  3601.6826   5.2869226e-17  1.21529715e-17 
  3605.7632   2.5920954e-17   1.1963403e-17 
  3609.8438   1.9036584e-17   1.1699861e-17 
  3613.9243    3.146699e-17   1.1687437e-17 
   3618.005   3.1691476e-17   1.1588084e-17 
  3622.0854   3.3734358e-17    1.149366e-17 
   3626.166   3.9684278e-17  1.13149705e-17 
  3630.2466   1.5187908e-17   1.1100207e-17 
  3634.3271   4.9709257e-17  1.11720825e-17 
  3638.4077   5.0083824e-17  1.10622255e-17 
  3642.4883   3.8219175e-17   1.0875846e-17 
  3646.5688    3.518983e-17   1.0675382e-17 
  3650.6494    4.480508e-17   1.0601058e-17 
    3654.73   2.6407875e-17  1.03971855e-17 
  3658.8105   4.0296547e-17   1.0378604e-17 
   3662.891   3.7911418e-17   1.0180761e-17 
  3666.9717   4.7510955e-17   1.0057974e-17 
  3671.0522   2.8635123e-17    9.889784e-18 
  3675.1328   4.3042568e-17    9.837755e-18 
  3679.2134   2.6513589e-17    9.595024e-18 
   3683.294   3.6571438e-17    9.567847e-18 
  3687.3745   3.4814818e-17   9.4525436e-18 
  3691.4553   4.3151084e-17    9.434248e-18 
   3695.536   4.5192523e-17    9.394736e-18 
  3699.6165   4.3118242e-17    9.313815e-18 
   3703.697   3.1679694e-17    9.127979e-18 
  3707.7776   3.7515493e-17    9.072525e-18 
  3711.8582   3.2268537e-17    8.936761e-18 
  3715.9387    2.784726e-17    8.792895e-18 
  3720.0193    5.062546e-17    8.855299e-18 
  3724.0999   4.1971892e-17    8.769816e-18 
  3728.1804    4.214411e-17    8.759557e-18 
   3732.261   3.7165334e-17    8.697015e-18 
  3736.3416   2.8470915e-17    8.613588e-18 
   3740.422   2.4223053e-17   8.4514085e-18 
  3744.5027   3.1915887e-17    8.405473e-18 
  3748.5833   4.0321677e-17   8.3097894e-18 
  3752.6638   6.1554486e-17    8.385956e-18 
  3756.7444   4.3082968e-17    8.191227e-18 
   3760.825   3.7547157e-17    8.024487e-18 
  3764.9055   4.2041187e-17    8.025516e-18 
   3768.986   5.0691623e-17    8.007086e-18 
  3773.0667    4.073081e-17    7.873134e-18 
  3777.1472   3.6593706e-17     7.79179e-18 
  3781.2278   4.8026136e-17   7.7818695e-18 
  3785.3083   4.7455772e-17    7.760596e-18 
   3789.389    4.780593e-17    7.679487e-18 
  3793.4695   4.5906512e-17    7.582916e-18 
    3797.55   4.3790892e-17   7.5028284e-18 
  3801.6306   4.3212637e-17    7.390373e-18 
  3805.7112   4.6993017e-17    7.400274e-18 
  3809.7917   4.8422677e-17    7.396181e-18 
  3813.8723    4.218554e-17   7.3425845e-18 
   3817.953   4.6635156e-17    7.276239e-18 
  3822.0334   5.3178492e-17    7.272871e-18 
   3826.114   3.9302666e-17    7.159152e-18 
  3830.1946   5.1685534e-17   7.2127726e-18 
  3834.2751    3.696913e-17    7.056467e-18 
  3838.3557   4.9920952e-17    7.099652e-18 
  3842.4363   5.0527037e-17    7.083984e-18 
  3846.5168   4.5608023e-17    6.946564e-18 
  3850.5974    4.380513e-17   6.8822932e-18 
   3854.678   4.4600963e-17   6.8396004e-18 
  3858.7585    4.693808e-17    6.827015e-18 
   3862.839   5.5018807e-17   6.8018925e-18 
  3866.9197    4.829752e-17   6.7070856e-18 
  3871.0002   4.8723535e-17   6.6879993e-18 
  3875.0808   4.6510877e-17   6.6243237e-18 
  3879.1614    3.710181e-17   6.5211834e-18 
   3883.242   5.2859806e-17    6.543424e-18 
  3887.3225    4.711829e-17    6.462183e-18 
   3891.403   5.3735747e-17   6.4867897e-18 
  3895.4836   5.0155524e-17    6.453142e-18 
  3899.5642   5.1134866e-17    6.424301e-18 
  3903.6448   4.8087314e-17    6.428845e-18 
  3907.7253    4.679256e-17   6.4182855e-18 
   3911.806    4.406935e-17    6.324255e-18 
  3915.8865    4.677393e-17   6.3623184e-18 
   3919.967    4.860659e-17    6.333547e-18 
  3924.0476   4.3460996e-17   6.1961556e-18 
  3928.1282   4.2837633e-17    6.140477e-18 
  3932.2087    4.623685e-17    6.126978e-18 
  3936.2893   5.4065494e-17    6.139781e-18 
  3940.3699   4.8697562e-17   6.1488384e-18 
  3944.4504    5.329183e-17    6.132089e-18 
   3948.531     5.15549e-17   6.1102434e-18 
  3952.6116    3.977156e-17   6.0230825e-18 
  3956.6921   4.1701387e-17   5.9801585e-18 
  3960.7727   5.5179717e-17   5.9764234e-18 
  3964.8533   4.5330096e-17   5.8938716e-18 
   3968.934   4.6440563e-17    5.879733e-18 
  3973.0146   5.1073215e-17   5.9226686e-18 
  3977.0952   5.0855246e-17   5.9189082e-18 
  3981.1758   5.5031155e-17    5.911505e-18 
  3985.2563   5.7321274e-17   5.9216057e-18 
   3989.337   4.4607253e-17   5.8307763e-18 
  3993.4175    4.620471e-17    5.839693e-18 
   3997.498   4.0777248e-17    5.727589e-18 
  4001.5786   5.1057528e-17    5.832893e-18 
  4005.6592    4.227176e-17    5.750247e-18 
  4009.7397   4.1150713e-17    5.741365e-18 
  4013.8203   4.1510196e-17   5.7017522e-18 
   4017.901     4.03823e-17    5.710676e-18 
  4021.9814    4.659202e-17    5.683359e-18 
   4026.062   4.6135936e-17   5.6706093e-18 
  4030.1426    4.462175e-17   5.6567553e-18 
  4034.2231   5.8265385e-17   5.6768587e-18 
  4038.3037    4.550252e-17    5.636425e-18 
  4042.3843    5.346624e-17     5.67406e-18 
  4046.4648    5.098045e-17   5.6449067e-18 
  4050.5454    4.902979e-17   5.6360795e-18 
   4054.626   4.9553843e-17   5.6449134e-18 
  4058.7065   4.6465657e-17    5.551934e-18 
   4062.787   4.5589566e-17   5.5312174e-18 
  4066.8677   4.6838037e-17    5.544912e-18 
  4070.9482   4.4556424e-17    5.524238e-18 
  4075.0288    4.097011e-17   5.5034253e-18 
  4079.1094    5.778617e-17   5.5381773e-18 
    4083.19    5.141012e-17   5.5213413e-18 
  4087.2705   4.8361945e-17    5.450807e-18 
   4091.351     5.30635e-17   5.4510404e-18 
  4095.4316   3.7078374e-17   5.3426897e-18 
   4099.512   4.8735556e-17   5.4007904e-18 
   4103.593   4.9756648e-17   5.3837398e-18 
  4107.6733   3.8741093e-17    5.294348e-18 
   4111.754    4.704201e-17   5.3288125e-18 
  4115.8345   5.0101784e-17   5.3515095e-18 
   4119.915   4.8392776e-17   5.3296665e-18 
  4123.9956   4.2995042e-17     5.29967e-18 
   4128.076    4.774068e-17    5.326715e-18 
  4132.1567    4.376249e-17    5.306316e-18 
  4136.2373   4.9777036e-17    5.315715e-18 
   4140.318   4.6963434e-17    5.268827e-18 
  4144.3984   4.3086058e-17   5.2095024e-18 
   4148.479   4.1991437e-17    5.199146e-18 
  4152.5596    5.099774e-17   5.2266962e-18 
    4156.64   4.6263272e-17    5.196438e-18 
  4160.7207   5.3865002e-17   5.2325824e-18 
  4164.8013   5.2938275e-17   5.2848594e-18 
   4168.882   5.0016233e-17   5.2522768e-18 
  4172.9624   5.4476626e-17   5.2566596e-18 
   4177.043   4.1876336e-17   5.1947385e-18 
  4181.1235   4.6951377e-17    5.166739e-18 
   4185.204   4.7943375e-17   5.1465073e-18 
  4189.2847    5.258264e-17   5.1425806e-18 
   4193.365   4.7670303e-17   5.1103822e-18 
   4197.446    5.624965e-17    5.123949e-18 
  4201.5264    4.679586e-17    5.056841e-18 
   4205.607    4.961921e-17   5.0454415e-18 
  4209.6875    4.642438e-17    5.035925e-18 
   4213.768   4.8563688e-17   5.0231374e-18 
  4217.8486   4.5935033e-17   5.0189262e-18 
   4221.929    4.685069e-17   5.0113203e-18 
    4226.01   4.7024278e-17    4.947119e-18 
  4230.0903    4.904706e-17    4.988252e-18 
   4234.171   4.9053766e-17   4.9807762e-18 
  4238.2515    5.652074e-17    4.975176e-18 
   4242.332   5.0262164e-17   4.9344537e-18 
  4246.4126   4.4094457e-17   4.9228335e-18 
   4250.493   4.9107324e-17   4.9234088e-18 
  4254.5737    4.588481e-17    4.889213e-18 
  4258.6543    5.870469e-17   4.9781363e-18 
   4262.735   4.8787923e-17    4.910126e-18 
  4266.8154   5.1920403e-17    4.955465e-18 
   4270.896   4.9038423e-17   4.9023926e-18 
  4274.9766   4.0951922e-17     4.85664e-18 
   4279.057   4.6977192e-17   4.8609314e-18 
  4283.1377   5.3901646e-17   4.8901177e-18 
  4287.2183   5.5747526e-17   4.8931518e-18 
   4291.299     4.93528e-17   4.8361015e-18 
  4295.3794   4.8705443e-17   4.8684563e-18 
    4299.46   5.1050213e-17    4.838743e-18 
  4303.5405   4.9299194e-17   4.8170325e-18 
   4307.621   4.5675726e-17   4.7775764e-18 
  4311.7017   4.8441513e-17    4.786341e-18 
   4315.782    5.323323e-17    4.837604e-18 
   4319.863    5.130943e-17    4.831377e-18 
  4323.9434   5.6638764e-17   4.8574817e-18 
   4328.024   5.2793254e-17   4.8236736e-18 
  4332.1045   4.8673077e-17   4.7870853e-18 
   4336.185   5.4587174e-17   4.8019675e-18 
  4340.2656   4.6333797e-17   4.7393508e-18 
   4344.346     4.98858e-17   4.7661514e-18 
   4348.427    5.262841e-17    4.781988e-18 
  4352.5073   4.9605287e-17   4.7359225e-18 
   4356.588    4.796264e-17    4.736135e-18 
  4360.6685    5.305321e-17   4.7982216e-18 
   4364.749   5.0281074e-17   4.7729827e-18 
  4368.8296   4.1269847e-17   4.7102514e-18 
    4372.91   4.9133327e-17     4.73059e-18 
  4376.9907   5.3371645e-17   4.7635946e-18 
  4381.0713    5.295394e-17   4.7420403e-18 
   4385.152    4.909679e-17    4.718172e-18 
   4389.233   4.8370204e-17   4.7217943e-18 
  4393.3135   4.8341252e-17   4.7300566e-18 
   4397.394   4.2376185e-17    4.673755e-18 
  4401.4746   4.7759337e-17    4.708863e-18 
   4405.555    5.314802e-17   4.7527813e-18 
  4409.6357   4.3307693e-17    4.739233e-18 
  4413.7163    5.030494e-17    4.743991e-18 
   4417.797   4.7432075e-17   4.7507216e-18 
  4421.8774    5.309804e-17   4.7940808e-18 
   4425.958   5.6984426e-17   4.7832323e-18 
  4430.0386    5.131789e-17   4.7577526e-18 
   4434.119   4.6917893e-17   4.7011127e-18 
  4438.1997   5.0085445e-17   4.7083294e-18 
  4442.2803   5.4988684e-17   4.7280147e-18 
   4446.361    4.566766e-17   4.7164085e-18 
  4450.4414    5.248929e-17    4.714304e-18 
   4454.522   5.7513014e-17    4.731421e-18 
  4458.6025    6.562767e-17   4.7978738e-18 
   4462.683   6.7608244e-17     4.82876e-18 
  4466.7637    7.457461e-17    4.869508e-18 
   4470.844    6.818734e-17   4.8043684e-18 
   4474.925    5.340139e-17   4.6905277e-18 
  4479.0054   5.4430728e-17    4.708862e-18 
   4483.086    4.632944e-17   4.6594364e-18 
  4487.1665     4.40523e-17   4.6379926e-18 
   4491.247    5.129254e-17   4.6602665e-18 
  4495.3276   4.4529266e-17     4.58455e-18 
   4499.408   4.9471485e-17     4.63892e-18 
   4503.489   4.6411824e-17    4.633219e-18 
  4507.5693   4.8537314e-17   4.6211644e-18 
    4511.65   4.4300657e-17    4.589271e-18 
  4515.7305    4.190291e-17   4.5605888e-18 
   4519.811    4.251697e-17    4.572293e-18 
  4523.8916    4.791099e-17   4.6067545e-18 
   4527.972   4.7517976e-17   4.6162117e-18 
  4532.0527   4.5945347e-17   4.6369586e-18 
  4536.1333   5.2072962e-17    4.632646e-18 
   4540.214   4.4295214e-17    4.593294e-18 
  4544.2944   4.2540142e-17   4.5413634e-18 
   4548.375   4.7199654e-17   4.5878055e-18 
  4552.4556     4.86256e-17   4.5993153e-18 
   4556.536   4.7889363e-17     4.57552e-18 
  4560.6167   4.6579804e-17   4.5688444e-18 
  4564.6973    5.257003e-17   4.5583876e-18 
   4568.778   5.0429374e-17    4.591494e-18 
  4572.8584   4.7305688e-17    4.554119e-18 
   4576.939    4.863067e-17    4.564443e-18 
  4581.0195    5.167907e-17   4.5652363e-18 
     4585.1   4.8619354e-17   4.5462016e-18 
  4589.1807    4.860409e-17   4.5639314e-18 
   4593.261   4.4930744e-17   4.5073365e-18 
   4597.342   4.2409305e-17   4.4828263e-18 
  4601.4224    4.667202e-17   4.5184278e-18 
   4605.503   4.7003298e-17   4.5276587e-18 
  4609.5835   4.6806075e-17   4.5393815e-18 
   4613.664   5.3987567e-17   4.5667513e-18 
  4617.7446    5.253609e-17   4.5684718e-18 
   4621.825    5.009311e-17    4.534101e-18 
   4625.906   4.9425756e-17   4.5503578e-18 
  4629.9863    5.646194e-17    4.587436e-18 
   4634.067   5.8629404e-17    4.582379e-18 
  4638.1475   5.3997917e-17    4.562326e-18 
   4642.228    5.605941e-17   4.5853645e-18 
  4646.3086    4.949316e-17   4.5360682e-18 
   4650.389   4.9296345e-17   4.5493734e-18 
  4654.4697    5.118896e-17   4.5654207e-18 
  4658.5503   5.1080256e-17   4.5569033e-18 
   4662.631    5.824865e-17   4.6135453e-18 
  4666.7114   4.9269733e-17   4.5599576e-18 
   4670.792   4.4393592e-17   4.5434248e-18 
  4674.8726   5.0011168e-17       4.572e-18 
   4678.953    6.041872e-17   4.6737785e-18 
  4683.0337    5.927446e-17    4.655339e-18 
  4687.1143   6.1471934e-17   4.6152443e-18 
   4691.195    6.090007e-17    4.645514e-18 
  4695.2754   5.2082193e-17   4.5823134e-18 
   4699.356   5.0861953e-17   4.5645675e-18 
  4703.4365    5.463629e-17   4.6006413e-18 
   4707.517   5.9154485e-17   4.6273224e-18 
  4711.5977   5.1869614e-17    4.581289e-18 
   4715.678   4.8334102e-17    4.581014e-18 
   4719.759    5.675625e-17   4.6128186e-18 
  4723.8394    5.855929e-17    4.626244e-18 
    4727.92   5.3557275e-17   4.5972966e-18 
  4732.0005   5.5444418e-17    4.589468e-18 
   4736.081    5.730099e-17   4.6182585e-18 
  4740.1616    6.176076e-17    4.646606e-18 
   4744.242   5.6186634e-17    4.597799e-18 
  4748.3228    4.721689e-17   4.5562378e-18 
  4752.4033    4.750876e-17    4.546185e-18 
   4756.484   5.0630733e-17    4.561754e-18 
  4760.5645    6.151956e-17   4.6331234e-18 
   4764.645    6.383638e-17   4.6560624e-18 
  4768.7256    5.445665e-17   4.5986213e-18 
   4772.806    5.700696e-17   4.6125365e-18 
  4776.8867    6.025117e-17   4.6389695e-18 
  4780.9673    5.973471e-17     4.62429e-18 
   4785.048    5.827092e-17    4.635556e-18 
  4789.1284    5.642239e-17    4.635701e-18 
   4793.209    5.765307e-17    4.637443e-18 
  4797.2896    5.711492e-17    4.642253e-18 
    4801.37   5.6490434e-17   4.6147885e-18 
  4805.4507    5.958441e-17   4.6245687e-18 
  4809.5312   5.4437577e-17    4.618639e-18 
   4813.612    5.234185e-17   4.6198186e-18 
  4817.6924   6.0573913e-17   4.6560073e-18 
   4821.773   6.0060095e-17    4.655841e-18 
  4825.8535   6.2410665e-17    4.655097e-18 
   4829.934   5.4528312e-17    4.631312e-18 
  4834.0146   5.4723444e-17   4.6371997e-18 
   4838.095   5.3329446e-17     4.62778e-18 
   4842.176    5.728743e-17    4.661416e-18 
  4846.2563   5.2305595e-17    4.598109e-18 
   4850.337   5.5735575e-17   4.6132566e-18 
  4854.4175    5.669854e-17   4.6133567e-18 
   4858.498    5.707298e-17   4.6229404e-18 
  4862.5786    5.630324e-17   4.6148704e-18 
   4866.659   5.3606664e-17    4.590232e-18 
  4870.7397    5.330623e-17    4.576328e-18 
  4874.8203    5.600047e-17    4.602672e-18 
   4878.901   4.6305726e-17    4.529382e-18 
  4882.9814   4.9712724e-17    4.575344e-18 
   4887.062     5.51371e-17   4.6079903e-18 
  4891.1426   4.8364225e-17    4.564613e-18 
   4895.223   5.2867164e-17   4.5769438e-18 
  4899.3037   5.4379138e-17   4.5907693e-18 
  4903.3843    5.503461e-17    4.612134e-18 
   4907.465   5.1701657e-17   4.5600023e-18 
  4911.5454   5.1421934e-17    4.592882e-18 
   4915.626   5.4361698e-17   4.5927735e-18 
  4919.7065    5.197274e-17   4.5814118e-18 
   4923.787   6.0183914e-17   4.6508015e-18 
  4927.8677    5.644845e-17    4.617557e-18 
   4931.948   5.2430125e-17    4.586184e-18 
   4936.029    5.557713e-17    4.607836e-18 
  4940.1094   5.6700895e-17   4.6406057e-18 
    4944.19    5.787133e-17   4.6585468e-18 
   4948.271    5.661725e-17    4.630494e-18 
  4952.3516    5.984067e-17   4.6586663e-18 
   4956.432    5.650155e-17   4.6361807e-18 
  4960.5127   5.4642224e-17    4.622652e-18 
  4964.5933   6.1170496e-17    4.675068e-18 
   4968.674    6.427264e-17   4.7008447e-18 
  4972.7544   5.5561715e-17    4.648959e-18 
   4976.835    5.905948e-17   4.6748505e-18 
  4980.9155   5.8989585e-17   4.6672582e-18 
   4984.996   5.1484383e-17   4.6182743e-18 
  4989.0767   5.8337005e-17   4.6682157e-18 
   4993.157   4.8498876e-17   4.6149763e-18 
   4997.238   5.1712285e-17   4.6252065e-18 
  5001.3184    5.860172e-17    4.669463e-18 
   5005.399   5.5090255e-17   4.6429797e-18 
  5009.4795   5.3732306e-17    4.622013e-18 
    5013.56    5.882726e-17    4.680063e-18 
  5017.6406    5.760721e-17   4.6641137e-18 
   5021.721    5.082377e-17    4.601339e-18 
   5025.802   5.4723298e-17   4.6316585e-18 
  5029.8823   5.3179458e-17    4.613902e-18 
   5033.963   5.0755988e-17   4.6109624e-18 
  5038.0435   5.5827253e-17   4.6580923e-18 
   5042.124   5.2574078e-17    4.655285e-18 
  5046.2046   5.5542895e-17    4.671667e-18 
   5050.285   5.4676046e-17    4.676276e-18 
  5054.3657   5.3940792e-17    4.665144e-18 
  5058.4463   5.4290368e-17    4.664144e-18 
   5062.527   6.2196584e-17    4.690705e-18 
  5066.6074   5.6912104e-17    4.681549e-18 
   5070.688   5.6289747e-17   4.6635574e-18 
  5074.7686   5.6768016e-17   4.6758795e-18 
   5078.849    5.726268e-17   4.6815002e-18 
  5082.9297   5.9076836e-17   4.7008757e-18 
  5087.0103    5.800598e-17   4.6966943e-18 
   5091.091   5.7650366e-17   4.6779355e-18 
  5095.1714   5.2714004e-17   4.6597388e-18 
   5099.252     5.60645e-17   4.6783586e-18 
  5103.3325    6.125656e-17    4.718143e-18 
   5107.413    5.782064e-17   4.7116286e-18 
  5111.4937   5.8510846e-17     4.69033e-18 
   5115.574   5.4684973e-17   4.6955056e-18 
   5119.655    5.409116e-17   4.6561414e-18 
  5123.7354    5.536946e-17   4.6670692e-18 
   5127.816   5.4184866e-17    4.662606e-18 
  5131.8965   5.3854133e-17    4.660674e-18 
   5135.977    5.665849e-17    4.686589e-18 
  5140.0576   5.4914337e-17    4.689577e-18 
   5144.138   5.2457078e-17   4.6997015e-18 
  5148.2188   5.1317094e-17   4.6928723e-18 
  5152.2993   4.9632504e-17   4.6500405e-18 
    5156.38    4.555217e-17   4.6300835e-18 
  5160.4604   4.9822614e-17    4.655262e-18 
   5164.541   5.5247105e-17   4.6710715e-18 
  5168.6216   5.6239686e-17   4.6894536e-18 
   5172.702    5.492851e-17    4.674061e-18 
  5176.7827   4.8337593e-17    4.622088e-18 
  5180.8633   5.1540655e-17    4.647995e-18 
   5184.944   5.1111344e-17    4.662741e-18 
  5189.0244   4.9234286e-17    4.648808e-18 
   5193.105   5.3768943e-17     4.70896e-18 
  5197.1855   4.9876152e-17   4.7008914e-18 
   5201.266   4.4071415e-17    4.651948e-18 
  5205.3467   5.3520617e-17    4.699133e-18 
  5209.4272    5.644092e-17   4.7178656e-18 
   5213.508    4.760858e-17   4.6642804e-18 
  5217.5884   4.9465864e-17    4.656537e-18 
   5221.669   5.8325504e-17    4.741797e-18 
  5225.7495   5.2865437e-17   4.7106224e-18 
    5229.83     4.84829e-17    4.654267e-18 
  5233.9106   5.5947744e-17   4.6887174e-18 
   5237.991    5.392577e-17   4.7088613e-18 
   5242.072    5.593867e-17     4.72897e-18 
  5246.1523   5.2169242e-17    4.709438e-18 
   5250.233   4.8461233e-17   4.6771327e-18 
  5254.3135   5.5144555e-17   4.7267855e-18 
   5258.394    5.143535e-17    4.687673e-18 
  5262.4746   5.6840675e-17   4.6970446e-18 
   5266.555   5.6651813e-17   4.7231248e-18 
  5270.6357   4.9369312e-17   4.6851225e-18 
  5274.7163   4.9674734e-17    4.677489e-18 
   5278.797    4.834642e-17    4.703473e-18 
  5282.8774   4.7308997e-17   4.6818816e-18 
   5286.958     5.03681e-17   4.7053813e-18 
  5291.0386   4.8025302e-17   4.6895028e-18 
   5295.119   5.3094838e-17   4.7163402e-18 
  5299.1997   5.4483502e-17   4.7318354e-18 
  5303.2803    4.596878e-17    4.682749e-18 
   5307.361    5.011844e-17   4.7095793e-18 
  5311.4414    5.759569e-17    4.785892e-18 
   5315.522    5.408542e-17      4.7785e-18 
  5319.6025   5.2873815e-17    4.728259e-18 
