# STATUS =
# OBJECT = OGLE15xl
# TELESCOPE = ESO-NTT
# INSTRUMENT = EFOSC2-NTT
# DATE-OBS = 2016-01-08 06:59:18.00
# MJD = 57395.29118059995
# EXPTIME = 2700
# AIRMASS = 1.889
# SLIT = 1.5
# DISPERSER = Free
# SOURCE = --
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = Low
# MIN_WAVE = 3645.38183594
# MAX_WAVE = 9241.0850811
# COMMENT = --
    Wavelength          Flux 
 3650.90028095   3.24706e-17 
 3656.41872597    2.7101e-17 
 3661.93717098   3.54419e-17 
   3667.455616   2.45703e-17 
 3672.97406101   1.32492e-17 
 3678.49250603   6.57016e-18 
 3684.01095104    2.7194e-17 
 3689.52939606   1.12054e-17 
 3695.04784107   1.95053e-17 
 3700.56628609   8.17075e-18 
  3706.0847311   2.24509e-17 
 3711.60317612   5.63356e-18 
 3717.12162113   8.62527e-18 
 3722.64006615   6.95989e-18 
 3728.15851116   1.86952e-17 
 3733.67695618   2.90136e-17 
 3739.19540119   1.80073e-17 
 3744.71384621   2.09293e-17 
 3750.23229122   2.08448e-17 
 3755.75073624   2.14584e-17 
 3761.26918125   1.47712e-17 
 3766.78762627   3.41424e-17 
 3772.30607128   1.58754e-17 
  3777.8245163   3.28298e-17 
 3783.34296131   2.17197e-17 
 3788.86140633   2.04712e-17 
 3794.37985134   2.69241e-17 
 3799.89829636       2.2e-17 
 3805.41674137   2.49268e-17 
 3810.93518639   2.40273e-17 
  3816.4536314   1.81261e-17 
 3821.97207642   1.66046e-17 
 3827.49052143   1.80446e-17 
 3833.00896645   2.46338e-17 
 3838.52741146   2.58558e-17 
 3844.04585648   2.83215e-17 
 3849.56430149   2.38129e-17 
 3855.08274651   2.32988e-17 
 3860.60119152   7.56553e-18 
 3866.11963654   2.21112e-17 
 3871.63808155   2.96208e-17 
 3877.15652657   2.61903e-17 
 3882.67497158   2.00478e-17 
  3888.1934166    2.2248e-17 
 3893.71186161   3.11084e-17 
 3899.23030663   1.75992e-17 
 3904.74875164   2.40751e-17 
 3910.26719666    2.4463e-17 
 3915.78564167   1.96218e-17 
 3921.30408669   2.81927e-17 
  3926.8225317    1.9332e-17 
 3932.34097672   2.08077e-17 
 3937.85942173   2.25813e-17 
 3943.37786674   2.52183e-17 
 3948.89631176   2.90944e-17 
 3954.41475677   3.24189e-17 
 3959.93320179   3.00202e-17 
  3965.4516468    1.7907e-17 
 3970.97009182   1.89678e-17 
 3976.48853683   2.02833e-17 
 3982.00698185   2.45373e-17 
 3987.52542686   2.43022e-17 
 3993.04387188   3.09175e-17 
 3998.56231689   2.22817e-17 
 4004.08076191   2.53682e-17 
 4009.59920692   2.12626e-17 
 4015.11765194   2.14094e-17 
 4020.63609695   2.40046e-17 
 4026.15454197   2.46031e-17 
 4031.67298698   2.13042e-17 
   4037.191432   2.57506e-17 
 4042.70987701   3.18159e-17 
 4048.22832203   3.08912e-17 
 4053.74676704   2.08304e-17 
 4059.26521206   2.61067e-17 
 4064.78365707   2.67904e-17 
 4070.30210209   2.33617e-17 
  4075.8205471   2.58874e-17 
 4081.33899212   3.07421e-17 
 4086.85743713   3.16114e-17 
 4092.37588215   3.71744e-17 
 4097.89432716   2.99914e-17 
 4103.41277218   4.69488e-17 
 4108.93121719   3.16692e-17 
 4114.44966221   4.55485e-17 
 4119.96810722    4.3894e-17 
 4125.48655224   2.82628e-17 
 4131.00499725   3.12531e-17 
 4136.52344227   2.24928e-17 
 4142.04188728   2.53472e-17 
  4147.5603323   2.91936e-17 
 4153.07877731   2.89608e-17 
 4158.59722233   3.25218e-17 
 4164.11566734   4.28316e-17 
 4169.63411236   3.04375e-17 
 4175.15255737   3.10417e-17 
 4180.67100239   3.51908e-17 
  4186.1894474   3.30302e-17 
 4191.70789242   3.32218e-17 
 4197.22633743   2.83076e-17 
 4202.74478245   3.48183e-17 
 4208.26322746   3.43753e-17 
 4213.78167248   3.10781e-17 
 4219.30011749   3.01243e-17 
 4224.81856251   2.30624e-17 
 4230.33700752   3.09163e-17 
 4235.85545254   2.65678e-17 
 4241.37389755   3.11966e-17 
 4246.89234257   2.79968e-17 
 4252.41078758   3.29123e-17 
  4257.9292326   3.38283e-17 
 4263.44767761   2.55725e-17 
 4268.96612263   3.35764e-17 
 4274.48456764   3.21535e-17 
 4280.00301266   4.45122e-17 
 4285.52145767   2.71273e-17 
 4291.03990269   1.28239e-17 
  4296.5583477   1.15567e-17 
 4302.07679272   2.67117e-17 
 4307.59523773   2.55496e-17 
 4313.11368275   2.74393e-17 
 4318.63212776    1.9544e-17 
 4324.15057278   2.52881e-17 
 4329.66901779   3.18788e-17 
 4335.18746281   2.36083e-17 
 4340.70590782   2.42126e-17 
 4346.22435284   3.17435e-17 
 4351.74279785   2.90983e-17 
 4357.26124287   2.68013e-17 
 4362.77968788   2.99791e-17 
  4368.2981329    3.3839e-17 
 4373.81657791    2.8628e-17 
 4379.33502293   2.67196e-17 
 4384.85346794    2.4703e-17 
