 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma      vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0   kenergy  mnickel           TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time     E_fold  tau_1  delta_m15     r_peak     frac 
  -10.86514  0.00409  1.55841     14.53056  1.82859  0.40646  60.57988  0.07782     0.14988   4613.08691    3104.0545  4.58662         5409.38501     16.51716    2e-05  57622.53375   7.69022  0.24807   35823.86879  47.59142  20.72243  57682.35136    51.06836       43.97246   52.78607  105.72453   90.0    0.04733  -21.49021  0.99713 
   -8.10376  0.06179  1.35104      14.5754  1.60728  0.32516  28.38771  0.11744     0.01344   4901.85507   3504.71902  4.89094          4461.7589     16.68324    3e-05  57625.29513   4.06891  1.75413   19250.49652  47.92916  19.97959  57677.36642    51.32539       44.24679   48.95224  107.09445   84.0    0.06292  -21.64163  0.98199 
   -5.41017  0.00553  0.72233     14.01461  1.40752  0.98645  48.47129  0.31195     0.01354   9592.48842   3567.01556  4.90945         5150.22263     16.07468    1e-05  57627.98872  26.60568  0.26799   63756.01264  47.89531  19.61338  57683.32952    51.20899       44.19153   39.11834   93.01045   87.5    0.04269  -21.69534  0.99911 
   -6.02063  0.01958  0.82472     14.45869  1.78166  0.46563  50.67008  0.29415     0.03445  10450.82353   4509.45285  4.75063         4985.25058     19.48208  0.01686  57627.37826   33.0126  0.99207   13610.68741  48.55317   20.1935  57687.32273    51.18833       44.11983   58.11343   91.39089   94.5    0.04681  -21.69134  0.99712 
   -6.60224  0.00108  0.77475     14.13817  1.51443   0.9226   71.9238  0.09828     0.08728   6856.59221   3122.40996  4.02315          4756.6945     17.24069   0.0001  57626.79665  20.17049  0.07768   44672.38025  48.02074  19.78257  57677.36642    51.17867       44.11822   42.60458  103.29723   85.5    0.04826  -21.65034  0.99975 
   -8.71536   0.0273  0.90782     14.28138  1.89911  0.93304  16.84331  0.18819     0.03007   3813.00031   3214.89408  4.11483         4402.40919     18.33818  0.00121  57624.68353   1.46079  0.45976   39775.46844  48.03178   20.3839  57675.37186    51.12069       44.03882   43.54847  111.35962   89.0    0.04129  -21.48571  0.99855 
   -7.66584  0.05461  0.94737     14.46745  1.66349  0.49241  55.17642  0.12619     0.06726   6745.62721   3306.06353  4.25042         5126.58719     16.69771    3e-05  57625.73305  14.97702  3.01308   16105.38386  48.32986  21.10143  57677.36642     51.1364       43.98125   60.84047  121.08647   93.5    0.04866  -21.64198  0.98725 
   -6.48772  0.02966  0.71951     14.11703   1.6502  1.13799  53.78043  0.14309     0.08356   8067.40939   5654.60106  4.72656          4430.0335     20.56429  0.20371  57626.91117  20.87948  1.59534   46277.52314  48.10693  19.67286  57685.64623    51.19706       44.16445   36.88031   94.45724   89.5    0.05367  -21.87361  0.99632 
   -9.45177  0.00246  0.86518     14.09411  1.45002  0.75816  38.34272  0.29289     0.01717   8197.14889    4331.8513  3.50884         5701.43922     20.01934  0.05809  57623.94712  15.36865  0.09443   65340.37019  47.74082  20.77809  57670.23467    51.15444       44.02094   54.03771  122.48547   88.5     0.0517  -21.67681  0.99954 
   -4.23104  0.08817   0.7258     14.33867  1.73677  0.99395  40.07026  0.09598     0.03966   5198.01081   5488.77205  3.90918          4997.6171     19.80308   0.0353  57629.16785   6.45838  3.53301   17858.51732  48.53511  19.80356  57680.31274    51.13715       44.10971   40.80332   95.82778   91.0    0.04108  -21.59057  0.99485 
     -7.159  0.00139  1.12821      14.2276  1.76997  0.90128  25.26425  0.17926     0.15086   5305.43305    6427.5637  4.62368         4469.74133     16.33408    1e-05  57626.23989   4.24204  0.03502   73343.73278  47.54667  20.70445  57683.32952    51.01911       43.96122   46.83268  100.87038   85.5    0.04707   -21.6353  0.99979 
  -10.37036  0.01612  0.91175     14.24798  1.90395  0.92413  55.43817  0.15542     0.01136    7907.7751    3919.3367  4.53073         4338.62988     19.69449  0.02749  57623.02853  20.67972  0.89353   46909.71853  47.95748  20.38944  57680.31274    51.07521       44.00986   46.83268  100.87038   84.5    0.04738  -21.41283  0.99705 
   -6.51099   0.0602  0.98624     14.33534  1.78826  0.87875  57.17094  0.12195      0.0236    7055.4622    3880.1755  4.32747         5346.90437     18.21935  0.00092   57626.8879  16.97671  3.44162   34477.92991  47.99577  20.21911  57685.64623    51.13515       44.09674   41.42891   97.26787   94.0    0.05765  -21.68314  0.98656 
     -13.47  0.00199  1.60409     14.08138  1.57714  1.05407  15.42016  0.19057     0.31262   3227.26435   7814.75105  4.71851         5389.78099     19.30618  0.01124  57619.92889   0.95804  0.03063  259045.87162  46.64288  20.29341  57675.37186    51.15415       44.03793   50.98481  114.73082   91.5    0.04711   -21.3995  0.99952 
  -10.39687  0.01281   1.0796     14.14432  1.78581  1.18746  24.08128  0.28796     0.05081   6284.29826   3972.91805  3.94655         4949.48106      16.7418    3e-05  57623.00202    5.6731  0.30858    99433.1077  47.45663  20.57333  57672.80327    51.13747          44.02   50.43519   117.0817   90.0    0.04326  -21.41879  0.99831 
   -7.92441   0.0102  0.81523     14.09464  1.52744  1.03684  15.97952  0.22883     0.02192   4479.44868    4226.9579  4.42527         4288.60299     19.94205  0.04862  57625.47448   1.91267  0.16292   60962.68893  47.84519  20.20484  57680.31274    51.13016        44.0375   52.23645  102.67164   89.0    0.05689  -21.66537   0.9994 
   -6.19704  0.00146   0.8411     14.39566  1.96849  0.62148  54.53794  0.21324     0.18661   8448.02631   3467.17199  3.36413         5939.82116     19.77683  0.03323  57627.20185  23.21862  0.07935   20908.23613  48.39296  20.98908  57675.37186    51.09494        43.9898   54.03771  113.47918   92.5    0.04358  -21.86152   0.9998 
   -6.62885  0.00206  0.74858     14.11235  1.61041  1.36792  54.78219  0.12058     0.04532   5756.98191   4656.16019  3.56921          5498.5332     16.28788    1e-05  57626.77004  10.83069  0.11267   49948.62742  48.02878  20.80452  57675.37186    51.12404       44.00582   50.43519  115.28044   91.5    0.05002  -21.66165  0.99972 
   -6.25832  0.09399  1.02563     14.33882  1.69479  0.71033  35.66827  0.17305     0.10093   5933.55614   3998.07224  4.52229         5910.21899      17.3721  0.00013  57627.14057   7.49099  3.35241   34774.50327  47.93472  20.59986  57677.36642    51.14373       44.02145   48.63393   117.0817   98.0    0.04481  -21.86518  0.98337 
  -11.01127  0.00264  1.34798     14.29696   1.7324  0.62751  62.62776  0.10402      0.0932   5736.04549   3697.72458  4.03657         5679.15744     18.51623  0.00182  57622.38762   12.2919  0.16539   74456.89112  47.37622  20.51696  57675.37186    51.13348       44.00167   52.23645  119.86527   89.5    0.04567  -21.56722  0.99845 
  -10.83726  0.00314  1.38975     14.50805  1.56774  0.34751  33.15079  0.07982     0.30992    2807.5625   6204.38971  4.51376         5796.54856     16.92974    5e-05  57622.56163   1.55876  0.10407   27093.69986  47.74537   20.7012  57675.37186     51.1377       44.01446   50.98481  118.33333   90.0    0.04583   -21.5849  0.99879 
   -7.45305  0.00662  1.03787     14.26421  1.71126  0.73754  31.75537  0.24887     0.02899   6854.09087   5333.40603  4.55203         5236.56488     20.16256  0.08078  57625.94584   8.89906  0.21012   50699.05578  47.76488  20.79803  57674.37384    51.07464       43.97403   54.03771  109.87667   89.5    0.04291  -21.74249  0.99887 
     -5.391  0.00204  0.73296     14.62124  1.43809  0.25679  59.33783  0.11235     0.30791   5702.75064   4748.22025  4.24624         5374.65621     19.39601  0.01383  57628.00789  11.51138  0.12093    4104.76452  49.08318  20.51181  57677.94045    51.14503        44.0456   54.03771  109.87667   92.0    0.05358  -21.70721  0.99964 
  -10.17909  0.01666   0.8205      14.5508  1.92055  0.48726  84.53483  0.04319     0.04404   4555.63439   6812.27212  2.39015         5846.51103     20.02712  0.05914   57623.2198  10.46551  1.40875    9501.48167  48.74632  20.41515  57684.29711    51.18292       44.12554   45.03142   99.06913   85.5    0.04935  -21.47618  0.99687 
   -8.75093  0.00173  1.40716     14.16895  1.74617  1.06111  44.59219  0.07391      0.0323   3711.96174   5674.78127  4.61329         4927.71874      16.0897    1e-05  57624.64796   3.66516  0.07699  147462.60677  47.04556  20.57595  57686.32103    51.05749       43.98859   52.23645   97.81356   89.5    0.04409   -21.5467  0.99922 
   -6.31303  0.00309  0.72127     14.13148  1.68993  1.19118  36.52505  0.25413     0.01216   7817.98594   3199.45508  4.25088         4708.74507     19.22539  0.00934  57627.08586  13.31704  0.11302   44556.82332  48.13161  19.89605  57680.31274    51.12206       44.07622   40.80332   99.69472   82.0    0.04423  -21.71975  0.99975 
   -3.96614  0.00153  0.75382     14.57377  1.71841  0.34417  82.31418  0.15342     0.01044   8902.14963   3861.63292  4.96384         4995.40482     16.16543    1e-05  57629.43275  38.91272  0.12591    6455.63757   48.9395   19.8152  57677.36642     51.2291       44.12857   45.80467  109.10341   91.0    0.05508   -21.6814   0.9997 
    -6.9129   0.0067  0.70761     14.43632  1.21769  0.32504  48.58942   0.0662     0.01344   3490.17983   8870.38631  3.64886         5611.16342     18.65819  0.00253  57626.48599   3.53073  0.32531    7591.18293  48.77448   20.8332  57680.31274    51.11228       44.01448   57.64022  108.07541   92.5    0.04296  -21.72423   0.9988 
