                MJD               R_low               R_med                  R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
            54938.5                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54941.82105263158                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 54945.142105263156                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54948.46315789474                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54951.78421052632                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54955.10526315789                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 54958.426315789475                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54961.74736842105                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54965.06842105263                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54968.38947368421                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54971.71052631579                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54975.03157894737                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54978.35263157895                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 54981.673684210524                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 54984.994736842105                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54988.31578947369                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54991.63684210526                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  54994.95789473684                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 54998.278947368424                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
            55001.6                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55004.92105263158                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55008.242105263154                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55011.563157894736                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55014.88421052632                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55018.20526315789                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55021.52631578947                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55024.847368421055                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55028.16842105263                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55031.48947368421                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55034.81052631579                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55038.13157894737                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55041.45263157895                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55044.77368421053                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55048.094736842104                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55051.415789473685                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55054.73684210526                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55058.05789473684                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55061.37894736842                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
            55064.7                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55068.02105263158                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55071.34210526316                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55074.663157894734                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55077.984210526316                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
   55081.3052631579                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55084.62631578947                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55087.94736842105                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55091.268421052635                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55094.58947368421                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55097.91052631579                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55101.231578947365                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55104.55263157895                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55107.87368421053                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
   55111.1947368421                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55114.515789473684                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
 55117.836842105266                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55121.15789473684                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
  55124.47894736842                 0.0                 0.0                     0.0                 nan                 nan                 nan   3.815065164800707e+30  1.9359364621734819e+31   5.346309778536609e+32 
