# STATUS =
# OBJECT = PS110awh
# TELESCOPE = MMT
# INSTRUMENT = Hectospec
# DATE-OBS = 2010-11-27
# MJD = 55527.0
# EXPTIME =
# AIRMASS = 1.2
# SLIT =
# DISPERSER = 270
# SOURCE = 2011ApJ...743..114C
# FILTER =
# RESOLUTION = 4.9
# FLUX_STANDARD =
# EXTINCTION_CORRECTED =
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS =
# WAVE_UNITS =
# QUALITY =
# MIN_WAVE =
# MAX_WAVE =
# COMMENT = Obtained from private comm. with Lunnan
 Wavelength          Flux 
     3701.2     0.0127813 
     3702.4    0.00983707 
     3703.6     0.0148133 
     3704.8    0.00644602 
     3706.0    -0.0068386 
     3707.2    0.00693013 
     3708.4    0.00414241 
     3709.6    0.00627424 
     3710.8   -0.00776872 
     3712.0   -0.00378552 
     3713.2    -0.0114875 
     3714.4   -0.00963325 
     3715.6   -0.00137053 
     3716.8    0.00384882 
     3718.0      0.020507 
     3719.2    0.00468491 
     3720.4       0.01122 
     3721.6     0.0160995 
     3722.8     0.0178446 
     3724.0    0.00224696 
     3725.2  -0.000570779 
     3726.4     0.0230297 
     3727.6    0.00664054 
     3728.8    0.00173664 
     3730.0     0.0209861 
     3731.2     0.0115777 
     3732.4    -0.0106098 
     3733.6     0.0134944 
     3734.8     0.0122326 
     3736.0     0.0105159 
     3737.2   0.000204244 
     3738.4   0.000606887 
     3739.6    0.00934686 
     3740.8    -0.0149725 
     3742.0   -0.00165856 
     3743.2  -0.000696857 
     3744.4    0.00480284 
     3745.6     0.0038077 
     3746.8   -0.00229241 
     3748.0     -0.003035 
     3749.2    0.00390807 
     3750.4     0.0121594 
     3751.6  -0.000547984 
     3752.8    -0.0103803 
     3754.0   0.000259551 
     3755.2     0.0156754 
     3756.4     0.0126437 
     3757.6   -0.00197561 
     3758.8    -0.0041172 
     3760.0   -0.00638081 
     3761.2    -0.0100804 
     3762.4   -0.00847713 
     3763.6   -0.00383299 
     3764.8   -0.00279622 
     3766.0      0.001116 
     3767.2     0.0122982 
     3768.4    0.00739279 
    3769.59   -0.00205506 
    3770.79     0.0183854 
    3771.99     0.0103026 
    3773.19     0.0151101 
    3774.39     0.0169687 
    3775.59    -0.0122478 
    3776.79    0.00548599 
    3777.99   -0.00210434 
    3779.19   -0.00556669 
    3780.39    0.00137951 
    3781.59    0.00874812 
    3782.79   -0.00318481 
    3783.99   -0.00365368 
    3785.19   -0.00548009 
    3786.39   -0.00141528 
    3787.59   -0.00566822 
    3788.79     0.0065912 
    3789.99   -0.00255688 
    3791.19    0.00463444 
    3792.39      0.019597 
    3793.59     0.0153287 
    3794.79     0.0112101 
    3795.99     0.0301477 
    3797.19    0.00585491 
    3798.39   -0.00112067 
    3799.59   -0.00157495 
    3800.79   -0.00134255 
    3801.99    -0.0058031 
    3803.19     0.0189586 
    3804.39    0.00473112 
    3805.59     0.0105715 
    3806.79    0.00293701 
    3807.99    0.00479904 
    3809.19    0.00100673 
    3810.39   -0.00179508 
    3811.59    0.00297734 
    3812.79    0.00641114 
    3813.99     0.0179633 
    3815.19    0.00253691 
    3816.39    0.00492122 
    3817.59       0.01807 
    3818.79     0.0042776 
    3819.99     0.0145099 
    3821.19    0.00285348 
    3822.39     0.0091274 
    3823.59    0.00287474 
    3824.79    0.00743837 
    3825.99     0.0042507 
    3827.19     0.0110595 
    3828.39     0.0118348 
    3829.59   -0.00100111 
    3830.79    0.00588281 
    3831.99    0.00253003 
    3833.19  -0.000496813 
    3834.39     0.0073295 
    3835.59    0.00228422 
    3836.79     0.0132638 
    3837.99    0.00914692 
    3839.19     0.0120251 
    3840.39    0.00729127 
