# STATUS =
# OBJECT = PS110bzj
# TELESCOPE = Gemini-S
# INSTRUMENT = GMOS-S
# DATE-OBS = 2011-04-02 00:00:00.00
# MJD = 55653.0
# EXPTIME = 2700
# AIRMASS = 1.9
# SLIT = 1.0
# DISPERSER = R400
# SOURCE = 2013ApJ...771...97L
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 5530
# MAX_WAVE = 9796.18
# COMMENT = [Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]
 Wavelength          Flux        Error 
    5531.37     0.0040706   0.00102504 
    5532.74   0.000352296   0.00101483 
    5534.11  -2.12389e-05   0.00101519 
    5535.48   -0.00161752    0.0010161 
    5536.85  -0.000490527    0.0010206 
    5538.22   -0.00338211   0.00104039 
    5539.59   -0.00169519   0.00105809 
    5540.96   0.000803217   0.00106652 
    5542.33    0.00177204   0.00108088 
     5543.7    0.00232504   0.00110042 
    5545.07   0.000356824   0.00109122 
    5546.44    0.00231536   0.00110532 
    5547.81    0.00273024   0.00109185 
    5549.18    0.00269875   0.00109005 
    5550.55    0.00222314    0.0010927 
    5551.92   0.000756399   0.00106888 
    5553.29    0.00130553    0.0010701 
    5554.66    0.00082192   0.00107327 
    5556.03  -0.000202322   0.00106323 
     5557.4    -0.0011808   0.00106665 
    5558.77  -0.000523477   0.00109724 
    5560.14   -0.00184355   0.00111237 
    5561.51   -0.00110636   0.00111652 
    5562.88    0.00319745   0.00114015 
    5564.25    0.00283942   0.00114978 
    5565.62   0.000733623   0.00112728 
    5566.99   0.000417311   0.00111148 
    5568.36  -0.000392115   0.00113782 
    5569.73  -0.000964695   0.00123209 
     5571.1    0.00238227   0.00206501 
    5572.47  -2.31607e-05   0.00321387 
    5573.84  -0.000973183   0.00397573 
    5575.21    0.00401243   0.00458761 
    5576.58    0.00382264   0.00473545 
    5577.95  -0.000661587   0.00464245 
    5579.32    0.00387154   0.00426858 
    5580.69     0.0019039   0.00356967 
    5582.06    0.00357788   0.00282319 
    5583.43   0.000831931   0.00196755 
     5584.8   0.000915039   0.00137464 
    5586.17    0.00233556   0.00116163 
    5587.54    0.00367002   0.00112413 
    5588.91    0.00154889   0.00109846 
    5590.28   0.000515306   0.00108736 
    5591.65    0.00204592   0.00109424 
    5593.02    0.00247051   0.00109872 
    5594.39   0.000153731     0.001081 
    5595.76   0.000832432   0.00107651 
    5597.13   0.000468009   0.00104885 
     5598.5   0.000631532   0.00105209 
    5599.87  -0.000283299   0.00105994 
    5601.24    0.00169821   0.00109209 
    5602.61    0.00123165   0.00109019 
    5603.98   -0.00134345   0.00109228 
    5605.35  -0.000520552   0.00108705 
    5606.72    0.00370686   0.00109173 
    5608.09    0.00286616   0.00108952 
    5609.46   0.000976357   0.00106482 
    5610.83    0.00178768    0.0010462 
     5612.2    0.00164702   0.00104463 
    5613.57    0.00273189   0.00103784 
    5614.94   0.000687506   0.00101633 
    5616.31   0.000152711     0.001024 
    5617.68   0.000141589   0.00103341 
    5619.05    0.00168836   0.00104409 
    5620.42    0.00191732   0.00104888 
    5621.79    0.00174214   0.00104548 
    5623.16     0.0010555    0.0010415 
    5624.53     0.0016845   0.00104744 
     5625.9    0.00164542   0.00103866 
    5627.27   0.000769807   0.00102027 
    5628.64    0.00132755   0.00102537 
    5630.01    0.00308838   0.00103615 
    5631.38    0.00207556   0.00101586 
    5632.75    0.00113894   0.00101256 
    5634.12  -0.000741691   0.00101034 
    5635.49    0.00137959   0.00102253 
    5636.86    0.00194187   0.00100915 
    5638.23    0.00255579   0.00100887 
     5639.6    0.00209294   0.00102373 
    5640.97   0.000811639   0.00101755 
    5642.34   0.000126294   0.00100893 
    5643.71  -0.000429497   0.00101817 
    5645.08    0.00135387    0.0010273 
    5646.45  -2.56202e-05   0.00101457 
    5647.82   0.000159867    0.0010092 
    5649.19     0.0028804    0.0010205 
    5650.56    0.00017708  0.000990241 
    5651.93   0.000694739  0.000998776 
     5653.3    0.00140316   0.00100143 
    5654.67   -0.00106721  0.000999461 
    5656.04    0.00159987  0.000997537 
    5657.41    0.00169284  0.000994213 
    5658.78    0.00100222  0.000991734 
    5660.15    0.00134897   0.00100433 
    5661.52    0.00234774  0.000998438 
    5662.89   0.000884366  0.000998175 
    5664.26    0.00160062   0.00101352 
    5665.63    0.00223808    0.0010319 
     5667.0    0.00288806   0.00103988 
    5668.37    0.00358238   0.00104837 
    5669.74    0.00214889   0.00104235 
    5671.11    0.00236924   0.00104014 
    5672.48    0.00197676   0.00103369 
    5673.85    0.00189658   0.00102944 
    5675.22    0.00170454   0.00102989 
    5676.59    0.00246925   0.00104341 
    5677.96    0.00314764   0.00104787 
    5679.33   0.000860032   0.00104527 
     5680.7  -0.000195828   0.00106119 
    5682.07    0.00158933   0.00108724 
    5683.44    0.00289097    0.0011123 
    5684.81   -0.00024142     0.001124 
    5686.18   -0.00049751   0.00111956 
    5687.55   -0.00033364   0.00111543 
    5688.92   0.000768546   0.00113025 
    5690.29   0.000285121   0.00112354 
    5691.66   0.000322621   0.00110389 
    5693.03    0.00215871   0.00109508 
     5694.4    0.00219635   0.00108042 
    5695.77    0.00173194   0.00106613 
    5697.14   0.000744271    0.0010391 
    5698.51    0.00168385    0.0010443 
    5699.88    0.00304724   0.00105148 
    5701.25    0.00306024   0.00105102 
    5702.62    0.00247447   0.00103971 
    5703.99   0.000249435   0.00100912 
    5705.36   0.000629376   0.00100727 
    5706.73    0.00328345   0.00102515 
     5708.1    0.00240528   0.00102448 
    5709.47    0.00113306   0.00100498 
    5710.84   0.000924626   0.00099703 
    5712.21    0.00148847   0.00101519 
    5713.58    0.00271858   0.00102145 
    5714.95    0.00308516   0.00101713 
    5716.32    0.00143007   0.00100996 
    5717.69   0.000909175   0.00100566 
    5719.06    -6.582e-05  0.000994021 
    5720.43   0.000244235   0.00100264 
     5721.8    0.00207857   0.00102847 
    5723.17    0.00185044    0.0010232 
    5724.54     0.0017071   0.00101364 
    5725.91    0.00203138   0.00101127 
    5727.28    0.00109853   0.00100331 
    5728.65   0.000792357  0.000995381 
    5730.02   0.000801792  0.000998737 
    5731.39   0.000555802  0.000996478 
    5732.76    0.00227775   0.00100745 
    5734.13    0.00250224   0.00101656 
     5735.5    0.00156631   0.00100995 
    5736.87    0.00154608   0.00100854 
    5738.24    0.00259426   0.00101207 
    5739.61    0.00245309   0.00100991 
    5740.98    0.00221312   0.00101154 
    5742.35    0.00157704   0.00101016 
    5743.72   0.000341636  0.000997316 
    5745.09    0.00139934   0.00100011 
    5746.46    0.00226924   0.00100635 
    5747.83   0.000740781   0.00100095 
     5749.2    0.00136066  0.000999609 
    5750.57    0.00309827   0.00100559 
    5751.94    0.00338775   0.00100944 
    5753.31    0.00199817  0.000986485 
    5754.68    0.00264601   0.00101272 
    5756.05    0.00160041   0.00101205 
    5757.42    0.00129729  0.000996549 
    5758.79    0.00213003   0.00100661 
    5760.16   0.000812983   0.00100001 
    5761.53    0.00172786   0.00100361 
     5762.9    0.00243065   0.00101202 
    5764.27    0.00115364   0.00101062 
    5765.64    0.00100982   0.00101773 
    5767.01   -0.00163214   0.00100914 
    5768.38   -0.00280262   0.00101338 
    5769.75   0.000338674   0.00101387 
    5771.12  -0.000637108   0.00102291 
    5772.49     0.0018206   0.00102903 
    5773.86    0.00273413   0.00101511 
    5775.23    0.00223014   0.00101451 
     5776.6    0.00274241   0.00101799 
    5777.97    0.00213757   0.00101008 
    5779.34    0.00255363   0.00100894 
    5780.71   0.000185899  0.000994578 
    5782.08  -0.000282731  0.000999895 
    5783.45    0.00171639   0.00101038 
    5784.82    0.00284944   0.00102046 
    5786.19    0.00258587   0.00101995 
    5787.56   0.000981715   0.00101557 
    5788.93    0.00164854   0.00102967 
     5790.3    0.00266763   0.00103802 
    5791.67   0.000393238   0.00102692 
    5793.04   -0.00184886   0.00100777 
    5794.41   0.000465955   0.00100308 
    5795.78    0.00338546    0.0010173 
    5797.15    0.00419774   0.00102265 
    5798.52    0.00437837   0.00103307 
    5799.89    0.00340896   0.00102843 
    5801.26    0.00198551   0.00101116 
    5802.63   0.000708429   0.00100156 
     5804.0    0.00185854   0.00101492 
    5805.37    0.00179153   0.00100943 
    5806.74    0.00115799   0.00100676 
    5808.11    0.00297062   0.00102459 
    5809.48    0.00117304   0.00103009 
    5810.85   0.000308323   0.00102642 
    5812.22    0.00198341   0.00102388 
    5813.59    0.00295238   0.00103417 
    5814.96    0.00222512   0.00103116 
    5816.33    0.00385835   0.00103958 
     5817.7    0.00270055   0.00103288 
    5819.07   0.000144278   0.00101854 
    5820.44   0.000554434   0.00101683 
    5821.81    0.00204006   0.00103684 
    5823.18    0.00131671   0.00103133 
    5824.55    0.00123174   0.00102975 
    5825.92    0.00258618   0.00103906 
    5827.29   0.000735494   0.00103177 
    5828.66   0.000512363   0.00103546 
    5830.03    0.00208363   0.00104753 
     5831.4    0.00318331   0.00104298 
    5832.77    0.00124573   0.00103629 
    5834.14   0.000742999   0.00104199 
    5835.51    0.00202175   0.00103864 
    5836.88    0.00267776    0.0010491 
    5838.25    0.00130836   0.00105032 
    5839.62  -0.000154807   0.00104192 
    5840.99   0.000173918    0.0010479 
    5842.36    0.00177379   0.00105313 
    5843.73    0.00144154   0.00104381 
     5845.1   0.000339918   0.00103827 
    5846.47  -0.000245604    0.0010426 
    5847.84  -0.000701749    0.0010439 
    5849.21   -0.00019535    0.0010454 
    5850.58    0.00208753   0.00105813 
    5851.95    0.00308986   0.00106718 
    5853.32    0.00210764   0.00106458 
    5854.69     0.0007664   0.00105614 
    5856.06    0.00155854   0.00106041 
    5857.43    0.00150994   0.00105668 
