                MJD               R_low                   R_med                  R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
            54730.6                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
 54734.146365914785                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54737.69273182957                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54741.23909774436                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
 54744.785463659144                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54748.33182957393                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54751.87819548872                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54755.42456140351                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
 54758.970927318296                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54762.51729323308                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54766.06365914787                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
 54769.610025062655                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54773.15639097744                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54776.70275689223                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
 54780.249122807014                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
   54783.7954887218                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54787.34185463659                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54790.88822055138                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54794.43458646617                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54797.98095238095                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54801.52731829574                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
 54805.073684210525                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
  54808.62005012531                 0.0                     0.0                     0.0                 nan                 nan                 nan  3.5185036600286387e+30  1.6213038079709067e+31  1.2104601478551705e+32 
