                MJD               R_low                   R_med                  R_high               T_low               T_med              T_high                   L_low                   L_med                  L_high 
            55172.4                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
   55175.1328320802                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
   55177.8656641604                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
   55180.5984962406                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55183.331328320804                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
    55186.064160401                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55188.796992481206                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
   55191.5298245614                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55194.26265664161                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55196.995488721805                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55199.72832080201                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55202.461152882206                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55205.19398496241                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55207.92681704261                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55210.65964912281                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55213.39248120301                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55216.125313283206                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55218.85814536341                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55221.59097744361                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55224.32380952381                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55227.05664160401                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55229.78947368421                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55232.52230576441                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55235.255137844615                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55237.98796992481                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55240.72080200502                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55243.453634085214                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55246.18646616542                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55248.919298245615                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55251.65213032582                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55254.38496240602                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55257.117794486214                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55259.85062656642                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55262.583458646615                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55265.31629072682                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55268.04912280702                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55270.78195488722                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55273.51478696742                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55276.24761904762                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55278.98045112782                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55281.713283208024                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55284.44611528822                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55287.178947368426                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55289.91177944862                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55292.64461152883                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55295.377443609024                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55298.11027568922                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55300.843107769426                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55303.57593984962                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55306.30877192983                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55309.041604010024                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55311.77443609023                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55314.507268170426                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55317.24010025063                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55319.97293233083                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55322.70576441103                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55325.43859649123                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55328.17142857143                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55330.90426065163                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55333.637092731835                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55336.36992481203                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55339.10275689223                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55341.83558897243                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55344.56842105263                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55347.301253132835                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55350.03408521303                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55352.76691729324                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55355.49974937343                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55358.23258145364                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55360.965413533835                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55363.69824561404                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55366.43107769424                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55369.16390977444                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55371.89674185464                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55374.629573934835                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55377.36240601504                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55380.09523809524                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55382.82807017544                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55385.56090225564                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55388.29373433584                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55391.02656641604                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55393.759398496244                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55396.49223057644                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55399.225062656646                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55401.95789473684                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55404.69072681705                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55407.423558897244                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55410.15639097745                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55412.889223057646                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55415.62205513784                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55418.35488721805                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55421.087719298244                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55423.82055137845                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55426.553383458646                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55429.28621553885                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55432.01904761905                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55434.75187969925                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55437.48471177945                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55440.21754385965                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55442.95037593985                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55445.683208020055                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55448.41604010025                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55451.148872180456                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55453.88170426065                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55456.61453634085                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55459.347368421055                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55462.08020050125                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55464.813032581456                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55467.54586466165                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55470.27869674186                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55473.011528822055                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55475.74436090226                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55478.47719298246                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55481.21002506266                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55483.94285714286                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55486.67568922306                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55489.40852130326                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55492.141353383464                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55494.87418546366                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55497.60701754386                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55500.33984962406                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55503.07268170426                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55505.805513784464                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55508.53834586466                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55511.271177944865                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55514.00401002506                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55516.73684210527                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55519.469674185464                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55522.20250626567                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55524.935338345866                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55527.66817042607                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55530.40100250627                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55533.13383458647                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55535.86666666667                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55538.599498746866                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55541.33233082707                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55544.06516290727                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55546.79799498747                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55549.53082706767                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55552.26365914787                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55554.99649122807                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55557.729323308275                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55560.46215538847                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55563.194987468676                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55565.92781954887                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55568.66065162908                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55571.393483709275                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55574.12631578948                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55576.859147869676                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55579.59197994987                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55582.32481203008                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55585.057644110275                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55587.79047619048                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55590.523308270676                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55593.25614035088                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55595.98897243108                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55598.72180451128                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55601.45463659148                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55604.187468671684                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55606.92030075188                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55609.653132832085                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55612.38596491228                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55615.11879699249                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55617.851629072684                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55620.58446115288                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55623.317293233085                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55626.05012531328                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
  55628.78295739349                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
 55631.515789473684                 0.0                     0.0                     0.0                 nan                 nan                 nan  1.6676661800652306e+30  2.0891888534436946e+30  2.6952520537156865e+30 
