       MJD    Upper     Mean    Lower   Cenwave  Zeropoint  Filter 
 56261.716     99.0     99.0     99.0   3608.04     3631.0       u 
 56262.968     99.0   -12.05  -15.124   3608.04     3631.0       u 
  56264.22  -14.796  -16.152   -16.91   3608.04     3631.0       u 
 56265.471  -17.054  -17.443  -17.802   3608.04     3631.0       u 
 56266.723  -18.001  -18.197  -18.387   3608.04     3631.0       u 
 56267.974  -18.592  -18.701  -18.816   3608.04     3631.0       u 
   56268.6  -18.819  -18.907  -18.998   3608.04     3631.0       u 
 56269.226  -19.011  -19.083   -19.16   3608.04     3631.0       u 
 56270.477   -19.33   -19.38  -19.449   3608.04     3631.0       u 
 56271.729  -19.584  -19.627  -19.682   3608.04     3631.0       u 
  56272.98  -19.791  -19.832  -19.872   3608.04     3631.0       u 
 56274.232  -19.964  -19.999  -20.038   3608.04     3631.0       u 
 56275.484  -20.106  -20.144   -20.18   3608.04     3631.0       u 
 56276.735  -20.227  -20.263  -20.298   3608.04     3631.0       u 
 56277.987   -20.33  -20.365  -20.404   3608.04     3631.0       u 
 56279.238  -20.417  -20.449  -20.493   3608.04     3631.0       u 
  56280.49  -20.488  -20.519  -20.565   3608.04     3631.0       u 
 56281.741  -20.547  -20.579  -20.624   3608.04     3631.0       u 
 56282.993  -20.592  -20.626   -20.67   3608.04     3631.0       u 
 56284.245  -20.627  -20.663  -20.708   3608.04     3631.0       u 
 56285.496  -20.655  -20.691  -20.737   3608.04     3631.0       u 
 56286.748  -20.672  -20.708  -20.752   3608.04     3631.0       u 
 56287.999  -20.681  -20.717  -20.756   3608.04     3631.0       u 
 56289.251   -20.68  -20.718  -20.754   3608.04     3631.0       u 
 56290.502   -20.67  -20.706  -20.744   3608.04     3631.0       u 
 56291.754  -20.651  -20.687  -20.725   3608.04     3631.0       u 
 56293.006  -20.625  -20.661    -20.7   3608.04     3631.0       u 
 56294.257  -20.592  -20.628  -20.665   3608.04     3631.0       u 
 56295.509  -20.551  -20.587  -20.627   3608.04     3631.0       u 
  56296.76    -20.5   -20.54  -20.581   3608.04     3631.0       u 
 56298.012  -20.445  -20.484  -20.524   3608.04     3631.0       u 
 56299.263  -20.383   -20.42  -20.461   3608.04     3631.0       u 
 56300.515  -20.314  -20.352  -20.395   3608.04     3631.0       u 
 56301.766  -20.237  -20.276   -20.32   3608.04     3631.0       u 
 56303.018  -20.155  -20.194  -20.239   3608.04     3631.0       u 
  56304.27  -20.067  -20.107   -20.15   3608.04     3631.0       u 
 56305.521  -19.974  -20.014  -20.055   3608.04     3631.0       u 
 56306.773  -19.873  -19.915  -19.957   3608.04     3631.0       u 
 56308.024  -19.768  -19.809  -19.851   3608.04     3631.0       u 
 56309.276   -19.66  -19.699   -19.74   3608.04     3631.0       u 
 56310.527  -19.548  -19.584  -19.622   3608.04     3631.0       u 
 56311.779  -19.427  -19.465    -19.5   3608.04     3631.0       u 
 56313.031  -19.301  -19.341  -19.383   3608.04     3631.0       u 
 56314.282  -19.177  -19.214  -19.263   3608.04     3631.0       u 
 56315.534  -19.045  -19.088  -19.143   3608.04     3631.0       u 
 56316.785  -18.909  -18.958  -19.026   3608.04     3631.0       u 
 56318.037  -18.772  -18.827  -18.921   3608.04     3631.0       u 
 56319.288  -18.627  -18.703  -18.812   3608.04     3631.0       u 
  56320.54  -18.473  -18.566   -18.73   3608.04     3631.0       u 
 56321.791  -18.319  -18.434  -18.649   3608.04     3631.0       u 
 56323.043  -18.168  -18.297  -18.561   3608.04     3631.0       u 
 56324.295  -18.013   -18.17  -18.475   3608.04     3631.0       u 
 56325.546  -17.863  -18.029  -18.398   3608.04     3631.0       u 
 56326.798  -17.704  -17.905  -18.321   3608.04     3631.0       u 
 56328.049  -17.544  -17.778  -18.248   3608.04     3631.0       u 
 56329.301  -17.381  -17.641  -18.178   3608.04     3631.0       u 
 56330.552  -17.233  -17.513  -18.106   3608.04     3631.0       u 
 56331.804  -17.076  -17.399  -18.034   3608.04     3631.0       u 
 56333.056  -16.922  -17.327  -17.963   3608.04     3631.0       u 
 56334.307  -16.768  -17.248  -17.893   3608.04     3631.0       u 
 56335.559  -16.614  -17.175   -17.83   3608.04     3631.0       u 
  56336.81  -16.441  -17.093  -17.767   3608.04     3631.0       u 
 56338.062  -16.279  -17.025  -17.707   3608.04     3631.0       u 
 56339.313  -16.123  -16.958  -17.646   3608.04     3631.0       u 
 56340.565  -15.946  -16.892  -17.588   3608.04     3631.0       u 
 56341.817  -15.785  -16.827   -17.53   3608.04     3631.0       u 
 56343.068  -15.657  -16.764  -17.473   3608.04     3631.0       u 
  56344.32  -15.536  -16.702  -17.417   3608.04     3631.0       u 
 56345.571  -15.425  -16.641  -17.361   3608.04     3631.0       u 
 56346.823  -15.285  -16.579  -17.305   3608.04     3631.0       u 
 56348.074  -15.147  -16.515   -17.25   3608.04     3631.0       u 
 56349.326  -15.008  -16.451  -17.195   3608.04     3631.0       u 
 56350.577   -14.85  -16.389  -17.141   3608.04     3631.0       u 
 56351.829  -14.692  -16.328  -17.088   3608.04     3631.0       u 
 56353.081   -14.52  -16.269  -17.035   3608.04     3631.0       u 
 56354.332   -14.42  -16.217  -16.982   3608.04     3631.0       u 
 56355.584  -14.363  -16.167  -16.931   3608.04     3631.0       u 
 56356.835  -14.313  -16.117   -16.88   3608.04     3631.0       u 
 56358.087  -14.264  -16.068  -16.829   3608.04     3631.0       u 
 56359.338  -14.215   -16.02  -16.779   3608.04     3631.0       u 
  56360.59  -14.167  -15.972   -16.73   3608.04     3631.0       u 
 56361.842  -14.119  -15.924  -16.681   3608.04     3631.0       u 
 56363.093  -14.072  -15.874  -16.631   3608.04     3631.0       u 
 56364.345  -14.025  -15.824  -16.582   3608.04     3631.0       u 
 56365.596  -13.979  -15.775  -16.534   3608.04     3631.0       u 
 56366.848  -13.933  -15.727  -16.486   3608.04     3631.0       u 
 56368.099  -13.887  -15.679  -16.439   3608.04     3631.0       u 
 56369.351  -13.842  -15.631  -16.392   3608.04     3631.0       u 
 56370.603  -13.798  -15.585  -16.347   3608.04     3631.0       u 
 56371.854  -13.754  -15.538  -16.302   3608.04     3631.0       u 
 56373.106   -13.71  -15.492  -16.258   3608.04     3631.0       u 
 56374.357  -13.667  -15.447  -16.214   3608.04     3631.0       u 
 56375.609  -13.624  -15.407  -16.169   3608.04     3631.0       u 
  56376.86  -13.582  -15.369  -16.124   3608.04     3631.0       u 
 56378.112   -13.54  -15.332   -16.08   3608.04     3631.0       u 
 56379.363  -13.498  -15.295  -16.036   3608.04     3631.0       u 
 56380.615  -13.457  -15.251  -15.993   3608.04     3631.0       u 
 56381.867  -13.416  -15.208  -15.951   3608.04     3631.0       u 
 56383.118  -13.375  -15.165  -15.909   3608.04     3631.0       u 
  56384.37  -13.335  -15.123  -15.868   3608.04     3631.0       u 
 56385.621  -13.295  -15.081  -15.827   3608.04     3631.0       u 
 56386.873  -13.256   -15.04  -15.786   3608.04     3631.0       u 
 56388.124  -13.217  -14.999  -15.746   3608.04     3631.0       u 
 56389.376  -13.178  -14.958  -15.706   3608.04     3631.0       u 
 56390.628  -13.139  -14.918  -15.667   3608.04     3631.0       u 
 56391.879  -13.101  -14.878  -15.627   3608.04     3631.0       u 
 56393.131  -13.063  -14.838  -15.588   3608.04     3631.0       u 
 56394.382  -13.026  -14.799   -15.55   3608.04     3631.0       u 
 56395.634  -12.988   -14.76  -15.512   3608.04     3631.0       u 
 56396.885  -12.951  -14.721  -15.474   3608.04     3631.0       u 
 56398.137  -12.915  -14.683  -15.436   3608.04     3631.0       u 
 56399.388  -12.878  -14.645  -15.399   3608.04     3631.0       u 
  56400.64  -12.842  -14.608  -15.362   3608.04     3631.0       u 
 56401.892  -12.807   -14.57  -15.326   3608.04     3631.0       u 
 56403.143  -12.771  -14.534  -15.291   3608.04     3631.0       u 
 56404.395  -12.736  -14.497  -15.256   3608.04     3631.0       u 
 56405.646  -12.701  -14.461  -15.222   3608.04     3631.0       u 
 56406.898  -12.666  -14.425  -15.187   3608.04     3631.0       u 
 56408.149  -12.632  -14.389  -15.153   3608.04     3631.0       u 
 56409.401  -12.597  -14.353   -15.12   3608.04     3631.0       u 
 56410.653  -12.563  -14.318  -15.086   3608.04     3631.0       u 
 56411.904   -12.53  -14.283  -15.053   3608.04     3631.0       u 
 56413.156  -12.496  -14.249   -15.02   3608.04     3631.0       u 
 56414.407  -12.463  -14.214  -14.987   3608.04     3631.0       u 
 56415.659   -12.43   -14.18  -14.954   3608.04     3631.0       u 
  56416.91  -12.397  -14.147  -14.922   3608.04     3631.0       u 
 56418.162  -12.365  -14.113   -14.89   3608.04     3631.0       u 
 56419.414  -12.332   -14.08  -14.858   3608.04     3631.0       u 
 56420.665    -12.3  -14.047  -14.826   3608.04     3631.0       u 
 56421.917  -12.268  -14.014  -14.795   3608.04     3631.0       u 
 56423.168  -12.237  -13.981  -14.763   3608.04     3631.0       u 
  56424.42  -12.205  -13.949  -14.732   3608.04     3631.0       u 
 56425.671  -12.174  -13.917  -14.701   3608.04     3631.0       u 
 56426.923  -12.143  -13.885   -14.67   3608.04     3631.0       u 
 56428.174  -12.112  -13.853  -14.639   3608.04     3631.0       u 
 56429.426  -12.082  -13.822  -14.608   3608.04     3631.0       u 
 56430.678  -12.051  -13.791  -14.578   3608.04     3631.0       u 
 56431.929  -12.021   -13.76  -14.548   3608.04     3631.0       u 
 56433.181  -11.991  -13.729  -14.517   3608.04     3631.0       u 
 56434.432  -11.961  -13.698  -14.487   3608.04     3631.0       u 
 56435.684  -11.932  -13.668  -14.458   3608.04     3631.0       u 
 56436.935  -11.902  -13.638  -14.428   3608.04     3631.0       u 
 56438.187  -11.873  -13.608  -14.399   3608.04     3631.0       u 
 56439.439  -11.844  -13.578   -14.37   3608.04     3631.0       u 
  56440.69  -11.815  -13.549  -14.341   3608.04     3631.0       u 
 56441.942  -11.786  -13.519  -14.312   3608.04     3631.0       u 
