# STATUS =
# OBJECT = PS114bj
# TELESCOPE = MMT
# INSTRUMENT = MMT-Blue
# DATE-OBS = 2014-03-08 07:40:48.00
# MJD = 56724.31999999983
# EXPTIME = 3600
# AIRMASS = 1.21
# SLIT = 0
# DISPERSER = 300GPM
# SOURCE = 2016ApJ...831..144L
# FILTER =
# RESOLUTION =
# FLUX_STANDARD =
# EXTINCTION_CORRECTED = --
# PHOTOMETRY_CALIBRATED =
# TELLURIC_CORRECTED =
# FLUX_UNITS = Other
# WAVE_UNITS = Angstrom
# QUALITY = --
# MIN_WAVE = 3330.0
# MAX_WAVE = 8552.1
# COMMENT = [Data obtained from:Lunnan, R.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]
 Wavelength            Flux         Error 
    3331.95     0.016165673  0.0049785151 
     3333.9      0.00323619  0.0048565048 
    3335.85    0.0069093266  0.0049553338 
     3337.8    0.0086699458  0.0051271567 
    3339.75    0.0092975082  0.0051875887 
     3341.7   -0.0005798932  0.0051258419 
    3343.65    0.0048142632  0.0051656948 
     3345.6    0.0037525111  0.0049335401 
    3347.55    0.0044642315  0.0048482451 
     3349.5    0.0013412813  0.0047260768 
    3351.45    0.0034872062  0.0045583127 
     3353.4    0.0045598766  0.0044330987 
    3355.35      0.00937702  0.0044868907 
     3357.3   -0.0014550609  0.0043883704 
    3359.25   -0.0054197445  0.0042589937 
     3361.2   -0.0011017849  0.0042514523 
    3363.15     0.006355578  0.0044289705 
     3365.1    0.0091371827  0.0049612195 
    3367.05     0.012563369   0.005796456 
     3369.0     0.011849087  0.0063921811 
    3370.95    0.0078103813  0.0066842478 
     3372.9   -0.0065900293   0.006671371 
    3374.85  -5.1528456e-05  0.0065224326 
     3376.8    0.0043495463  0.0062139553 
    3378.75    -0.003837552  0.0059197903 
     3380.7    0.0056223585  0.0057716085 
    3382.65    0.0040626317  0.0055356338 
     3384.6    0.0049463019  0.0052140311 
    3386.55     0.007630228  0.0050858289 
     3388.5    0.0090078049  0.0049991317 
    3390.45     0.004823494  0.0047961882 
     3392.4    0.0081753749  0.0047363696 
    3394.35    0.0095112663  0.0046722877 
     3396.3    0.0061401755  0.0045553919 
    3398.25    0.0053504177  0.0043845029 
     3400.2    0.0025811166  0.0043076702 
    3402.15    0.0010139103  0.0042520209 
     3404.1    0.0033798226  0.0041064784 
    3406.05    0.0041366165  0.0040324499 
     3408.0   -0.0016760937  0.0039407451 
    3409.95    0.0030045333  0.0039126411 
     3411.9    0.0040788608  0.0039237702 
    3413.85    0.0010645606  0.0040641332 
     3415.8     0.007138925  0.0042581426 
    3417.75    0.0034625572  0.0043339588 
     3419.7    0.0055390535  0.0044380952 
    3421.65    0.0062493276  0.0044708669 
     3423.6  -0.00048983668   0.004432312 
    3425.55   -0.0018866573  0.0043720821 
     3427.5    0.0073814468  0.0043825932 
    3429.45    0.0062653193  0.0043676932 
     3431.4    0.0011895814  0.0043641981 
    3433.35    0.0031728041  0.0044453022 
     3435.3    0.0022143434   0.004486025 
    3437.25    0.0023727072   0.004488635 
     3439.2    0.0038638764  0.0043847667 
    3441.15   -0.0004036622  0.0042168062 
     3443.1   -0.0019880474  0.0041513795 
    3445.05    0.0012899511  0.0040963381 
     3447.0    0.0061443471  0.0042155656 
    3448.95     0.010157929  0.0046098761 
     3450.9    0.0053003204  0.0049302468 
    3452.85   7.7599941e-06  0.0050478166 
     3454.8    0.0059255481  0.0050227672 
    3456.75     0.006188711  0.0048933208 
     3458.7   -0.0023782179  0.0047406833 
    3460.65   0.00031646057  0.0045849275 
     3462.6    0.0064062691  0.0043949892 
    3464.55     0.008635255  0.0042867277 
     3466.5    0.0031246829  0.0041839149 
    3468.45    -0.003564133  0.0040783393 
     3470.4   0.00012596006  0.0040020343 
    3472.35    0.0016965228  0.0039426362 
     3474.3   0.00092004786  0.0039662596 
    3476.25   -0.0046377274   0.004173755 
     3478.2   -0.0022041217  0.0045558578 
    3480.15    0.0039676464  0.0049100582 
     3482.1    0.0032683283  0.0051249955 
    3484.05    0.0037016171  0.0051304327 
     3486.0     0.004461237  0.0050369275 
    3487.95    0.0011981839  0.0048558662 
     3489.9   0.00033170756  0.0045823296 
    3491.85    0.0054952094  0.0044073686 
     3493.8      0.00503922  0.0042690461 
    3495.75    0.0035761865  0.0041037954 
     3497.7     0.004343494  0.0040159239 
    3499.65    0.0044174246  0.0039588571 
     3501.6    0.0024120593  0.0039057879 
    3503.55   -0.0024278065  0.0038811011 
     3505.5    0.0025324837  0.0038403438 
    3507.45    0.0061956719  0.0038788143 
     3509.4   -0.0012909681  0.0039235218 
    3511.35   -0.0028812164  0.0039197264 
     3513.3   0.00060965393  0.0038742693 
    3515.25    0.0027804185  0.0037754286 
     3517.2    0.0059753376   0.003692162 
    3519.15    0.0071826237   0.003638285 
     3521.1    0.0059472731  0.0035728547 
    3523.05  -0.00059651926   0.003490732 
     3525.0   -0.0024975925  0.0034030983 
    3526.95    0.0013549204  0.0033775195 
     3528.9   -0.0025439912  0.0033630588 
    3530.85   -0.0028453078  0.0033527636 
     3532.8    0.0025362254  0.0033580938 
    3534.75    0.0062883353    0.00339987 
     3536.7     0.008035305  0.0035713391 
    3538.65    0.0065350128  0.0039117471 
     3540.6     0.011223403  0.0044083239 
