       MJD   Upper    Mean   Lower  Cenwave  Zeropoint  Filter 
 57250.161    99.0    99.0    99.0  4671.78     3631.0       g 
 57250.161    99.0    99.0    99.0   5980.7     3631.0       w 
 57250.161    99.0    99.0    99.0  6141.12     3631.0       r 
 57250.161    99.0    99.0    99.0  7457.89     3631.0       i 
 57250.161    99.0    99.0    99.0  8922.78     3631.0       z 
 57252.561    99.0  28.013  25.278  4671.78     3631.0       g 
 57252.561    99.0  28.276  25.505   5980.7     3631.0       w 
 57252.561    99.0  28.367  25.582  6141.12     3631.0       r 
 57252.561    99.0  28.608  25.786  7457.89     3631.0       i 
 57252.561    99.0  28.889  26.042  8922.78     3631.0       z 
 57254.962  24.268  23.714  23.293  4671.78     3631.0       g 
 57254.962  24.474   23.93  23.496   5980.7     3631.0       w 
 57254.962   24.54  24.001  23.559  6141.12     3631.0       r 
 57254.962  24.738  24.207  23.777  7457.89     3631.0       i 
 57254.962  24.992  24.469  24.037  8922.78     3631.0       z 
 57257.362  22.874  22.681  22.485  4671.78     3631.0       g 
 57257.362  23.081  22.884  22.688   5980.7     3631.0       w 
 57257.362  23.148  22.944  22.748  6141.12     3631.0       r 
 57257.362  23.332  23.127  22.931  7457.89     3631.0       i 
 57257.362  23.585  23.374  23.182  8922.78     3631.0       z 
 57259.762  22.183   22.08  21.963  4671.78     3631.0       g 
 57259.762  22.363  22.269   22.14   5980.7     3631.0       w 
 57259.762  22.419  22.325  22.196  6141.12     3631.0       r 
 57259.762  22.604  22.497  22.377  7457.89     3631.0       i 
 57259.762  22.843  22.736   22.62  8922.78     3631.0       z 
 57262.163  21.741  21.659  21.585  4671.78     3631.0       g 
 57262.163  21.907  21.836  21.753   5980.7     3631.0       w 
 57262.163   21.96   21.89  21.796  6141.12     3631.0       r 
 57262.163  22.123  22.057  21.973  7457.89     3631.0       i 
 57262.163  22.353  22.288  22.208  8922.78     3631.0       z 
 57264.563  21.407  21.347  21.289  4671.78     3631.0       g 
 57264.563  21.559  21.508  21.452   5980.7     3631.0       w 
 57264.563  21.601  21.552  21.492  6141.12     3631.0       r 
 57264.563  21.767  21.716  21.658  7457.89     3631.0       i 
 57264.563  21.996  21.939  21.887  8922.78     3631.0       z 
  57265.29  21.321  21.265  21.214  4671.78     3631.0       g 
  57265.29  21.471  21.422  21.372   5980.7     3631.0       w 
  57265.29  21.512  21.467  21.413  6141.12     3631.0       r 
  57265.29  21.674  21.626  21.575  7457.89     3631.0       i 
  57265.29  21.901  21.847  21.801  8922.78     3631.0       z 
 57266.963  21.148  21.103  21.056  4671.78     3631.0       g 
 57266.963  21.291  21.249  21.205   5980.7     3631.0       w 
 57266.963  21.329  21.288  21.246  6141.12     3631.0       r 
 57266.963  21.481  21.442    21.4  7457.89     3631.0       i 
 57266.963  21.703  21.659  21.621  8922.78     3631.0       z 
 57269.364  20.943  20.902  20.863  4671.78     3631.0       g 
 57269.364   21.07  21.035  21.002   5980.7     3631.0       w 
 57269.364  21.106   21.07  21.035  6141.12     3631.0       r 
 57269.364  21.251  21.214  21.184  7457.89     3631.0       i 
 57269.364  21.464  21.427  21.399  8922.78     3631.0       z 
 57271.764  20.771  20.733  20.698  4671.78     3631.0       g 
 57271.764  20.887  20.856  20.829   5980.7     3631.0       w 
 57271.764  20.921  20.885  20.859  6141.12     3631.0       r 
 57271.764  21.056  21.025  20.999  7457.89     3631.0       i 
 57271.764  21.266  21.234  21.206  8922.78     3631.0       z 
 57274.164  20.625  20.591  20.559  4671.78     3631.0       g 
 57274.164  20.731  20.703  20.678   5980.7     3631.0       w 
 57274.164  20.759  20.729  20.706  6141.12     3631.0       r 
 57274.164  20.889   20.86  20.838  7457.89     3631.0       i 
 57274.164  21.094  21.063  21.039  8922.78     3631.0       z 
  57276.31  20.513   20.48   20.45  4671.78     3631.0       g 
  57276.31  20.609  20.583  20.559   5980.7     3631.0       w 
  57276.31  20.634  20.608  20.585  6141.12     3631.0       r 
  57276.31  20.757  20.732  20.711  7457.89     3631.0       i 
  57276.31  20.958  20.931  20.907  8922.78     3631.0       z 
  57276.32  20.512  20.479   20.45  4671.78     3631.0       g 
  57276.32  20.608  20.583  20.558   5980.7     3631.0       w 
  57276.32  20.633  20.607  20.584  6141.12     3631.0       r 
  57276.32  20.757  20.731  20.711  7457.89     3631.0       i 
  57276.32  20.957   20.93  20.907  8922.78     3631.0       z 
 57276.565    20.5  20.468  20.438  4671.78     3631.0       g 
 57276.565  20.595   20.57  20.546   5980.7     3631.0       w 
 57276.565   20.62  20.594  20.571  6141.12     3631.0       r 
 57276.565  20.742  20.717  20.697  7457.89     3631.0       i 
 57276.565  20.943  20.916  20.892  8922.78     3631.0       z 
  57277.31  20.465  20.433  20.404  4671.78     3631.0       g 
  57277.31  20.557  20.533  20.508   5980.7     3631.0       w 
  57277.31  20.581  20.556  20.533  6141.12     3631.0       r 
  57277.31  20.701  20.676  20.657  7457.89     3631.0       i 
  57277.31    20.9  20.873   20.85  8922.78     3631.0       z 
  57277.32  20.464  20.433  20.403  4671.78     3631.0       g 
  57277.32  20.557  20.532  20.508   5980.7     3631.0       w 
  57277.32   20.58  20.555  20.532  6141.12     3631.0       r 
  57277.32  20.701  20.676  20.656  7457.89     3631.0       i 
  57277.32  20.899  20.872   20.85  8922.78     3631.0       z 
 57278.965  20.392   20.36  20.333  4671.78     3631.0       g 
 57278.965  20.478  20.454  20.432   5980.7     3631.0       w 
 57278.965    20.5  20.475  20.454  6141.12     3631.0       r 
 57278.965  20.614  20.591  20.571  7457.89     3631.0       i 
 57278.965  20.809  20.784  20.762  8922.78     3631.0       z 
 57281.365  20.297  20.268  20.242  4671.78     3631.0       g 
 57281.365  20.373  20.352  20.329   5980.7     3631.0       w 
 57281.365  20.391  20.369   20.35  6141.12     3631.0       r 
 57281.365    20.5   20.48  20.458  7457.89     3631.0       i 
 57281.365  20.692  20.668  20.645  8922.78     3631.0       z 
 57283.766  20.215  20.189  20.163  4671.78     3631.0       g 
 57283.766  20.282  20.262  20.242   5980.7     3631.0       w 
 57283.766  20.296  20.276  20.257  6141.12     3631.0       r 
 57283.766    20.4  20.381  20.359  7457.89     3631.0       i 
 57283.766  20.585  20.561   20.54  8922.78     3631.0       z 
  57284.32  20.198  20.172  20.146  4671.78     3631.0       g 
  57284.32  20.262  20.243  20.222   5980.7     3631.0       w 
  57284.32  20.276  20.256  20.236  6141.12     3631.0       r 
  57284.32  20.378  20.359  20.338  7457.89     3631.0       i 
  57284.32  20.562  20.537  20.517  8922.78     3631.0       z 
  57284.33  20.198  20.171  20.146  4671.78     3631.0       g 
  57284.33  20.261  20.243  20.222   5980.7     3631.0       w 
  57284.33  20.275  20.256  20.236  6141.12     3631.0       r 
  57284.33  20.378  20.359  20.338  7457.89     3631.0       i 
  57284.33  20.561  20.537  20.517  8922.78     3631.0       z 
 57286.166  20.146   20.12  20.094  4671.78     3631.0       g 
 57286.166  20.199  20.183  20.162   5980.7     3631.0       w 
 57286.166   20.21  20.194  20.173  6141.12     3631.0       r 
 57286.166  20.309   20.29  20.272  7457.89     3631.0       i 
 57286.166  20.489  20.465  20.445  8922.78     3631.0       z 
   57288.2  20.093  20.068  20.043  4671.78     3631.0       g 
   57288.2  20.138  20.122  20.102   5980.7     3631.0       w 
   57288.2  20.146  20.131   20.11  6141.12     3631.0       r 
   57288.2   20.24   20.22  20.204  7457.89     3631.0       i 
