 texplosion  fnickel    Pspin  log(Bfield)      Mns  thetaPB   mejecta    kappa  kappagamma     vejecta  temperature    alpha  cutoff_wavelength  log(nhhost)      A_V         MJD0  kenergy  mnickel            TSD   log(L0)  Peak_mag     Peak_MJD  log(E_rad)  log(Peak_lum)  Rise_Time    E_fold  tau_1  delta_m15     r_peak     frac 
  -13.30405   0.3854  5.00878     14.14451  1.75521  1.44469   8.33484  0.05479     0.05866  4670.31244   7155.17164  4.47766         2931.14218     20.30215   0.1114  53608.52321  1.08447  3.21222  2101782.05184  44.79112  19.49083  53657.43644     51.0261       44.16354   32.44019  52.26475   84.5    0.14774  -20.95498  0.70271 
   -7.42811  0.11958  3.11162     14.60533  1.81647  0.55334   13.5638  0.05963      0.0739  4908.75607   6706.17692  4.30228         3037.61335     20.18305  0.08468  53614.39916  1.94963    1.622   100542.24104  46.53975  19.46715  53657.43644    51.28291       44.48868   21.62679  41.45135   59.5    0.14141   -20.9407  0.92879 
   -5.56667  0.00741   1.1592     14.44262  1.75058  0.80713  16.51062  0.06045     0.02633  5097.81733   4165.69037  2.40564         3175.21946     20.73304  0.30045   53616.2606  2.55952  0.12235    28449.68504  47.92964  19.51353   53659.7451    50.86249       44.06941   30.63796  48.66029   49.5     0.1418  -21.15672  0.99933 
   -7.38268  0.01415  2.75065     14.31609  1.80012   1.3262  11.95951  0.08423     0.02122  5386.23307   5811.83122  3.59318         3034.59664     19.87069  0.04125  53614.44459  2.06972  0.16927   294993.89322  46.17546   19.5152   53659.7451    50.99038       44.23438   25.23126  46.85805   51.5    0.14173  -20.91737  0.99372 
   -4.21281     0.02  1.78409     14.47754  1.78904  0.95353  15.57052  0.07162     0.03033  5076.18641   8799.18779  4.02152         3064.99429     19.96278  0.05099  53617.61446  2.39335  0.31136    58638.96661  47.25044  19.47274   53659.7451    50.90574       44.14274   28.83572  45.05582   49.5     0.1242   -20.8874  0.99555 
   -6.12224  0.00888  2.48805     14.43943  1.83107  0.98798  27.66942  0.04184     0.04122  5223.99484   4333.74932  4.91249         2989.64418     16.08821    1e-05  53615.70503  4.50436  0.24571   139119.98768  46.59644  19.47585  53662.05376    51.05705        44.3025   27.03349  44.11626   54.0    0.13057  -20.84093  0.99284 
   -9.00577  0.08927  3.76262     14.58475  1.78866  0.52007  12.37664  0.05846      0.0168  4788.26404   9019.47463  4.20914         3053.60272     16.46557    2e-05   53612.8215  1.69272  1.10487   159154.89578  46.16857  19.43988   53659.7451    50.98402       44.26034    16.2201  46.85805   52.0    0.15104  -20.85566  0.92703 
  -15.15442  0.02463   4.7329     14.18744   1.8053  0.74014  20.69994  0.02175     0.10593  4664.46812   3674.54396  4.72064           2923.257     20.21205  0.09053  53606.67285  2.68659  0.50982   1583979.5064  44.97539  19.45444  53657.43644    50.93393       44.09233   32.44019  46.85805   74.5    0.15537  -20.94086  0.94507 
  -14.61459  0.39961  5.73486       14.148  1.85594   1.3757   8.33261  0.04743      0.0174  5150.63429   5018.25302  2.44898         3015.96529     18.16507  0.00081  53607.21268  1.31865  3.32979  2866986.47506  44.56294  19.49413  53657.43644    51.07635        44.1963   30.63796  52.26475   85.5    0.14405  -20.85755  0.65244 
  -12.19846  0.22865  5.04123     14.33993  1.55988  0.58951  15.97101    0.025     0.05541  5117.78866    7256.7645  2.23684         3132.20722     18.29644   0.0011  53609.62881  2.49531  3.65177   769336.00944  45.17075  19.48281   53659.7451    50.95951       44.17647   28.83572  46.85805   93.0    0.15281  -20.86498  0.63191 
  -13.96797  0.26915  4.47558     14.02961  1.64418  1.49355   5.31488  0.08053     0.31247  5226.98598   6237.45289  1.84381         3152.19547     17.42694  0.00015   53607.8593  0.86621  1.43051  2668313.69471  44.75686  19.47125  53657.43644    51.00428       44.12371   32.44019  52.26475   77.5     0.1691  -20.87599  0.85724 
   -8.84487    0.151  3.04703     14.43132  1.85488   0.8148  21.47949  0.02863     0.27751  4634.00956    4472.1306  2.92159         3053.56662     20.58806  0.21517   53612.9824  2.75147  3.24347   219407.54878  46.22816  19.50584   53659.7451    50.93799       44.09318   28.83572  50.46252   74.5    0.14011  -21.06201  0.87505 
    -12.407  0.27884  4.84747     14.20619  1.67932  0.83034   7.16134  0.05988     0.02368  5007.68733   4439.19457  3.00019         3053.11838     19.44603  0.01552  53609.42027  1.07126  1.99685  1417772.27535  44.97134  19.45837  53657.43644    50.96718       44.11131   28.83572  48.66029   76.0    0.16367  -20.90347  0.79109 
  -11.69557  0.22184  4.52122     14.17107  1.54519  1.51901  16.03712  0.03242     0.03351  4882.51313   3249.41783  3.28318         3005.85737     16.09123    1e-05   53610.1317  2.28055  3.55775   1334025.8737  45.02215  19.46755  53657.43644    51.06084       44.20319   30.63796  50.46252   87.0    0.15029  -20.84566  0.68551 
  -13.66509  0.01932  3.26441     13.88638  1.27321  1.19487  16.95176  0.02758     0.01085   4573.3123   5155.04923  2.66975         3076.47142     20.14352  0.07731  53608.16218  2.11497  0.32753  2125998.50801  45.01857  19.48603  53657.43644    51.04395       44.16586   27.03349  52.26475   66.0    0.16566  -20.91789  0.97121 
  -14.23272  0.39343  5.62951       14.632  2.06095  0.36143   5.65455  0.05875     0.01567  4595.31067   6687.46832  1.90541         3220.72675     18.39578  0.00138  53607.59455  0.71229  2.22468   330236.07733  45.56315  19.48616   53659.7451    50.87555       44.09201   28.83572  45.05582   77.0    0.16036    -20.815  0.77364 
   -15.6477  0.03892   4.1274     13.93581  1.44705    1.114  27.71195  0.01379     0.23609  4673.35141   5158.56439  2.14683         3156.33592      18.6079  0.00225  53606.17957  3.61036  1.07862    3076282.959  44.70995  19.47799  53655.12778    51.00535       44.17947   28.83572  50.46252   83.5    0.15743  -20.83045  0.88477 
  -12.20945  0.45719   5.2371     14.46615  1.61287  0.44837   6.95648  0.05853     0.04076  4951.17259   6972.42812  4.37983         2947.41158     19.76457  0.03231  53609.61782  1.01726  3.18045     480059.141  45.35697  19.47381  53657.43644    51.00511       44.15272   27.03349  48.66029   85.5    0.16965  -20.91126  0.65738 
  -15.46719  0.10974  4.86646     14.42642   1.6293  0.27976   9.50745  0.03544     0.01014  4886.41958   7616.61775  4.29936         2972.47223     19.34516   0.0123  53606.36008  1.35417  1.04338   502797.16583  45.40503  19.49073  53657.43644    51.02813       44.15578   30.63796  52.26475   75.0    0.15319  -20.88289  0.86961 
  -13.18652  0.07124  5.11251     14.14277  1.69305  1.02857  22.89725  0.02083     0.01707  5078.00554   3267.42619  4.54383         2961.27199     16.69063    3e-05  53608.64075  3.52206  1.63125  2129232.10619  44.75203  19.48571   53659.7451     50.9697       44.17868   30.63796  46.85805   74.5    0.16546  -20.87951    0.808 
  -13.30314  0.03351  4.10895     13.93266  1.37422  0.68282  12.58127  0.02069     0.03046  4772.19659   5581.90527  4.67815         2910.44614     19.81949  0.03666  53608.52413  1.70918  0.42158  2937792.44835  44.71142  19.50614   53659.7451    50.98037       44.19825   27.03349  46.85805   95.0    0.16906  -20.90829  0.94712 
   -9.26357  0.02136   3.5335      14.3637  1.84729  0.92358  15.58955  0.06308     0.17841  5481.87259   6017.93796  4.42284         2963.19269     19.64476  0.02452   53612.5637  2.79459  0.33306   401192.74844  45.83562  19.47622   53659.7451     50.9557       44.16934   28.83572  46.85805   53.5      0.146  -20.91851  0.98046 
  -13.95695  0.00521  4.36627     14.51345  1.80694  0.25509   20.2423  0.01083      0.0622  4736.76374    6221.1048  1.32554         3514.72796     20.15944   0.0802  53607.87032  2.70926  0.10545   300664.34035  45.76749  19.52122   53659.7451     50.9656       44.20465   23.42903  48.66029   96.0    0.15832  -20.92159  0.98979 
   -4.27496  0.01398  1.26408     14.34978  1.67425  1.10512  18.91907  0.05102     0.17551  4810.88378   6585.50491  3.08916         3105.82546     20.62645  0.23506  53617.55231  2.61202  0.26444    49615.70167  47.59349  19.49261  53657.43644    51.03696       44.19073   30.63796  48.66029   52.0    0.12956  -21.09662  0.99809 
  -14.63648  0.07712  5.90031     14.01159  2.03513  1.55375  17.52487  0.01637     0.09149  5139.80279   8647.84439   3.3012         2990.81696     18.13247  0.00075  53607.19079  2.76169  1.35144   6237006.2482  44.24071    19.491   53659.7451    50.97855       44.13988   28.83572  52.26475   87.5    0.15626  -20.85435  0.82981 
  -10.13397  0.09733  3.57668     14.82007  1.72669   0.2586   6.30239  0.13021     0.44538   5009.7178   5257.64046  4.01888         2979.93483     17.67028  0.00026   53611.6933  0.94354  0.61339    46972.27013  46.72726  19.51229   53659.7451    50.95352        44.2013   21.62679  46.85805   56.0    0.14448  -20.84648     0.96 
  -14.15397  0.20341  4.97749     14.03484  1.52142  1.08583  14.35927  0.02677     0.01286  5220.66924    8331.2539  2.71368         3026.93099      19.0687  0.00651   53607.6733   2.3346  2.92082  2981244.05224  44.58268  19.52346   53659.7451    50.97573       44.09837   28.83572  52.26475   78.0    0.15284   -20.8748  0.67747 
  -15.04717  0.05961  5.33447     14.33255  1.93889  0.57588   9.15351  0.04231     0.01214  4491.71734    3835.5891  4.38352          2954.4826     16.28808    1e-05   53606.7801  1.10164  0.54568  1107798.46874  45.05776  19.49698   53659.7451    50.99908       44.22837   23.42903  48.66029   73.0    0.16248   -20.8432  0.93352 
   -8.93216  0.41468  3.94208     14.69572  1.76603  0.44467   5.95948  0.12338     0.01661  4972.81637   5434.23769  4.99959         2975.73772     16.12654    1e-05  53612.89511   0.8791  2.47128   103474.36918  46.30956  19.49886  53657.43644    50.97814       44.09532   32.44019  54.06698   64.0    0.13898  -20.84554  0.83565 
   -6.54354  0.01819  2.61656     14.85817  1.76376   0.3111   27.2491  0.03843     0.12359  5364.50672   5500.73606  4.39845         2987.96438     17.56168   0.0002  53615.28373  4.67777  0.49578    21546.06622  47.34645  19.43285  53654.75412    50.97609       44.17034   30.63796  50.46252   52.5     0.1376  -20.83834  0.98318 
  -12.59673  0.38647  4.33579     14.46569   1.3226  0.30501   7.18849  0.05022     0.01616  4684.37152    8217.9101  2.68058         3169.67363     18.60913  0.00226  53609.23054  0.94095  2.77812   270400.87408  45.68413  19.48974  53657.43644    50.98117       44.10843   28.83572  50.46252   75.0    0.16751  -20.86143  0.70386 
   -8.19092  0.19196  2.90726     14.35692  1.53395  0.79728   6.10269  0.14746     0.15963  5032.21317   9098.59955   4.5112         2978.95464     17.14779    8e-05  53613.63634  0.92186  1.17147    232671.9261  46.16095   19.4886   53659.7451    51.04112       44.23363   28.83572  45.05582   52.0    0.13501  -20.84965  0.94124 
   -8.72096  0.00809  3.25987     14.25921  1.72971  1.04366   6.53823  0.11745     0.26414  4740.02773   8366.85978  4.76558         2932.96217     20.29396  0.10932   53613.1063  0.87629  0.05288   517327.62189  45.76665  19.49997  53657.43644    51.00844       44.15795   28.83572  50.46252   51.5    0.14842  -20.95637  0.99703 
   -8.58535  0.02912   2.8432     14.20646  1.46212  1.17594  28.32141  0.03164     0.36422  4890.33265   7018.17422  4.86165         2996.64837     18.26917  0.00103  53613.24192  4.04035  0.82464   424119.26769  45.89873  19.46159  53657.43644    51.00118       44.17059   30.63796  50.46252   56.5    0.13639  -20.83601  0.95675 
   -5.32327   0.0013  2.17698     14.60004  1.81445  0.54292  15.49266  0.06253     0.03613  4650.52608    8678.0503  4.94633         2961.97491     20.49751  0.17468  53616.50399  1.99874  0.02008     50371.5574   47.1497  19.51551   53659.7451    50.98481       44.12205   25.23126  52.26475   51.5    0.12063  -20.98827  0.99954 
  -15.53616   0.1171  5.28979     13.99242  1.89246  0.99287   5.07526  0.06863     0.01546  5340.44645    6721.5811  4.60754         2874.13241     17.76714  0.00032  53606.29111  0.86346  0.59429  5091829.08044  44.39212  19.51588   53659.7451    50.84916       44.07841   25.23126  48.66029   70.0    0.15407   -20.8952  0.92477 
  -10.81051  0.17296  4.42992     14.55374  1.79616   0.5932   16.3067  0.04102     0.41329  5278.81144     6804.127  4.10474         2951.41938     19.00233  0.00559  53611.01676   2.7106  2.82039   255546.25682  45.82293   19.4848   53659.7451    50.95527       44.09561   28.83572  52.26475   73.0     0.1447  -20.88166  0.78283 
  -10.16527   0.0124  3.25966     14.05415  1.41764  1.38201   6.40924  0.11793     0.35282  4926.05161   4012.32431  4.51705         2964.48166     19.63943  0.02422    53611.662  0.92775  0.07944  1090020.98585  45.35663  19.51285   53659.7451    51.03841       44.18895   25.23126  48.66029   54.5    0.14918  -20.89087  0.99399 
  -12.69615  0.25896  4.08908     13.94727  1.39308  1.30627   7.58646  0.04834     0.10716  4442.72782   9338.68283  3.15519         3089.55207     20.07608  0.06619  53609.13112  0.89324  1.96458  2757359.49388  44.74908  19.48375  53657.43644    50.98951       44.14613   30.63796  54.06698   69.5    0.16871  -20.91631   0.8033 
   -12.4729  0.13456   5.1026     14.12831   1.9029  0.72467   7.92239  0.02722       0.184  4320.48589   7545.52078  3.48293         3088.51222     20.26355  0.10192  53609.35437  0.88216  1.06604  2547956.54597  44.72649  19.48601   53659.7451     50.8572       44.09831   21.62679  48.66029   98.0    0.16712  -20.96566  0.88252 
  -11.34957  0.00416  2.77114     14.05688   1.3643  1.30495   8.58407  0.10497     0.03585  5244.45511   7318.33477  3.35361          3057.1186     19.94479  0.04892   53610.4777  1.40838  0.03573   748645.94703  45.64416  19.51046  53662.05376    50.90888       44.13369   27.03349  48.66029   52.0    0.14092  -20.91744  0.99793 
   -7.80248  0.00567  2.75538     14.53139  1.65412  0.55092   6.61373  0.16751     0.03352  5846.94457   5838.65016  4.09083         2917.21713     16.30056    1e-05  53614.02479  1.34875  0.03747   100916.76297  46.60309  19.49567  53657.43644    51.14121       44.30853   25.23126  46.85805   50.0    0.14819  -20.88378   0.9984 
